O=C(C1CCCO1)N2CCN(CC2)C(=O)c3cc4cc(Nc5nccc(n5)c6ccccn6)ccc4[nH]3	CHEMBL3641671	pIC50=7.53
CCN1CC2(CCN(C2)C(=O)c3cc4cc(Nc5nccc(n5)c6cn(C)cn6)cc(Cl)c4[nH]3)C1	CHEMBL3668800	pIC50=8.06
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5ccccn5)cc(C)c3[nH]2	CHEMBL3643777	pIC50=8.06
COC(=O)c1ccc2c(CCCC2(O)c3ncc(s3)c4cc(C)cc(Nc5cc(ccn5)C(F)(F)F)n4)c1	CHEMBL3698397	pIC50=8.06
COc1ccnc(c1)c2ccnc(Nc3ccc4[nH]c(cc4c3)C(=O)N5CCN(C)CC5)n2	CHEMBL3641545	pIC50=8.06
Cc1cc(C)cc(Nc2cc(N[C@@H]3CCCC[C@@H]3N)cnc2C(=O)N)c1	CHEMBL3415584	pIC50=8.06
CN1CCc2ccc(NC(=O)c3cc4cc(Nc5nccc(n5)c6cn(C)cn6)cc(Cl)c4[nH]3)cc2CC1	CHEMBL3664198	pIC50=8.07
COc1ccc(Nc2nc(cn3ccnc23)c4ccc5[nH]ccc5c4)cc1OC	CHEMBL3265020	pIC50=8.07
COc1cccc(Nc2nc(cn3ccnc23)c4ccc5cn[nH]c5c4)c1	CHEMBL3265028	pIC50=8.07
COc1ccnc(c1)c2ccnc(Nc3ccc4[nH]c(cc4c3)C(=O)NCCCN(C)C)n2	CHEMBL3641515	pIC50=8.07
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)N5CCCNCC5)n2	CHEMBL3664155	pIC50=8.07
CC(C)Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)N5CCN(C)CC5)n2	CHEMBL3664171	pIC50=8.08
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(OC6CCOCC6)ccn5)ccc3[nH]2	CHEMBL3641589	pIC50=8.08
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(OCCCO)ccn5)ccc3[nH]2	CHEMBL3641584	pIC50=8.08
COc1ccc(cc1OC)c2cc(OC[C@H]3CNC(=O)C3)c4cccnc4c2	CHEMBL3650446	pIC50=8.08
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCc5c[nH]nc5C	CHEMBL3668843	pIC50=8.08
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)N5CC[S+]([O-])CC5)n2	CHEMBL3668855	pIC50=8.08
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)O)n2	CHEMBL3668807	pIC50=8.08
COc1ccc(cc1OC)c2cc3ncccc3c(OCCC4CNC(=O)C4)n2	CHEMBL3696029	pIC50=8.09
Cn1cnc2ccc(cc12)c3cc(OCc4ncccc4C(=O)N)c5cccnc5c3	CHEMBL3653810	pIC50=8.09
CC(CO)COc1ccnc(c1)c2ccnc(Nc3ccc4[nH]c(cc4c3)C(=O)N5CCN(C)CC5)n2	CHEMBL3641587	pIC50=8.1
CCOc1cc2[nH]c(nc2cc1F)c3n[nH]cc3NC(=O)N(CC)CC	CHEMBL2017551	pIC50=8.1
CN1CCC(CC1)NC(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(Cl)c3[nH]2	CHEMBL3664207	pIC50=8.1
CN1CCCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(Cl)c3[nH]2	CHEMBL3668788	pIC50=8.1
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(OC6CCCC6)ccn5)ccc3[nH]2	CHEMBL3641534	pIC50=8.1
COc1ccnc(c1)c2ccnc(Nc3ccc4[nH]c(cc4c3)C(C)(C)C)n2	CHEMBL3641526	pIC50=8.1
COc1ncc(cc1F)c2cc(O[C@H](C)[C@H]3CNC(=O)C3)c4cccnc4c2	CHEMBL3653795	pIC50=8.1
Cc1cc(C)cc(Nc2nccc(n2)c3nccs3)c1	CHEMBL509161	pKi=8.1
Cc1cn(cc1CN2CC[C@@H](O)C2)c3ccnc(Nc4cc(C)c(OS(=O)(=O)C)c(C)c4)n3	CHEMBL3622946	pIC50=8.1
Cc1nn(cc1CN2CC(O)C2)c3ccnc(Nc4ccc5c(cnn5C6CC6)c4)n3	CHEMBL3622960	pIC50=8.1
NCCCNc1nc(cc2ccccc12)c3ccc(cc3)N4CCOCC4	CHEMBL512345	pIC50=8.1
NCCCNc1nc(cc2ncccc12)c3ccc(cc3)N4CCOCC4	CHEMBL287478	pIC50=8.1
CC(O)C(C)Oc1ccnc(c1)c2ccnc(Nc3ccc4[nH]c(cc4c3)C(=O)N5CCN(C)CC5)n2	CHEMBL3641582	pIC50=8.11
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)NC(C)(C)CN5CCCC5)n2	CHEMBL3664196	pIC50=8.11
NC(=O)c1cccnc1COc2cc(cc3ncccc23)c4ccc5C(=O)NCCc5c4	CHEMBL3653780	pIC50=8.11
CN(CCO)c1ccc(Nc2nc(cn3ccnc23)c4ccc5cn[nH]c5c4)cc1	CHEMBL3265035	pIC50=8.12
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCc5csc(C)n5	CHEMBL3668837	pIC50=8.12
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)N5CCn6cnnc6C5)n2	CHEMBL3664152	pIC50=8.12
CN(CCN1CCN(C)CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(Cl)c3[nH]2	CHEMBL3664205	pIC50=8.13
Cl.COc1ccc(cc1OC)c2cc3nccn3c(Nc4ncccc4C(=O)N)n2	CHEMBL1242100	pKi=8.13
O=C1C[C@@H](COc2nc(cc3ncccc23)c4ccccc4)CN1	CHEMBL3696056	pIC50=8.13
CN(C)CC#CCNC(=O)c1cc2cc(Nc3nccc(n3)c4cn(C)cn4)cc(Cl)c2[nH]1	CHEMBL3664209	pIC50=8.14
CN(Cc1ccnn1C)C(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(C)c3[nH]2	CHEMBL3668846	pIC50=8.14
CNC(=O)c1cc2cc(Nc3nccc(n3)c4cc(COC)ccn4)cc(C)c2[nH]1	CHEMBL3643824	pIC50=8.14
COc1ccc(cc1Cl)c2cc3ncccc3c(OC[C@H]4CNC(=O)C4)n2	CHEMBL3695961	pIC50=8.14
COc1ccc(cc1OC)c2cc3ncccc3c(OC(CC(C)C)[C@H]4CNC(=O)C4)n2	CHEMBL3639949	pIC50=8.14
C[C@@H](Oc1nc(cc2ncccc12)c3ccccn3)[C@H]4CNC(=O)C4	CHEMBL3696049	pIC50=8.14
Cc1cc(C)cc(Nc2nccc(n2)n3cc(CN4CC(O)C4)c(C)n3)c1	CHEMBL3622929	pIC50=8.14
Cc1cn(cc1CN2CC(O)C2)c3ccnc(Nc4cc(C)c(OCC(=O)N5CCCC5)c(C)c4)n3	CHEMBL3622940	pIC50=8.14
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)NCCCCCN5CCOCC5)n2	CHEMBL3668785	pIC50=8.14
CNC(=O)c1cc2cc(Nc3nccc(n3)c4cn(C)cn4)cc(OC)c2[nH]1	CHEMBL3664150	pIC50=8.15
COc1cc(cc(OC)c1OC)c2cc3ncccc3c(OCC4CNC(=O)C4)n2	CHEMBL3695977	pIC50=8.15
CN1CCC(CNC(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(Cl)c3[nH]2)CC1	CHEMBL3668803	pIC50=8.16
COc1cc(Nc2nc(NC3CCCC[C@H]3N)n4nc(nc4c2C(=O)N)c5cccc(O)c5)cc(OC)c1	CHEMBL474832	pIC50=8.16
COc1ccc(Nc2nc(cn3ccnc23)c4ccc5cn[nH]c5c4)cc1	CHEMBL3265029	pIC50=8.16
COc1ccc(Nc2nc(nc3scnc23)c4cccc(c4)C(=O)Nc5ccc(cc5)C(=O)O)cc1OC	CHEMBL2177737	pIC50=8.16
Cc1cc(C)nc(Nc2cc(NC[C@@H](N)CC(F)F)cnc2C(=O)N)c1	CHEMBL3415585	pIC50=8.16
Cc1cc(Nc2nccc(n2)C(F)(F)F)cc(c1)c3cnc(CC(C)(C)c4ocnn4)s3	CHEMBL3685808	pIC50=8.16
Cn1nc(c2cnc3[nH]cc(C(=O)NC(C)(C)C)c3n2)c4ccc(Cl)cc14	CHEMBL2348853	pIC50=8.16
N[C@H]1CCCC[C@H]1Nc2cnc(C(=O)N)c(c2)c3nc4ccccc4[nH]3	CHEMBL3415608	pIC50=8.16
CN(C)C(=O)c1cc2cc(Nc3nccc(n3)c4cn(C)cn4)cc(Br)c2[nH]1	CHEMBL3664156	pIC50=8.17
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(OCC6(CO)CC6)ccn5)ccc3[nH]2	CHEMBL3641602	pIC50=8.17
Cc1cc(Nc2cc(ccn2)C(F)(F)F)nc(c1)c3cnc(s3)C4(O)CCCc5cc(Br)ccc45	CHEMBL3698424	pIC50=8.17
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)NCCCCN5CCCC5=O)n2	CHEMBL3668793	pIC50=8.17
COC[C@@H]1C[C@@H](O)CN1Cc2cn(nc2C)c3ccnc(Nc4ccc5c(c4)c(Cl)c(C)n5C)n3	CHEMBL3657554	pIC50=8.18
COCc1ccnc(c1)c2ccnc(Nc3ccc4[nH]c(cc4c3)C(=O)N5CCN(C)CC5)n2	CHEMBL3641507	pIC50=8.18
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)NCCCN5CC[C@@H](F)C5)n2	CHEMBL3668798	pIC50=8.18
CC(C)N1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(Cl)c3[nH]2	CHEMBL3668797	pIC50=8.19
CN1CCCC(C1)NC(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(Cl)c3[nH]2	CHEMBL3664197	pIC50=8.19
CC(C)C[C@H](CN)Nc1cc(Nc2cccc(n2)C(C)(C)C)c(nn1)C(=O)N	CHEMBL3237572	pIC50=8.2
COc1cc(ccc1OC2CCOCC2)c3cc4ncccc4c(NCC5=CNC(=O)C=C5)n3	CHEMBL3696006	pIC50=8.2
COc1ccc(Nc2nc(cn3ccnc23)c4ccc5nc[nH]c5c4)cc1OC	CHEMBL3265018	pIC50=8.2
COc1ccc(cc1F)c2cc3ncccc3c(OC[C@H]4CNC(=O)C4)n2	CHEMBL3695992	pIC50=8.2
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCc5c[nH]cn5	CHEMBL3668878	pIC50=8.2
Cc1cccc(Nc2nc(N[C@@H]3CCCC[C@@H]3N)ncc2C(=O)N)c1	CHEMBL1235110	pIC50=8.2
Cc1cn(cc1CN2CC(O)C2)c3ccnc(Nc4cc(C)c(OS(=O)(=O)C)c(C)c4)n3	CHEMBL3622945	pIC50=8.2
CN(C)Cc1cn(cc1C)c2ccnc(Nc3cc(C)cc(C)c3)n2	CHEMBL3622930	pIC50=8.21
COC1CN(C1)C2CCN(CC2)C(=O)c3cc4cc(Nc5nccc(n5)c6cn(C)cn6)cc(Cl)c4[nH]3	CHEMBL3664210	pIC50=8.21
CC(=O)NCc1cc(Nc2nccc(n2)C(F)(F)F)cc(c1)c3cnc(s3)[C@@]4(O)CC[C@H](C(=O)N)C(C)(C)C4	CHEMBL3685801	pIC50=8.22
CCOc1ccnc(c1)c2ccnc(Nc3cc(C)c4[nH]c(cc4c3)C(=O)N5CCN(C)CC5)n2	CHEMBL3643779	pIC50=8.22
CN(C)C(=O)c1cc2cc(Nc3nccc(n3)c4ccccn4)cc(C)c2[nH]1	CHEMBL3643775	pIC50=8.22
CN(C)C(=O)c1cc2ccc(Nc3nccc(n3)c4cc(ccn4)C(C)(C)C#N)cc2[nH]1	CHEMBL3643803	pIC50=8.22
COc1cc(Nc2nc(N[C@H]3CCCC[C@H]3N)n4ccnc4c2C(=O)N)cc(OC)c1	CHEMBL485204	pIC50=8.22
COc1cc(cc(OC)c1OC)c2cc(OC[C@H]3CNC(=O)O3)c4cccnc4c2	CHEMBL3653747	pIC50=8.22
COc1ccc(cc1OC)c2cc3ncccc3c(OC[C@H]4CNC(=O)[C@@H]4C)n2	CHEMBL3696027	pIC50=8.22
Cc1cc(C)cc(Nc2nc(N[C@@H]3CCCC[C@@H]3N)n4ccnc4c2C(=O)N)c1	CHEMBL474655	pIC50=8.22
Cc1cc(C)cc(Nc2nc(N[C@H]3CCCC[C@H]3N)n4ccnc4c2C(=O)N)c1	CHEMBL459146	pIC50=8.22
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCc5oc6ccccc6n5	CHEMBL3668830	pIC50=8.22
Cn1nc(c2cnc3[nH]cc(C(=O)NC(C)(C)CO)c3n2)c4ccc(Cl)cc14	CHEMBL2348856	pIC50=8.22
CN(C)C(=O)c1cc2cc(Nc3nccc(n3)c4cc(ccn4)C(C)(C)C#N)ccc2[nH]1	CHEMBL3643809	pIC50=8.23
CCN(CC)C1CN(C1)C(=O)c2cc3cc(Nc4nccc(n4)c5ccccn5)ccc3[nH]2	CHEMBL3641623	pIC50=8.24
CN(C)C(=O)c1cc2ccc(Nc3nccc(n3)c4ccccn4)cc2n1C	CHEMBL3641565	pIC50=8.24
CN(C1CCOCC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(ccn5)C(C)(C)C#N)ccc3[nH]2	CHEMBL3643808	pIC50=8.24
COC(=O)c1cccc2c1CCC[C@]2(O)c3ncc(s3)c4cc(C)cc(Nc5cc(ccn5)C(F)(F)F)n4	CHEMBL3698407	pIC50=8.24
COc1c(C)cc(Nc2nccc(n2)n3cc(C)c(CN4CC(O)C4)c3)cc1C	CHEMBL3622944	pIC50=8.24
COc1ccc(cc1OC)c2cc3ncccc3c(OC[C@H]4CNC(=O)C4(C)C)n2	CHEMBL3696036	pIC50=8.24
COc1ccnc(c1)c2ccnc(Nc3ccc4[nH]c(cc4c3)C(=O)N5CCN(CC5)C(=O)[C@@H]6CCCO6)n2	CHEMBL3641521	pIC50=8.24
Cc1cc(CNC(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(C)c3[nH]2)n(C)n1	CHEMBL3668812	pIC50=8.24
CN1C=Nc2cc(nc(N[C@@H]3CC[C@H](N)CC3)c2C1=O)c4ccc(cc4)N5CCC(C)(O)CC5	CHEMBL3641466	pIC50=8.25
Cc1c(Br)c(Nc2cc(ccn2)C(F)(F)F)nc(c1Br)c3cnc(s3)[C@@]4(O)CCCc5cc(ccc45)C(=O)O	CHEMBL3698404	pIC50=8.25
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCc5cc(C)n(C)n5	CHEMBL3668835	pIC50=8.25
COCCC(Oc1nc(cc2ncccc12)c3ccc(OC)c(OC)c3)[C@H]4CNC(=O)C4	CHEMBL3696022	pIC50=8.26
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)N5CCC5	CHEMBL3664172	pIC50=8.26
C[C@@H](Oc1cc(cc2ncccc12)c3ccc(OC(F)F)nc3)[C@H]4CNC(=O)C4	CHEMBL3653832	pIC50=8.27
Cc1cc(C)cc(Nc2nccc(n2)n3cc(C)c(CN4CC(O)C4)c3)c1	CHEMBL3622926	pIC50=8.27
CC(C)C(C)Oc1ccnc(c1)c2ccnc(Nc3ccc4[nH]c(cc4c3)C(=O)N5CCN(C)CC5)n2	CHEMBL3641533	pIC50=8.28
CN1C=Nc2cc(nc(O[C@@H]3CC[C@H](N)CC3)c2C1=O)c4ccc(cc4)N5CCOCC5	CHEMBL3643529	pIC50=8.28
C[C@@H](Oc1cc(cc2ncccc12)c3ccc4nc(cn4c3)C(F)(F)F)[C@H]5CNC(=O)C5	CHEMBL3653811	pIC50=8.28
CN(C)C(=O)c1cc2cc(Nc3nccc(n3)c4cc(OCC(C)(C)CO)ccn4)ccc2[nH]1	CHEMBL3641530	pIC50=8.29
CN(CCCN1CCOCC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(Cl)c3[nH]2	CHEMBL3664183	pIC50=8.29
CNC(=O)c1cc2cc(Nc3nccc(n3)c4cn(C)cn4)cc(C)c2[nH]1	CHEMBL3664149	pIC50=8.29
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)N5CCC(CC5)C#N)n2	CHEMBL3668860	pIC50=8.29
CC(C)(C)NC(=O)c1c[nH]c2ncc(nc12)c3nn(CCC(O)CO)c4cc(F)ccc34	CHEMBL2347991	pIC50=8.3
CC(C)(C)NC(=O)c1c[nH]c2ncc(nc12)c3nn(CCCS(=O)(=O)C)c4cc(F)ccc34	CHEMBL2347989	pIC50=8.3
CCCc1cccc(Nc2cc(N[C@@H]3CCCC[C@@H]3N)nnc2C(=O)N)n1	CHEMBL3237557	pIC50=8.3
CCCc1nc(Nc2cc(N[C@@H]3CCCC[C@@H]3N)nnc2C(=O)N)ccc1OC	CHEMBL3237574	pIC50=8.3
CN(C)CCCn1nc(c2cnc3[nH]cc(C(=O)NC(C)(C)C)c3n2)c4cc(OC(F)F)ccc14	CHEMBL2347415	pIC50=8.3
CN(C)CCNC(=O)c1cc2cc(Nc3nccc(n3)c4cn(C)cn4)cc(Cl)c2[nH]1	CHEMBL3664214	pIC50=8.3
COc1cc(cc(Cl)c1OC)c2cc3c(ccc[n+]3[O-])c(O[C@H](C)[C@H]4CNC(=O)C4)n2	CHEMBL3695954	pIC50=8.3
COc1cc(cc(OC)c1OC)c2cc3ncccc3c(NCC4=NNC(=O)O4)n2	CHEMBL3695969	pIC50=8.3
COc1ccc(cc1OC)c2cc3ncsc3c(O[C@H](C)[C@H]4CNC(=O)C4)n2	CHEMBL3622208	pIC50=8.3
COc1ccc2N(C)CC(\C=C\3/C(=O)Nc4ccc(cc34)S(=O)(=O)N)c2c1	CHEMBL471424	pIC50=8.3
COc1ccc2c(c1)c(\C=C\3/C(=O)Nc4ccc(cc34)S(=O)(=O)N)cn2C	CHEMBL104333	pIC50=8.3
Cc1cc(C)nc(Nc2cc(NC[C@@H](N)CCS(=O)(=O)C)cnc2C(=O)N)c1	CHEMBL3415591	pIC50=8.3
Cc1cc(C)nc(Nc2cc(N[C@@H]3CCCC[C@@H]3N)nnc2C(=O)N)c1	CHEMBL3237563	pIC50=8.3
Cc1cc(Nc2nccc(n2)C(F)(F)F)cc(c1)c3cnc(CNCCS(=O)(=O)N)s3	CHEMBL3685813	pIC50=8.3
Cc1ccc(Nc2cc(N[C@@H]3CCCC[C@@H]3N)nnc2C(=O)N)nc1C	CHEMBL3237561	pIC50=8.3
Cc1cn(cc1CN2CC(O)C2)c3ccnc(Nc4cc(C)c(OCCO)c(C)c4)n3	CHEMBL3622938	pIC50=8.3
Cn1nc(c2cnc3[nH]cc(C(=O)NC(C)(C)C)c3n2)c4cc(CO)ccc14	CHEMBL2348858	pIC50=8.3
N[C@H]1CCCC[C@H]1Nc2cc3N=CNC(=O)c3c(Nc4cccc(c4)n5nccn5)n2	CHEMBL3262355	pIC50=8.3
N[C@H]1CCCC[C@H]1Nc2cnc(C(=O)N)c(Nc3cccc4cc[nH]c34)n2	CHEMBL3416024	pIC50=8.3
N[C@H]1CCCC[C@H]1Nc2nnc(C(=O)N)c(Nc3cccc(c3)n4nccn4)n2	CHEMBL3416025	pIC50=8.3
C[C@@H](Oc1cc(cc2ncccc12)c3ccc4nc(C)nc(C)c4c3)[C@H]5CNC(=O)C5	CHEMBL3653835	pIC50=8.31
COc1ccc(cc1OC)c2cc3ncccc3c(O[C@H]([C@H]4CNC(=O)C4)C(F)(F)F)n2	CHEMBL3696012	pIC50=8.32
COc1ccnc(Nc2cc(C)cc(n2)c3cnc(s3)[C@@]4(O)CCCc5cc(ccc45)C(=O)O)c1	CHEMBL3698443	pIC50=8.32
Cc1csc(CNC(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(C)c3[nH]2)n1	CHEMBL3668833	pIC50=8.32
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5ccccn5)cc(Cl)c3[nH]2	CHEMBL3643781	pIC50=8.33
COc1cc(Nc2nccc(n2)c3ccccn3)cc4cc([nH]c14)C(=O)N5CCN(C)CC5	CHEMBL3641620	pIC50=8.33
COc1ccc(Nc2nc(cn3ccnc23)c4ccc5OCCNc5c4)cc1OC	CHEMBL3265026	pIC50=8.33
COc1ccc(cc1OC)c2cc3ncccc3c(OC(C(C)C)[C@H]4CNC(=O)C4)n2	CHEMBL3696040	pIC50=8.33
O=C(N1CCC(C1)N2CCCC2)c3cc4cc(Nc5nccc(n5)c6ccccn6)ccc4[nH]3	CHEMBL3641656	pIC50=8.33
CC(C)(C#N)c1ccnc(c1)c2ccnc(Nc3ccc4[nH]c(cc4c3)C(=O)N5CCOCC5)n2	CHEMBL3643807	pIC50=8.35
COCc1ccnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)N5CCC(CC5)N6CCCC6=O)n2	CHEMBL3643821	pIC50=8.35
COc1cc(cc(C)c1OC)c2cc3ncccc3c(OC[C@H]4CNC(=O)C4)n2	CHEMBL3696043	pIC50=8.35
COc1cc(ccc1C(F)(F)F)c2cc(O[C@H](C)[C@H]3CNC(=O)C3)c4cccnc4c2	CHEMBL3653830	pIC50=8.35
Cc1cc(Nc2cc(ccn2)C(F)(F)F)nc(c1)c3cnc(s3)[C@@]4(O)CCCc5cc(ccc45)C(=O)NS(=O)(=O)C(F)(F)F	CHEMBL3698431	pIC50=8.35
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCc5cn(C)cn5	CHEMBL3668832	pIC50=8.35
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCc5nc6ccccc6[nH]5	CHEMBL3668839	pIC50=8.35
CC(C)(O)c1ccc2cc([nH]c2c1)c3n[nH]c4ccsc34	CHEMBL2017552	pIC50=8.36
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(OCC6(C)CC6)ccn5)ccc3[nH]2	CHEMBL3643740	pIC50=8.37
COc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)N(C)C	CHEMBL3668810	pIC50=8.37
COc1cc(cc(OC)c1OC)c2cc3c(ccc[n+]3[O-])c(O[C@H](C)[C@H]4CNC(=O)C4)n2	CHEMBL3695981	pIC50=8.37
COc1ccc(Nc2nc(cn3ccnc23)c4cccc(c4)C(=O)Nc5ccc(cc5)C(=O)N)cc1OC	CHEMBL3264999	pIC50=8.37
COc1ccc(cc1OC)c2cc3ncccc3c(OC(C=C)[C@H]4CNC(=O)C4)n2	CHEMBL3696038	pIC50=8.37
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCC5CCOCC5	CHEMBL3668862	pIC50=8.37
CC(=O)NNC(=O)c1cc2cc(Nc3nccc(n3)c4cn(C)cn4)cc(C)c2[nH]1	CHEMBL3668880	pIC50=8.38
CNC(=O)c1cc2cc(Nc3nccc(n3)c4ccccn4)cc(OC)c2[nH]1	CHEMBL3641642	pIC50=8.39
COc1cc(cc(OC)c1OC)c2cc3ncccc3c(OC([C@H]4CNC(=O)C4)C(F)(F)F)n2	CHEMBL3695971	pIC50=8.39
COc1ccc(cc1OC)c2cc3ncccc3c(OCC4=NNC(=O)O4)n2	CHEMBL3696008	pIC50=8.39
Cc1cc(Nc2cc(ccn2)C(F)(F)F)nc(c1)c3cnc(s3)[C@@]4(O)CCCc5cc(ccc45)B(O)O	CHEMBL3698436	pIC50=8.39
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)N5CCCOCC5)n2	CHEMBL3664184	pIC50=8.39
CC(C)(C)NC(=O)c1c[nH]c2ncc(nc12)c3nn(C4CCNCC4)c5cc(F)ccc35	CHEMBL2347994	pIC50=8.4
CC(C)(C)NC(=O)c1c[nH]c2ncc(nc12)c3nn(CCCN4CC(C4)C#N)c5ccc(OC(F)F)cc35	CHEMBL2347417	pIC50=8.4
CC(C)c1cccc(Nc2cc(N[C@@H]3CCCC[C@@H]3N)nnc2C(=O)N)n1	CHEMBL3237559	pIC50=8.4
CC1(CCC(O)(CC1)c2ncc(s2)c3cccc(Nc4nccc(n4)C(F)(F)F)c3)C(=O)O	CHEMBL3685815	pIC50=8.4
COc1cc(Nc2nc(N[C@@H]3CCCC[C@@H]3N)n4ncnc4c2C(=O)N)cc(OC)c1	CHEMBL474654	pIC50=8.4
COc1cc(Nc2nc(N[C@H]3CCCC[C@H]3N)n4ncnc4c2C(=O)N)cc(OC)c1	CHEMBL475575	pIC50=8.4
COc1ccc(Nc2cc(N[C@@H]3CCCC[C@@H]3N)nnc2C(=O)N)nc1OC	CHEMBL3237565	pIC50=8.4
COc1ccc(Nc2nc(cn3ccnc23)c4cccc(c4)C(=O)Nc5ccc(cc5)C(=O)O)cc1OC	CHEMBL3264995	pKd=8.4
Cc1cc(C)cc(Nc2nccc(n2)c3ncc(CO)s3)c1	CHEMBL511670	pKi=8.4
Cc1cc(Nc2nccc(n2)C(F)(F)F)cc(c1)c3cnc(s3)C4(O)CCC(CC4)N5CCCC5=O	CHEMBL3685825	pIC50=8.4
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCc5cc[nH]n5	CHEMBL3668865	pIC50=8.4
Cc1ccc(O)cc1Nc2ccnc(Nc3cccc(c3)S(=O)(=O)N)n2	CHEMBL249317	pIC50=8.4
Cc1cccc(Nc2nc(N[C@@H]3CC(F)(F)CC[C@@H]3N)ncc2C(=O)N)c1	CHEMBL1835069	pIC50=8.4
Cn1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)N5CCN(CCN6CCOCC6)CC5)n2	CHEMBL3668795	pIC50=8.4
Cn1nc(c2cnc3[nH]cc(C(=O)NC(C)(C)C)c3n2)c4ccc(F)cc14	CHEMBL2348854	pIC50=8.4
Cn1nc(c2cnc3[nH]cc(C(=O)N[C@@]4(C)C[C@@H](N)C4)c3n2)c5ccc(F)cc15	CHEMBL2347413	pIC50=8.4
NC(=O)c1cccnc1COc2cc(cc3ncccc23)c4ccc5[nH]cnc5c4	CHEMBL3639526	pIC50=8.4
N[C@H]1CCCC[C@H]1Nc2cc3C=CNC(=O)c3c(Nc4cccc5c(Cl)c[nH]c45)n2	CHEMBL3262623	pIC50=8.4
N[C@H]1CCCC[C@H]1Nc2cc3N=CNC(=O)c3c(Nc4cccc5cc[nH]c45)n2	CHEMBL3262356	pIC50=8.4
CC1(O)CN(C1)c2ccc(Nc3nc(cn4ccnc34)c5ccc6cn[nH]c6c5)cc2	CHEMBL3265030	pIC50=8.41
CCn1nccc1CNC(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(C)c3[nH]2	CHEMBL3668836	pIC50=8.41
CN1C=Nc2cc(nc(N[C@@H]3CC[C@H](N)CC3)c2C1=O)c4ccc(cc4)N5CCOCC5	CHEMBL3643503	pIC50=8.41
