OCCN(CCO)c1nc(N2CCCCC2)c3nc(nc(N4CCCCC4)c3n1)N(CCO)CCO	dipyridamole	pIC50=5.49	pIC50=5.49	pIC50=5.49
CCCCCC[C@@H]([C@@H](C)O)n1cnc2c(N)ncnc12	CHEMBL50378	pKi=6.0
COc1ccc(cc1c2cnc(nc2)N3CCCCC3)C4=Nc5c(C(=O)NC4)n(CCO)nc5C(C)(C)C	CHEMBL2387429	pIC50=8.6
Cn1ncc(c2nn(C)c3ncnc(N4CCC(C4)S(=O)(=O)CC5CC5)c23)c1c6ccc(cc6)C7CC7	CHEMBL3676204	pIC50=8.61
COc1ccc(cc1)c2c(cnn2C)c3nc(C)n4ncnc(N5CCC5)c34	CHEMBL3655790	pIC50=8.63
CN(C)c1ncnn2c(C)nc(c3cnn(C)c3c4ccc(cc4)C(F)(F)F)c12	CHEMBL3655847	pIC50=8.64
Cn1ncc(c2nn(C)c3ncnc(N4CCC4)c23)c1c5ccc(cc5)C(F)(F)F	CHEMBL2381192	pIC50=8.64
Cc1ccc(c(c1)C#N)c2c(cnn2C)c3nc(C)n4ncnc(N5CCC5)c34	CHEMBL3655831	pIC50=8.65
Cc1nc2ccc(cc2n3c(nnc13)c4ccccc4Cl)C(=O)NCCN5CCCC5	CHEMBL2313262	pIC50=8.66
CC(C)c1ccc(cc1)c2c(cnn2C)c3nn(C)c4ncnc(N5CCC5)c34	CHEMBL3676221	pIC50=8.67
COc1cc(cc2c1nc(C)c3c(C)nc(c4cccnc4F)n23)c5cccnc5F	CHEMBL3741841	pIC50=8.69
COc1ccc2nnc3c(C)nc(c4cc(Cl)ccc4Cl)n3c2n1	CHEMBL2070632	pIC50=8.69
CC(C)c1ccc2nc(C)c3nnc(c4cc(O)ccc4F)n3c2n1	CHEMBL3693267	pIC50=8.7
CC(C)c1ccc2nc(C)c3nnc(c4cc(ccc4F)C5(O)CCC5)n3c2n1	CHEMBL3693349	pIC50=8.7
COc1cc(ccc1c2c(cnn2C)c3nc(C)n4ncnc(N5CC(F)C5)c34)C(F)(F)F	CHEMBL2381189	pIC50=8.7
Cc1ccc(CCC(C)(C)O)cc1c2nnc3c(C)nc4ccc(nc4n23)C5CC5	CHEMBL3693325	pIC50=8.7
CC(C)(O)C#Cc1ccc2NC(=O)C(=C(OCC3CCOCC3)c2c1)c4cccs4	CHEMBL3665541	pKi=8.75
COc1ccc(c(OC)n1)c2cc(ccc2OC)C3=Nc4c(C(=O)NC3)n(CCO)nc4C(C)(C)C	CHEMBL2387427	pIC50=8.75
Cc1nc(c2cnn(C)c2c3ccc(Cl)cc3F)c4c(ncnn14)N5CC(F)C5	CHEMBL2381190	pIC50=8.76
COc1ccc(c(Cl)c1)c2c(cnn2C)c3nc(C)n4ncnc(N5CC(F)C5)c34	CHEMBL3655824	pIC50=8.77
Cc1nc2ccc(cc2n3c(nnc13)c4ccccc4Cl)C(=O)NCCc5ccccc5	CHEMBL2313260	pIC50=8.77
CCc1ccc(cc1)c2c(cnn2C)c3nn(C)c4ncnc(N5CCC5)c34	CHEMBL3676184	pIC50=8.79
Cc1nc(c2cnn(C)c2c3ccc(cn3)C(F)(F)F)c4c(ncnn14)N5CCC5	CHEMBL3092562	pIC50=8.79
Cc1ccc(cc1Cl)c2c(cnn2C)c3nc(C)n4ncnc(N5CCC5)c34	CHEMBL3655822	pIC50=8.8
Cc1nc(c2cnn(C)c2c3ccc(cn3)C(C)(F)F)c4c(ncnn14)N5CCC5	CHEMBL3655844	pIC50=8.81
CC(=O)N[C@@H]1CCN(C1)c2ncnc3c2c(nn3C)c4cnn(C)c4c5ccc(cc5)C6CC6	CHEMBL3676206	pIC50=8.82
COc1ccc(nc1)c2c(cnn2C)c3nc(C)n4ncnc(N5CCC5)c34	CHEMBL3655792	pIC50=8.83
CCN(CC)CCNC(=O)c1ccc2nc(C)c3nnc(c4ccccc4Cl)n3c2c1	CHEMBL2313261	pIC50=8.85
COc1ccc(cc1c2cnc(nc2)N3CCOCC3)C4=Nc5c(C(=O)NC4)n(CCO)nc5C(C)(C)C	CHEMBL2387426	pIC50=8.85
Cn1ncc(c2nn(C)c3ncnc(N4CC[C@@H](C4)S(=O)(=O)C)c23)c1c5ccc(cc5)C6CC6	CHEMBL3676210	pIC50=8.85
Cc1ccc(cc1)c2c(cnn2C)c3nc(C)n4ncnc(N5CCC5)c34	CHEMBL3655778	pIC50=8.88
Cc1nc(c2cnn(C)c2c3ncc(cc3F)C(F)(F)F)c4c(ncnn14)N5CCC5	CHEMBL3655815	pIC50=8.88
CNc1ncnn2c(C)nc(c3cnn(C)c3c4ccc(cc4)C(F)(F)F)c12	CHEMBL3655854	pIC50=8.89
COc1cc(ccc1c2c(cnn2C)c3nc(C)n4ncnc(N5CCC5)c34)C(F)(F)F	CHEMBL3655827	pIC50=8.89
COc1ccc(cc1c2cnc(cc2C)N(C)C)C3=Nc4c(C(=O)NC3)n(CCO)nc4C(C)(C)C	CHEMBL2387423	pIC50=8.89
O=C1Nc2ccc(cc2C(=C1c3cccs3)OCC4CCNCC4)C#Cc5cccnc5	CHEMBL3092564	pKi=8.89
Cc1nc(c2cnn(C)c2c3ccc(cc3)C(F)(F)F)c4c(ncnn14)N5CC(F)(F)C5	CHEMBL3655787	pIC50=8.9
COc1ccc(cc1c2cnc(nc2)N3CCCC3)C4=Nc5c(nn(CCO)c5C(=O)NC4)C(C)(C)C	CHEMBL2387425	pIC50=8.92
Cc1nc(c2cnn(C)c2c3ccc(OC(F)F)cc3)c4c(ncnn14)N5CCC5	CHEMBL3655837	pIC50=8.93
COc1ccc(c(F)c1F)c2c(cnn2C)c3nc(C)n4ncnc(N5CCC5)c34	CHEMBL2381187	pIC50=8.97
Cc1nc(c2cnn(C)c2c3ccc(cc3F)C(F)(F)F)c4c(ncnn14)N5CC(F)C5	CHEMBL3655849	pIC50=8.97
CN(C)c1ncnc2c1c(nn2C)c3cnn(C)c3c4ccc(cc4C)C(F)(F)F	CHEMBL3676227	pIC50=8.98
Cc1nc(c2cnn(C)c2c3ccc(Br)cc3)c4c(ncnn14)N5CCC5	CHEMBL3655836	pIC50=8.99
CC(C)c1ccc2nc(C)c3nnc(c4cc(ccc4Cl)C5(O)CCC5)n3c2n1	CHEMBL3693348	pIC50=9.0
Cc1nc(c2cnn(C)c2c3ccc(Cl)cc3F)c4c(ncnn14)N5CCC5	CHEMBL3655807	pIC50=9.0
Cc1nc(c2cnn(C)c2c3ccc(cc3)C(F)F)c4c(ncnn14)N5CCC5	CHEMBL3655821	pIC50=9.0
Cc1nc2ccc(CN3CCOCC3)cc2n4c(nnc14)c5c([18F])cccc5Cl	CHEMBL3092563	pIC50=9.0
Cc1nc2ccc(nc2n3c(nnc13)c4cc(CCC(C)(C)O)ccc4Cl)C5CC5	CHEMBL3693326	pIC50=9.0
Cc1nc2ccc(nc2n3c(nnc13)c4cc(O)ccc4Cl)C5CC5	CHEMBL3693268	pIC50=9.0
Cc1nc2ccc(nc2n3c(nnc13)c4cc(ccc4Cl)C5(O)CCC5)C6CC6	CHEMBL3693345	pIC50=9.0
Cc1nc2ccc(nc2n3c(nnc13)c4cc(ccc4Cl)C5(O)CCOCC5)C6CC6	CHEMBL3693351	pIC50=9.0
COC(=O)NC1CN(C1)c2ncnn3c(C)nc(c4cnn(C)c4c5ccc(cc5)C(F)(F)F)c23	CHEMBL3655851	pIC50=9.01
Cc1nc(c2cnn(C)c2c3ccc(cc3C#N)C(F)(F)F)c4c(ncnn14)N5CCC5	CHEMBL3655823	pIC50=9.02
COc1ccc(c(F)c1)c2c(cnn2C)c3nc(C)n4ncnc(N5CCC5)c34	CHEMBL2381185	pIC50=9.08
CNc1ncnn2c(CO)nc(c3cnn(C)c3c4ccc(cc4)C(F)(F)F)c12	CHEMBL3655783	pIC50=9.12
COc1ccc(c(Cl)c1)c2c(cnn2C)c3nc(C)n4ncnc(N5CCC5)c34	CHEMBL3655826	pIC50=9.12
Cc1nc(c2cnn(C)c2c3ccc(cc3)C(F)(F)F)c4c(ncnn14)N5CC(F)C5	CHEMBL2381188	pIC50=9.2
CCNC(=O)c1ccc2nc(C)c3nnc(c4ccccc4Cl)n3c2c1	CHEMBL2313247	pIC50=9.22
COc1ccc(c(C)c1)c2c(cnn2C)c3nc(C)n4ncnc(N5CCC5)c34	CHEMBL2381186	pIC50=9.24
CCc1ccc(cc1)c2c(cnn2C)c3nc(C)n4ncnc(N5CCC5)c34	CHEMBL3655788	pIC50=9.29
Cc1nc2ccc(cc2n3c(nnc13)c4ccccc4Cl)C(=O)NCCN5CCOCC5	CHEMBL2313263	pIC50=9.33
Cc1nc2ccc(cc2n3c(nnc13)c4ccccc4Cl)C(=O)NCc5ccccn5	CHEMBL2313231	pIC50=9.38
Cc1nc2ccc(cc2n3c(nnc13)c4ccccc4Cl)C(=O)NCc5ccccc5	CHEMBL2313258	pIC50=9.42
Cc1nc(c2cnn(C)c2c3ccc(cc3)C(F)(F)F)c4c(ncnn14)N5CCC5	CHEMBL3655786	pIC50=9.52
CCNC(=O)c1ccc2nc(C)c3nnc(c4c(Cl)cccc4Cl)n3c2c1	CHEMBL2313250	pIC50=9.55
Cc1nc2ccc(nc2n3c(nnc13)c4cc(ccc4Cl)C5(O)CCCOC5)C6CC6	CHEMBL3693359	pIC50=9.7
