CC(C)C[C@H](NC(=O)[C@@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O	triptorelin	pEC50=9.025	pEC50=9.025	pEC50=9.025
CC(C)C[C@H](NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O	nafarelin	pKd=9.699	pKd=9.699	pKd=9.699
CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1	leuprorelin	pIC50=9.5229	pIC50=9.5229	pIC50=9.5229	pIC50=9.1
CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC=C2C=CC=CC2=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O	abarelix	pKi=9.30000019	pKi=9.30000019	pKi=9.30000019
[H][C@]1(CC(=O)NC(=O)N1)C(=O)NC1=CC=C(C[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](CC2=CN=CC=C2)NC(=O)[C@@H](CC2=CC=C(Cl)C=C2)NC(=O)[C@@H](CC2=CC3=C(C=CC=C3)C=C2)NC(C)=O)C(=O)N[C@H](CC2=CC=C(NC(N)=O)C=C2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@H](C)C(N)=O)C=C1	degarelix	pKi=8.77000046	pKi=8.77000046	pKi=8.77000046
CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1	buserelin
CC(C)C[C@H](NC(=O)CNC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O	gonadorelin	pIC50=8.0	pIC50=8.0	pIC50=8.0
CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O	goserelin
CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC1=CN(CC2=CC=CC=C2)C=N1)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1	histrelin
CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC=C2C=CC=CC2=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O	cetrorelix	pKi=8.8	pKi=8.8	pKi=8.8
CCNC(NCC)=NCCCC[C@@H](NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN=C(NCC)NCC)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O	ganirelix
CCC(CC)OC(=O)C1=CN(Cc2ccccc2F)c3c(C#N)c(c(CN(C)CCc4ccccn4)n3C1=O)c5ccc(OC6CCCC6)cc5	CHEMBL339968	pKi=7.51
CCCn1c(SCc2cc(ccc2OC)[N+](=O)[O-])nc3cc(NC(=O)NC(C)(C)C)cc(C(=O)NCc4ccccn4)c13	CHEMBL197089	pIC50=7.51
Cc1oc(CN2CCN(CC2)c3cccc4[nH]c(nc34)c5ccc(cc5)C(C)(C)C)c(C)n1	CHEMBL494232	pIC50=7.51
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3c(F)cccc3F)c4csc(n4)c5ccccc5Cl	CHEMBL185154	pKi=7.52
CCOC(=O)C1=CN(Cc2c(F)cccc2F)c3nc(c(CN(C)Cc4ccccc4)n3C1=O)c5ccc(NC(=O)C(C)C)cc5	CHEMBL65569	pIC50=7.52
CCOC(=O)C1=CN(Cc2ccccc2)c3sc(c(CN(C)Cc4ccccc4)c3C1=O)c5ccc(NC(=O)Nc6ccccc6)cc5	CHEMBL210295	pIC50=7.52
CCOC(=O)C1=CN(Cc2ccccc2F)c3sc(c(CN(C)Cc4ccccc4)c3C1=O)c5ccc(OC)cc5	CHEMBL210277	pIC50=7.52
CN(CCN1C(=O)N(Cc2c(F)cccc2F)C(=C(C1=O)c3ccc(Oc4ccccc4)cc3)C)CCc5ccccn5	CHEMBL60153	pKi=7.52
CN(CCN1C(=O)N(Cc2c(F)cccc2F)C3=C(CN(Cc4ccc(cc4)C(F)(F)F)CC3)C1=O)CCc5ccccn5	CHEMBL392602	pKi=7.52
COc1ccc(cc1)N2C(=O)N(Cc3c(F)cccc3F)c4sc(c(CN(C)Cc5ccccc5)c4C2=O)c6ccc(OC)cc6	CHEMBL280350	pIC50=7.52
COc1cccc(C2=CN(Cc3c(F)cccc3S(=O)(=O)C(C)C)C(=O)N(C[C@H](N)c4ccccc4)C2=O)c1F	CHEMBL190671	pKi=7.52
COc1cccc(c1)C2=C(C)N(Cc3ccccc3F)c4nc(c(CNCc5ccccn5)n4C2=O)C(C)(C)C	CHEMBL50009	pKi=7.52
COc1ccccc1CNC[C@@H](C)N2C(=O)N(Cc3c(F)cccc3F)C(=C(C2=O)c4cccc(OC)c4F)C	CHEMBL423291	pKi=7.52
Fc1cccc(F)c1CN2C(=O)N(C[C@H]3CCCCN3CCc4ccccn4)C(=O)C5=C2CCN(Cc6ccc(Cl)cc6)C5	CHEMBL236142	pKi=7.52
CCOC(=O)C1=CN(Cc2c(F)cccc2F)c3nc(c(CN(C)Cc4ccccc4)n3C1=O)c5ccc(NC(=O)NCc6cn(CCOCCOCCOCCn7cc(CNC(=O)Nc8ccc(cc8)c9nc%10N(Cc%11c(F)cccc%11F)C=C(C(=O)OCC)C(=O)n%10c9CN(C)Cc%12ccccc%12)nn7)nn6)cc5	CHEMBL392434	pKi=7.53
CCCC(=O)Nc1ccc(cc1)c2nc3N(Cc4ccccc4F)C=C(C(=O)OC(CC)CC)C(=O)n3c2CN(C)Cc5occc5	CHEMBL71793	pKi=7.54
CCCn1c(C)c(CN2CCN(CC2)c3cccc4[nH]c(nc34)c5ccc(cc5)C(C)(C)C)nc1CC	CHEMBL493931	pIC50=7.54
CN[C@@H](CN1C(=O)N(Cc2c(F)cccc2C(F)(F)F)C(=C(C1=O)c3cccc(OCCC(C)(C)CC(=O)O)c3F)C)c4ccccc4	CHEMBL447424	pKi=7.54
COc1cc(F)c(cc1CN(C)c2c(F)cccc2F)N3C(=O)Nc4csc(C(=O)O)c4C3=O	CHEMBL3668017	pIC50=7.54
COc1cccc(F)c1C(C)Oc2ccc(F)c(c2)N3C(=O)Nc4csc(C(=O)O)c4C3=O	CHEMBL3668009	pIC50=7.54
COc1cccc(N2C(=O)N(C[C@H](N)c3ccccc3)C(=O)N(Cc4ccccc4C)C2=O)c1F	CHEMBL176029	pKi=7.54
Cc1cc(NCc2cccc(CNC(=O)c3oc(Cc4cc5c(cc4C)C(C)(C)CCC5(C)C)cc3)c2)nc(N)n1	CHEMBL120048	pKi=7.54
COc1ccc(cc1CSc2nc3cc(NC(=O)NC(C)(C)C)ccc3n2Cc4ccccc4)[N+](=O)[O-]	CHEMBL373340	pIC50=7.55
COc1cccc(c1)N2C(=O)N(CC(CN)c3ccccc3)C(=O)N(Cc4c(F)cccc4F)C2=O	CHEMBL177523	pKi=7.55
Cc1cc(C)cc(c1)c2c(O)nc3cc(Cl)c(cc3c2OCCC4CCCCN4)C(=O)Nc5nnc(C)s5.OC(=O)C(F)(F)F	CHEMBL334904	pIC50=7.55
Cc1cc2c(cc1Cc3oc(cc3)C(=O)NC[C@@H]4CC[C@@H](CNc5ccnc(NC[C@@H]6CCCO6)n5)CC4)C(C)(C)CCC2(C)C	CHEMBL121535	pKi=7.55
CCC(C)N(CC1CC1)[C@H]2C[C@@H](C)OC(O[C@@H]3[C@@H](C)[C@H](OC4C[C@@](C)(OC)[C@@H](O)[C@H](C)O4)[C@@H](C)C(=O)O[C@H](CC)[C@@]5(C)OC(=O)N(CCc6ccc(Cl)cc6)[C@@H]5[C@@H](C)C(=O)[C@H](C)C[C@]3(C)OC)[C@@H]2O	CHEMBL216252	pKi=7.56
C[C@H](CNCc1cccc2ncccc12)c3c([nH]c4ccc(cc34)C(C)(C)C(=O)N5C6CCC5CC6)c7cc(C)cc(C)c7	CHEMBL165534	pIC50=7.56
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3ccccc3Cl)c4ccccc4F.OC(=O)C(F)(F)F	CHEMBL74721	pKi=7.57
CCCn1c(SCc2cc(ccc2OC)[N+](=O)[O-])nc3cc(NC(=O)NC(C)(C)C)cc(C(=O)NCCc4ccccn4)c13	CHEMBL370145	pIC50=7.57
CCc1oc(C)c(CN2CCN(CC2)c3cccc4[nH]c(nc34)c5ccc(cc5)C(C)(C)C)n1	CHEMBL494416	pIC50=7.57
CN[C@@H](CN1C(=O)N(Cc2c(F)cccc2C(F)(F)F)C(=C(C1=O)c3cccc(OCCNCC(=O)O)c3F)C)c4ccccc4	CHEMBL502967	pKi=7.57
COc1cccc(C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@@H](C(C)C)N(C)C)C2=O)c1F	CHEMBL359681	pKi=7.57
COc1cccc(c1)N2C(=O)N(CCC(N)c3cccs3)C(=O)N(Cc4c(F)cccc4F)C2=O	CHEMBL179023	pKi=7.57
Cc1nc(C)c(CN2CCN(CC2)c3cccc4[nH]c(nc34)c5ccc(cc5)C(C)(C)C)s1	CHEMBL522188	pIC50=7.57
CC(C)C[C@H](NC(=O)[C@@H](CCCCNC(=O)CCCCCCCNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC(=O)[C@H](Cc3c[nH]c4ccccc34)NC(=O)[C@H](Cc5cnc[nH]5)NC(=O)[C@@H]6CCC(=O)N6)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N7CCC[C@H]7C(=O)NCC(=O)N	CHEMBL2430898	pIC50=7.58
CC(C)(C)c1ccc(cc1)c2nc3c(cccc3[nH]2)N4CCN(Cc5cccc6nccnc56)CC4	CHEMBL515123	pIC50=7.59
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3c(F)cccc3F)c4csc(n4)c5ccccc5	CHEMBL426058	pKi=7.59
CCCCc1nc(CN2CCN(CC2)c3cccc4[nH]c(nc34)c5ccc(cc5)C(C)(C)C)cn1C	CHEMBL494739	pIC50=7.59
CCC(CC)OC(=O)C1=CN(Cc2ccccc2F)c3c(C#N)c(c(CN(C)CCc4ccccn4)n3C1=O)c5ccc(OCC(C)C)cc5	CHEMBL443027	pKi=7.6
Cc1ccc(CN2CCC3=C(C2)C(=O)N(CC4CCCCN4Cc5ccccn5)C(=O)N3Cc6c(F)cccc6F)c(C)c1	CHEMBL392731	pKi=7.6
CC(C)(C)c1ccc(cc1)c2nc3c(cccc3[nH]2)N4CCN(Cc5ccc6cccnc6c5)CC4	CHEMBL475660	pIC50=7.62
CN(CCN1C(=O)N(Cc2c(F)cccc2F)C(=C(C1=O)c3ccc4OCCOc4c3)C)CCc5ccccn5	CHEMBL22929	pKi=7.62
COC(=O)[C@@H]1CC[C@@H](CNC(=O)c2oc(Cc3cc4c(cc3C)C(C)(C)CCC4(C)C)cc2)CC1	CHEMBL331277	pKi=7.62
COc1cccc(N2C(=O)N(CC[C@H](N)c3ccccc3)C(=O)N(Cc4c(F)cccc4F)C2=O)c1F	CHEMBL360047	pKi=7.62
Cc1cc2c(cc1Cc3oc(cc3)C(=O)NCC4CCC(CNCc5cc(O)nc(O)n5)CC4)C(C)(C)CCC2(C)C	CHEMBL325747	pKi=7.62
CCOC(=O)C1=CN(Cc2c(F)cccc2F)c3nc(c(CN(C)Cc4ccccc4)n3C1=O)c5ccc(NC(=O)NCc6cn(CCOCCOCCn7cc(CNC(=O)Nc8ccc(cc8)c9nc%10N(Cc%11c(F)cccc%11F)C=C(C(=O)OCC)C(=O)n%10c9CN(C)Cc%12ccccc%12)nn7)nn6)cc5	CHEMBL427981	pKi=7.63
CC(C)C[C@H](NC(=O)[C@@H](CCCCNC(=O)CCCCCCCCCCNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC(=O)[C@H](Cc3c[nH]c4ccccc34)NC(=O)[C@H](Cc5cnc[nH]5)NC(=O)[C@@H]6CCC(=O)N6)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N7CCC[C@H]7C(=O)NCC(=O)N	CHEMBL2430897	pIC50=7.64
CCCCn1c(SCc2cc(ccc2OC)[N+](=O)[O-])nc3cc(NC(=O)NC(C)(C)C)ccc13	CHEMBL372316	pIC50=7.64
CCN(CC)C(=O)c1ccc2[nH]c(c(CCNCCCCc3cccnc3)c2c1)c4cc(C)cc(C)c4	CHEMBL417363	pIC50=7.64
COc1cccc(C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(CC(C)(N)c4ccccc4)C2=O)c1F	CHEMBL493794	pKi=7.64
COc1cccc(C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@H](NC(C)C)C4CCCCC4)C2=O)c1F	CHEMBL327076	pKi=7.64
COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)\C(=N\OCC(=O)NCCCC[C@H](NC(=O)[C@H](Cc6c[nH]c7ccccc67)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc8cnc[nH]8)NC(=O)[C@H](CO)NC(=O)[C@H](Cc9c[nH]c%10ccccc9%10)NC(=O)[C@H](Cc%11cnc[nH]%11)NC(=O)[C@@H]%12CCC(=O)N%12)C(=O)N%13CCC[C@H]%13C(=O)NCC(=O)N)\C	CHEMBL2023087	pIC50=7.64
Cc1cc(C)cc(c1)c2c(O)nc3cc(Cl)c(cc3c2OCCC4CCCCN4)C(=O)Nc5onc(C)c5.OC(=O)C(F)(F)F	CHEMBL344688	pIC50=7.64
Cc1cc(CN2CCN(CC2)c3cccc4[nH]c(nc34)c5ccc(cc5)C(C)(C)C)n(C)n1	CHEMBL522202	pIC50=7.64
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](OC3O[C@H](C)C[C@@H]([C@H]3O)N(C)C(C)C)[C@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]4N(CCc5ccc(Cl)cc5)C(=O)O[C@]14C)OC	CHEMBL273387	pKi=7.65
CC(C)(C)NC(=O)NCCc1nc2cc(ccc2n1Cc3ccccc3)S(=O)(=O)NCc4ccc(Cl)cc4Cl	CHEMBL183274	pIC50=7.66
CCc1cc(CN2CCN(CC2)c3cccc4[nH]c(nc34)c5ccc(cc5)C(C)(C)C)n(C)n1	CHEMBL495183	pIC50=7.66
COc1cccc(C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@@H](N)c4ccccc4)C2=O)c1F	CHEMBL540207	pKi=7.66
COc1cccc(C2=CN(Cc3c(F)cccc3F)C(=O)N(C[C@H](NCCCC(=O)O)c4ccccc4)C2=O)c1F	CHEMBL526327	pKi=7.66
CC(C)(C)c1ccc(cc1)c2nc3c(cccc3[nH]2)N4CCN(Cc5c[nH]cn5)CC4	CHEMBL494554	pIC50=7.68
CC(C)(C)c1ccc(cc1)c2nc3c(cccc3[nH]2)N4CCN(Cc5ccc6ncccc6c5)CC4	CHEMBL474992	pIC50=7.68
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3ccc(F)cc3Cl)c4ccccc4F	CHEMBL436276	pKi=7.68
CCCC(=O)Nc1ccc(cc1)c2cc3N(Cc4ccccc4F)C=C(C(=O)NC(CC)CC)C(=O)n3c2CN(C)CCc5ccccn5	CHEMBL128810	pKi=7.68
CCCn1c(SCc2cc(ccc2OC)[N+](=O)[O-])nc3cc(NC(=O)NC(C)(C)C)cc(C(=O)O)c13	CHEMBL196288	pIC50=7.68
COc1ccc(CN2CC3CC(N4C(=O)N(CCN5CCOCC5)C(=O)C34C2)c6ccc(N(C)C)c7ccccc67)cc1NC(=O)C	CHEMBL260816	pKi=7.68
C[C@H](CNCCCCc1ccncc1)c2c([nH]c3ccc(cc23)C(C)(C)C(=O)N4C5CCCCC5C6CCCCC46)c7cc(C)cc(C)c7	CHEMBL313004	pIC50=7.68
Cc1nc(CN2CCN(CC2)c3cccc4[nH]c(nc34)c5ccc(cc5)C(C)(C)C)c(C)s1	CHEMBL495174	pIC50=7.68
CC(C)(C)NC(=O)NCCc1nc2cc(ccc2n1Cc3ccccc3)S(=O)(=O)NCc4ccc(F)cc4	CHEMBL413062	pIC50=7.7
CC(C)(c1ccccc1)S(=O)(=O)c2ccc(F)c(c2)N3C(=O)Nc4csc(C(=O)O)c4C3=O	CHEMBL3668013	pIC50=7.7
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3c(F)cccc3F)c4csc(n4)c5ccc6OCCc6c5	CHEMBL364840	pKi=7.7
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3ccccc3C)c4ccccc4F	CHEMBL369326	pKi=7.7
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3ccccc3F)c4ccccc4F	CHEMBL361798	pKi=7.7
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3ccccc3F)c4ccccc4F.OC(=O)C(F)(F)F	CHEMBL74686	pKi=7.7
CCC(=O)N(C)c1ccc(cc1)c2sc3N(Cc4c(F)cccc4F)C(=O)N(C(=O)c3c2CN(C)Cc5ccccc5)c6cccc(OC)c6	CHEMBL21185	pIC50=7.7
CCOC(=O)C1=CN(Cc2c(F)cccc2F)c3nc(c(CN(C)Cc4ccccc4)n3C1=O)c5ccc(NC(=O)c6ccccc6)cc5	CHEMBL291893	pIC50=7.7
CC[C@H](CN1C(=O)N(Cc2c(F)cccc2C(F)(F)F)C(=C(C1=O)c3cccc(OC)c3F)C)NC4CCCC4	CHEMBL257599	pKi=7.7
CCc1ccc(CN2CCC3=C(C2)C(=O)N(CCN(C)CCc4ccccn4)C(=O)N3Cc5c(F)cccc5F)cc1	CHEMBL242399	pKi=7.7
CCc1nc(C)c(CN2CCN(CC2)c3cccc4[nH]c(nc34)c5ccc(cc5)C(C)(C)C)s1	CHEMBL523527	pIC50=7.7
CN[C@H](CN1C(=O)N(Cc2c(F)cccc2F)C(=C(C1=O)c3cccc(OC)c3F)C)Cc4ccccc4	CHEMBL324912	pIC50=7.7
COc1ccc(cc1)c2sc3N(Cc4c(F)cccc4F)C(=O)N(C(=O)c3c2CN(C)Cc5ccccc5)c6cccc(OC)c6	CHEMBL282679	pIC50=7.7
COc1cccc(CNC[C@@H](C)N2C(=O)N(Cc3c(F)cccc3F)C(=C(C2=O)c4cccc(OC)c4)C)c1	CHEMBL112559	pKi=7.7
COc1cccc(N2C(=O)N(CC(N)c3ccccc3F)C(=O)N(Cc4c(F)cccc4F)C2=O)c1F	CHEMBL176056	pKi=7.7
COc1cccc(N2C(=O)N(C[C@H](N)c3ccccc3)C(=O)N(Cc4ccccc4Cl)C2=O)c1F	CHEMBL178218	pKi=7.7
COc1cccc(c1)C2=C(C)N(Cc3c(F)cccc3F)C(=O)N([C@H](C)CN(C)CCc4ccccn4)C2=O	CHEMBL326804	pKi=7.7
COc1cccc(c1)C2=C(C)N(Cc3c(F)cccc3F)C(=O)N([C@H](C)CNCc4ccccc4OC)C2=O	CHEMBL23730	pKi=7.7
COc1cccc(c1)N2C(=O)N(Cc3c(F)cccc3F)c4sc(c(CN(C)Cc5ccccc5)c4C2=O)c6ccc(cc6)[N+](=O)[O-]	CHEMBL279223	pIC50=7.7
Cc1cc2c(cc1Cc3oc(cc3)C(=O)NCC4CCCC(CNC(=O)C(F)(F)F)C4)C(C)(C)CCC2(C)C	CHEMBL445074	pKi=7.7
Fc1cccc(F)c1CN2C(=O)N(C[C@H]3CCCN3Cc4ccccn4)C(=O)C5=C2CCN(Cc6ccc(Cl)cc6)C5	CHEMBL393092	pKi=7.7
CC(C)n1cnc(CN2CCN(CC2)c3cccc4[nH]c(nc34)c5ccc(cc5)C(C)(C)C)c1C	CHEMBL523849	pIC50=7.72
CN(C(=O)c1ccc(Cl)c(c1)N2C(=O)Nc3csc(C(=O)O)c3C2=O)c4ccccc4	CHEMBL3668010	pIC50=7.72
COc1cccc(C2=CN(Cc3c(F)cccc3SC)C(=O)N(C[C@H](N)c4ccccc4)C2=O)c1F	CHEMBL366020	pKi=7.72
COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)\C(=N\OCC(=O)NCCCC[C@H](NC(=O)[C@H](Cc6c[nH]c7ccccc67)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc8cnc[nH]8)NC(=O)[C@H](CCCCNC(=O)C)NC(=O)[C@H](Cc9c[nH]c%10ccccc9%10)NC(=O)[C@H](Cc%11cnc[nH]%11)NC(=O)[C@@H]%12CCC(=O)N%12)C(=O)N%13CCC[C@H]%13C(=O)NCC(=O)N)\C	CHEMBL2023088	pIC50=7.72
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)N2[C@@H](C)COC2=O)[C@H](C)[C@@H](OC3O[C@H](C)C[C@@H]([C@H]3O)N(C)C(C)C)[C@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]4N(CCc5ccc(Cl)cc5)C(=O)O[C@]14C)OC	CHEMBL275467	pKi=7.73
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)N2[C@@H](C)COC2=O)[C@H](C)[C@@H](OC3O[C@H](C)C[C@@H]([C@H]3O)N(C)CC4CC4)[C@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]5N(CCc6ccc(Cl)cc6)C(=O)O[C@]15C)OC	CHEMBL418256	pKi=7.73
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3c(F)cccc3F)c4csc(n4)c5ccc(C)cc5	CHEMBL363731	pKi=7.75
CCCn1c(SCc2cc(ccc2OC)[N+](=O)[O-])nc3cc(NC(=O)NC(C)(C)C)ccc13	CHEMBL193749	pIC50=7.75
CCCn1cc(CN2CCN(CC2)c3cccc4[nH]c(nc34)c5ccc(cc5)C(C)(C)C)nc1C	CHEMBL493344	pIC50=7.75
CCN(CC)C(=O)c1ccc2[nH]c(c(CCNCCCCc3ccncc3)c2c1)c4cc(C)cc(C)c4	CHEMBL298700	pIC50=7.75
CCc1nc(CN2CCN(CC2)c3cccc4[nH]c(nc34)c5ccc(cc5)C(C)(C)C)cn1C	CHEMBL494738	pIC50=7.75
COc1ccc(cc1)C2=C(C)N(Cc3ccccc3F)c4nc(c(CN(C)CCc5ccccn5)n4C2=O)c6ccc(OC)cc6	CHEMBL432922	pKi=7.75
COc1cccc(N2C(=O)N(C[C@H](N)c3ccccc3)C(=O)N(Cc4ccccc4OC(F)(F)F)C2=O)c1F	CHEMBL425523	pKi=7.75
COc1cccc(c1)C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(CC(C)N(C)Cc4ccccn4)C2=O	CHEMBL113151	pKi=7.75
N[C@@H](CN1C(=O)N(Cc2c(F)cccc2C(F)(F)F)C=C(C1=O)c3cccc(O)c3F)c4ccccc4	CHEMBL435689	pKi=7.75
CC(C)CNc1ccc(cc1)c2sc3N(Cc4c(F)cccc4F)C(=O)N(C(=O)c3c2CN(C)Cc5ccccc5)c6ccccc6	CHEMBL332837	pKi=7.77
CCCC(=O)Nc1ccc(cc1)c2cc3N(Cc4ccccc4F)C=C(C(=O)NCCCc5ccccc5)C(=O)n3c2CN(C)Cc6ccccc6	CHEMBL339468	pKi=7.77
CN(CCN1C(=O)N(Cc2c(F)cccc2F)C3=C(CN(Cc4ccc(Cl)cc4)CC3)C1=O)CCc5ccccn5	CHEMBL236127	pKi=7.77
COc1ccc(F)cc1C(C)(C)Sc2ccc(F)c(c2)N3C(=O)Nc4csc(C(=O)O)c4C3=O	CHEMBL3668012	pIC50=7.77
Cc1cc2c(cc1Cc3oc(cc3)C(=O)NCC4CCC(CC4)C#N)C(C)(C)CCC2(C)C	CHEMBL117170	pKi=7.77
COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)\C(=N\OCC(=O)NCCCC[C@@H](NC(=O)[C@H](Cc6ccc(O)cc6)NC(=O)[C@H](CO)NC(=O)[C@H](Cc7c[nH]c8ccccc78)NC(=O)[C@H](Cc9cnc[nH]9)NC(=O)[C@@H]%10CCC(=O)N%10)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N%11CCC[C@H]%11C(=O)NCC(=O)N)\C	CHEMBL2088253	pIC50=7.78
C[C@H](CNCc1ccc2[nH]cnc2c1)c3c([nH]c4ccc(cc34)C(C)(C)C(=O)N5CC6CCC5CC6)c7cc(C)cc(C)c7	CHEMBL169873	pIC50=7.78
