CCN(CC)C(=O)[C@]1(C[C@H]1CN)C1=CC=CC=C1	levomilnacipran	pKi=7.03526926	pKi=7.03526926	pKi=7.03526926	pIC50=7.4
CC[C@H]([C@@H](C)CN(C)C)C1=CC(O)=CC=C1	tapentadol	pKi=6.31875896	pKi=6.31875896	pKi=6.31875896
CC(N)CC1=CC=CC=C1	amfetamine
CN[C@@H](C)[C@@H](O)C1=CC=CC=C1	pseudoephedrine
NC(=N)NCC1COC2(CCCCC2)O1	guanadrel
CNC(NC)=NCC1=CC=CC=C1	betanidine
Clc1ccc2Oc3ccccc3N=C(N4CCNCC4)c2c1	amoxapine	pKi=7.88605665	pKi=7.88605665	pKi=7.88605665	pIC50=7.89
[H][C@@]1(C)N(C)CCO[C@@]1([H])C1=CC=CC=C1	phendimetrazine
CCN(CC)C(C)C(=O)C1=CC=CC=C1	diethylpropion
[H]C1(CCCCN1)C(C(=O)OC)C1=CC=CC=C1	methylphenidate	pKi=6.18	pKi=6.18	pKi=6.18	pKi=6.18
CCOc1ccccc1OCC2CNCCO2	viloxazine	pKd=6.81	pKd=6.81	pKd=6.81	pKd=6.81
C[C@@H](CC1=CC=CC=C1)N(C)CC1=CC=CC=C1	benzphetamine
CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1	bupropion	pKi=5.16	pKi=5.16	pKi=5.16	pIC50=6.35
CC[N+](C)(C)CC1=C(Br)C=CC=C1	bretylium
CNCC[C@@H](Oc1ccccc1C)c2ccccc2	atomoxetine	pKd=8.69	pKd=8.69	pKd=8.69	pIC50=8.29
OC1(N2CCN=C2c3ccccc13)c4ccc(Cl)cc4	mazindol	pKd=9.3	pKd=9.3	pKd=9.3	pKi=7.75
CNCC[C@H](Oc1cccc2ccccc12)c3cccs3	duloxetine	pKi=8.22	pKi=8.22	pKi=8.22	pIC50=6.29
CN(C)CC(C1=CC=C(O)C=C1)C1(O)CCCCC1	desvenlafaxine	pKi=6.2747	pKi=6.2747	pKi=6.2747
COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1	venlafaxine	pKd=5.9747	pKd=5.9747	pKd=5.9747	pIC50=6.17
CC(CN(C)C)CN1C2=CC=CC=C2CCC2=C1C=CC=C2	trimipramine	pKi=5.61000013	pKi=5.61000013	pKi=5.61000013
CC(C)CC(N(C)C)C1(CCC1)C1=CC=C(Cl)C=C1	sibutramine	pKi=5.2635	pKi=5.2635	pKi=5.2635
CNCCCC1C2=CC=CC=C2C=CC2=C1C=CC=C2	protriptyline	pKi=8.39	pKi=8.39	pKi=8.39	pIC50=7.77
CC(C)(N)CC1=CC=CC=C1	phentermine
CC1NCCOC1C1=CC=CC=C1	phenmetrazine	pEC50=7.2976	pEC50=7.2976	pEC50=7.2976
CNCCC=C1c2ccccc2CCc3ccccc13	nortriptyline	pKd=8.3595	pKd=8.3595	pKd=8.3595	pKi=8.2
CCC1=NN(CCCN2CCN(CC2)c3cccc(Cl)c3)C(=O)N1CCOc4ccccc4	nefazodone	pKd=6.4437	pKd=6.4437	pKd=6.4437	pKd=6.44
CCN(CC)C(=O)C1(CC1CN)C1=CC=CC=C1	milnacipran	pKi=7.6	pKi=7.6	pKi=7.6	pIC50=7.11
CNCCCC12CCC(c3ccccc13)c4ccccc24	maprotiline	pKd=8.27	pKd=8.27	pKd=8.27	pIC50=7.52
CN(C)CCCN1c2ccccc2CCc3ccccc13	imipramine	pKd=7.4318	pKd=7.4318	pKd=7.4318	pIC50=7.13
NC(=N)NCCN1CCCCCCC1	guanethidine
CN(C)CCC=C1c2ccccc2COc3ccccc13	doxepin	pKd=7.53	pKd=7.53	pKd=7.53	pIC50=7.54
[H][C@@]1(CCCCN1)[C@H](C(=O)OC)C1=CC=CC=C1	dexmethylphenidate
CNCCCN1c2ccccc2CCc3ccccc13	desipramine	pKd=9.0809	pKd=9.0809	pKd=9.0809	pKi=6.24
CN(C)CCC=C1c2ccccc2CCc3ccccc13	amitriptyline	pKd=7.4559	pKd=7.4559	pKd=7.4559	pKi=6.48
CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13	clomipramine	pKd=7.4202	pKd=7.4202	pKd=7.4202	pIC50=7.15
CN1CC(C2=CC=CC=C2)C2=CC=CC(N)=C2C1	nomifensine	pKi=7.67	pKi=7.67	pKi=7.67	pIC50=6.2
CN(CCCN1C2=CC=CC=C2CCC2=C1C=CC=C2)CC(=O)C1=CC=C(Cl)C=C1	lofepramine	pKi=8.2676	pKi=8.2676	pKi=8.2676
CN(C)CC\C=C1/C2=CC=CC=C2CSC2=CC=CC=C12	dosulepin	pKd=7.3372	pKd=7.3372	pKd=7.3372
C[C@H](N)CC1=CC=CC=C1	dexamfetamine	pKi=7.0	pKi=7.0	pKi=7.0	pIC50=6.2
C[C@@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CCCCN	lisdexamfetamine
NC(=O)C1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1	CHEMBL1909072	pIC50=6.35
NCC[C@H](Oc1cccc2ccccc12)c3cccs3	CHEMBL595063	pIC50=6.35
CCCc1ccccc1Oc2cc(C)ncc2CNC	CHEMBL258292	pKi=6.36
CN1C2CCC1[C@H]([C@H](C2)c3ccc(Cl)cc3)C(=O)NCCC4CCN(CC4)C(=O)[C@H]5C6CCC(C[C@@H]5c7ccc(Cl)cc7)N6C	CHEMBL595540	pKi=6.36
CNC(C)C1(CCCCC1)c2ccc(Cl)c(Cl)c2	CHEMBL1684045	pIC50=6.36
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3ccc(cc13)C(=O)NC	CHEMBL378379	pIC50=6.36
COc1ccc(O[C@@H](CC(C)C)[C@@H]2CCNC2)c(C)n1	CHEMBL2386165	pKi=6.36
Cc1cccc(Cl)c1Oc2cccc(F)c2OC3CNC3	CHEMBL1645604	pKi=6.36
Cl.CN1C2CCC1[C@H]([C@H](C2)c3ccc(Cl)cc3)c4onc(Cc5ccc(F)cc5)c4	CHEMBL488423	pKi=6.36
Clc1ccc(cc1)C23CCN(CC2)Cc4cc(ccc34)N5CCOCC5	CHEMBL3673178	pIC50=6.36
O[C@@H](CCN1CCC(CCOC(c2ccc(F)cc2)c3ccc(F)cc3)CC1)c4ccccc4.OC(=O)C(=O)O	CHEMBL205025	pKi=6.36
CCCC(N1CCCC1)C(=O)c2ccccc2C	CHEMBL203403	pKi=6.37
CN(C)CCC(N1CCNCC1)c2ccc(Cl)c(Cl)c2	CHEMBL3334799	pIC50=6.37
CN(C)Cc1cc(ccc1Cc2ccc(Cl)c(Cl)c2)C(=O)N	CHEMBL479999	pIC50=6.37
CN(C)[C@@H]1C[C@@H](Oc2ccccc2C)c3ccccc3C1	CHEMBL488049	pIC50=6.37
CNC[C@H]1CSc2ccccc2[C@@H]1Oc3ccccc3C	CHEMBL523574	pIC50=6.37
CNCc1ccccc1Oc2ccc(Cl)cc2F	CHEMBL407815	pIC50=6.37
COC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@@H]1c3ccc(C)cc3)N2C\C=C(/I)\C(F)(F)F	CHEMBL1947087	pKi=6.37
CS(=O)(=O)c1ccc(cc1)c2ccc3c(CN4CCC3(CC4)c5ccc(Cl)cc5)c2	CHEMBL3673151	pIC50=6.37
Cl.CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)c3ccc(Cl)cc3)c4cn(CCN5CCCCC5)nn4	CHEMBL496911	pKi=6.37
Clc1ccc(cc1Cl)C(CCN2CCC(=CC2)Cc3ccccc3)N4CCCC4	CHEMBL3334773	pIC50=6.37
Clc1cccc(c1)C2CNCC=CC2	CHEMBL2326688	pKi=6.37
Nc1cnc(Oc2ccc3c(CN4CCC3(CC4)c5ccc(Cl)cc5)c2)cn1	CHEMBL3673156	pIC50=6.37
OCC[C@]1(CCCNC1)c2oc3ccccc3c2	CHEMBL2321994	pKi=6.37
C1CC(CCN1)c2ccccc2Oc3ccccc3	CHEMBL575077	pKi=6.38
CC(C)CN(Cc1cccc(c1Cl)C(F)(F)F)C2CCNCC2.OC(=O)\C=C\C(=O)O	CHEMBL208533	pKi=6.38
CC(C)N(C)[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13	CHEMBL356981	pKi=6.38
CN1C[C@@H]2CCCC[C@@]2(C1)c3cccc4ccccc34	CHEMBL1813312	pIC50=6.38
CNC[C@@H]1COc2ccccc2[C@H]1Oc3ccccc3C	CHEMBL497461	pIC50=6.38
CNC[C@H](O)[C@H](c1ccccc1)n2ccc3ccccc23	CHEMBL570856	pIC50=6.38
CNCc1cc(ccc1Oc2cccc(Cl)c2)C(=O)N3CCCN(CC3)C4CC4	CHEMBL272699	pKi=6.38
COc1cc(Cl)ccc1O[C@@H]([C@H]2CNCCO2)c3ccccc3	CHEMBL408868	pKi=6.38
COc1ccc2cc(ccc2c1Cl)C(O)CCN3CCC(=CC3)Cc4ccccc4	CHEMBL2047571	pIC50=6.38
C[C@@H]1N(C)C(C)(C)CO[C@@]1(O)c2cccc(Cl)c2	CHEMBL1171260	pIC50=6.38
Clc1ccc(Oc2ncccc2C3CCNCC3)c(Cl)c1	CHEMBL598562	pKi=6.38
Clc1ccc(cc1Cl)C2CNCc3cc(ccc23)N4C=CC=CC4=O	CHEMBL3703735	pIC50=6.38
CCc1cccc(OC(C2CCNCC2)c3cccnc3)c1	CHEMBL551443	pIC50=6.39
CN(C)Cc1cc(OCCCCF)ccc1Oc2ccc(C)cc2N	CHEMBL589179	pKi=6.39
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3ccc(cc13)C(=O)N	CHEMBL438257	pIC50=6.39
COc1ccc(cc1)C(CC(C)C)C2CCCCN2	CHEMBL218894	pIC50=6.39
C[C@@H]1NC(C)(C)CO[C@@]1(O)c2cccc(c2)c3cccc4ccccc34	CHEMBL1173770	pIC50=6.39
C(C1CNCCN1c2ccccc2)c3ccccc3	CHEMBL1171392	pKi=6.4
CC(C)c1nnn(C[C@@]23CNCC[C@@]2(C3)c4ccc(Cl)c(Cl)c4)n1	CHEMBL1818545	pKi=6.4
CC(C)c1nnnn1C[C@@]23CNCC[C@@]2(C3)c4ccc(Cl)c(Cl)c4	CHEMBL1818544	pKi=6.4
CCCCC(NC(C)(C)C)C(=O)c1cccc(Cl)c1	CHEMBL576622	pIC50=6.4
CN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1	prochlorperazine	pIC50=6.4
CNC[C@@H](O)[C@@H](N(C)c1cccc(OC)c1)c2ccccc2	CHEMBL467512	pIC50=6.4
CNC[C@H]1Cc2ccccc2[C@@H]1Oc3cccc4ccccc34	CHEMBL526306	pIC50=6.4
Cl.CN[C@@H]1CC[C@@H](CC1)c2c[nH]c3ccc(NC(=N)c4cccs4)cc23	CHEMBL2036268	pIC50=6.4
Clc1ccc(cc1Cl)[C@]23CNCC[C@H]2C3	CHEMBL1173341	pKi=6.4
OC[C@@]12CNCC[C@@]1(C2)c3ccc(Cl)c(Cl)c3	CHEMBL1173530	pKi=6.4
C(C(c1ccccc1)c2ccncc2)c3ccccc3	CHEMBL342055	pKi=6.41
CC(=O)c1cc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2C(=N)N)cc(c1)C(=O)C	CHEMBL220766	pKi=6.41
CCC(NC(C)(C)C)C(=O)c1ccc(Cl)c(Cl)c1	CHEMBL566208	pIC50=6.41
CCCC(N1CCCC1)C(=O)c2ccc(Br)cc2	CHEMBL202420	pKi=6.41
CCOc1cc(Cl)ccc1OC(C2CNCCO2)c3ccccc3	CHEMBL405349	pKi=6.41
CCOc1cc(Cl)ccc1Oc2ccncc2CNC	CHEMBL260037	pIC50=6.41
CN(C)[C@@H]1CCC(=CC1)c2c[nH]c3ccc(cc23)C#N	CHEMBL234706	pIC50=6.41
CNC[C@H](O)CCN1c2ccccc2N(c3ccc(F)c(F)c3)S1(=O)=O	CHEMBL1083430	pIC50=6.41
Cc1nnc(s1)c2ccc3c(CN4CCC3(CC4)c5ccc(Cl)cc5)c2	CHEMBL3673150	pIC50=6.41
CC(=O)CN1CC[C@@H](Cc2ccc(F)cc2)C[C@@H]1CCCNC(=O)Nc3cc(cc(c3)C(=O)C)C(=O)C	CHEMBL376737	pKi=6.42
CC(CCc1ccc(O)cc1)NCCc2ccc(O)c(O)c2	dobutamine	pIC50=6.42
CN(C)C[C@H]1C2CCC(C2)[C@@H]1c3ccc4cc(F)ccc4c3	CHEMBL324269	pKi=6.42
CN1C2CCC1[C@H]([C@H](C2)c3ccc(Cl)cc3)C(=O)OCCCCCn4ccnn4	CHEMBL606809	pKi=6.42
C[C@H](CN1CCC(CCOC(c2ccc(F)cc2)c3ccc(F)cc3)CC1)Cc4ccccc4.OC(=O)C(=O)O	CHEMBL202644	pKi=6.42
Cc1ccc(nn1)c2ccc3c(CN4CCC3(CC4)c5ccc(Cl)cc5)c2	CHEMBL3673141	pIC50=6.42
Cl.CCN[C@@H]1CC[C@@H](CC1)c2c[nH]c3ccc(NC(=N)c4cccs4)cc23	CHEMBL2036270	pIC50=6.42
Clc1cccc(c1)C2C(CNC2=O)c3ccc(Cl)c(Cl)c3	CHEMBL2430692	pIC50=6.42
Clc1cccc(c1)N2CCN(CCCN3CCC(Cc4ccccc4)CC3)CC2	CHEMBL3774957	pIC50=6.42
OC(CCN1CCC(=CC1)Cc2ccccc2)c3csc4ccccc34	CHEMBL2047570	pIC50=6.42
Oc1ccc(cc1)C2(O)N3CCCN=C3c4ccccc24	CHEMBL130668	pKi=6.42
Oc1ccc2c(CN3CCC2(C3)c4ccc(Cl)cc4)c1	CHEMBL3673128	pIC50=6.42
CCCC(N1CCCC1)C(=O)c2ccc(cc2)c3cccs3	CHEMBL369997	pKi=6.43
CCc1ccc(Sc2ccccc2CN(C)C)c(N)c1	CHEMBL189367	pKi=6.43
CN(CCOC(c1ccccc1)c2ccccc2)CCN(C)CCc3ccc(F)cc3	CHEMBL121027	pKi=6.43
CNC[C@@H]1C[C@H](c2ccc(Cl)c(Cl)c2)c3ccccc3C1	CHEMBL1642909	pIC50=6.43
CNC[C@H]1COc2ccccc2[C@H]1Oc3ccccc3C	CHEMBL498142	pIC50=6.43
CNC[C@H]1OCc2ccccc2[C@H]1Oc3ccccc3Cl	CHEMBL525717	pIC50=6.43
COc1ccc2cc(ccc2c1Cl)C(CCN(C)C)N3CCCC3	CHEMBL3334801	pIC50=6.43
CS(=O)(=O)N(Cc1ccc2ccccc2c1)[C@H]3CCNC3	CHEMBL567943	pIC50=6.43
Cc1cc2ncnn2cc1c3ccc4c(CN5CCC4(CC5)c6ccc(Cl)c(Cl)c6)c3	CHEMBL3673165	pIC50=6.43
Clc1ccc(cc1Cl)C23CCN(Cc4cc(ccc24)c5ccc6NC(=O)Oc6c5)C3	CHEMBL3673137	pIC50=6.43
Fc1cccc(Oc2cccc(Cl)c2Cl)c1OC3CNC3	CHEMBL1645605	pKi=6.43
NC[C@H]1C[C@H](c2ccc(Cl)c(Cl)c2)c3ccccc3C1	CHEMBL1642905	pIC50=6.43
CC(C)CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1	CHEMBL565594	pIC50=6.44
CC(C1CCCCN1)c2ccc(Cl)cc2	CHEMBL219224	pKi=6.44
CCC(C1CCCCN1)c2ccc(Cl)cc2	CHEMBL376852	pKi=6.44
CCCCN(CC)C(=O)C1(CC1CN)c2ccccc2	CHEMBL256039	pIC50=6.44
CCc1ccccc1Oc2cc(C)ncc2CNC	CHEMBL261465	pKi=6.44
CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@H]3[C@H]1Cc4cn(C)c5cccc3c45	CHEMBL19215	pIC50=6.44
CNc1ccc(nn1)c2ccc3C(CNCc3c2)c4ccc(F)cc4	CHEMBL3703725	pIC50=6.44
Cl.Cl.CN1CCN(CC(c2cccc(F)c2)C3(O)CCCCC3)CC1	CHEMBL513204	pKi=6.44
NCC1CCC(CCc2ccccc2)O1	CHEMBL456639	pIC50=6.44
O[C@H](CN1CCC(CCOC(c2ccc(F)cc2)c3ccc(F)cc3)CC1)Cc4ccccc4.OC(=O)C(=O)O	CHEMBL380406	pKi=6.44
CNCCc1cccc2[nH]cc(c12)S(=O)(=O)c3ccccc3	CHEMBL593527	pIC50=6.45
Cc1c(Cl)c(Cl)ccc1C(=O)N(CC(C)(C)C)[C@H]2CCNC2	CHEMBL566240	pIC50=6.45
Cl.COc1ccc(Cc2cc(on2)[C@@H]3C4CCC(C[C@@H]3c5ccc(C)cc5)N4C)cc1	CHEMBL487875	pKi=6.45
Clc1ccc(cc1)C23CCN(CC2)Cc4cc(ccc34)c5cccc(c5)[N+]#[C-]	CHEMBL3673152	pIC50=6.45
Fc1cccc(C2CCNCC2)c1Oc3ccccc3	CHEMBL583751	pEC50=6.45
OC(=O)C(=O)O.Fc1ccc(cc1)C(OCCC2CCN(C[C@H]3C[C@@H]3c4ccccc4)CC2)c5ccc(F)cc5	CHEMBL206128	pKi=6.45
C1CO[C@H](CN1)[C@H](Oc2cccc3CCOc23)c4ccccc4	CHEMBL258930	pKi=6.46
CN(C)CC1(CCCCC1)c2ccccc2	CHEMBL1683895	pIC50=6.46
CN(CCc1ccc(F)cc1)CC2CCCN(CCOC(c3ccccc3)c4ccccc4)C2	CHEMBL69380	pIC50=6.46
CN1CC(c2ccc3sccc3c2)c4ccccc4C1	CHEMBL3323095	pIC50=6.46
Cl.CN1C2CCC1[C@H]([C@H](C2)c3ccc(C)cc3)c4onc(C)c4c5ccc(F)cc5	CHEMBL471898	pKi=6.46
Cl.COc1ccc(Cc2cc(on2)[C@@H]3C4CCC(C[C@@H]3c5ccc(Cl)cc5)N4C)cc1	CHEMBL487874	pKi=6.46
Clc1ccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3)cc1	CHEMBL1644473	pIC50=6.46
FC(F)(F)COC[C@H]1[C@@H]2CNC[C@]12c3ccc(Cl)c(Cl)c3	CHEMBL598202	pKi=6.46
Fc1ccc(cc1Cl)C23CCN(CC2)Cc4cc(ccc34)c5ccc(nn5)C(F)(F)F	CHEMBL3673174	pIC50=6.46
NCCC1CCC(Cc2ccccc2)O1	CHEMBL448912	pIC50=6.46
C(C(N1CCNCC1)c2ccccc2)c3cccc4CCOc34	CHEMBL1083707	pKi=6.47
CC(C)CC(C1CCCCN1)c2cccc(Cl)c2	CHEMBL219335	pKi=6.47
CCOc1ccccc1CC(N2CCNCC2)c3nccs3	CHEMBL210116	pIC50=6.47
CN(C)C[C@H](c1cccc(Cl)c1)C2(O)CCCCC2	CHEMBL448953	pKi=6.47
C[C@@H](CCN1CCC(CCOC(c2ccc(F)cc2)c3ccc(F)cc3)CC1)c4ccccc4.OC(=O)C(=O)O	CHEMBL383071	pKi=6.47
C[C@@](CCc1ccc(cc1)c2ccccc2)(C(=O)NO)S(=O)(=O)C	CHEMBL1956115	pIC50=6.47
O=C(NCCCN1CCC(Cc2ccccc2)CC1)c3ccc4ccccc4c3	CHEMBL3612833	pIC50=6.47
CCOc1ccc(cc1)C2(C[C@H](C)CCNCCCC(=O)N)CCC2	CHEMBL3704758	pKi=6.48
CN1C2CCC1C(C(C2)c3ccc(Cl)cc3)C(=O)NCCCCCCNC(=O)C4C5CCC(CC4c6ccc(Cl)cc6)N5C	CHEMBL432727	pKi=6.48
CNCCC(N1CCOCC1)c2ccc(F)cc2F	CHEMBL3334783	pIC50=6.48
CNC[C@H](O)CCN1c2ccccc2N(c3ccc(F)cc3)S1(=O)=O	CHEMBL1084828	pIC50=6.48
COc1cccc(c1)C(CC(C)C)C2CCCCN2	CHEMBL217975	pIC50=6.48
Cc1cccc(F)c1Oc2cccc(F)c2OC3CCNC3	CHEMBL1645614	pKi=6.48
Cc1ccccc1Oc2ncccc2C3CCNCC3	CHEMBL596714	pKi=6.48
Cl.CNC[C@H]1C[C@@]1(Oc2cccc3ccccc23)c4cccs4	CHEMBL558329	pKi=6.48
Cl.COc1ccc(cc1)[C@H]2C[C@H]3CC[C@H]([C@H]2C(=O)OCCc4ccc(cc4)[N+](=O)[O-])N3C	CHEMBL457866	pKi=6.48
O[C@H](CCN1CCC(CCOC(c2ccc(F)cc2)c3ccc(F)cc3)CC1)c4ccccc4.OC(=O)C(=O)O	CHEMBL383682	pKi=6.48
CN(C)Cc1ccccc1Sc2ccc(C)cc2N	CHEMBL22183	pKi=6.49
CNCC1(CCCCC1)c2ccc(Cl)cc2	CHEMBL1683885	pIC50=6.49
Cc1cccc(F)c1Oc2cccc(F)c2OC3CCNCC3	CHEMBL1645609	pKi=6.49
Cc1cn([C@H]([C@@H](O)CN)c2ccccc2)c3ccccc13	CHEMBL577504	pIC50=6.49
OC(CCN1CCC(=CC1)Cc2ccccc2)c3cc4ccccc4s3	CHEMBL2047561	pIC50=6.49
C(C1CCOCC1)C2CNCCN2c3ccc4[nH]ncc4c3	CHEMBL1170396	pKi=6.5
C(C1CCOCC1)[C@@H]2CNCCN2c3ccc4[nH]ncc4c3	CHEMBL1171007	pKi=6.5
CC(=O)c1cc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2CCF)cc(c1)C(=O)C	CHEMBL220713	pKi=6.5
CCOCC1CNCCN1c2ccc3[nH]ncc3c2	CHEMBL1170213	pKi=6.5
CNC[C@H]1C2CCC(C2)[C@@H]1c3ccc4cc(F)ccc4c3	CHEMBL432022	pKi=6.5
COCC1CNCCN1c2ccc3[nH]ncc3c2	CHEMBL1171425	pKi=6.5
COC[C@@H]1[C@@H]2CNCC[C@]12c3ccc(Cl)c(Cl)c3	CHEMBL1173342	pKi=6.5
COC[C@@]12CNCC[C@@]1(C2)c3ccc(F)c(Cl)c3	CHEMBL1173413	pKi=6.5
COC[C@H]1[C@@H]2CNC[C@]12c3ccc4ccccc4c3	CHEMBL611379	pKi=6.5
COc1cc(Cl)ccc1OC(C2CNCCO2)c3ccccc3	CHEMBL261076	pKi=6.5
COc1cccc(c1)C(CN(C)C)C2(O)CCCCC2	CHEMBL101055	pKi=6.5
CSC[C@@H]1[C@H]2CNC[C@@]12c3ccc(Cl)c(Cl)c3	CHEMBL599242	pKi=6.5
Cc1ccnn1CC23CNCC[C@@]2(C3)c4ccc(Cl)c(Cl)c4	CHEMBL1818452	pKi=6.5
CC(C)(C)N[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13	CHEMBL344513	pKi=6.51
CCCC(N1CCCC1)C(=O)c2ccc(I)cc2	CHEMBL202479	pKi=6.51
CN(C)C[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc3C1	CHEMBL1642911	pIC50=6.51
CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)c3ccc(C)cc3)c4onc(c4)c5ccc(Cl)cc5	CHEMBL1812742	pIC50=6.51
CNCC[C@@H](N1C(=O)N(C2CCCCC2)c3ccccc13)c4ccccc4	CHEMBL471518	pIC50=6.51
CN[C@@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3ccc(cc13)S(=O)(=O)N	CHEMBL204323	pIC50=6.51
CN[C@@H]1CC[C@H](c2ccc(Cl)c(Cl)c2)c3ccc(cc13)S(=O)(=O)N	CHEMBL203331	pIC50=6.51
COC(=O)[C@@H]1C2CCC(C[C@@H]1c3ccc(Cl)c(Cl)c3)N2CCNC(=O)CCCN4CCCc5cc6C=C7C=CC(=[N+](C)C)C=C7C(C)(C)c6cc45.[O-]Cl(=O)(=O)=O	CHEMBL198842	pKi=6.51
CC(C)CN(Cc1ccc(cc1)C(F)(F)F)C2CCNCC2.OC(=O)\C=C\C(=O)O	CHEMBL206580	pKi=6.52
CNC[C@@H](C)CN1c2ccccc2N(c3ccccc3F)S1(=O)=O	CHEMBL1085233	pIC50=6.52
CNC[C@@H](O)[C@@H](N(C)c1ccccc1OC)c2ccccc2	CHEMBL445743	pIC50=6.52
CNC[C@@H](O)[C@H](c1ccccc1Cl)n2ccc3ccccc23	CHEMBL583113	pIC50=6.52
CNC[C@]1(O)Cc2ccccc2[C@@H]1Oc3ccccc3CO	CHEMBL507379	pIC50=6.52
CNCc1ccccc1Oc2ccc(F)cc2Cl	CHEMBL256168	pIC50=6.52
COc1ccc(CC(C)(C)NCC(O)COc2ccccc2C#N)cc1	CHEMBL504479	pIC50=6.52
CS(=O)(=O)Cc1ccc(cc1)c2ccc3c(CN4CCC3(C4)c5ccc(Cl)cc5)c2	CHEMBL3673135	pIC50=6.52
C[C@H](CCNCCCC(=O)N)CC1(CCC1)c2ccc(Cl)c(Cl)c2	CHEMBL3704755	pKi=6.52
Clc1cccc(CN([C@H]2CCNC2)C(=O)C3CCOCC3)c1Cl	CHEMBL513884	pIC50=6.52
N#Cc1cccc(CC(N2CCNCC2)c3ccccc3)c1	CHEMBL386223	pIC50=6.52
CC(C)CN([C@H]1CCNC1)C(=O)c2ccccc2c3ccccc3	CHEMBL564071	pKi=6.53
CNCC1(CCCCC1)c2ccc3ccccc3c2	CHEMBL1683901	pIC50=6.53
CNC[C@H](O)CCN1c2ccccc2N(c3ccccc3C)S1(=O)=O	CHEMBL1082292	pIC50=6.53
COc1ccccc1Oc2cc(C)ncc2CN(C)C	CHEMBL265951	pKi=6.53
Cc1ccc(cc1)[C@H]2C[C@H]3CCC4C2[C@](C)(O)CN34	CHEMBL101250	pIC50=6.53
CC1(CCNC1)c2ccc3[nH]ccc3c2	CHEMBL463388	pKi=6.54
CN(C)Cc1ccccc1Oc2ccc(Cl)c(Cl)c2	CHEMBL443922	pIC50=6.54
CN(C)Cc1ccccc1Oc2ccc(I)cc2N	CHEMBL186962	pKi=6.54
CNCc1cc(ccc1Oc2ccc(SC)cc2)C#CCCN3CCOCC3	CHEMBL236046	pKi=6.54
COc1ccccc1Oc2ncccc2C3CCNCC3	CHEMBL597531	pKi=6.54
CN(C)Cc1cc(OCCCO)ccc1Sc2ccc(Br)cc2N	CHEMBL397889	pKi=6.55
CNCc1cnccc1Oc2ccc(Cl)cc2OC	CHEMBL258449	pIC50=6.55
COc1ccc(cc1)[C@@H]2C3CCC(C[C@@H]2c4ccc(C)cc4)N3C	CHEMBL224062	pIC50=6.55
CS(=O)(=O)c1cccc(c1)c2cc3CNCC(c4ccc(Cl)c(Cl)c4)c3cc2F	CHEMBL3703737	pIC50=6.55
Cl.CCNC1CCC(=CC1)c2c[nH]c3ccc(NC(=N)c4cccs4)cc23	CHEMBL2036266	pIC50=6.55
Cl.Cl.OC1(CCCCC1)C(CN2CCNCC2)c3cccc(OC(F)(F)F)c3	CHEMBL469476	pIC50=6.55
OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=C(S1)C=C(O)C=C2	raloxifene	pIC50=6.55
CCOc1c(Cl)cccc1OC(C2CNCCO2)c3ccccc3	CHEMBL263373	pKi=6.56
COc1cccc(F)c1Oc2ncccc2C3CCNCC3	CHEMBL598561	pKi=6.56
FC(F)(F)c1ccc(nn1)c2ccc3c(CN4CCC3(C4)c5ccc(Cl)cc5)c2	CHEMBL3673131	pIC50=6.56
FC(F)Oc1ccc(nn1)c2ccc3c(CN4CCC3(C4)c5ccc(Cl)cc5)c2	CHEMBL3673132	pIC50=6.56
NCC1(CCCCC1)c2ccc(Cl)c(Cl)c2	CHEMBL1683871	pIC50=6.56
O=C(NCCN1CCC(Cc2ccccc2)CC1)c3ccc4ccccc4n3	CHEMBL3613153	pIC50=6.56
C(N[C@H]1CCNC1)c2ccccc2c3ccccc3	CHEMBL478836	pKi=6.57
CCN(CC)C(=O)[C@]1(C[C@H]1CN)c2sc(Cl)c(Cl)c2Cl	CHEMBL258013	pIC50=6.57
