CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C\2/C(=O)Nc3ccc(F)cc23)c1C	sunitinib	pKd=8.7	pKd=8.7	pKd=8.7	pKd=8.6
CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=NC(NC2=CC(=C(C)C=C2)S(N)(=O)=O)=NC=C1	pazopanib	pKd=8.1	pKd=8.1	pKd=8.1	pKd=8.1
COc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3C)c2cc1OC	CHEMBL481407	pIC50=7.54
CC1(C)CCC(=CC1)c2cc(ccc2NC(=O)c3nc(c[nH]3)C#N)C4CC(=O)NC(=O)C4	CHEMBL1171385	pIC50=9.1
CC1CCN(CC1)c2cc(ccc2NC(=O)c3cc(c[nH]3)C#N)N4CCN(C)CC4	CHEMBL254702	pIC50=9.1
CC1CCN(CC1)c2cc(ccc2NC(=O)c3oc(cc3)C#N)C4=CCNCC4	CHEMBL255443	pIC50=9.1
CC1CCN(CC1)c2cc(ccc2NC(=O)c3oc(cc3)C#N)C4CCN(CC4)C(=O)C	CHEMBL257620	pIC50=9.1
CCN1CCCC(O)(C1)c2cccc(Nc3ncc4C(=O)C(=CN(c5ccc6CCCc6c5)c4n3)C(=O)NOC)c2	CHEMBL448339	pIC50=9.1
CN1CCN(CC1)c2ccc(NC(=O)c3oc(cc3)C#N)c(c2)N4CCCCC4	CHEMBL398509	pIC50=9.1
CONC(=O)C1=CN(c2ccc3CCCc3c2)c4nc(Nc5ccc(CCN6CCN(C)C(=O)C6)cc5)ncc4C1=O	CHEMBL508935	pIC50=9.1
CONC(=O)C1=CN(c2ccc3CCCc3c2)c4nc(Nc5ccc(CCN6CCNC(=O)C6)cc5)ncc4C1=O	CHEMBL448117	pIC50=9.1
CC(=O)NCCNC(C)(C)c1ccc(NC(=O)c2nc(c[nH]2)C#N)c(c1)C3=CCC(C)(C)CC3	CHEMBL3085977	pIC50=9.16
CC(C)(N1CCN(CCO)CC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCC(C)(C)CC4	CHEMBL3085833	pIC50=9.16
CC1CCN(CC1)c2cc(ccc2NC(=O)c3cc(c[nH]3)C#N)N4CCN(CC4)C(=O)C	CHEMBL254909	pIC50=9.16
CN(C)CC(=O)N1CCC(CC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4	CHEMBL1908842	pIC50=9.16
CN1CCN(CCc2ccc(Nc3ncc4C(=O)C(=CN(c5ccc6CCCc6c5)c4n3)C(=O)NCCO)cc2)CC1	CHEMBL451918	pIC50=9.16
CONC(=O)C1=CN(c2ccc3CCCc3c2)c4nc(Nc5ccc(CCN6CCN(C)CC6)cc5)ncc4C1=O	CHEMBL505830	pIC50=9.16
CONC(=O)C1=CN(c2ccc3CCCc3c2)c4nc(Nc5ccc(cc5)C6CCN(C)CC6(F)F)ncc4C1=O	CHEMBL445519	pIC50=9.16
O=C(Nc1ccc(cc1N2CCCCC2)N3CCS(=O)(=O)CC3)c4oc(cc4)C#N	CHEMBL252822	pIC50=9.16
OCCNC(=O)N1CCC(CC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4	CHEMBL2158302	pIC50=9.16
CSc1cccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)c1	CHEMBL386051	pKd=9.17
CC(C)(N)CC(=O)N1CCC(CC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4	CHEMBL2158300	pIC50=9.21
CC(C)(C)c1onc(NC(=O)Nc2ccc(NC(=O)c3ccc(OC4CCNCC4)cn3)cc2)c1	CHEMBL2203433	pKd=9.22
CC1CCN(CC1)c2cc(ccc2NC(=O)c3oc(cc3)C#N)N4CCN(CCO)CC4	CHEMBL398237	pIC50=9.22
COCCNC(C)(C)c1ccc(NC(=O)c2nc(c[nH]2)C#N)c(c1)C3=CCC(C)(C)CC3	CHEMBL3086320	pIC50=9.22
COCCNCC(C)(C)c1ccc(NC(=O)c2nc(c[nH]2)C#N)c(c1)C3=CCC(C)(C)CC3	CHEMBL3085973	pIC50=9.22
CC(C)ONC(=O)C1=CN(c2ccc3CCCc3c2)c4nc(Nc5ccc(CCN6CCN(C)CC6)cc5)ncc4C1=O	CHEMBL509044	pIC50=9.3
CCONC(=O)C1=CN(c2ccc3CCCc3c2)c4nc(Nc5ccc(CCN6CCN(C)CC6)cc5)ncc4C1=O	CHEMBL451575	pIC50=9.3
CN1C(=O)CC(CC1=O)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4	CHEMBL1170784	pIC50=9.3
CN1CC(CN(C)C1=O)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4	CHEMBL1170786	pIC50=9.3
CONC(=O)C1=CN(c2ccc3CCCc3c2)c4nc(Nc5ccc(cc5)C6CCNCC6)ncc4C1=O	CHEMBL489298	pIC50=9.3
CC1CCC(=CC1)c2cc(ccc2NC(=O)c3ncc(C#N)[nH]3)C4CCNCC4	CHEMBL402337	pIC50=9.4
CCc1cccc(c1)N2C=C(C(=O)NOC)C(=O)c3cnc(Nc4ccc(cc4)C5CCN(C)CC5)nc23	CHEMBL489881	pIC50=9.4
CN1CC(CN(C)C1=NC#N)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCC(C)(C)CC4	CHEMBL3349454	pIC50=9.4
CONC(=O)C1=CN(C2CCC(C)(C)CC2)c3nc(Nc4ccc(cc4)C5CCN(C)CC5)ncc3C1=O	CHEMBL521580	pIC50=9.4
CONC(=O)C1=CN(c2ccc3CCCc3c2)c4nc(Nc5ccc(cc5)C6CCN(C)CC6)ncc4C1=O	CHEMBL492809	pIC50=9.4
CC1CCN(CC1)c2cc(ccc2NC(=O)c3oc(cc3)C#N)C4CCNCC4	CHEMBL438533	pIC50=9.52
CCc1ccc(cc1)N2C=C(C(=O)NOC)C(=O)c3cnc(Nc4ccc(cc4)C5CCN(C)CC5)nc23	CHEMBL489684	pIC50=9.52
CN1CC(CN(C)C1=O)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCC(C)(C)CC4	CHEMBL1171604	pIC50=9.52
