CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O	alprostadil	pEC50=6.8	pEC50=6.8	pEC50=6.8
[H][C@]12C[C@@H](O)[C@H](\C=C\[C@@H](O)CCCCC)[C@@]1([H])C\C(O2)=C\CCCC(O)=O	epoprostenol	pKi=4.80000019	pKi=4.80000019	pKi=4.80000019
CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O	dinoprostone	pKi=8.04	pKi=8.04	pKi=8.04	pKi=7.75
CCCC[C@H](C)C[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCC\C=C\C(O)=O	limaprost
CC(=O)Nc1cc(cc(c1)n2c(C)ccc2c3cc(Br)ccc3OCc4ccc(F)cc4)C(=O)O	CHEMBL430360	pIC50=9.1
Cc1ccc(c2cc(Br)ccc2OCc3ccc(F)cc3)n1c4cc(N)c(C)c(c4)C(=O)O	CHEMBL228593	pIC50=9.1
Cc1ccc(c2cc(Br)ccc2OCc3ccc(F)cc3F)n1c4ccc(OC(F)F)c(c4)C(=O)O	CHEMBL387878	pIC50=9.2
Cc1cc(nn1Cc2cc(Br)ccc2OCc3ccc(F)cc3F)C(=O)O	CHEMBL214967	pIC50=9.28
Cc1ccc(c2cc(Br)ccc2OCc3ccc(F)cc3F)n1c4cc(N)cc(c4)C(=O)O	CHEMBL390189	pIC50=9.3
CC(=O)Nc1cc(cc(c1)n2c(C)ccc2c3cc(Br)ccc3OCc4ccc(F)cc4F)C(=O)O	CHEMBL427844	pIC50=9.4
CC(=O)Nc1ccc(cc1C(=O)O)n2c(C)ccc2c3cc(Br)ccc3OCc4ccc(F)cc4F	CHEMBL387969	pIC50=9.4
COc1ccc(cc1C(=O)O)n2c(C)ccc2c3cc(Br)ccc3OCc4ccc(F)cc4F	CHEMBL228586	pIC50=9.4
Cc1cc(nn1Cc2cc(Br)ccc2OCc3ccc(Cl)cc3Cl)C(=O)O	CHEMBL214971	pIC50=9.88
[Na+].Cc1cc(nn1Cc2cc(Br)ccc2OCc3ccc(Cl)cc3Cl)C(=O)[O-]	CHEMBL2110364	pIC50=9.89
