CCCN(CCC)C(=O)C(CCC(O)=O)NC(=O)C1=CC=CC=C1	proglumide
Cc1cccc(NC(=O)NC2N=C(c3ccccc3)c4ccccc4N(Cc5n[nH]c(C)n5)C2=O)c1	CHEMBL136975	pIC50=8.01
CNc1cccc(NC(=O)CN2C(=O)N(CC(=O)C(C)(C)C)c3ccccc3N(C4CCCCC4)C2=O)c1	CHEMBL260394	pKi=8.02
Cc1nc(cs1)c2cccc(NC(=O)CN3C(=O)N(CC(=O)C(C)(C)C)c4ccccc4N(C5CCCCC5)C3=O)c2	CHEMBL259557	pKi=8.02
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2ccc3c(cnn3CC(=O)O)c2)N=C(C4CCCCC4)c5ccccc15	CHEMBL389933	pKi=8.03
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(c2)n3ccnc3)N=C(C4CCCCC4)c5ccccc15	CHEMBL380363	pKi=8.04
CCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]3CCCCNC(=O)CC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@H](Cc4ccc(OS(=O)(=O)O)cc4)C(=O)N[C@@H](CCCC)C(=O)N3)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc5ccccc5)C(=O)N	CHEMBL267329	pKi=8.04
CN1C(=O)[C@H](NC(=O)Nc2cccc(COC(=O)NCCCN3CCN(CC3)C(=O)CNCCCOc4cccc(CN5CCCCC5)c4)c2)N=C(c6ccccc6)c7ccccc17	CHEMBL285719	pIC50=8.05
Cc1ccc(cc1)[C@H]2C[C@@H](NC(=O)Nc3cccc(c3)c4nn[nH]n4)C(=O)N(CC(=O)NC(C)(C)C)c5cc(C)ccc25	CHEMBL293107	pIC50=8.05
Cc1cccc(NC(=O)CN2N=C(C3CCCCC3)c4ccccc4N(CC(=O)C(C)(C)C)C2=O)c1	CHEMBL378098	pKi=8.05
CCCC[C@H](NC(=O)CCc1ccc(OS(=O)(=O)O)cc1)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCCC)C(=O)N[C@@H](CC(=O)O)C(=O)N\C(=C/c4ccccc4)\C(=O)N	CHEMBL99499	pIC50=8.06
CCCC[C@H](N(C)C(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCNC(=O)CCC#C)NC(=O)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc3ccccc3)C(=O)Nc4cn(CC(=O)NCCC(=O)NCCC(=O)NCCCC(CCCNC(=O)CCNC(=O)CCNC(=O)Cn5cc(NC(=O)[C@H](Cc6ccccc6)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc7c[nH]c8ccccc78)NC(=O)[C@H](CCCCNC(=O)CCC#C)NC(=O)C)nn5)(NC(=O)CNC(=O)CCNC(=O)CCNC(=O)Cn9cc(NC(=O)[C@H](Cc%10ccccc%10)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc%11c[nH]c%12ccccc%11%12)NC(=O)[C@H](CCCCNC(=O)CCC#C)NC(=O)C)nn9)C(=O)NCCC(=O)N)nn4	CHEMBL2386886	pIC50=8.07
CN1C(=O)[C@@H](NC(=O)Nc2ccc(C)cc2)N=C(c3ccccc3)c4ccccc14	CHEMBL163049	pIC50=8.07
O=C(NC1C(=O)N(CCc2ccccc2)c3ccccc3N(C1=O)c4ccccc4)Nc5ccccc5	CHEMBL331929	pKi=8.08
C[C@](Cc1c[nH]c2ccccc12)(NC(=O)OC3C4CC5CC(CC3C5)C4)C(=O)N[C@@H](CC(=O)O)Cc6ccc(N=[N+]=[N-])c([125I])c6	CHEMBL2079605	pKd=8.09
CCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)[C@@H](CCCC)NC(=O)CCc3ccc(OS(=O)(=O)O)cc3)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N	CHEMBL98446	pIC50=8.1
CN1CCN(CC1)C(=O)CN2C(=O)C(NC(=O)Nc3ccc(Cl)cc3)N=C(c4ccccc4)c5ccccc25	CHEMBL342640	pIC50=8.1
CNc1cccc(NC(=O)CN2N=C(C3CCCCC3)c4ccccc4N(CC(=O)C(C)(C)C)C2=O)c1	CHEMBL204154	pKi=8.1
COC(=O)c1cccc(NC(=O)N[C@@H]2N=C(c3ccccc3)c4ccccc4N(C)C2=O)c1	CHEMBL9449	pIC50=8.1
Cc1ccc2[C@H](C[C@@H](NC(=O)Nc3cccc(c3)C(=O)NS(=O)(=O)c4ccccc4C)C(=O)N(CC(=O)NC(C)(C)C)c2c1)c5ccccc5	CHEMBL58154	pIC50=8.1
Cc1cccc(NC(=O)NC2N=C(c3ccccc3)c4ccccc4N(Cc5c[nH]cn5)C2=O)c1	CHEMBL137043	pIC50=8.1
CC(C)CCN1C(=O)C(NC(=O)Nc2ccccc2)C(=O)N(c3ccccc3F)c4ccccc14	CHEMBL332646	pKi=8.11
CCCC[C@H](NC(=O)\C=C\c1ccc(OS(=O)(=O)O)cc1)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCCC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N	CHEMBL98332	pIC50=8.11
Cc1ccc(cc1)[C@H]2C[C@@H](NC(=O)Nc3cccc(Cl)c3)C(=O)N(CC(=O)NC(C)(C)C)c4cc(C)ccc24	CHEMBL339678	pIC50=8.11
Cc1cccc(NC(=O)N[C@@H]2C[C@@H](C[C@@H](N(CC(=O)NC(C)(C)C)C2=O)c3ccccc3)c4ccccc4C)c1	CHEMBL96970	pIC50=8.11
CC(C)CCN1C(=O)C(NC(=O)Oc2cccc(c2)N(C)C)C(=O)N(CC34CC5CC(CC(C5)C3)C4)c6ccccc16	CHEMBL100509	pKi=8.12
CCC(C)(C)NC(=O)CN1C(=O)[C@@H](C[C@H](c2ccccc2)c3ccccc13)NC(=O)Nc4cccc(Cl)c4	CHEMBL123951	pIC50=8.12
CCCN1C(=O)[C@H](NC(=O)Nc2cccc(C)c2)N=C(N3CCN(C)CC3)c4ccccc14	CHEMBL318360	pIC50=8.12
Cc1cccc(NC(=O)CN2C(=O)N(CC(=O)C(C)(C)C)c3ccccc3N(C4CCCCCC4)C2=O)c1	CHEMBL258486	pKi=8.12
Cc1ccccc1C(=O)CN2C(=O)N(CC(=O)Nc3cccc(c3)C(=O)O)N=C(C4CCCCC4)c5ccccc25	CHEMBL390276	pKi=8.12
CN1C(=O)[C@H](NC(=O)Nc2cccc(CNc3nn[nH]n3)c2)N=C(c4ccccc4)c5ccccc15	CHEMBL168903	pIC50=8.13
CN1C(=O)[C@H](NC(=O)Nc2cccc(Cl)c2)N=C(c3ccccc3)c4ccccc14	CHEMBL2111924	pIC50=8.13
Cc1cccc(NC(=O)NC2N=C(c3ccccc3)c4ccccc4N(CCOC(=O)CCC(=O)O)C2=O)c1	CHEMBL132875	pIC50=8.14
CN1C(=O)C(NC(=O)Nc2cccc(C)c2)N=C(c3ccccc3)c4ccccc14	CHEMBL289498	pIC50=8.15
CN1C(=O)[C@@H](C[C@@H](N2CCCCCC2)c3ccccc13)NC(=O)Nc4cccc(C)c4	CHEMBL30919	pIC50=8.16
CN1C(=O)[C@H](NC(=O)Nc2cccc(COC(=O)NCCN3CCN(CC3)C(=O)CNCCCOc4cccc(CN5CCCCC5)c4)c2)N=C(c6ccccc6)c7ccccc17	CHEMBL33412	pIC50=8.16
CN1C(=O)[C@H](NC(=O)Nc2cccc(I)c2)N=C(c3ccccc3)c4ccccc14	CHEMBL515268	pIC50=8.16
Cc1nnc2C(NC(=O)c3cc4ccccc4[nH]3)N=C(c5ccccc5F)c6ccccc6n12	CHEMBL53907	pIC50=8.16
CC(C)(C)NC(=O)CN1C(=O)[C@@H](C[C@H](c2ccccc2)c3ccc(Cl)cc13)NC(=O)Nc4cccc(Cl)c4	CHEMBL333671	pIC50=8.17
CN1C(=O)[C@H](NC(=O)Nc2ccc(cc2)C(=O)O)N=C(c3ccccc3)c4ccccc14	CHEMBL2112932	pIC50=8.18
CC(Cc1c[nH]c2ccccc12)(NC(=O)OC3[C@@H]4C[C@H]5C[C@H](C[C@@H]3C5)C4)C(=O)N(CCc6ccc(Cl)cc6)CC(=O)O	CHEMBL99939	pKi=8.19
CCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]3CCCCNC(=O)C[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@H](Cc4ccc(OS(=O)(=O)O)cc4)C(=O)N[C@@H](CCCC)C(=O)N3)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc5ccccc5)C(=O)N	CHEMBL2370588	pKi=8.19
CCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H]3CCCCNC(=O)C[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@H](Cc4ccc(OS(=O)(=O)O)cc4)C(=O)N[C@@H](CCCC)C(=O)N3)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc5ccccc5)C(=O)N	CHEMBL408389	pKi=8.19
CN1C(=O)[C@H](NC(=O)Nc2ccc(C)cc2)N=C(c3ccccc3)c4ccccc14	CHEMBL33554	pIC50=8.19
Cc1cccc2C(=NC(NC(=O)Nc3cccc(c3)c4nn[nH]n4)C(=O)N(CC(=O)N5CC6CCC(CC6)C5)c12)c7ccccc7F	CHEMBL285921	pIC50=8.19
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(CCC(=O)O)c2)C(=O)N(C3CCCCC3)c4ccccc14	CHEMBL259276	pKi=8.2
OC(=O)[C@H](Cc1ccc(F)c(Br)c1)NC(=O)c2cc(Cl)c(Cl)cc2NS(=O)(=O)c3cccc4nccnc34	CHEMBL566574	pKi=8.2
OC(=O)[C@H](Cc1ccc(F)c(Br)c1)NC(=O)c2ccc(Br)cc2NS(=O)(=O)c3cccc4nsnc34	CHEMBL585157	pKi=8.2
CCCCN1C(=O)C(NC(=O)Nc2ccccc2)C(=O)N(c3ccccc3)c4ccccc14	CHEMBL330854	pKi=8.21
Cl.CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(NCC(=O)O)c2)N=C(C3CCCCC3)c4ccccc14	CHEMBL559157	pKi=8.21
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc3c2ccn3CC(=O)O)N=C(C4CCCCC4)c5ccccc15	CHEMBL227277	pKi=8.22
CCCC[C@H](N(C)C(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCNC(=O)CCC#C)NC(=O)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc3ccccc3)C(=O)Nc4cn(CC(=O)NCC(=O)N5CCC[C@H]5C(=O)NCC(=O)NCCCC(CCCNC(=O)CNC(=O)[C@@H]6CCCN6C(=O)CNC(=O)Cn7cc(NC(=O)[C@H](Cc8ccccc8)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc9c[nH]c%10ccccc9%10)NC(=O)[C@H](CCCCNC(=O)CCC#C)NC(=O)C)nn7)(NC(=O)CNC(=O)CNC(=O)[C@@H]%11CCCN%11C(=O)CNC(=O)Cn%12cc(NC(=O)[C@H](Cc%13ccccc%13)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc%14c[nH]c%15ccccc%14%15)NC(=O)[C@H](CCCCNC(=O)CCC#C)NC(=O)C)nn%12)C(=O)NCCC(=O)N)nn4	CHEMBL2386887	pIC50=8.22
CN(C)c1cccc(NC(=O)CN2N=C(C3CCCCC3)c4ccccc4N(CC(=O)C(C)(C)C)C2=O)c1	CHEMBL205831	pKi=8.22
CN1C(=O)C(NC(=O)Nc2ccc(C)cc2)N=C(c3ccccc3)c4ccccc14	CHEMBL343767	pIC50=8.22
CNc1cccc(NC(=O)C[C@@H]2N=C(C3CCCCC3)c4ccccc4N(CC(=O)C(C)(C)C)C2=O)c1	CHEMBL205751	pKi=8.22
C[C@](Cc1c[nH]c2ccccc12)(NC(=O)OC3[C@@H]4C[C@H]5C[C@H](C[C@@H]3C5)C4)C(=O)N6CC(C[C@@H]6C(=O)O)c7ccc(Cl)cc7	CHEMBL338526	pKi=8.22
O[C@@H](CCl)CN1C(=O)C(NC(=O)Nc2ccc(Cl)cc2)N=C(c3ccccc3)c4ccccc14	CHEMBL337286	pIC50=8.22
CCOC(=O)CCN1C(=O)C(NC(=O)Nc2ccc(Cl)cc2)N=C(c3ccccc3)c4ccccc14	CHEMBL273919	pIC50=8.23
CN1C(=O)C(NC(=O)NCc2cccc(c2)C(C)(C)O)N=C(c3ccccc3)c4ccccc14	CHEMBL422102	pIC50=8.23
CN1C(=O)C(NC(=O)Nc2ccc(cc2)C(F)(F)F)N=C(c3ccccc3)c4ccccc14	CHEMBL135538	pIC50=8.24
CN1C(=O)C(NC(=O)Nc2cccc(C)c2)N=C(N3CCCCC3)c4ccccc14	CHEMBL350853	pIC50=8.24
CN1C(=O)[C@H](NC(=O)Nc2cccc(Nc3nn[nH]n3)c2)N=C(c4ccccc4)c5ccccc15	CHEMBL169362	pIC50=8.24
CC(C)CCN1C(=O)C(NC(=O)Nc2cccc(c2)N(C)C)C(=O)N(CC34CC5CC(CC(C5)C3)C4)c6ccccc16	CHEMBL100776	pKi=8.25
CC(C)N(C(=O)CN1C(=O)[C@H](NC(=O)Nc2cccc(c2)C(=O)O)C(=O)N(c3ccccc3)c4ccccc14)c5ccccc5	CHEMBL1269257	pIC50=8.25
CCN(CC)CC(=O)OCCN1C(=O)C(NC(=O)Nc2cccc(C)c2)N=C(c3ccccc3)c4ccccc14	CHEMBL135218	pIC50=8.25
OC(=O)c1cccc(NC(=O)CN2N=C(C3CCCCC3)c4ccccc4N(CC(=O)C56CC7CC(CC(C7)C5)C6)C2=O)c1	CHEMBL374388	pKi=8.25
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(OCC(=O)O)c2)N=C(C3CCCCC3)c4ccccc14	CHEMBL226729	pKi=8.26
COc1cccc(NC(=O)CN2N=C(C3CCCCC3)c4ccccc4N(CC(=O)C(C)(C)C)C2=O)c1	CHEMBL203530	pKi=8.26
CCCC[C@H](N(C)C(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCNC(=O)CCC#C)NC(=O)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc3ccccc3)C(=O)Nc4cn(CC(=O)NCCC(=O)NCCCC(CCCNC(=O)CCNC(=O)Cn5cc(NC(=O)[C@H](Cc6ccccc6)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc7c[nH]c8ccccc78)NC(=O)[C@H](CCCCNC(=O)CCC#C)NC(=O)C)nn5)(NC(=O)CNC(=O)CCNC(=O)Cn9cc(NC(=O)[C@H](Cc%10ccccc%10)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc%11c[nH]c%12ccccc%11%12)NC(=O)[C@H](CCCCNC(=O)CCC#C)NC(=O)C)nn9)C(=O)NCCC(=O)N)nn4	CHEMBL2386885	pIC50=8.28
CCOC(=O)CCCOc1ccc(NC(=O)NC2C(=O)N(CC34C[C@@H]5C[C@@H](C[C@@H](C5)C3)C4)c6ccccc6N(C2=O)c7ccccc7)cc1	CHEMBL433028	pKi=8.28
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(c2)C(=O)O)N=C(C3CCCCC3)c4ccccc14	CHEMBL205455	pKi=8.29
Cc1ccc2[C@H](C[C@@H](NC(=O)Nc3cccc(c3)C(=O)NS(=O)(=O)C(F)(F)F)C(=O)N(CC(=O)NC(C)(C)C)c2c1)c4ccccc4	CHEMBL408490	pIC50=8.29
CN1C(=O)C(NC(=O)Nc2cccc(Br)c2)N=C(c3ccccc3)c4ccccc14	CHEMBL134340	pIC50=8.3
Ic1ccc(C(=O)N2CCCCC2)c(NS(=O)(=O)c3cccc4nsnc34)c1	CHEMBL384097	pKi=8.3
OC(=O)[C@H](Cc1ccc(F)c(Br)c1)NC(=O)c2ccc(Br)cc2NS(=O)(=O)c3cccc4nccnc34	CHEMBL571650	pKi=8.3
OC(=O)[C@H](Cc1ccc(F)c(Br)c1)NC(=O)c2ccc(I)cc2NS(=O)(=O)c3cccc4nsnc34	CHEMBL583035	pKi=8.3
CCCN1C(=O)C(NC(=O)Nc2cccc(CC)c2)N=C(N3CCN(C)CC3)c4ccccc14	CHEMBL102633	pIC50=8.31
CN1C(=O)C(NC(=O)Nc2cccc(CC(=O)O)c2)N=C(c3ccccc3)c4ccccc14	CHEMBL137567	pIC50=8.31
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(c2)C(=O)O)N=C(C3CCCCCC3)c4ccccc14	CHEMBL227147	pKi=8.32
CN1C(=O)C(NC(=O)Nc2cccc(c2)C(=O)C)N=C(c3ccccc3)c4ccccc14	CHEMBL336765	pIC50=8.32
CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](C)NCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)CN4CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC4)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc5ccccc5)C(=O)N	CHEMBL1806529	pIC50=8.32
Cc1ccc2[C@H](C[C@@H](NC(=O)Nc3cccc(c3)C(=O)NS(=O)(=O)c4ccccc4)C(=O)N(CC(=O)NC(C)(C)C)c2c1)c5ccccc5	CHEMBL60754	pIC50=8.32
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(Cc3nnn[nH]3)c2)N=C(C4CCCCC4)c5ccccc15	CHEMBL276645	pKi=8.33
CCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]3CCCCNC(=O)[C@@H](CCC(=O)N[C@H](Cc4ccc(O)cc4)C(=O)N[C@@H](CCCC)C(=O)N3)NC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc5ccccc5)C(=O)N	CHEMBL437661	pKi=8.33
CN(C)c1ccc(NC(=O)NC2C(=O)N(CCC3CCCC3)c4ccccc4N(C2=O)c5ccccc5F)cc1	CHEMBL340107	pKi=8.33
COc1cccc(NC(=O)NC2N=C(c3ccccc3)c4ccccc4N(CC(=O)N5CCN(C)CC5)C2=O)c1	CHEMBL135371	pIC50=8.36
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(c2)S(=O)(=O)CC(=O)O)N=C(C3CCCCC3)c4ccccc14	CHEMBL374389	pKi=8.37
CC(C)(C)NC(=O)CN1C(=O)[C@@H](C[C@H](c2ccccc2)c3ccccc13)NC(=O)Nc4cccc(Cl)c4	CHEMBL331315	pIC50=8.37
CN(c1cccc(NC(=O)CN2C(=O)N(CC(=O)C(C)(C)C)c3ccccc3N(C4CCCCC4)C2=O)c1)c5nn[nH]n5	CHEMBL264150	pKi=8.37
Cc1ccc2[C@H](C[C@@H](NC(=O)Nc3cccc(c3)C(=O)NS(=O)(=O)Cc4ccccc4)C(=O)N(CC(=O)NC(C)(C)C)c2c1)c5ccccc5	CHEMBL408392	pIC50=8.38
CCCC[C@H](N(C)C(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)C[C@@H](NC(=O)OC(C)(C)C)C(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc3ccccc3)C(=O)N	CHEMBL333516	pKi=8.39
CCOC(=O)CN1C(=O)C(NC(=O)Nc2ccc(Cl)cc2)N=C(c3ccccc3F)c4ccccc14	CHEMBL417521	pIC50=8.39
Cl.CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(c2)c3cn(CC(=O)O)cn3)N=C(C4CCCCC4)c5ccccc15	CHEMBL541903	pKi=8.39
CC(C)(C)NC(=O)CN1C(=O)[C@@H](C[C@H](c2cccc(Cl)c2)c3ccccc13)NC(=O)Nc4cccc(Cl)c4	CHEMBL333541	pIC50=8.4
CN1C(=O)[C@H](NC(=O)Nc2cccc(COC(=O)NCNC(=O)CC(=O)NCCSCc3csc(C=C(N)N)n3)c2)N=C(c4ccccc4)c5ccccc15	CHEMBL432671	pIC50=8.4
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(c2)C(=O)NS(=O)(=O)C)N=C(C3CCCCC3)c4ccccc14	CHEMBL374390	pKi=8.41
CC(C)CCN1C(=O)C(NC(=O)Nc2ccccc2)C(=O)N(Cc3ccccc3)c4ccccc14	CHEMBL100685	pKi=8.41
Brc1cccc(NC(=O)NC2C(=O)N(CC34C[C@@H]5C[C@@H](C[C@@H](C5)C3)C4)c6ccccc6N(C2=O)c7ccccc7)c1	CHEMBL121028	pKi=8.42
CC1(CCCCC1)NC(=O)CN2C(=O)[C@@H](C[C@H](c3ccccc3)c4ccccc24)NC(=O)Nc5cccc(Cl)c5	CHEMBL124611	pIC50=8.42
CCCC[C@H](N(C)C(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CC(=O)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc3ccccc3)C(=O)N	CHEMBL120335	pKi=8.42
CCN(CC)C(=O)CN1C(=O)C(NC(=O)Nc2ccccc2Cl)N=C(c3ccccc3)c4ccccc14	CHEMBL136608	pIC50=8.42
CN1C(=O)C(NC(=O)Nc2cccc(c2)C(F)(F)F)N=C(c3ccccc3)c4ccccc14	CHEMBL337055	pIC50=8.42
CN1C(=O)[C@H](NC(=O)Nc2cccc(Br)c2)N=C(c3ccccc3)c4ccccc14	CHEMBL2111923	pIC50=8.42
OC(=O)CCCOc1ccc(NC(=O)NC2C(=O)N(CC34C[C@@H]5C[C@@H](C[C@@H](C5)C3)C4)c6ccccc6N(C2=O)c7ccccc7)cc1	CHEMBL120657	pKi=8.42
CCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCCCCn3cc(COc4cc(OCc5cn(CCCCCC(=O)N[C@@H](Cc6c[nH]c7ccccc67)C(=O)N[C@@H](CCCC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc8ccccc8)C(=O)N)nn5)cc(OCc9cn(CCCCCC(=O)N[C@@H](Cc%10c[nH]c%11ccccc%10%11)C(=O)N[C@@H](CCCC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc%12ccccc%12)C(=O)N)nn9)c4)nn3)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc%13ccccc%13)C(=O)N	CHEMBL3400296	pKi=8.43
CCCC[C@H](N(C)C(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CC(=O)OC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc3ccccc3)C(=O)N	CHEMBL321456	pKi=8.44
CC(CC1CCCC1)c2cccc3N(C(=O)C(NC(=O)Nc4ccccc4)C(=O)Nc23)c5ccccc5	CHEMBL331651	pKi=8.45
Cl.CN1CCN(CC1)C(=O)CN2C(=O)C(NC(=O)Nc3cccc(C)c3)N=C(c4ccccc4)c5ccccc25	CHEMBL542967	pIC50=8.46
CC(C)[C@H]1C[C@@H](NC(=O)Nc2cccc(Cl)c2)C(=O)N(CC(=O)NC(C)(C)C)c3cc(C)ccc13	CHEMBL339547	pIC50=8.47
CCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)CNC(=O)CCc3ccc(OS(=O)(=O)O)cc3)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N	CHEMBL318010	pIC50=8.47
CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](C)NCCOCCOCCOCCOC(=O)CN4CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC4)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc5ccccc5)C(=O)N	CHEMBL1807149	pIC50=8.47
CCOC(=O)CN1C(=O)C(NC(=O)Nc2ccc(Cl)cc2)N=C(c3ccccc3)c4ccccc14	CHEMBL38404	pIC50=8.48
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(CC(=O)O)c2)C(=O)N(C3CCCCCC3)c4ccccc14	CHEMBL410114	pKi=8.5
CCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)[C@@H]3CCCN3C(=O)CCc4ccc(OS(=O)(=O)O)cc4)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc5ccccc5)C(=O)N	CHEMBL2310856	pIC50=8.51
COc1cccc(NC(=O)NC2N=C(c3ccccc3)c4ccccc4N(C)C2=O)c1	CHEMBL137398	pIC50=8.52
Cc1cccc(NC(=O)NC2N=C(c3ccccc3)c4ccccc4N(CC(=O)NCCSCc5csc(N=C(N)N)n5)C2=O)c1	CHEMBL285746	pIC50=8.52
O=C(NC1C(=O)N(CC23C[C@@H]4C[C@@H](C[C@@H](C4)C2)C3)c5ccccc5N(C1=O)c6ccccc6)Nc7cccc(CN8CCOCC8)c7	CHEMBL332850	pKi=8.52
CCOC(=O)c1cccc(NC(=O)NC2C(=O)N(CC34C[C@@H]5C[C@@H](C[C@@H](C5)C3)C4)c6ccccc6N(C2=O)c7ccccc7)c1	CHEMBL119608	pKi=8.53
CN1C(=O)[C@H](NC(=O)Nc2cccc([125I])c2)N=C(c3ccccc3)c4ccccc14	CHEMBL515288	pKd=8.53
CC(C)(C)CCN1C(=O)C(NC(=O)Nc2cccc(OC(F)(F)F)c2)C(=O)N(c3ccccc3)c4ccccc14	CHEMBL121703	pKi=8.54
CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc3c2cnn3CC(=O)O)N=C(C4CCCCC4)c5ccccc15.OC(=O)C(F)(F)F	CHEMBL1161950	pKi=8.56
CCCC[C@H](N(C)C(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)C[C@H](NC(=O)OC(C)(C)C)C(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc3ccccc3)C(=O)N	CHEMBL339421	pKi=8.57
CN1C(=O)C(NC(=O)Nc2ccc3CCCc3c2)N=C(c4ccccc4)c5ccccc15	CHEMBL136038	pIC50=8.57
Cc1ccc2[C@H](C[C@@H](NC(=O)Nc3cccc(c3)C(=O)O)C(=O)N(CC(=O)NC(C)(C)C)c2c1)c4ccccc4	CHEMBL301261	pIC50=8.57
CC(C)CCN1C(=O)C(NC(=O)Nc2cccc(c2)N(C)C)C(=O)N(CCC(C)C)c3ccccc13	CHEMBL100618	pKi=8.59
CCCC[C@H](N(C)C(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)COC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc3ccccc3)C(=O)N	CHEMBL261934	pKi=8.6
