CN(CCCCCCN(C)C(=O)OC1=C[N+](C)=CC=C1)C(=O)OC1=C[N+](C)=CC=C1	distigmine
NC1=C2CCCCC2=NC2=CC=CC=C12	tacrine	pKi=7.14	pKi=7.14	pKi=7.14	pIC50=6.03
CN(C)C(=O)OC1=CC(=CC=C1)[N+](C)(C)C	neostigmine	pIC50=7.59	pIC50=7.59	pIC50=7.59	pIC50=7.38
COc1cc2CC(CC3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC	donepezil	pKi=7.8	pKi=7.8	pKi=7.8	pIC50=6.8
C[N+]1=CC=CC=C1C=NO	pralidoxime	pKd=4.59	pKd=4.59	pKd=4.59
CC[N+](C)(C)C1=CC=CC(O)=C1	edrophonium	pKi=8.79	pKi=8.79	pKi=8.79	pKi=6.1
CN(CCCCCCCCCCN(C)C(=O)OC1=CC(=CC=C1)[N+](C)(C)C)C(=O)OC1=CC(=CC=C1)[N+](C)(C)C	demecarium
CN(C)C(=O)OC1=C[N+](C)=CC=C1	pyridostigmine	pIC50=6.44	pIC50=6.44	pIC50=6.44	pIC50=6.44
CC(C)OP(F)(=O)OC(C)C	fluostigmine	pKi=5.22	pKi=5.22	pKi=5.22	pIC50=6.92
CCN(C)C(=O)OC1=CC=CC(=C1)[C@H](C)N(C)C	rivastigmine	pIC50=7.43	pIC50=7.43	pIC50=7.43	pIC50=6.04
CCOP(=O)(OCC)SCC[N+](C)(C)C	echothiophate
[H][C@]12N(C)CC[C@@]1(C)C1=CC(OC(=O)NC)=CC=C1N2C	physostigmine	pIC50=9.37	pIC50=9.37	pIC50=9.37	pIC50=6.3
[H][C@]12C[C@@H](O)C=C[C@]11CCN(C)CC3=CC=C(OC)C(O2)=C13	galantamine	pKi=7.21	pKi=7.21	pKi=7.21	pIC50=6.0
COC1=CC(O)=C(C=C1OC)C(=O)NC1=NC(=CS1)C(=O)NCCN(C(C)C)C(C)C	acotiamide	pIC50=5.52287865	pIC50=5.52287865	pIC50=5.52287865
C[N+](C)(CCCCCC[N+](C)(C)C1C2=CC=CC=C2C2=C1C=CC=C2)C1C2=CC=CC=C2C2=C1C=CC=C2	hexafluronium
CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=C(Cl)C=CC=C1)CC1=C(Cl)C=CC=C1	ambenonium
Nc1nc(NCCC2CCN(Cc3ccccc3)CC2)c(C#N)c(c4ccccc4)c1C#N	CHEMBL2088780	pIC50=6.41
OC1CCN(Cc2oc(CNCCN3CCNC3=C(C#N)C#N)cc2)CC1	CHEMBL345849	pIC50=6.41
[Br-].COc1cc2cc(sc2cc1OC)C(=O)CCC3CC[N+](C)(CCOc4ccccc4)CC3	CHEMBL87959	pIC50=6.41
[O-][N+](=O)c1cccc(CN2CCC(CCC(=O)c3ccc4CCCCNc4c3)CC2)c1	CHEMBL307832	pIC50=6.41
CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCCNc3c4CCCCc4nc5ccccc35)cc12	CHEMBL3642047	pIC50=6.42
CC1Cc2c(C)cccc2C1=O	CHEMBL352247	pIC50=6.42
CC1Cc2cc3OCOc3cc2C1=O	CHEMBL422695	pIC50=6.42
CC1Cc2ccc(C)cc2C1=O	CHEMBL157327	pIC50=6.42
CC1Cc2ccc(F)cc2C1=O	CHEMBL155499	pIC50=6.42
CC1Cc2ccccc2C1=O	CHEMBL155191	pIC50=6.42
CCCCC1=NC2(CCCC2)C(=O)N1Cc3ccc(cc3)c4ccccc4n5nnnc5C(c6ccccc6)(c7ccccc7)c8ccccc8	CHEMBL397891	pIC50=6.42
CCCCCCCNC(=O)Oc1ccc2CC3[C@@H](CCN3CC)c2c1	CHEMBL32453	pIC50=6.42
CCCCCCCNC(=O)Oc1ccc2C[C@@H]3[C@@H](CCN3CC)c2c1	CHEMBL1086090	pIC50=6.42
CCN(CC)CCCCCCOc1ccc2C\C(=C/c3ccc(CN(C)Cc4ccccc4)cc3)\C(=O)c2c1	CHEMBL599058	pIC50=6.42
CCOC(=O)C1=C(C)Nc2nc3CCCCc3c(N)c2[C@@H]1c4ccc(OC)cc4	CHEMBL470715	pIC50=6.42
CCOC(=O)C1=C(C[C@H](N([C@@H]1c2ccc(OC)cc2)c3ccc(Cl)cc3)c4ccc(OC)cc4)Nc5ccc(Cl)cc5	CHEMBL3597065	pIC50=6.42
CCOc1cc2CC(C)C(=O)c2cc1OCC	CHEMBL158242	pIC50=6.42
CN(CC#C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C	CHEMBL1929421	pIC50=6.42
CN1CC[C@]2(C)[C@H]1N(C)c3ccc(OC(=O)NCCCCCCCN4CCOCC4)cc23	CHEMBL66309	pIC50=6.42
COc1cc2C(=O)C(C)Cc2cc1O	CHEMBL156487	pIC50=6.42
COc1cc2C(=O)C(C)Cc2cc1OC(C)C	CHEMBL153848	pIC50=6.42
COc1cc2CC(C)C(=O)c2c(OC)c1	CHEMBL152826	pIC50=6.42
COc1cc2CC(C)C(=O)c2c(OC)c1OC	CHEMBL440185	pIC50=6.42
COc1cc2CC(C)C(=O)c2cc1O	CHEMBL347667	pIC50=6.42
COc1cc2CC(C)C(=O)c2cc1OC	CHEMBL154848	pIC50=6.42
COc1cc2cc(sc2cc1OC)C(=O)CC3CCC(O)C[N+](C)(Cc4ccccc4)CC3	CHEMBL189283	pIC50=6.42
COc1ccc(OC)c2C(=O)C(C)Cc12	CHEMBL423419	pIC50=6.42
COc1ccc2C(=O)C(C)Cc2c1OC	CHEMBL155371	pIC50=6.42
COc1ccc2CC(C)C(=O)c2c1	CHEMBL347023	pIC50=6.42
COc1ccc2CC(C)C(=O)c2c1OC	CHEMBL350916	pIC50=6.42
COc1cccc2C(=O)C(C)Cc12	CHEMBL422338	pIC50=6.42
Fc1ccc(CNCCCCCCCN2C(=O)c3ccccc3C2=O)c(F)c1	CHEMBL3415575	pIC50=6.42
OC1CCN(Cc2ccc(cc2)c3cnc4[nH]c5cnc(cc5c4c3)C#N)CC1	CHEMBL3582207	pIC50=6.42
[Br-].COc1cc2cc(sc2cc1OC)C(=O)CC(O)CCC3CC[N+](C)(Cc4ccccc4)CC3	CHEMBL441808	pIC50=6.42
CC1CCCN(Cc2oc(CNCCN3CCNC3=C(C#N)C#N)cc2)C1	CHEMBL154366	pIC50=6.43
CCN1CCCCc2ccc(cc12)C(=O)CCC3CCN(Cc4ccccc4)CC3	CHEMBL310467	pIC50=6.43
CN(C)Cc1oc(CSCCNc2cc(NCCCN3CCOCC3)c(cc2[N+](=O)[O-])[N+](=O)[O-])cc1	CHEMBL318517	pIC50=6.43
COc1cc2OC(=O)C(=Cc2cc1OC)c3ccc(CN(C)Cc4cccc(c4)[N+](=O)[O-])cc3	CHEMBL242905	pIC50=6.43
COc1ccc(C2c3ccc4ccccc4c3Oc5nc6CCCCc6c(N)c25)c(OC)c1	CHEMBL2206896	pIC50=6.43
COc1ccc(cc1)C2C3=C(CC(C)(C)CC3=O)Nc4nc5CCCCc5c(N)c24	CHEMBL468001	pIC50=6.43
C[C@@H]1CCC[C@H](C)N1S(=O)(=O)c2ccc(C)cc2	CHEMBL575620	pIC50=6.43
OC1CCCN(Cc2oc(CNCCN3CCNC3=C(C#N)C#N)cc2)C1	CHEMBL152260	pIC50=6.43
CCCCNC(=O)OCCCCCCCCO	CHEMBL181445	pKi=6.44
CCCCNC(=O)OCCOC(=O)NCCCC	CHEMBL366931	pKi=6.44
CCNC(=O)Oc1ccc2OC3OCCC3(C)c2c1	CHEMBL369554	pIC50=6.44
COc1cc(CCC(=O)NNc2c3CCCCc3nc4ccccc24)cc(OC)c1OC	CHEMBL219911	pIC50=6.44
COc1cc2OC(=O)C(=Cc2cc1OC)c3ccc(CN(C)Cc4ccccc4C)cc3	CHEMBL243130	pIC50=6.44
Cc1c(C)c2OC(C)(CCc2c(C)c1O)C(=O)NCCCCCCNc3c4CCCCc4nc5ccccc35	CHEMBL3410954	pIC50=6.44
Cl.CCCCCCCCNc1c2CCCCc2nc3ccc(OC)cc13	CHEMBL1257766	pIC50=6.44
Cl.CN(CCCCCN1C(=O)c2ccccc2C1=O)Cc3ccccc3	CHEMBL3402707	pIC50=6.44
Clc1ccc(\C=C\C(=O)NCCC2CCN(Cc3ccccc3)CC2)cc1	CHEMBL3818990	pIC50=6.44
NC1=C2CCCCC2=NC3CCCCC13	CHEMBL1161674	pIC50=6.44
Nc1c2CCCCc2nc3CCCCc13	CHEMBL263198	pIC50=6.44
COc1ccc2c(N)c3CCCCc3nc2c1	CHEMBL302842	pIC50=6.45
Cl.CN(C)c1ccc(cc1)C(=O)NCCCCCNc2c3CCCCc3nc4ccccc24	CHEMBL3604195	pIC50=6.45
Brc1cccc(c1)c2nnc3sc(nn23)c4cocc4	CHEMBL2375483	pIC50=6.46
CCN(CCCCOc1ccc(cc1)C2=COc3cc(OCCCCN(CC)Cc4ccccc4OC)cc(O)c3C2=O)Cc5ccccc5OC	CHEMBL3127003	pIC50=6.46
CN1CC[C@]2(C)C1N(C)c3ccc(OC(=O)Nc4ccccc4)cc23	CHEMBL54727	pIC50=6.46
COc1ccc(CN2CCC(CCC(=O)c3cc4CCC(=O)n5ccc(c3)c45)CC2)cc1	CHEMBL1651138	pIC50=6.46
COc1ccc(NC(=O)Oc2ccc3N(C)[C@H]4N(C)CC[C@@]4(C)c3c2)cc1	CHEMBL74950	pIC50=6.46
COc1ccc2CN(CCCN3CCCCC3)CC[C@@]45C=C[C@H](O)C[C@@H]4Oc1c25	CHEMBL569978	pIC50=6.46
COc1ccc2nc3CCCCc3c(NCCCNC4=CC(=O)c5c(O)cccc5C4=O)c2c1	CHEMBL3356539	pIC50=6.46
C[C@@H]([C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC[C@@H]4C(=CC[C@@H]5N=C(OC[C@@]45C)C(C)(C)C)C[C@H]3C(=O)C[C@]12C)N(C)C	CHEMBL241536	pIC50=6.46
Nc1c2CCCCc2nc3nc(cc(c13)C(F)(F)F)c4ccccc4	CHEMBL2238000	pIC50=6.46
OCCC1CCN(Cc2ccc(OCCCN3CCCCC3)cc2)CC1	CHEMBL259264	pIC50=6.46
[I-].CNC(=O)Oc1cccc(c1)c2cn3ccccc3[n+]2C	CHEMBL1083064	pIC50=6.46
C(Cc1ncnc2ccccc12)C3CCN(Cc4ccccc4)CC3	CHEMBL329531	pIC50=6.47
C=[N+]1N=C(CCC2CCN(Cc3ccccc3)CC2)c4ccccc14	CHEMBL362350	pIC50=6.47
CC(=O)O[C@@H]1[C@@H](O[Si](C)(C)C(C)(C)C)C=C2CCN3Cc4cc5OCOc5cc4[C@H]1[C@@H]23	CHEMBL564408	pKi=6.47
CCOC(=O)C1=C(C)Nc2nc3CCCCc3c(N)c2C1c4ccccc4[N+](=O)[O-]	CHEMBL219400	pIC50=6.47
CN(CCCCCCOc1ccc2C(=C(C)C(=O)Oc2c1)C)Cc3ccccc3	CHEMBL3586582	pIC50=6.47
CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc(cc2)c3oc4ccccc4c3C(=O)c5ccc(C)cc5)c1	CHEMBL2160226	pIC50=6.47
COc1cc(\C=C\C(=O)NCCC2CCN(Cc3ccccc3)CC2)ccc1OC(=O)C	CHEMBL3819383	pIC50=6.47
COc1ccc2C\C(=C/C3CCN(Cc4ccccc4)CC3)\C(=O)c2c1	CHEMBL3819220	pIC50=6.47
O=C(Nc1cccc2C(=O)N(CCC3CCN(Cc4ccccc4)CC3)C(=O)c12)c5ccccc5	CHEMBL141622	pIC50=6.47
[O-][N+](=O)c1ccc(\C=C\C(=O)NCCC2CCN(Cc3ccccc3)CC2)cc1	CHEMBL3818782	pIC50=6.47
CCN(CCC(=O)NCCCCNc1c2CCCCc2nc3ccccc13)C4CCCCC4	CHEMBL3322142	pKi=6.48
CN(C)Cc1oc(CSCCCSCc2oc(CN(C)C)cc2)cc1	CHEMBL275537	pIC50=6.48
CN1CC[C@]2(C)[C@H]1N(C=O)c3ccc(OC(=O)Nc4ccccc4)cc23	CHEMBL1243203	pIC50=6.48
CNC(=O)Oc1ccc2N(C)C3N(Cc4ccccc4)CC[C@@]3(C)c2c1	CHEMBL76241	pIC50=6.48
CNC(=O)Oc1ccc2N(C)[C@H]3N(Cc4ccccc4)CC[C@@]3(C)c2c1	CHEMBL74257	pIC50=6.48
COc1cc(ccc1O)C2c3ccc4ccccc4c3Oc5nc6CCCCc6c(N)c25	CHEMBL2206895	pIC50=6.48
Cl.CN(Cc1ccc(COc2ccc3C(=CC(=O)Oc3c2)CO)cc1)Cc4cccc(Cl)c4	CHEMBL3586610	pIC50=6.48
Clc1cccc(CN2CCC(CCC(=O)c3ccc4CCCCNc4c3)CC2)c1	CHEMBL420378	pIC50=6.48
Cn1ncc2C(NC(=O)CN3CCN(Cc4ccccc4)CC3)c5c(Br)sc(Br)c5c12	CHEMBL3133433	pIC50=6.48
Fc1ccccc1CN2CCC(CCC(=O)c3ccc4CCCCNc4c3)CC2	CHEMBL75127	pIC50=6.48
Fc1ccccc1CNCCCCCCCN2C(=O)c3ccccc3C2=O	CHEMBL3415565	pIC50=6.48
N#Cc1cc2c(cn1)[nH]c3ncc(cc23)c4ccc(CN5CCCCC5)cc4	CHEMBL3582201	pIC50=6.48
Nc1c2CCCOc2nc3cccc(F)c13	CHEMBL133520	pIC50=6.48
[Br-].COc1ccc(cc1OC)C(=O)COc2cccc(c2)[N+](C)(C)Cc3ccccc3	CHEMBL60074	pIC50=6.48
C(N1CCCCC1)c2ccc(cc2)c3cnc4[nH]c5cnc(cc5c4c3)c6ocnc6	CHEMBL3582223	pIC50=6.49
C(Nc1noc2ccccc12)C3CCN(Cc4ccccc4)CC3	CHEMBL92629	pKi=6.49
CC(C)c1ccc(NC(=O)Oc2ccc3N(C)C4NCC[C@@]4(C)c3c2)cc1	CHEMBL54420	pIC50=6.49
CC1(C)CC(=O)C2=C(C1)Nc3nc4CCCCc4c(N)c3[C@H]2c5ccccc5	CHEMBL2234533	pIC50=6.49
CCN(Cc1ccccc1)Cc2ccc(cc2)C3=Cc4ccc(OCCNC(=O)CCc5ccc(F)c(F)c5)cc4OC3=O	CHEMBL271710	pIC50=6.49
COc1cc(N)c(Cl)cc1C(=O)CCC2CCN(CC3CCCCC3C)CC2	CHEMBL3417000	pIC50=6.49
COc1cc(\C=C\C(=O)NCCC2CCN(Cc3ccccc3)CC2)cc(OC)c1O	CHEMBL3819231	pIC50=6.49
Cc1nc(cc2c3ccccc3[nH]c12)C(=O)NCCCCNc4c5CCCCc5nc6ccccc46	CHEMBL3343884	pIC50=6.49
Cl.CC1=C[C@@H]2C[C@H](C1)c3c(C2)nc4cc(Cl)ccc4c3N	CHEMBL2011499	pIC50=6.49
O=C(NCCCCCCCNc1c2CCCCCc2nc3ccccc13)c4oc5ccccc5c4	CHEMBL3754480	pIC50=6.49
CC1=CC(=NNC1=NCCC2CCN(Cc3ccccc3)CC2)c4ccccc4	CHEMBL94054	pIC50=6.5
CCc1c(nc(c2ccccc2Cl)n1c3ccc(Cl)cc3)C(=O)NCCCCNc4c5CCCCc5nc6ccccc46	CHEMBL570159	pIC50=6.5
CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3C(=O)c4ccccc4Oc3c2)c1	CHEMBL189957	pIC50=6.5
C[C@@H]1CCC[C@H](C)N1S(=O)(=O)c2ccc(Cl)cc2	CHEMBL573102	pIC50=6.5
NCCCCCCCNc1c2CCCCc2nc3ccccc13	CHEMBL1083789	pIC50=6.5
Nc1c2CCCOc2nc3cccc(Cl)c13	CHEMBL337453	pIC50=6.5
O=C1C=Cc2ccccc2C1=O	CHEMBL52347	pKi=6.5
[Cl-].COc1ccc2c(c[n+](C)c3c2ccc4cc5OCOc5cc34)c1OC	CHEMBL258893	pKi=6.5
CCOC(=O)C1=C(C)Nc2nc3CCCCc3c(N)c2C1c4ccc(cc4)[N+](=O)[O-]	CHEMBL219405	pIC50=6.51
CN(C)C(=O)Oc1ccc2N(C)[C@H]3N(C)CC[C@@]3(C)c2c1	CHEMBL308043	pIC50=6.51
CN(C)Cc1oc(CSCCNc2cc(NCc3cccnc3)c(cc2[N+](=O)[O-])[N+](=O)[O-])cc1	CHEMBL107673	pIC50=6.51
COc1cc2OC(=O)C(=Cc2cc1OC)c3ccc(CN(C)Cc4ccc(C)cc4)cc3	CHEMBL245046	pIC50=6.51
COc1ccc(cc1)C2=Cc3ccc(OCCCN(C)Cc4cccc(OC(=O)NCCCCCc5ccccc5)c4)cc3OC2=O	CHEMBL3827589	pIC50=6.51
Clc1ccc2c(NCCCCCCCOc3ccc(cc3)c4oc5ccccc5c4)c6CCCCc6nc2c1	CHEMBL1819178	pIC50=6.51
Clc1nc(NCCC2CCN(Cc3ccccc3)CC2)c(cc1C#N)C#N	CHEMBL2419686	pIC50=6.51
Fc1ccc(cc1)c2nc(cc3c4ccccc4[nH]c23)C(=O)NCCCCCCNc5c6CCCCc6nc7ccccc57	CHEMBL3343924	pIC50=6.51
O=C(NCCCCCCNc1c2CCCCCc2nc3ccccc13)c4oc5ccccc5c4	CHEMBL3753706	pIC50=6.51
CC(C)C1=N[C@H]2CC=C3CC4[C@@H](CC[C@H]3[C@]2(C)CO1)[C@]5(C)C[C@@H](O)[C@H]([C@H](C)N(C)C)[C@@]5(C)CC4=O	CHEMBL393621	pIC50=6.52
CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c3cc4ccsc4s3	CHEMBL1080274	pIC50=6.52
CCCCNC(=O)OCCCCCCCCCCCCO	CHEMBL182696	pKi=6.52
CCCSc1nc(nn1C(=O)N(C)C)c2ccc(Cl)cc2	CHEMBL334395	pIC50=6.52
CCN(CC)C(C)CN1C2=CC=CC=C2SC2=C1C=CC=C2	profenamine	pIC50=6.52
CCOC(=O)C1=C(C)Nc2nc3CCCCc3c(N)c2[C@H]1c4ccccc4[N+](=O)[O-]	CHEMBL2234527	pIC50=6.52
CNc1ccc(\C=C\2/Cc3cc(OC)c(OCCN4CCCCC4)cc3C2=O)cc1	CHEMBL3343711	pIC50=6.52
COc1cc2CC(CC3CCN(CC3)c4ccccc4)C(O)c2cc1OC	CHEMBL1083056	pIC50=6.52
COc1ccc2OC(=O)C(=Cc2c1)c3cccc(CN(C)Cc4ccccc4)c3	CHEMBL413794	pIC50=6.52
C[N+](C)(C)CCOC(=O)c1ccc(Oc2nc(Oc3ccc(cc3)C(=O)OCC[N+](C)(C)C)nc(Oc4ccc(cc4)C(=O)OCC[N+](C)(C)C)n2)cc1	CHEMBL3781564	pIC50=6.52
Cl.CC1=C(C)c2ccc(OCCCCCNCc3ccccc3)cc2OC1=O	CHEMBL3586577	pIC50=6.52
Cl.COc1ccc(cc1)N(C)C(=O)Oc2ccc3CCC(N)c3c2	CHEMBL543217	pIC50=6.52
Cl.C[C@H](Cc1ccccc1)N(C)C(=O)Oc2cccc(c2)[C@H](C)N(C)C	CHEMBL1784958	pIC50=6.52
Cl.O=C(CCC1CCN(Cc2ccccc2)CC1)c3ccccc3	CHEMBL552832	pIC50=6.52
FC(F)(F)CSc1nc(nn1C(=O)N2CCCCC2)c3ccc(Cl)cc3	CHEMBL130628	pIC50=6.52
Nc1c2CCCCc2nc3Oc4c(ccc5ccccc45)C(c6ccccc6)c13	CHEMBL2206891	pIC50=6.52
O=C(CCC1CCN(Cc2ccccc2)CC1)c3ccccc3	CHEMBL1082433	pIC50=6.52
O=C1C=C(NCCCCCCNCc2ccc(cc2)c3nc4ccccc4s3)C(=O)C=C1NCCCCCCNCc5ccc(cc5)c6nc7ccccc7s6	CHEMBL1770555	pIC50=6.52
O=C1N(CCCCCCCNCc2ccccc2)C(=O)c3ccccc13	CHEMBL3415560	pIC50=6.52
[Br-].CC(C)c1ccc(NC(=O)Oc2ccc3N(C)C4[C@@](C)(CC[N+]4(C)CCc5ccccc5)c3c2)cc1	CHEMBL1173090	pIC50=6.52
[Br-].[Br-].C(CCC[n+]1ccc2ccccc2c1)CC[n+]3ccc4ccccc4c3	CHEMBL1669484	pIC50=6.52
[Br-].[Br-].CC(C)(C)c1cc[n+](Cc2ccc(C[n+]3ccc(cc3)C(C)(C)C)cc2)cc1	CHEMBL1642987	pIC50=6.52
CC(C)C1=N[C@H]2CC[C@]34C[C@@]35[C@@H](CC[C@H]4[C@]2(C)CS1)[C@]6(C)C[C@@H](O)[C@H]([C@H](C)N(C)C(=O)C)[C@@]6(C)CC5=O	CHEMBL1783522	pIC50=6.53
CCCCCCCNc1c2CCCCc2nc3cc(ccc13)[N+](=O)[O-]	CHEMBL294525	pIC50=6.53
Cl.CN(C)c1ccc(cc1)C(=O)NCCCCNc2c3CCCCc3nc4ccccc24	CHEMBL3604194	pIC50=6.53
CC1CCN(Cc2oc(CNCCN3CCNC3=C(C#N)C#N)cc2)CC1	CHEMBL154263	pIC50=6.54
CCCCC1=NC2(CCCC2)C(=O)N1CC(=O)c3ccc(Cl)cc3	CHEMBL415675	pIC50=6.54
CCCCCCCNC(=O)Oc1ccc2N(C)[C@H]3N(C)CC[C@@]3(C)c2c1	CHEMBL433041	pIC50=6.54
CN(C)Cc1oc(CSCCNC(=NC#N)NCCSCc2oc(CN(C)C)cc2)cc1	CHEMBL12858	pIC50=6.54
CC[n+]1ccc(CCC(=O)C2Cc3cc(OC)c(OC)cc3S2)cc1	CHEMBL188753	pIC50=6.55
CN(Cc1ccccc1)Cc2ccc(cc2)C3=Cc4cc(N)ccc4OC3=O	CHEMBL244624	pIC50=6.55
CNC(=C(C#N)C#N)NCCNCc1oc(CN2CCCC2)cc1	CHEMBL347539	pIC50=6.55
CNCCc1cccc(OC(=O)N(C)C)c1	CHEMBL347527	pIC50=6.55
COc1cc2C\C(=C/c3ccc(cc3)N(C)C)\C(=O)c2cc1OCCN4CCCCC4	CHEMBL3343705	pIC50=6.55
C[Si](C)(C)c1cccc(c1)C(=O)C(F)(F)F	CHEMBL3137700	pIC50=6.55
Cc1c(C)c2OC(C)(CCc2c(C)c1O)C(=O)NCCNc3c4CCCCc4nc5ccccc35	CHEMBL3410951	pIC50=6.55
Cc1ccccc1NC(=O)Oc2ccc3NC4NCC[C@@]4(C)c3c2	CHEMBL54864	pIC50=6.55
Fc1ccc(cc1)C(N2CCN(CCN3CCOCC3)CC2)c4ccc(F)cc4	CHEMBL380050	pIC50=6.55
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCNc3c4CCCCc4nc5ccccc35	CHEMBL525917	pKi=6.55
O=C1c2ccc(OCCCCCCCNc3c4CCCCc4nc5ccccc35)cc2Oc6ncccc16	CHEMBL1819174	pIC50=6.55
[Br-].CC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1	CHEMBL87128	pIC50=6.55
COC1=C(C)c2cc(OC)c(OCCCCOc3cc(O)cc(c3)N(C)C)cc2OC1=O	CHEMBL1940737	pIC50=6.56
O=C(CCc1c[nH]c2ccccc12)NCCC3CCN(Cc4ccccc4)CC3	CHEMBL3824248	pIC50=6.56
Oc1ccc2C(=CC(=O)Oc2c1)CC(=O)NCCCNc3c4CCCCc4nc5ccccc35	CHEMBL3322159	pIC50=6.56
CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCNc3c4CCCCc4nc5ccccc35)cc12	CHEMBL3642046	pIC50=6.57
CCCCC1=NC2(CCCC2)C(=O)N1Cc3ccc(cc3)c4ccccc4C(=O)OC(C)(C)C	CHEMBL115835	pIC50=6.57
CCCCCCCNc1c2CCCCc2nc3ccc(OC)cc13	CHEMBL1618106	pIC50=6.57
CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c3cc4ccccc4s3	CHEMBL1076259	pIC50=6.57
CN(C)Cc1oc(CSCCNc2cc(Oc3ccc(cc3)[N+](=O)[O-])c(cc2[N+](=O)[O-])[N+](=O)[O-])cc1	CHEMBL327135	pIC50=6.57
COc1cc2CC(CCCCCCCc3cccc(OC)[n+]3C)C(=O)c2cc1OC.[O-]S(=O)(=O)C(F)(F)F	CHEMBL2441676	pIC50=6.57
COc1cc2CC(Oc3cccc(CN4CCCCC4)c3)C(=O)c2cc1OC	CHEMBL181216	pKi=6.57
Cl.CCCCCCCNc1c2CCCCc2nc3ccc(OC)cc13	CHEMBL1257767	pIC50=6.57
Fc1ccc(CNCCCCCN2C(=O)c3ccccc3C2=O)cc1	CHEMBL3415568	pIC50=6.57
NC1=C(\C=C\2/COc3ccccc3C2=O)C(=O)c4ccccc4O1	CHEMBL3415643	pIC50=6.57
O=C1CCCCN1CCC2CCN(Cc3ccccc3)CC2	CHEMBL141515	pIC50=6.57
[Br-].[Br-].C(CCCC[n+]1cccc2ccccc12)CCC[n+]3ccccc3	CHEMBL3093800	pIC50=6.57
C(CCCCCCNc1c2CCCCc2nc3ccccc13)CCCCCNc4ccccc4	CHEMBL1084774	pIC50=6.58
C(N1CCCCC1)c2ccc(cc2)c3cnc4[nH]c5cnc(cc5c4c3)c6cncnc6	CHEMBL3582232	pIC50=6.58
CC[C@H](C)C1=N[C@H]2CC=C3C[C@@H]4[C@@H](CC[C@H]3[C@]2(C)CO1)[C@]5(C)C[C@@H](O)[C@H]([C@H](C)N(C)C)[C@@]5(C)CC4=O	CHEMBL393212	pIC50=6.58
CN(C)CCCCCCCCCCCCNc1c2CCCCc2nc3ccccc13	CHEMBL1084368	pIC50=6.58
Nc1c2CCCOc2nc3ccccc13	CHEMBL132260	pIC50=6.58
OC(COc1ccc(cc1)[N+](=O)[O-])CN2CCCN(CC2)c3nc4ccc(Cl)cc4s3	CHEMBL2297983	pKi=6.58
CCCNc1cc(NCCSCc2oc(CN(C)C)cc2)c(cc1[N+](=O)[O-])[N+](=O)[O-]	CHEMBL106782	pIC50=6.59
CCN(CC)CCCCCCOc1ccc(cc1)C(=O)c2ccc(CN(C)Cc3ccccc3)cc2	CHEMBL1773488	pIC50=6.59
CCN(CCCCCCNC(=O)CCCCC1CCSS1)Cc2ccccc2OC	CHEMBL1912062	pIC50=6.59
CCN1CCc2sc(cc2C1)c3cnc4[nH]c5cnc(cc5c4c3)C#N	CHEMBL3582216	pIC50=6.59
CN(C)Cc1oc(CSCc2ccc(CSCc3oc(CN(C)C)cc3)cc2)cc1	CHEMBL12472	pIC50=6.59
CN1CC[C@]2(C)[C@H]1N(C)c3cc(C)c(OC(=O)Nc4ccccc4)cc23	CHEMBL132531	pIC50=6.59
COc1cc2CC(Oc3ccc(CN4CCCC4)cc3)C(=O)c2cc1OC	CHEMBL180483	pKi=6.59
COc1cccc2cc(CN(CCCCCCNc3c4CCCCc4nc5ccccc35)Cc6oc7c(OC)cccc7c6)oc12	CHEMBL3753957	pIC50=6.59
C\C=C\1/[C@@H]2CC3=C(C=CC(=O)N3)[C@]1(N)CC(=C2)C	CHEMBL1255901	pIC50=6.59
Cc1c(C)c2OC(C)(CCc2c(C)c1O)C(=O)NCCCNc3c4CCCCc4nc5ccccc35	CHEMBL3632987	pIC50=6.59
Clc1ccc2c(NCCCCCCCOc3cccc(c3)c4oc5ccccc5c4)c6CCCCc6nc2c1	CHEMBL1819179	pIC50=6.59
Fc1ccc(CNCCCCCN2C(=O)c3ccccc3C2=O)c(F)c1	CHEMBL3415573	pIC50=6.59
N\C(=N/O)\c1nc(CCCCCNc2c3CCCCc3nc4ccccc24)ccc1O	CHEMBL3234591	pIC50=6.59
O=C(NCCCCCc1ccccc1)Oc2ccc(Cn3cc(COc4ccc5C=CC(=O)Oc5c4)nn3)cc2	CHEMBL3828054	pIC50=6.59
O\N=C\c1nc(CCCCCNc2c3CCCCc3nc4ccccc24)ccc1O	CHEMBL3234587	pIC50=6.59
