CC(C)c1nn(c2ccc(cc2Cl)C(=O)N)c3nccc(c13)n4cnc(c4)c5ccc(cc5)C(=O)N	CHEMBL3661160	pIC50=6.0
COc1ccc(cc1)c2c([nH]nc2c3cc(Cl)c(O)cc3O)C(=O)NC(C)C	CHEMBL365700	pIC50=6.92
Cc1cc(c2ccc(C(=O)N)c(N)c2)c3cccc(c3n1)n4cnc(c4)c5cnn(C)c5	CHEMBL3653928	pIC50=6.92
Cc1ccc2OCCCOc3cccc(Sc4cc(nc(N)n4)c1c2)c3	CHEMBL1939370	pKd=6.92
Cn1cc(cn1)c2cn(cn2)c3ccnc4c3c(nn4c5ccc(cc5C6CC6)C(=O)N)C(F)(F)F	CHEMBL3661181	pIC50=6.92
Cn1cc(cn1)c2cn(cn2)c3ccnc4c3c(nn4c5ccc(cc5NC6CCC6)C(=O)N)C(F)(F)F	CHEMBL3661173	pIC50=6.92
NC(=O)c1ccc(cc1N[C@@H]2CC[C@@H](O)CC2)n3nc(c4c(ccnc34)c5cnc6ccccc6c5)C(F)(F)F	CHEMBL3656924	pIC50=6.92
CCCC1Cc2c(C)c3C(=O)CC(C)(C)Cc3n2c4cc(Cl)c(cc4O1)C(=O)N	CHEMBL3403717	pKi=6.94
CCNC(=O)c1noc(c1C#CCN2CCSCC2)c3cc(C(C)C)c(O)cc3O	CHEMBL3600504	pIC50=6.94
C[C@@H]1CN(CCc2c(C)c3C(=O)CC(C)(C)Cc3n2c4ccc(C(=O)N)c(N[C@H]1C)c4)C(=O)C5(N)CC5	CHEMBL1807808	pIC50=6.94
C[C@@H]1Nc2cc(ccc2C(=O)N)n3c(CCCN(C)[C@H]1C)c(C)c4C(=O)CC(C)(C)Cc34	CHEMBL1807792	pIC50=6.94
CC(C)Nc1cc(ccc1n2nc(c3c(ccnc23)n4cnc(c4)c5cnn(C)c5)C(F)(F)F)C(=O)N	CHEMBL3661172	pIC50=6.96
CCCN1CCc2c(C)c3C(=O)CC(C)(C)Cc3n2c4cc(Cl)c(cc14)C(=O)N	CHEMBL3401150	pKi=6.96
CCCOc1cc(Cl)cc(Cl)c1c2nc(N)nc3CN(Cc23)C(=O)NC4CCC4	CHEMBL1774909	pKi=6.96
CCNC(=O)c1noc2CCN(Cc12)C(=O)c3cc(Cl)c(O)cc3O	CHEMBL3233486	pIC50=6.96
CCNc1cc(ccc1n2nc(c3c(ccnc23)n4cnc(c4)c5cnn(C)c5)C(F)(F)F)C(=O)N	CHEMBL3661170	pIC50=6.96
CCc1cc(ccc1n2nc(c3c(ccnc23)n4cnc(c4)c5cnn(C)c5)C(F)(F)F)C(=O)N	CHEMBL3661163	pIC50=6.96
C[C@H]1CCN(CCc2c(C)c3C(=O)CC(C)(C)Cc3n2c4ccc(C(=O)N)c(N1)c4)C(=O)C	CHEMBL1760614	pIC50=6.96
C[C@H]1CNCCCc2c(C)c3C(=O)CC(C)(C)Cc3n2c4ccc(C(=O)N)c(N1)c4	CHEMBL1738703	pIC50=6.96
Cc1c2CCOc3cc(C(=O)N)c(Cl)cc3n2c4CC(C)(C)CC(=O)c14	CHEMBL3403719	pKi=6.96
Cn1cc(cn1)c2cn(cn2)c3cccc4c(ccnc34)c5ccc(C(=O)N)c(NC(C)(C)C)c5	CHEMBL3653956	pIC50=6.96
CC(C)NC(=O)c1noc(c1C#CCN2CCOCC2)c3cc(C(C)C)c(O)cc3O	CHEMBL3600435	pIC50=6.97
CCNC(=O)c1noc(c2cc(C(C)C)c(O)cc2O)c1C#CC(C)(C)NC(=O)c3occc3	CHEMBL3600792	pIC50=6.97
CC(=O)N1CCN2CCCc3c(C)c4C(=O)CC(C)(C)Cc4n3c5ccc(C(=O)N)c(NC[C@H]2C1)c5	CHEMBL1779535	pIC50=6.98
CC(=O)Nc1ccccc1OCC(=O)c2cc(C)n(Cc3cccs3)c2C	CHEMBL1320669	pIC50=6.98
CC(C)NCCCn1c(Sc2cc3OCOc3cc2N(C)C)nc4c(N)ncnc14	CHEMBL3426785	pIC50=7.0
CC(C)c1nn(c2ccc(C(=O)N)c(c2)N(O)C3CCCCC3)c4nccc(c14)n5cnc(c5)c6cccnc6	CHEMBL3661100	pIC50=7.0
CC(C)c1nn(c2ccc(C(=O)N)c(c2)N(O)C3CCCCC3)c4nccc(c14)n5cnc(c5)c6ccncc6	CHEMBL3661101	pIC50=7.0
CCCNc1cc(ccc1n2nc(c3c(ccnc23)n4cnc(c4)c5cnn(C)c5)C(F)(F)F)C(=O)N	CHEMBL3661171	pIC50=7.0
CCNC(=O)c1noc(c1C#CC(C)(C)NC(=O)C2CCCCC2)c3cc(C(C)C)c(O)cc3O	CHEMBL3600789	pIC50=7.0
CCOC(=O)c1noc2CCN(Cc12)C(=O)c3cc(C(C)C)c(O)cc3O	CHEMBL3233485	pIC50=7.0
CO[C@H]1C[C@H](C)CC2=C(N)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)C2=O	CHEMBL339231	pKd=7.0
Cc1cc2c(cccc2c(c3ccc(C(=O)N)c(NC4CCC(O)CC4)c3)[n+]1[O-])c5cnc6ccccc6c5	CHEMBL3653856	pIC50=7.0
Cc1cc2c(cccc2c(n1)c3ccc(C(=O)N)c(NC(C)(C)C)c3)n4cnc(c4)c5cnn(C)c5	CHEMBL3653920	pIC50=7.0
Cn1cc(cn1)c2cn(cn2)c3cccc4c(cc(nc34)C(F)(F)F)c5ccc(C(=O)N)c(NC(C)(C)C)c5	CHEMBL3653913	pIC50=7.0
Cn1cc(cn1)c2cn(cn2)c3cccc4c(cc(nc34)C5CC5)c6ccc(C(=O)N)c(N)c6	CHEMBL3653933	pIC50=7.0
Cn1cc(cn1)c2cn(cn2)c3cccc4c(nccc34)c5ccc(C(=O)N)c(NCC6CCCO6)c5	CHEMBL3653887	pIC50=7.0
Cn1cc(cn1)c2cn(cn2)c3ccnc4c3c(nn4c5ccc(cc5F)C(=O)N)C(F)(F)F	CHEMBL3661179	pIC50=7.0
Cn1cc(cn1)c2cn(cn2)c3ccnc4c3c(nn4c5ccc(cc5N)C(=O)N)C(F)(F)F	CHEMBL3661166	pIC50=7.0
Cn1cc(cn1)c2cn(cn2)c3ccnc4c3c(nn4c5ccc(cc5NCC(F)F)C(=O)N)C(F)(F)F	CHEMBL3661175	pIC50=7.0
NC(=O)c1ccc(cc1NC2CCC(O)CC2)c3nccc4c(cccc34)c5cncc(CO)c5	CHEMBL3653863	pIC50=7.0
NC(=O)c1ccc(cc1N[C@@H]2CC[C@@H](O)CC2)n3cc(c4c(ccnc34)c5cnc6ccccc6c5)C(F)(F)F	CHEMBL3656952	pIC50=7.0
COc1c(C)cnc(Cn2ccc3c(Cl)nc(N)nc23)c1C	CHEMBL2205243	pEC50=7.01
CC(C)c1cc(c(O)cc1O)n2nnc(C(=O)NC3CCCCC3)c2c4ccc(CN5CCOCC5)cc4	CHEMBL3235115	pIC50=7.02
Cc1c2CCCN3CCC[C@@H]3CNc4cc(ccc4C(=O)N)n2c5CC(C)(C)CC(=O)c15	CHEMBL1738705	pIC50=7.02
Cc1c2CCCN3CCC[C@H]3CNc4cc(ccc4C(=O)N)n2c5CC(C)(C)CC(=O)c15	CHEMBL1779531	pIC50=7.02
Cc1c2CCCN3CCOC[C@@H]3CNc4cc(ccc4C(=O)N)n2c5CC(C)(C)CC(=O)c15	CHEMBL1779533	pIC50=7.02
Cc1cn(c2CC(C)(C)CC(=O)c12)c3cc(Cc4ccccc4)c5C(=O)NCCc5c3	CHEMBL3235359	pKi=7.03
CC(C)[C@H](O)C(=O)N1CCc2c(C)c3C(=O)CC(C)(C)Cc3n2c4ccc(C(=O)N)c(N[C@@H](C)[C@H](C)C1)c4	CHEMBL1807813	pIC50=7.04
CCNC(=O)c1noc(c1C#CCN2C[C@@H](C)O[C@@H](C)C2)c3cc(C(C)C)c(O)cc3O	CHEMBL3600502	pIC50=7.04
CC(C)c1cc(c2ccc(C(=O)N)c(N)c2)c3cccc(c3n1)n4cnc(c4)c5ccc[n+]([O-])c5	CHEMBL3653955	pIC50=7.05
CCCc1cn(c2ccc(C(=O)N)c(N[C@@H]3CC[C@@H](O)CC3)c2)c4nccc(c5cnc6ccccc6c5)c14	CHEMBL3656953	pIC50=7.05
CCc1cc(c2ccc(C(=O)N)c(N)c2)c3cccc(c3n1)n4cnc(c4)c5cccnc5	CHEMBL3653948	pIC50=7.05
COc1cc(ccc1n2nc(C(C)C)c3c(ccnc23)n4cnc(c4)c5cnn(C)c5)C(=O)N	CHEMBL3661136	pIC50=7.05
C[C@@H]1CCc2c(C)c3C(=O)CC(C)(C)Cc3n2c4ccc(C(=O)N)c(NC[C@@H](C)N1)c4	CHEMBL1760611	pIC50=7.05
COc1ccc(cc1)c2c(NC(=O)C3CCC3)onc2c4cc(Cl)c(O)cc4O	CHEMBL3342589	pIC50=7.06
C[C@@H]1CN(C)CCc2c(C)c3C(=O)CC(C)(C)Cc3n2c4ccc(C(=O)N)c(N[C@H]1C)c4	CHEMBL1807793	pIC50=7.06
CC(C)CCN1CCc2c(C)c3C(=O)CC(C)(C)Cc3n2c4cc(Cl)c(cc14)C(=O)N	CHEMBL3401153	pKi=7.07
C[C@@H]1Nc2cc(ccc2C(=O)N)n3c(CCCN([C@H]1C)C(=O)C)c(C)c4C(=O)CC(C)(C)Cc34	CHEMBL1807796	pIC50=7.07
Cc1c2CCOc3cc(ccc3n2c4CC(C)(C)CC(=O)c14)C(=O)N	CHEMBL3403716	pKi=7.07
COCCC(=O)N1CCc2c(C)c3C(=O)CC(C)(C)Cc3n2c4ccc(C(=O)N)c(N[C@@H](C)[C@H](C)C1)c4	CHEMBL1807803	pIC50=7.08
C[C@@H]1CN(CCO)CCc2c(C)c3C(=O)CC(C)(C)Cc3n2c4ccc(C(=O)N)c(N[C@H]1C)c4	CHEMBL1807795	pIC50=7.08
C[C@@H]1CN(CCc2c(C)c3C(=O)CC(C)(C)Cc3n2c4ccc(C(=O)N)c(N[C@H]1C)c4)C(=O)C5(N)CCCC5	CHEMBL1807809	pIC50=7.08
C[C@H](N)C(=O)N1CCc2c(C)c3C(=O)CC(C)(C)Cc3n2c4ccc(C(=O)N)c(N[C@@H](C)[C@H](C)C1)c4	CHEMBL1807804	pIC50=7.08
Cc1ccc2OCCCCCOc3cccc(Sc4cc(nc(N)n4)c1c2)c3	CHEMBL1939372	pKd=7.08
C[C@@H]1NCCCc2c(C)c3C(=O)CC(C)(C)Cc3n2c4ccc(C(=O)N)c(N[C@H]1C)c4	CHEMBL1807790	pIC50=7.09
C[C@@H]1Nc2cc(ccc2C(=O)N)n3c(CCCN([C@H]1C)C(=O)CN)c(C)c4C(=O)CC(C)(C)Cc34	CHEMBL1807798	pIC50=7.09
C[C@@H]1Nc2cc(ccc2C(=O)N)n3c(CCCNC1=O)c(C)c4C(=O)CC(C)(C)Cc34	CHEMBL1778208	pIC50=7.09
CC(C)c1cc(c2ccc(C(=O)N)c(N)c2)c3cccc(c3n1)n4cnc(c4)c5cnn(C)c5	CHEMBL3653940	pIC50=7.1
COCCNc1cc(ccc1C(=O)N)c2nc(C)cc3c(cccc23)n4cnc(c4)c5cnn(C)c5	CHEMBL3653925	pIC50=7.1
C[C@@H]1CN(CCc2c(C)c3C(=O)CC(C)(C)Cc3n2c4ccc(C(=O)N)c(N[C@H]1C)c4)C(=O)[C@@H]5C[C@H](F)CN5	CHEMBL1806511	pIC50=7.1
NC(=O)c1ccc(cc1NC2CCC(O)CC2)c3nccc4c(cccc34)n5cnc(c5)c6cccnc6	CHEMBL3653869	pIC50=7.1
CCNC(=O)c1noc(c2cc(C(C)C)c(O)cc2O)c1C#CC(C)(C)NS(=O)(=O)c3ccc(C)cc3	CHEMBL3600512	pIC50=7.11
C[C@@H]1Nc2cc(ccc2C(=O)N)n3c(CCCN([C@H]1C)C(=O)CO)c(C)c4C(=O)CC(C)(C)Cc34	CHEMBL1807800	pIC50=7.11
Cc1c2CCCN3CCC[C@@H](C3)Nc4cc(ccc4C(=O)N)n2c5CC(C)(C)CC(=O)c15	CHEMBL1779547	pIC50=7.11
Oc1cc(O)c(cc1C(=O)N2Cc3ccccc3C2)n4ccc5cc(Br)ccc45	CHEMBL3260490	pIC50=7.11
C[C@@H]1CN(CCc2c(C)c3C(=O)CC(C)(C)Cc3n2c4ccc(C(=O)N)c(N[C@H]1C)c4)C(=O)CN	CHEMBL1807799	pIC50=7.13
OC[C@H]1O[C@@H](O[C@@H]2OC=C[C@H]3[C@@H](C[C@@](O)(CO)[C@@H]23)OC(=O)\C=C/c4ccc(O)cc4)[C@H](O)[C@@H](O)[C@@H]1O	CHEMBL2332361	pKd=7.14
Oc1cc(O)c(cc1Cl)N2C(=O)Nc3cc(CNC(=O)c4ccccc4)ccc23	CHEMBL1801573	pIC50=7.14
Cc1ccc(Nc2cc(C(=O)N3Cc4ccccc4C3)c(O)cc2O)cc1	CHEMBL3260493	pIC50=7.15
CC(C)[C@H](N)C(=O)N1CCc2c(C)c3C(=O)CC(C)(C)Cc3n2c4ccc(C(=O)N)c(N[C@@H](C)[C@H](C)C1)c4	CHEMBL1807806	pIC50=7.16
CC(C)c1cc(c(O)cc1O)c2noc(NC(=O)C3CC3)c2c4ccc(CN5CCC(CC5)N(C)C)cc4	CHEMBL3342731	pIC50=7.16
CC(C)c1nn(c2ccc(C(=O)N)c(c2)N(O)C3CCCCC3)c4nccc(c14)n5cnc(c5)c6cnn(C)c6	CHEMBL3661105	pIC50=7.16
CCCc1cc(ccc1n2nc(c3c(ccnc23)n4cnc(c4)c5cnn(C)c5)C(F)(F)F)C(=O)N	CHEMBL3661164	pIC50=7.16
CCNC(=O)c1[nH]nc(c2cc(Br)c(O)cc2O)c1c3ccc(OC)cc3	CHEMBL190182	pIC50=7.16
CCNC(=O)c1noc(c2cc(C(C)C)c(O)cc2O)c1C#CC(C)(C)NC(=O)c3cnc4ccccc4c3	CHEMBL3600797	pIC50=7.16
COCCNc1cc(ccc1n2nc(c3c(ccnc23)n4cnc(c4)c5cnn(C)c5)C(F)(F)F)C(=O)N	CHEMBL3661176	pIC50=7.16
COc1ccc(cc1)c2c(NC(=O)C)onc2c3cc(Cl)c(O)cc3O	CHEMBL3342581	pIC50=7.16
Cn1cc(cn1)c2cn(cn2)c3cccc4c(nccc34)c5ccc(C(=O)N)c(NC6CCC(O)CC6)c5	CHEMBL3653880	pIC50=7.16
NC(=O)c1ccc(cc1NC2CCC(O)CC2)c3nc(nc4c(cccc34)c5cnc6ccccc6c5)C(F)(F)F	CHEMBL3653941	pIC50=7.16
NC(=O)c1ccc(cc1NC2CCC(O)CC2)c3nccc4c(cccc34)c5cnc6nc[nH]c6c5	CHEMBL3653859	pIC50=7.16
Oc1cc(O)c(cc1C(=O)N2Cc3ccccc3C2)n4ccc5c(Br)cccc45	CHEMBL3260486	pIC50=7.16
CC(C)c1cc(C(=O)N2CCc3onc(C(=O)NC4CCCC4)c3C2)c(O)cc1O	CHEMBL3233753	pIC50=7.17
C[C@@H]1CN(CCc2c(C)c3C(=O)CC(C)(C)Cc3n2c4ccc(C(=O)N)c(N[C@H]1C)c4)C(=O)[C@@H]5CCCN5	CHEMBL1807810	pIC50=7.17
CC(C)c1cc(c(O)cc1O)c2onc(C(=O)N)c2C#CCN3CCOCC3	CHEMBL3600434	pIC50=7.18
CCNC(=O)c1noc(c1C#CC(C)(C)NC(=O)c2ccc(F)nc2)c3cc(C(C)C)c(O)cc3O	CHEMBL3600800	pIC50=7.18
CCNC(=O)c1noc(c1C#CCN2CCOCC2)c3cc(C(C)C)c(O)cc3O	CHEMBL3600500	pIC50=7.18
CCNC(=O)c1noc(c2cc(C(C)C)c(O)cc2O)c1C#CCNC(=O)c3ccc(nc3)C(F)(F)F	CHEMBL3600508	pIC50=7.18
C[C@@H]1CN(CCc2c(C)c3C(=O)CC(C)(C)Cc3n2c4ccc(C(=O)N)c(N[C@H]1C)c4)C(=O)CO	CHEMBL1807801	pIC50=7.18
CC[C@H](N)C(=O)N1CCc2c(C)c3C(=O)CC(C)(C)Cc3n2c4ccc(C(=O)N)c(N[C@@H](C)[C@H](C)C1)c4	CHEMBL1807805	pIC50=7.19
CN1CCc2c(C)c3C(=O)CC(C)(C)Cc3n2c4cc(Cl)c(cc14)C(=O)N	CHEMBL3401148	pKi=7.19
C[C@@H]1CNCCc2c(C)c3C(=O)CC(C)(C)Cc3n2c4ccc(C(=O)N)c(N[C@H]1C)c4	CHEMBL1807791	pIC50=7.19
COCCNc1cc(ccc1C(=O)N)n2c3CN(C)CCc3c4C(=O)CC(C)(C)Cc24	CHEMBL3235337	pKi=7.21
COc1ccc(cc1)c2c(C)n[nH]c2c3cc(Br)c(O)cc3O	CHEMBL364968	pIC50=7.21
CC(C)c1nn(c2ccc(C(=O)N)c(NC3CCC(O)CC3)c2)c4nccc(c14)n5cnc(c5)c6cn[nH]c6	CHEMBL3661110	pIC50=7.22
CC1Cc2c(C)c3C(=O)CC(C)(C)Cc3n2c4ccc(cc4O1)C(=O)N	CHEMBL3403718	pKi=7.22
CCCC(=O)Nc1onc(c2cc(Cl)c(O)cc2O)c1c3ccc(OC)cc3	CHEMBL3342583	pIC50=7.22
CCNC(=O)c1noc(c2cc(C(C)C)c(O)cc2O)c1c3ccc(CN4CCOCC4)cc3	CHEMBL252164	pIC50=7.22
CCc1cc(c2ccc(C(=O)N)c(N)c2)c3cccc(c3n1)n4cnc(c4)c5cnn(C)c5	CHEMBL3653931	pIC50=7.22
C[C@@H]1CN(CCc2c(C)c3C(=O)CC(C)(C)Cc3n2c4ccc(C(=O)N)c(N[C@H]1C)c4)C(=O)C(C)(C)N	CHEMBL1807807	pIC50=7.22
Cc1c2CCCN3C[C@@H](F)C[C@@H]3CNc4cc(ccc4C(=O)N)n2c5CC(C)(C)CC(=O)c15	CHEMBL1779539	pIC50=7.22
NC(=O)c1ccc(cc1NC2CCC(O)CC2)c3nccc4c(cccc34)c5cncc(N)c5	CHEMBL3653850	pIC50=7.22
Oc1cc(O)c(cc1Cl)N2C(=O)Nc3cc(CNC(=O)Nc4ccccc4)ccc23	CHEMBL1801576	pIC50=7.22
Oc1ccc2c(noc2c1)c3cc(Cl)c(O)cc3O	CHEMBL362307	pIC50=7.22
CC(C)NCCCn1c(Sc2cc3OCOc3cc2I)nc4c(N)ncnc14	CHEMBL200102	pEC50=7.23
CCNC(=O)Nc1onc(c2cc(Cl)c(O)cc2O)c1c3ccc(OC)cc3	CHEMBL3342592	pIC50=7.23
CC(C)c1cc(c(O)cc1O)c2noc(NC(=O)C3CC3)c2c4ccc(CN(C)C5CCCCC5)cc4	CHEMBL3342733	pIC50=7.24
CC(C)c1cc(c(O)cc1O)c2noc(NC(=O)C3CC3)c2c4ccc(CN5CCSCC5)cc4	CHEMBL3342724	pIC50=7.24
CCNC(=O)c1noc(c2cc(C(C)C)c(O)cc2O)c1C#CC(C)(C)NC(=O)c3ccc(OC)nc3	CHEMBL3600798	pIC50=7.24
C[C@@H]1CN(CCc2c(C)c3C(=O)CC(C)(C)Cc3n2c4ccc(C(=O)N)c(N[C@H]1C)c4)C(=O)C	CHEMBL1807797	pIC50=7.24
CCCCc1cc(cc2CCNC(=O)c12)n3cc(C)c4C(=O)CC(C)(C)Cc34	CHEMBL3235357	pKi=7.25
CCOc1cccc(n1)c2cc(F)ccc2[C@H]3Cc4nc(N)nc(C)c4C(=O)N3	CHEMBL3360310	pIC50=7.25
CC(C)c1cc(c(O)cc1O)c2noc(NC(=O)C3CC3)c2c4ccc(CN(C)CCN(C)C)cc4	CHEMBL3342732	pIC50=7.26
CC(C)c1cc(C(=O)N2CCc3onc(C(=O)NCCN4CCOCC4)c3C2)c(O)cc1O	CHEMBL3233752	pIC50=7.27
CCNC(=O)c1noc(c1C#CC2CCCC2)c3cc(C(C)C)c(O)cc3O	CHEMBL3600498	pIC50=7.27
Cc1c2CCN(CC#C)c3cc(C(=O)N)c(Cl)cc3n2c4CC(C)(C)CC(=O)c14	CHEMBL3401152	pKi=7.27
Oc1cc(O)c(cc1Cl)N2C(=O)Nc3ccccc23	CHEMBL1802337	pIC50=7.27
COc1ccc(cc1)c2c(N)onc2c3cc(Cl)c(O)cc3O	CHEMBL3342580	pIC50=7.28
COc1ccc(cc1)c2c(NC(=O)C3CC3)onc2c4cc(Cl)c(O)cc4O	CHEMBL3342588	pIC50=7.28
COc1ccc(cc1)c2c([nH]nc2c3cc(Cl)c(O)cc3O)C(=O)N	CHEMBL366215	pIC50=7.28
CCNC(=O)c1noc(c1C#CC(C)(C)NC(=O)C)c2cc(C(C)C)c(O)cc2O	CHEMBL3600513	pIC50=7.3
CO[C@H]1C[C@H](C)Cc2cc(NC(=O)\C(=C\CC[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)cc(Cl)c2O	CHEMBL511618	pKd=7.3
CS(=O)(=O)NCc1ccc2N(C(=O)Nc2c1)c3cc(Cl)c(O)cc3O	CHEMBL1801574	pIC50=7.3
Cc1c2CCN(CC#N)c3cc(C(=O)N)c(Cl)cc3n2c4CC(C)(C)CC(=O)c14	CHEMBL3401156	pKi=7.3
Cc1cc(nc(N)n1)c2c(Cl)cc(Cl)cc2OCCCC(F)(F)F	CHEMBL1774835	pKi=7.3
OC[C@H]1O[C@@H](O[C@@H]2OC=C[C@H]3[C@H](OC(=O)[C@@H]4[C@H]([C@H]([C@@H]4c5ccc(O)cc5)C(=O)O[C@H]6[C@@H]7C=CO[C@@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)[C@@H]7[C@@]9(CO)O[C@@H]69)c%10ccc(O)cc%10)[C@@H]%11O[C@]%11(CO)[C@@H]23)[C@H](O)[C@@H](O)[C@@H]1O	CHEMBL2332353	pKd=7.3
CC(=O)O[C@H]1C[C@@H](OC(=O)C)[C@@]2(C)CO[C@@H]3[C@@H](O)[C@]4(C)[C@H](CC[C@@]5(C)[C@@H](CC=C45)c6cocc6)[C@]1(C)[C@H]23	CHEMBL463701	pKd=7.31
CCNC(=O)c1noc(c1C#CCN2CCC(=NOC)CC2)c3cc(C(C)C)c(O)cc3O	CHEMBL3600501	pIC50=7.32
Oc1cc(O)c(cc1Cl)N2C(=O)Nc3cc(CNS(=O)(=O)c4ccc5ccccc5c4)ccc23	CHEMBL1801579	pIC50=7.33
CC(C)c1cc(c(O)cc1O)c2noc(NC(=O)C3CC3)c2c4ccc(CN5CC(C)CC(C)C5)cc4	CHEMBL3342729	pIC50=7.34
CN1CCc2c(C1)n(c3CC(C)(C)CC(=O)c23)c4ccc(C(=O)N)c(NC5CC5)c4	CHEMBL3235340	pKi=7.34
CC(C)NC(=O)c1noc(c2cc(C(C)C)c(O)cc2O)c1C#Cc3ccccc3	CHEMBL3600494	pIC50=7.35
CCNC(=O)c1noc(c1C#CN2CCN(CC2)C(=O)c3ccc(nc3)C(F)(F)F)c4cc(C(C)C)c(O)cc4O	CHEMBL3600506	pIC50=7.35
CC(C)c1cc(c(O)cc1O)c2noc(NC(=O)C3CC3)c2c4ccc(CN5CCC(CC5)N6CCCC6)cc4	CHEMBL3342734	pIC50=7.36
COc1ccc(cc1)c2c(NC(=O)C)onc2c3cc(Br)c(O)cc3O	CHEMBL3342593	pIC50=7.36
COc1ccc(cc1)c2c(NC(=O)C3CCCC3)onc2c4cc(Cl)c(O)cc4O	CHEMBL3342590	pIC50=7.36
CCCCCCCC(=O)Nc1onc(c2cc(Cl)c(O)cc2O)c1c3ccc(OC)cc3	CHEMBL3342587	pIC50=7.37
CC(C)Cc1cc(cc2CCNC(=O)c12)n3c4CN(C)CCc4c5C(=O)CC(C)(C)Cc35	CHEMBL3235350	pKi=7.38
CCOc1ccc(cc1)c2snnc2c3cc(CC)c(O)cc3O	CHEMBL514748	pKd=7.38
CCSc1nc(C)nc(N)n1	CHEMBL1834390	pKd=7.38
CCc1cc(c(O)cc1O)c2noc(NC(=O)C)c2c3ccc(OC)cc3	CHEMBL3342595	pIC50=7.38
CN1CCc2c(C1)n(c3CC(C)(C)CC(=O)c23)c4ccc(C(=O)N)c(N[C@H]5CCOC5)c4	CHEMBL3235334	pKi=7.38
COc1ccc(cc1)c2c(NC(=O)C(C)(C)C)onc2c3cc(Cl)c(O)cc3O	CHEMBL3342585	pIC50=7.38
CC(C)(CSc1nc(N)nc(n1)c2c(Cl)cc3COCc4cccc2c34)C(=O)N	CHEMBL3104282	pKd=7.39
Cc1c2CCN(Cc3cocc3)c4cc(C(=O)N)c(Cl)cc4n2c5CC(C)(C)CC(=O)c15	CHEMBL3401155	pKi=7.39
CC(=O)NCc1ccc2N(C(=O)Nc2c1)c3cc(Cl)c(O)cc3O	CHEMBL1801572	pIC50=7.4
CCNC(=O)c1noc(c1C#CC(C)(C)NC(=O)c2cccnc2)c3cc(C(C)C)c(O)cc3O	CHEMBL3600795	pIC50=7.4
COc1ccc(cc1)c2cc(cc3CCNC(=O)c23)n4cc(C)c5C(=O)CC(C)(C)Cc45	CHEMBL3235363	pKi=7.4
Cc1ccc2OCCCCOc3cccc(Sc4cc(nc(N)n4)c1c2)c3	CHEMBL1939371	pKd=7.4
Nc1nc2CN(Cc2c(n1)c3c(Cl)cc(Cl)cc3OCCCC#N)C(=O)NC4CCC4	CHEMBL1774912	pKi=7.4
Oc1cc(O)c(cc1Br)c2noc3ccc(NCCN4CCOCC4)cc23	CHEMBL254875	pIC50=7.4
CNC(=O)c1[nH]nc(c2cc(Cl)c(O)cc2O)c1c3ccc(OC)cc3	CHEMBL424811	pIC50=7.41
Oc1cc(O)c(cc1C(=O)N2Cc3ccccc3C2)n4ccc5c(cccc45)[N+](=O)[O-]	CHEMBL3260487	pIC50=7.41
COc1c(C)cnc(Cn2cnc3c(Cl)nc(N)nc23)c1C	CHEMBL467399	pEC50=7.42
COc1ccc(cc1)c2c(NC(=O)C(C)C)onc2c3cc(Cl)c(O)cc3O	CHEMBL3342584	pIC50=7.42
Cc1ccc2c(ccn2c3cc(C(=O)N4Cc5ccccc5C4)c(O)cc3O)c1	CHEMBL3260491	pIC50=7.42
Nc1nc2CN(Cc2c(n1)c3c(Cl)cc(Cl)cc3OCCCC(F)(F)F)C(=O)NCCC#N	CHEMBL1774906	pKi=7.42
Oc1cc(O)c(cc1C(=O)N2Cc3ccccc3C2)n4ccc5ccccc45	CHEMBL3260480	pIC50=7.42
CC(C)Nc1cc(cc2CCNC(=O)c12)n3c4CN(C)CCc4c5C(=O)CC(C)(C)Cc35	CHEMBL3235345	pKi=7.43
CC(C)c1cc(c(O)cc1O)n2nncc2c3ccc(CN4CCCC(O)C4)cc3	CHEMBL3234763	pIC50=7.43
CCC(=O)Nc1onc(c2cc(Cl)c(O)cc2O)c1c3ccc(OC)cc3	CHEMBL3342582	pIC50=7.43
COc1cccc(n1)c2ccc(F)cc2[C@H]3Cc4nc(N)nc(C)c4C(=O)N3	CHEMBL3360308	pIC50=7.43
CC(C)c1cc(c(O)cc1O)c2noc(NC(=O)C3CC3)c2c4ccc(CN5CCc6ccccc6C5)cc4	CHEMBL3342727	pIC50=7.44
CC(C)c1cc(c(O)cc1O)n2nncc2c3ccc(CN4CCN(CC4)c5ccccc5)cc3	CHEMBL3234760	pIC50=7.44
CC1(C)CC(=O)c2c3CCCCc3n(c2C1)c4ccc(C(=O)N)c(N[C@H]5CCOC5)c4	CHEMBL3235351	pKi=7.44
CC(C)N(Cc1ccc(cc1)c2c(NC(=O)C3CC3)onc2c4cc(C(C)C)c(O)cc4O)C(C)C	CHEMBL3342725	pIC50=7.46
