COc1ncc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@@H](CC4)OCO)C2=O	CHEMBL2376093	pIC50=7.53
NC1(CCC1)c2ccc(cc2)n3c(nc4ccc(nc34)c5ccccc5)c6ccccc6	CHEMBL3649673	pIC50=8.11
N[C@]1(CNC(=O)c2ccc(F)cc2)CCN(C1)c3ncnc4[nH]cc(C#N)c34	CHEMBL1171993	pIC50=8.11
N[C@]1(CNC(=O)c2ccc(F)cc2F)CCN(C1)c3ncnc4[nH]cc(C#N)c34	CHEMBL1170447	pIC50=8.11
Cc1c[nH]c2ncnc(N3CCC(N)(CNC(=O)c4ccc(F)cc4)C3)c12	CHEMBL1171673	pIC50=8.13
N[C@H](COc1cncc(c1)c2cnc3NC(=O)Cc3c2)Cc4c[nH]c5ccccc45	CHEMBL575385	pIC50=8.13
Oc1oc2cc(N[C@H](COc3cncc(c3)c4ccc5nc(O)oc5c4)Cc6c[nH]c7ccccc67)ccc2n1	CHEMBL209281	pIC50=8.13
CC(C)(Cc1ncc[nH]1)C2C(=O)Nc3ccc(cc23)c4cncc(OC[C@@H](N)Cc5c[nH]c6ccccc56)c4	CHEMBL210209	pIC50=8.14
NC1(CCC1)c2ccc(cc2)n3c(nc4ccc(nc34)c5ccccc5)c6cccnc6F	CHEMBL3649675	pIC50=8.14
N[C@H](COc1cncc(c1)c2cc3cn[nH]c3cn2)Cc4cccc(c4)C(F)(F)F	CHEMBL226850	pIC50=8.14
N[C@H](COc1cncc(c1)c2ccc3NC(=O)C(c3c2)c4ncc[nH]4)Cc5c[nH]c6ccccc56	CHEMBL579053	pIC50=8.14
Nc1ncnc(Cl)c1c2nc3ccc(nc3n2c4ccc(cc4)C5(N)CCC5)c6ccccc6	CHEMBL3649669	pIC50=8.14
C[C@H](O)CNC(=O)c1cccc(c1)c2ccc3nc(c4cccnc4N)n(c5ccc(cc5)C6(N)CCC6)c3n2	CHEMBL3640736	pKd=8.15
NC1(CC(O)(C1)C2CC2)c3ccc(cc3)c4nc5c6c(F)cccc6OCn5c4c7ccsc7	CHEMBL3701720	pIC50=8.15
N[C@H](COc1cncc(c1)c2cc3c(Cl)n[nH]c3cc2N)Cc4c[nH]c5ccccc45	CHEMBL225789	pIC50=8.15
C(N1CC(C1)c2n[nH]c(n2)c3ccccn3)c4ccc(cc4)c5nc6nc(nn6cc5c7ccccc7)C8CC8	CHEMBL3639709	pIC50=8.16
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4ccc(cc4)C(C)(C)C)c3	CHEMBL1773734	pIC50=8.16
CCC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4	CHEMBL2325982	pIC50=8.16
CCC1SCc2ncnc(N3CCN(CC3)C(=O)[C@H](N)Cc4ccc(Cl)cc4)c12	CHEMBL1632372	pIC50=8.16
CCOC(=O)c1cncc(c1)c2cnc3cc(c4ccccc4)c(nn23)c5ccc(cc5)C6(N)CCC6	CHEMBL3672498	pIC50=8.16
CN1CC(C1)[C@@H](NC(=O)c2ccc3cnccc3c2)c4ccc(Cl)c(Cl)c4	CHEMBL1823663	pIC50=8.16
COC(=O)c1cnn2cc(c(nc12)c3ccc(CN4CCC(CC4)c5n[nH]c(n5)c6cccc(C)n6)cc3)c7c(F)cccc7F	CHEMBL3672050	pIC50=8.16
COC(=O)c1cnn2cc(c3ccc(F)cc3F)c(nc12)c4ccc(CN5CC(C5)c6n[nH]c(n6)c7ccccn7)cc4	CHEMBL3672033	pIC50=8.16
CS(=O)(=O)NCCC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4	CHEMBL2325736	pIC50=8.16
CSc1nc2nc(c3ccc(CN4CCC(CC4)c5n[nH]c(n5)c6ccccn6)cc3)c(cn2n1)c7ccccc7	CHEMBL3672085	pIC50=8.16
C[C@@H]1OCc2ncnc(N3CCN(CC3)C(=O)[C@H](N)Cc4ccc(Cl)cc4)c12	CHEMBL1632378	pIC50=8.16
C[C@@H]1SCc2ncnc(N3CCN(CC3)C(=O)C(Cc4ccc(Cl)c(F)c4)CC(C)(C)N)c12	CHEMBL1632388	pIC50=8.16
Cc1c(NCCN2CCCC2)cc(CCC(C)(C)C)cc1N3CCN(CC3)c4ncnc5[nH]nc(Br)c45	CHEMBL2016889	pIC50=8.16
Cc1cccc(n1)c2nc(n[nH]2)C3CN(Cc4ccc(cc4)c5nc6ncc(C)n6cc5c7ccccc7)C3	CHEMBL3672026	pIC50=8.16
Cc1nc2nc(c3ccc(CN4CC(C4)c5n[nH]c(n5)c6ccccn6)cc3)c(c(C)n2n1)c7ccccc7	CHEMBL3672045	pIC50=8.16
Clc1ccc(cc1Cl)[C@H](NC(=O)c2ccc3cnccc3c2)C4CNC4	CHEMBL1823655	pIC50=8.16
Fc1ccc2N(CCc2c1)C(=O)CC3=NC(=CC(=O)N3)N4CCOCC4	CHEMBL3112847	pIC50=8.16
NC1(CCC1)c2ccc(cc2)c3nc4c(Cl)cc(Cl)cn4c3c5ccccc5	CHEMBL3699754	pIC50=8.16
NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CO)c4ccc(Cl)cc4	CHEMBL2325737	pIC50=8.16
Nc1ncccc1c2nc3ccc(nc3n2c4ccc(cc4)C5(N)CCC5)c6cccc(NC(=O)C7CC7)c6	CHEMBL3640732	pKd=8.16
Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4cccc(OCC5CCNCC5)c4)c3	CHEMBL226745	pIC50=8.17
Cc1n[nH]c2cnc(cc12)c3cncc(OC[C@@H](N)Cc4cccc(OCC5CCNCC5)c4)c3	CHEMBL576372	pIC50=8.17
N[C@H](COc1cncc(c1)c2ccc3cnccc3c2)Cc4n[nH]c5ccccc45	CHEMBL211827	pKi=8.17
CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5cnccc5OCn4c3c6ccccc6	CHEMBL3701747	pIC50=8.18
Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4csc5ccccc45)c3	CHEMBL263510	pKi=8.18
CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5cc(F)ccc5OCn4c3c6ccccc6	CHEMBL3701724	pIC50=8.19
CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5nccnc5OCn4c3c6ccccc6	CHEMBL3701756	pIC50=8.19
Oc1[nH]c2ccc(N[C@H](COc3cncc(c3)c4ccc5[nH]c(O)c(N=O)c5c4)Cc6c[nH]c7ccccc67)cc2c1N=O	CHEMBL376959	pIC50=8.19
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3	CHEMBL1615189	pIC50=8.2
NC1(CCC1)c2ccc(cc2)n3c(nc4ccc(nc34)c5cccc(c5)N6CCOCC6)c7ccc(Cl)cc7	CHEMBL3649683	pIC50=8.2
CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5ccc(cc5OCn4c3c6ccccc6)C#N	CHEMBL3701760	pIC50=8.21
NC(=O)c1ncc2cc(c3ccccc3)c(nc2n1)c4ccc(CN5CCC(CC5)c6nnc([nH]6)c7ccccn7)cc4	CHEMBL404556	pIC50=8.21
Brc1cnc2nc(c3ccc(CN4CC(C4)c5n[nH]c(n5)c6ccccn6)cc3)c(cn12)c7ccccc7	CHEMBL3672066	pIC50=8.22
CC(C)NCC(Cc1ccc(Cl)c(F)c1)C(=O)N2CCN(CC2)c3ncnc4CO[C@@H](C)c34	CHEMBL1632390	pIC50=8.22
CC(C)NC[C@@H](C(=O)N1CCN(CC1)c2ncnc3CC[C@@H](C)c23)c4ccc(Cl)cc4	CHEMBL2177385	pIC50=8.22
CC1Cc2ccccc2N1C(=O)CC3=NC(=CC(=O)N3)N4CCOCC4	CHEMBL3112862	pIC50=8.22
CCn1c(nc2c(nc(CN)cc12)C#CC(C)(C)O)c3nonc3N	CHEMBL1098241	pIC50=8.22
CCn1c(nc2c(nc(CN3CCCC3)cc12)C#CC(C)(C)O)c4nonc4N	CHEMBL1096290	pIC50=8.22
CCn1c(nc2c(nc(OCCN)cc12)C#CC(C)(C)O)c3nonc3N	CHEMBL1096291	pKi=8.22
CCn1c(nc2c(ncc(OCCCN)c12)C#CC(C)(C)O)c3nonc3N	CHEMBL493874	pIC50=8.22
CN(C)CC(=O)N1CCN(CC1)c2ncc3cc(c4ccccc4)c(nc3n2)c5ccc(CN6CCC(CC6)c7nnc([nH]7)c8ccccn8)cc5	CHEMBL447168	pIC50=8.22
CNc1nccc(n1)c2ccc(s2)C(=O)N[C@H](CN)Cc3ccc(Cl)cc3Cl	CHEMBL213618	pIC50=8.22
COc1ccc2c(OCn3c2nc(c4ccc(cc4)C5(N)CC(C)(O)C5)c3c6ccccc6)c1	CHEMBL3701736	pIC50=8.22
C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CN4CCC(F)CC4)c5ccc(Cl)cc5)c12	CHEMBL2177363	pIC50=8.22
C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CNC(C)(C)CO)c4ccc(c(F)c4)C(F)(F)F)c12	CHEMBL2178598	pIC50=8.22
C[C@@H]1SCc2ncnc(N3CCN(CC3)C(=O)C(Cc4ccc(Cl)cc4)CC(C)(C)N)c12	CHEMBL1632387	pIC50=8.22
Cc1cc(F)ccc1C[C@H](N)COc2cncc(c2)c3cc4c(C)n[nH]c4cn3	CHEMBL575427	pIC50=8.22
Cc1cc(F)ccc1C[C@H](N)COc2cncc(c2)c3ccc4[nH]nc(C)c4c3	CHEMBL376394	pIC50=8.22
Cc1cc([nH]n1)c2ccc3nn4cc(c5ccccc5)c(nc4c3c2)c6ccc(cc6)C7(N)CCC7	CHEMBL3672557	pIC50=8.22
Cc1cccc(n1)c2nc(n[nH]2)C3CN(Cc4ccc(cc4)c5nc6nc(C)c(Br)n6cc5c7ccccc7)C3	CHEMBL3672068	pIC50=8.22
Cc1n[nH]c2ccc(cc12)c3nnc(NC[C@@H](N)Cc4cccc(c4)C(F)(F)F)s3	CHEMBL1080561	pIC50=8.22
Cc1noc(n1)c2cc(NCCN3CCCC3)c(C)c(c2)N4CCN(CC4)c5ncnc6[nH]nc(Br)c56	CHEMBL2016890	pIC50=8.22
Cc1occc1c2nc(N)c(OC[C@@H](N)Cc3ccccc3)cc2c4cnc5[nH]nc(C)c5n4	CHEMBL594755	pIC50=8.22
Clc1cnc2nc(c3ccc(CN4CC(C4)c5nnc([nH]5)c6ccccn6)cc3)c(cn12)c7ccccc7	CHEMBL3667044	pIC50=8.22
NC(=N)N1C(=N)C=Cc2nc(c3ccc(cc3)C4(N)CCC4)c(cc12)c5ccccc5	CHEMBL3679629	pIC50=8.22
NC1(CCC1)c2ccc(cc2)c3nn4c(cnc4cc3c5ccccc5)c6cccc(CO)c6	CHEMBL3672486	pIC50=8.22
NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CCCO)c4ccc(Cl)cc4	CHEMBL2325739	pIC50=8.22
NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CCS(=O)(=O)N)c4ccc(Cl)cc4	CHEMBL2325734	pIC50=8.22
NCC(NC(=O)c1cc(C2CC2)c(s1)c3ccnc4[nH]ccc34)c5ccccc5	CHEMBL512858	pIC50=8.22
NCC(NC(=O)c1ccc(s1)c2ccnc3[nH]ccc23)c4ccccc4	CHEMBL471034	pIC50=8.22
N[C@H](CNc1nnc(s1)c2ccc3[nH]ncc3c2)Cc4ccc(cc4)C(F)(F)F	CHEMBL1081628	pIC50=8.22
N[C@H](COc1cncc(c1)c2cc3c(n[nH]c3cn2)c4occc4)Cc5ccccc5	CHEMBL375485	pIC50=8.22
CC(C)(Cc1ccccc1)C2C(=O)Nc3ccc(cc23)c4cncc(OC[C@@H](N)Cc5c[nH]c6ccccc56)c4	CHEMBL210034	pIC50=8.23
Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4cccc(Cl)c4)c3	CHEMBL229799	pIC50=8.23
NC1(CCC1)c2ccc(cc2)n3c(nc4ccc(nc34)c5cccc(c5)N6CCOCC6)c7cccc(Cl)c7	CHEMBL3649682	pIC50=8.23
N[C@H](COc1cncc(c1)c2ccc3NC(=O)C(c4ccccc4)c3c2)Cc5c[nH]c6ccccc56	CHEMBL577379	pIC50=8.23
COc1ncc(cc1F)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@H](CC4)OCC(=O)N)C2=O	CHEMBL2375957	pIC50=8.24
Cc1ccc(cn1)C2=Nc3c(C)nc(N)nc3N([C@@H]4CC[C@@H](O)CC4)C2=O	CHEMBL1257295	pIC50=8.24
Cc1ccc(cn1)C2=Nc3c(C)nc(N)nc3N([C@@H]4CC[C@H](CC4)OCCO)C2=O	CHEMBL1258910	pIC50=8.24
Clc1c[nH]c2ncnc(N3CC4(CCNCC4)c5ccccc35)c12	CHEMBL411515	pIC50=8.24
Cn1cc(c(N)n1)c2nc3ccc(nc3n2c4ccc(cc4)C5(N)CCC5)c6ccccc6	CHEMBL3649670	pIC50=8.24
NC1(CCC1)c2ccc(cc2)n3c(nc4ccc(nc34)c5cccc(c5)N6CCOCC6)c7ncccn7	CHEMBL3649684	pIC50=8.24
C(N1CCC(CC1)c2n[nH]c(n2)c3ccccn3)c4ccc(cc4)c5nc6cccnc6cc5c7ccccc7	CHEMBL259753	pIC50=8.25
Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4cccc(Cl)c4Cl)c3	CHEMBL229918	pIC50=8.25
Nc1ccccc1c2nc3ccc(nc3n2c4ccc(cc4)C5(N)CCC5)c6ccccc6	CHEMBL3649676	pIC50=8.25
COc1ccc2OCn3c(nc(c4ccc(cc4)C5(N)CC(C)(O)C5)c3c6ccccc6)c2n1	CHEMBL3701765	pIC50=8.26
Cc1n[nH]c2ccc(cc12)c3nnc(NC[C@@H](N)Cc4ccc(cc4)C(F)(F)F)s3	CHEMBL1080911	pIC50=8.26
NC1(CCC1)c2ccc(cc2)c3nc4c5ccncc5OCn4c3c6ccccc6	CHEMBL3701751	pIC50=8.26
C(Oc1cncc(c1)c2cc3ccncc3s2)[C@H](Cc4c[nH]c5ccccc45)Nc6cc7ccncc7s6	CHEMBL211281	pIC50=8.27
NC1(CC(O)(C1)C2CC2)c3ccc(cc3)c4nc5c6nccnc6OCn5c4c7ccccc7	CHEMBL3701755	pIC50=8.27
N[C@H](COc1cncc(c1)c2ccc3NC(=O)C(=O)c3c2)Cc4c[nH]c5ccccc45	CHEMBL574268	pIC50=8.27
C1CC2(CCN1)CN(c3ccccc23)c4ncnc5[nH]ccc45	CHEMBL259265	pIC50=8.28
CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5ccccc5OCn4c3c6ccccc6	CHEMBL3701728	pIC50=8.28
COc1ncc(cc1F)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@H](CC4)OCO)C2=O	CHEMBL2375968	pIC50=8.28
Nc1ncccc1c2nc3cc(cnc3n2c4ccc(CNC(=O)c5cccc(F)c5)cc4)c6cccnc6	CHEMBL2177833	pIC50=8.28
C(N1CCC(CC1)c2n[nH]c(n2)c3ccccn3)c4ccc(cc4)c5nc6ccn7cnnc7c6cc5c8ccccc8	CHEMBL447328	pIC50=8.3
C(N1CCC(CC1)c2nnc([nH]2)c3ccccn3)c4ccc(cc4)c5nc6nc(ncc6cc5c7ccccc7)n8ccnc8	CHEMBL448926	pIC50=8.3
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4ccccc4)c3	CHEMBL1773605	pIC50=8.3
CC(C)NC[C@@H](C(=O)N1CCN(CC1)c2ncnc3[C@H](O)C[C@@H](C)c23)c4ccc(Cl)cc4	CHEMBL2177390	pIC50=8.3
CC1(O)CC(O)(C1)c2ccc(cc2)c3nc4c5cc(ccc5OCn4c3c6ccccc6)C(=O)O	CHEMBL3701777	pIC50=8.3
CCC(=O)c1cc(NCCN2CCCC2)c(C)c(c1)N3CCN(CC3)c4ncnc5[nH]nc(Br)c45	CHEMBL2016892	pIC50=8.3
CCc1cnn2cc(c3ccccc3)c(nc12)c4ccc(CN5CC(C5)c6n[nH]c(n6)c7cccc(C)n7)cc4	CHEMBL3672042	pIC50=8.3
CCn1c(nc2c(nc(OC[C@@H](N)c3ccccc3)cc12)C#CC(C)(C)O)c4nonc4N	CHEMBL1096626	pIC50=8.3
CCn1c(nc2c(ncc(OCCCNCCc3ccc(OC)cc3)c12)C#CC(C)(C)O)c4nonc4N	CHEMBL494060	pIC50=8.3
COC(=O)c1cc(NCCN2CCCC2)c(C)c(c1)N3CCN(CC3)c4ncnc5[nH]nc(Br)c45	CHEMBL2016891	pIC50=8.3
COC(=O)c1cnn2cc(c(nc12)c3ccc(CN4CCC(CC4)c5n[nH]c(n5)c6ccccn6)cc3)c7c(F)cccc7F	CHEMBL3672051	pIC50=8.3
CO[C@@H]1CC[C@H](CC1)NC[C@@H](C(=O)N2CCN(CC2)c3ncnc4[C@H](O)C[C@@H](C)c34)c5ccc(Cl)cc5	CHEMBL2177367	pIC50=8.3
COc1ccc(C[C@@H](CN)NC(=O)c2cc(Br)c(s2)c3ccnc4[nH]ccc34)cc1	CHEMBL524998	pKi=8.3
COc1ccc(cc1)S(=O)(=O)Nc2cc(cnc2Cl)c3ccc4nc(NC(=O)C)sc4c3	CHEMBL1773604	pIC50=8.3
COc1cncc(c1)c2cnc3cc(c4ccccc4)c(nn23)c5ccc(cc5)C6(N)CCC6	CHEMBL3672499	pIC50=8.3
CSc1nc2nc(c3ccc(CN4CC(C4)c5n[nH]c(n5)c6cccc(C)n6)cc3)c(cn2n1)c7ccccc7	CHEMBL3672083	pIC50=8.3
CSc1nc2nc(c3ccc(CN4CC(C4)c5n[nH]c(n5)c6ccccn6)cc3)c(cn2n1)c7ccccc7	CHEMBL3672084	pIC50=8.3
CSc1nc2nc(c3ccc(CN4CCC(CC4)c5n[nH]c(n5)c6cccc(C)n6)cc3)c(cn2n1)c7ccccc7	CHEMBL3672088	pIC50=8.3
C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CNC4CCOCC4)c5ccc(Cl)cc5)c12	CHEMBL2177366	pIC50=8.3
C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CNCC4CC4)c5ccc(Cl)cc5)c12	CHEMBL2177374	pIC50=8.3
Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4ccc(Br)cc4)c3	CHEMBL229855	pIC50=8.3
Cc1n[nH]c2cnc(cc12)c3cncc(OC[C@@H](N)Cc4ccc(Br)cc4)c3	CHEMBL573778	pIC50=8.3
Cc1n[nH]c2cnc(cc12)c3cncc(OC[C@@H](N)Cc4cccc(F)c4F)c3	CHEMBL427422	pIC50=8.3
Cl.Cl.COc1ccc(O)c(C(=O)c2ccc(cc2)C(=O)O[C@@H]3CCCNCC3NC(=O)c4ccncc4)c1F	CHEMBL3216643	pIC50=8.3
Fc1cccc2N(CCc12)C(=O)CC3=NC(=CC(=O)N3)N4CCOCC4	CHEMBL3112848	pIC50=8.3
NC1(CCC1)c2ccc(cc2)c3nc4c(Br)cc(Cl)cn4c3c5ccccc5	CHEMBL3699759	pIC50=8.3
NC1(CCC1)c2ccc(cc2)c3nn4c(cnc4cc3c5ccccc5)c6cccc(c6)C#N	CHEMBL3672480	pIC50=8.3
NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(C4CC4)c5ccc(Cl)cc5	CHEMBL2325983	pIC50=8.3
NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CCCN4CCCCC4)c5ccc(Cl)cc5	CHEMBL2325996	pIC50=8.3
NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CCCN4CCOCC4)c5ccc(Cl)cc5	CHEMBL2325995	pIC50=8.3
NC[C@H](Cc1ccc(Cl)cc1)C(=O)N2CCN(CC2)c3ncnc4[nH]ccc34	CHEMBL1236822	pIC50=8.3
N[C@H](Cc1ccc(Cl)cc1)C(=O)N2CCN(CC2)c3ncnc4[nH]ccc34	CHEMBL1258552	pIC50=8.3
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4ccccc4Cl)c3	CHEMBL1773730	pIC50=8.31
NC1(CCC1)c2ccc(cc2)n3c(nc4ccc(nc34)c5cccc(c5)N6CCOCC6)c7ccnnc7	CHEMBL3649685	pIC50=8.31
N[C@H](CNc1ncc(s1)c2ccc3cnccc3c2)Cc4ccc(cc4)C(F)(F)F	CHEMBL1081263	pIC50=8.31
COc1ccc(cc1)c2nc3ccc(nc3n2c4ccc(cc4)C5(N)CCC5)c6cccc(c6)N7CCOCC7	CHEMBL3649680	pIC50=8.32
Cc1c[nH]c2ncnc(N3CC4(CCNCC4)c5ccccc35)c12	CHEMBL259163	pIC50=8.32
Clc1ccc2N(CC3(CCNCC3)c2c1)c4ncnc5[nH]ccc45	CHEMBL449964	pIC50=8.32
NC1(CCC1)c2ccc(cc2)n3c(nc4ccc(nc34)c5ccccc5)c6ccccc6O	CHEMBL3649674	pIC50=8.32
CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5c(F)cccc5OCn4c3c6ccccc6	CHEMBL3701718	pIC50=8.34
N[C@H](COc1cnc(C#N)c(c1)c2ccc3cnccc3c2)Cc4c[nH]c5ccccc45	CHEMBL379209	pIC50=8.34
CC(=O)OC(C)(C)C(=O)Nc1cccc(c1)c2ccc3nc(c4cccnc4N)n(c5ccc(cc5)C6(N)CCC6)c3n2	CHEMBL3640734	pIC50=8.35
CSc1ncc2cc(c3ccccc3)c(nc2n1)c4ccc(CN5CCC(CC5)c6cc([nH]n6)c7ccncc7)cc4	CHEMBL404554	pIC50=8.35
CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5cc(ccc5OCn4c3c6ccccc6)C#N	CHEMBL3701761	pIC50=8.36
CN(C)C(=O)c1ccc2OCn3c(nc(c4ccc(cc4)C5(N)CC(C)(O)C5)c3c6ccccc6)c2c1	CHEMBL3701768	pIC50=8.36
C[C@@H]1CN(C[C@H](C)O1)c2cccc(c2)c3ccc4nc(c5cccnc5N)n(c6ccc(cc6)C7(N)CCC7)c4n3	CHEMBL3640746	pIC50=8.36
NC1(CCC1)c2ccc(cc2)n3c(nc4ccc(nc34)c5cccc(c5)N6CCOCC6)c7cccc(O)c7	CHEMBL3649679	pIC50=8.36
CN(C)C(=O)c1cccc(c1)c2ccc3nc(c4ccccc4)n(c5ccc(cc5)C6(N)CCC6)c3n2	CHEMBL3649686	pIC50=8.37
NC1(CCC1)c2ccc(cc2)n3c(nc4ccc(nc34)c5ccccc5)c6cccnc6	CHEMBL3649672	pIC50=8.37
N[C@H](COc1cncc(c1)c2ccc3NC(=O)Oc3c2)Cc4c[nH]c5ccccc45	CHEMBL575824	pIC50=8.37
Oc1nc2ccc(N[C@H](COc3cncc(c3)c4ccc5nc(O)sc5c4)Cc6c[nH]c7ccccc67)cc2s1	CHEMBL209503	pIC50=8.37
CCN(CC)C(=O)C1CCN(CC1)c2cccc(c2)c3ccc4nc(c5cccnc5N)n(c6ccc(cc6)C7(N)CCC7)c4n3	CHEMBL3640739	pIC50=8.38
NC1(CCC1)c2ccc(cc2)n3c(nc4ccc(Nc5ccccc5)nc34)c6ccccc6	CHEMBL3649688	pIC50=8.38
C(N1CCC(CC1)c2cnc3ccccc3n2)c4ccc(cc4)c5nc6nccn6cc5c7ccccc7	CHEMBL3672012	pIC50=8.4
CC(C)NC[C@@H](C(=O)N1CCN(CC1)c2ncnc3[C@H](F)C[C@@H](C)c23)c4ccc(Cl)cc4	CHEMBL2177381	pIC50=8.4
CC1C(=O)Nc2ccc(N[C@H](COc3cncc(c3)c4ccc5NC(=O)C(C)c5c4)Cc6c[nH]c7ccccc67)cc12	CHEMBL208761	pIC50=8.4
CC1C(=O)Nc2ccc(cc12)c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3	CHEMBL574262	pIC50=8.4
CC1SCc2ncnc(N3CCN(CC3)C(=O)[C@H](N)Cc4ccc(Cl)cc4)c12	CHEMBL1632371	pIC50=8.4
CCNCC(Cc1ccccc1)NC(=O)c2cc(Br)c(s2)c3ccnc4[nH]ccc34	CHEMBL471059	pIC50=8.4
CCn1c(nc2c(nc(CCN)cc12)C#CC(C)(C)O)c3nonc3N	CHEMBL1095624	pIC50=8.4
CCn1c(nc2c(nc(O[C@H](CCN)c3ccccc3)cc12)C#CC(C)(C)O)c4nonc4N	CHEMBL1099298	pIC50=8.4
COC(=O)c1cccc(c1)c2cnc3cc(c4ccccc4)c(nn23)c5ccc(cc5)C6(N)CCC6	CHEMBL3672483	pIC50=8.4
CSc1ncc2cc(c3ccccc3)c(nc2n1)c4ccc(CN5CCC(CC5)n6ncc7c(N)ncnc67)cc4	CHEMBL253693	pIC50=8.4
C[C@@H]1SCc2ncnc(N3CCN(CC3)C(=O)[C@H](N)Cc4ccc(F)c(F)c4)c12	CHEMBL1632377	pIC50=8.4
C[C@H](NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4	CHEMBL2325743	pIC50=8.4
Cc1cccc(C)c1S(=O)(=O)NC[C@@H](O)CN2CCC[C@@]3(CCN(C3)c4ncnc(N)c4C5CC5)C2	CHEMBL1760768	pIC50=8.4
Cc1nc2nc(c3ccc(CN4CC(C4)c5n[nH]c(n5)c6ccccn6)cc3)c(cn2c1Br)c7ccccc7	CHEMBL3672027	pIC50=8.4
Cl.Cl.COc1ccc(O)c(C(=O)c2ccc(cc2)C(=O)N[C@@H]3CCCNCC3NC(=O)c4ccncc4)c1F	CHEMBL1202518	pIC50=8.4
Clc1c[nH]c2ncnc(N3CCC4(CCNCC4)C3)c12	CHEMBL1173350	pIC50=8.4
Fc1cc2CCN(C(=O)CC3=NC(=CC(=O)N3)N4CCOCC4)c2cc1F	CHEMBL3699804	pIC50=8.4
NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CCCN4CCCC4)c5ccc(Cl)cc5	CHEMBL2325994	pIC50=8.4
NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CCO)c4ccc(Cl)cc4	CHEMBL2325738	pIC50=8.4
NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)N[C@@H](CCN4CCCC4)c5ccc(Cl)cc5	CHEMBL2325728	pIC50=8.4
NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)N[C@@H](CCN4CCCCC4)c5ccc(Cl)cc5	CHEMBL2325729	pIC50=8.4
O=C1NC=Cc2nc(c3ccc(CN4CCC(CC4)c5nnc([nH]5)c6cnccn6)cc3)c(cc12)c7ccccc7	CHEMBL444136	pIC50=8.4
Cc1ccc(F)cc1C[C@H](N)COc2cncc(c2)c3cc4c(C)n[nH]c4cn3	CHEMBL573133	pIC50=8.41
Cc1ccc(F)cc1C[C@H](N)COc2cncc(c2)c3ccc4[nH]nc(C)c4c3	CHEMBL227368	pIC50=8.41
NC1(CC(O)(C1)C2CC2)c3ccc(cc3)c4nc5c6ccccc6OCn5c4c7ccccc7	CHEMBL3701727	pIC50=8.41
NC1(CCC1)c2ccc(cc2)c3nc4c5cccnc5OCn4c3c6ccccc6	CHEMBL3701754	pIC50=8.41
N[C@H](COc1cncc(c1)c2ccc3[nH]nc(c4ccccc4)c3c2)Cc5c[nH]c6ccccc56	CHEMBL574764	pIC50=8.41
