CS(=O)(=O)N1C=C2CN(CC2=N1)[C@H]1CO[C@@H]([C@@H](N)C1)C1=C(F)C=CC(F)=C1	omarigliptin	pKi=9.09691048	pKi=9.09691048	pKi=9.09691048	pIC50=8.59
CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=CC(F)=CC=C2C#N)C1=O	trelagliptin	pIC50=8.39793968	pIC50=8.39793968	pIC50=8.39793968	pIC50=8.4
[H][C@]1(CN[C@@]([H])(C1)C(=O)N1CCSC1)N1CCN(CC1)C1=CC(C)=NN1C1=CC=CC=C1	teneligliptin	pIC50=9.43179798	pIC50=9.43179798	pIC50=9.43179798	pIC50=9.43
CC1=NN2C=C(C=NC2=C1)C(=O)NCC(C)(C)NCC(=O)N1CCC[C@H]1C#N	anagliptin	pIC50=8.42021656	pIC50=8.42021656	pIC50=8.42021656	pIC50=8.42
N[C@H](CN1CC(F)(F)CCC1=O)CC(=O)N1CCC2=C(N=C(N=C2C1)C(F)(F)F)C(F)(F)F	gemigliptin	pIC50=7.79587984	pIC50=7.79587984	pIC50=7.79587984
N[C@@H](CC(=O)N1CCN2C(C1)=NN=C2C(F)(F)F)CC1=C(F)C=C(F)C(F)=C1	sitagliptin	pKi=7.774	pKi=7.774	pKi=7.774	pIC50=6.96
OC12CC3CC(C1)CC(C3)(C2)NCC(=O)N1CCC[C@H]1C#N	vildagliptin	pKi=8.52	pKi=8.52	pKi=8.52	pIC50=6.92
[H][C@@](N)(C(=O)N1[C@@]2([H])C[C@@]2([H])C[C@@]1([H])C#N)C12CC3CC(CC(O)(C3)C1)C2	saxagliptin	pKi=9.22	pKi=9.22	pKi=9.22	pIC50=7.3
CC#CCN1C(=NC2=C1C(=O)N(CC1=NC3=CC=CC=C3C(C)=N1)C(=O)N2C)N1CCC[C@@H](N)C1	linagliptin	pIC50=10.0	pIC50=10.0	pIC50=10.0	pIC50=8.7
CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O	alogliptin	pIC50=9.0	pIC50=9.0	pIC50=9.0	pIC50=7.62
CC(C)(C)C[C@H](N)C(=O)N1CC[C@@H]2C[C@H]12	CHEMBL395184	pKi=6.0
Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1CC=C)Cc3cc(F)c(F)cc3F	CHEMBL537000	pIC50=7.5
Cn1cnc2cc(C(=O)N)c(c(CN)c12)c3ccccc3Cl	CHEMBL273209	pIC50=7.5
N[C@@H](Cc1ccc(O)cc1)C(=O)N2CCC[C@H]2B(O)O	CHEMBL304007	pIC50=7.5
N[C@H](Cc1cc(F)ccc1F)c2ccc(cc2)c3cccc(c3)C(=O)N	CHEMBL452289	pIC50=7.5
N[C@H]1CN(C[C@@H]1c2cc(F)c(F)cc2F)c3cc(ncn3)c4cccc(CO)c4	CHEMBL391252	pIC50=7.5
N[C@H]1Cn2c(C[C@@H]1c3cc(F)c(F)cc3F)nc4cnc(cc24)C(F)(F)F.OC(=O)C(F)(F)F.OC(=O)C(F)(F)F	CHEMBL541438	pIC50=7.5
CC(C)(CC(=O)N1CCn2nc(nc2C1)C(F)(F)F)[C@H](N)C(=O)N3CCC[C@H]3C#N.OC(=O)C(F)(F)F	CHEMBL475169	pIC50=7.51
CCC(CC)(CC)[C@H](N)C(=O)N1[C@@H](C[C@@H]2C[C@H]12)C#N	CHEMBL3350921	pKi=7.51
CCOC(=O)N1CCN(CC1)C(=O)CC[C@H](N)C(=O)N2CCC[C@H]2C#N.OC(=O)C(F)(F)F	CHEMBL516080	pIC50=7.51
CC[C@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)[C@H](N)C(=O)N3CCC[C@H]3C#N.OC(=O)C(F)(F)F	CHEMBL474002	pIC50=7.51
CN(CC(C)(C)NCC(=O)N1C[C@@H](F)C[C@H]1C#N)S(=O)(=O)c2ccccc2	CHEMBL520854	pIC50=7.51
COC[C@H](C)N1Cc2nc(C)c(CN)c(c3ccc(Cl)cc3Cl)c2C1=O	CHEMBL2441837	pKi=7.51
C[C@H]([C@H](N)C(=O)N1CC(F)C1)c2ccc(cc2)C3=CN(C)C(=O)C=C3.OC(=O)C(F)(F)F	CHEMBL378597	pIC50=7.51
Cc1cc(ccc1c2noc(n2)[C@@H](CC3CC3)[C@H](N)C(=O)N4CC[C@H](F)C4)S(=O)(=O)C.OC(=O)C(F)(F)F	CHEMBL219434	pIC50=7.51
Cc1nc2nc(nn2c(c1CN)c3ccc(Cl)cc3Cl)N4CCOCC4	CHEMBL1209768	pKi=7.51
F[C@H]1CCN(C1)C(=O)[C@@H]2C[C@@H](CN2)N3CCN(CC3)c4ncccn4	CHEMBL514623	pIC50=7.51
F[C@H]1C[C@@H](C#N)N(C1)C(=O)CNC2CCN(CC2)c3ccc(cn3)C#N	CHEMBL480530	pKi=7.51
F[C@H]1C[C@@H](C#N)N(C1)C(=O)CN[C@H]2[C@@H]3CN(C[C@H]23)c4cccc(Cl)c4C#N	CHEMBL479538	pIC50=7.51
NC(=O)[C@@H]1CCCN1C(=O)CCNC(=O)c2ccc(cc2)C#N	CHEMBL2086591	pIC50=7.51
NC(=O)[C@@H]1CCCN1C(=O)c2ccc(NC(=O)c3ccc(cc3)C(F)(F)F)cc2	CHEMBL2086608	pIC50=7.51
N[C@@H](CC(=O)N1CCN(CC1)C(=O)c2cc(O)c3cccc(O)c3n2)Cc4cc(F)c(F)cc4F	CHEMBL2069853	pIC50=7.51
N[C@@H](CC(=O)N1CCN(Cc2ccc(I)cc2)C(=O)C1)Cc3cc(F)c(F)cc3F	CHEMBL1779701	pIC50=7.51
N[C@@H](CCN1CCC[C@H]1c2onc(n2)c3ccccc3)Cc4ccccc4F	CHEMBL566460	pIC50=7.51
N[C@@H](Cc1ccc(cc1)C(F)(F)F)C(=O)N2CCC[C@H]2C#N	CHEMBL3093924	pIC50=7.51
N[C@H]1CN(CC[C@@H]1c2cc(F)c(F)cc2F)c3ccc4nncn4n3.OC(=O)C(F)(F)F	CHEMBL231496	pIC50=7.51
N[C@H]1CN(C[C@@H]1c2cc(F)c(F)cc2F)c3cc(ncn3)c4cccnc4	CHEMBL237785	pIC50=7.51
O=C([C@@H]1C[C@@H](CN1)N2CCN(CC2)c3ncccn3)N4CCCC4	CHEMBL473418	pIC50=7.51
CC(C)(C)NCC(=O)N1C[C@@H](F)C[C@H]1C(=O)c2oc(nn2)C3CCCCC3	CHEMBL391645	pIC50=7.52
CC(C)(CC(=O)N1CC[C@@H](O)C1)NCC(=O)N2C[C@@H](F)C[C@H]2C#N	CHEMBL1082463	pIC50=7.52
CC(C)(CC(=O)N1CCc2cc(F)ccc2C1)NCC(=O)N3CCC[C@H]3C#N	CHEMBL380902	pIC50=7.52
CCOC(=O)N1Cc2nc(C)c(CN)c(c3ccc(Cl)cc3Cl)c2C1=O	CHEMBL2441843	pKi=7.52
CN(C)C(=O)[C@H]([C@H](N)C(=O)N1CC[C@@H](F)C1)c2ccc(cc2)c3ccc(F)cc3.OC(=O)C(F)(F)F	CHEMBL372486	pIC50=7.52
COc1cc2CCN3CC(C(N)CC3c2cc1OC)N4CCCCC4=O	CHEMBL592779	pIC50=7.52
COc1ccc(cc1)c2cc3nc(C)c(CN)c(c4ccc(Cl)cc4Cl)n3n2	CHEMBL1209611	pKi=7.52
COc1cccc2C(=O)N(Cc3ccccc3C#N)C(=Nc12)N4CCCC(N)C4	CHEMBL390776	pIC50=7.52
CS(=O)(=O)Nc1cccc(NC(=O)CN2CCN([C@H](Cc3ccccc3)C2)C(=O)C[C@H](N)Cc4ccc(F)c(F)c4)c1	CHEMBL360425	pIC50=7.52
Cc1nc2C(=O)N(Cc3ccccc3)Cc2c(c1CN)c4ccc(Cl)cc4Cl	CHEMBL1909985	pKi=7.52
Cl.CCCNC(=O)c1ccc(OP(=O)(Oc2ccc(cc2)C(=O)NCCC)C3CCCN3C(=O)C4CCCN4)cc1	CHEMBL9295	pIC50=7.52
Cl.Cl.CC(C)Cc1nc(C)c(CC(=O)Nc2cscc2C(=O)O)c(c1CN)c3ccc(C)cc3	CHEMBL3216272	pIC50=7.52
Cl.N[C@@H](CC(=O)N1CCn2nnc(C(=O)N)c2C1)Cc3cc(F)c(F)cc3F	CHEMBL1683981	pIC50=7.52
Cl.N[C@@H](CC(=O)N1CCn2nnc(c2C1)c3ccc(cc3)C#N)Cc4cc(F)c(F)cc4F	CHEMBL1683987	pIC50=7.52
N[C@@H](C1CCCCC1)C(=O)N2CC[C@H]2C(=O)c3nccs3	CHEMBL402236	pIC50=7.52
N[C@@H](C1CCN(CC1)C(=O)c2ccc(nc2)C(F)(F)F)C(=O)N3[C@@H](C[C@@H]4C[C@H]34)C#N	CHEMBL2334696	pKi=7.52
N[C@@H](CC(=O)N1CCC[C@H]1CNS(=O)(=O)C2CC2)Cc3cccc(Cl)c3	CHEMBL560184	pIC50=7.52
N[C@@H](CC(=O)N1CCN(CC1)C(=O)c2cccc(n2)c3ccc(F)cc3)Cc4cc(F)c(F)cc4F	CHEMBL2069858	pIC50=7.52
N[C@@H](CC(=O)N1CCn2c(C1)nnc2C3CC3)Cc4cc(F)c(F)cc4F	CHEMBL390239	pIC50=7.52
N[C@@H](CC(=O)N1CCn2c(C1)nnc2c3ccc(F)cc3F)Cc4cc(F)ccc4F	CHEMBL389599	pIC50=7.52
N[C@@H](Cc1csc2ccccc12)C(=O)N3CCC[C@H]3C#N	CHEMBL3127981	pIC50=7.52
N[C@H]1CN(C[C@H]1C(=O)N2CCCC2)C(=O)c3ccc(cc3)n4cnnn4	CHEMBL249427	pIC50=7.52
N[C@H]1Cn2c(C[C@@H]1c3cc(F)c(F)cc3F)nc4c(F)cccc24.OC(=O)C(F)(F)F	CHEMBL537962	pIC50=7.52
O=C([C@@H]1CC[C@H](COCc2ccccc2)N1)N3CCC[C@H]3C#N	CHEMBL379340	pKi=7.52
O=C([C@@H]1C[C@@H](CN1)N2CCN(Cc3ccccc3)CC2)N4CCSC4	CHEMBL391433	pIC50=7.52
O=C([C@@H]1C[C@@H]2CCCC[C@@H]2N1)N3CCC[C@H]3C(=O)c4nc5ccccc5s4	CHEMBL404030	pIC50=7.52
CC[C@@H]1CCN([C@H](C)C(=O)N1)C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F	CHEMBL230601	pIC50=7.53
Cc1ccc(cc1)N2CCN(CCNCC(=O)N3CCC[C@@H]3C#N)C2=O.OC(=O)C(=O)O	CHEMBL1202086	pIC50=7.53
CC#CCn1c(nc2N(C)C(=O)N(Cc3ccc4ccccc4n3)C(=O)c12)N5CCNCC5	CHEMBL3616902	pIC50=7.54
CC(C)(CC(=O)NC1CCCC1)NCC(=O)N2C[C@@H](F)C[C@H]2C#N	CHEMBL1084972	pIC50=7.54
CC(C)(CNc1ccc(cn1)C#N)NCC(=O)N2CCC[C@H]2C#N	CHEMBL327166	pIC50=7.54
CN(C)C(=O)[C@H]([C@H](N)C(=O)N1CC(F)(F)C1)c2ccc(cc2)c3ccc(F)cc3.OC(=O)C(F)(F)F	CHEMBL364355	pIC50=7.54
CN1C(=O)N(C)c2nc(N)c(CN)c(c3cc(Cl)ccc3Cl)c2C1=O	CHEMBL2159185	pIC50=7.54
CN1Cc2c(nc(C)c(CN)c2c3ccc(Cl)cc3Cl)C1=O	CHEMBL1910110	pKi=7.54
COc1ccc(CSC(C)(C)[C@H](N)C(=O)N2C[C@@H](F)C[C@H]2C#N)cc1	CHEMBL440569	pKi=7.54
COc1ccc(C[C@H](N)C(=O)N2CCC[C@H]2C#N)cc1	CHEMBL3093920	pIC50=7.54
C[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(cc2)C3=C(F)N(C)C(=O)C=C3.OC(=O)C(F)(F)F	CHEMBL205872	pIC50=7.54
Cc1nc(CN2C(=O)c3c(nc(N4CCC[C@@H](N)C4)n3CC5CCC5)N6CCN=C26)nc7ccccc17	CHEMBL3675635	pIC50=7.54
Cc1nc(CN2C(=O)c3c(nc(N4CCC[C@@H](N)C4)n3Cc5sccc5F)N6CCN=C26)nc7ccccc17	CHEMBL3675633	pIC50=7.54
Cc1nc2CN(Cc3ccccc3)C(=O)c2c(c1CN)c4ccc(Cl)cc4Cl	CHEMBL2441832	pKi=7.54
Cc1nc2cn(Cc3ccccc3)cc2c(c1CN)c4ccc(Cl)cc4Cl	CHEMBL1909986	pKi=7.54
Cc1nc2nc(nn2c(c1CN)c3ccc(Cl)cc3Cl)N4CCSCC4	CHEMBL1209849	pKi=7.54
Cl.N[C@@H](CC(=O)N1CCn2nnc(c2C1)c3ccncc3)Cc4cc(F)c(F)cc4F	CHEMBL1683994	pIC50=7.54
NC1CCCN(C1)C2=Nc3c(Cl)cccc3C(=O)N2Cc4ccccc4C#N	CHEMBL387552	pIC50=7.54
NC1CCCN(C1)c2nc3C(=O)N(Cc4ccccc4)C(=O)c3n2Cc5ccccc5C#N	CHEMBL1161917	pKi=7.54
N[C@@H](CC(=O)N1CCN(Cc2ccccc2Cl)C(=O)C1)Cc3cc(F)c(F)cc3F	CHEMBL1779703	pIC50=7.54
N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)F)Cc3cc(F)c(F)cc3F	CHEMBL390240	pIC50=7.54
N[C@@H](CCC(=O)O)C(=O)N1C[C@@H](O)C[C@H]1B(O)O	CHEMBL2063029	pIC50=7.54
N[C@@H]([C@@H]1CC[C@H](CC1)NC(=O)OCc2ccc(Cl)c(Cl)c2)C(=O)N3CCSC3	CHEMBL3084950	pIC50=7.54
COc1ccc2c(c1)nc3C[C@@H]([C@@H](N)Cn23)c4cc(F)c(F)cc4F.OC(=O)C(F)(F)F	CHEMBL550598	pIC50=7.55
C[C@H]([C@H](N)C(=O)N1CCC(F)(F)C1)C2CCC(CC2)c3cccc4ncnn34	CHEMBL237152	pIC50=7.55
Cc1cc2nc(C)c(CN)c(c3ccc(Cl)cc3Cl)n2n1	CHEMBL1209459	pKi=7.55
Cc1ccc(cc1)c2cc3nc(C)c(CN)c(c4ccc(Cl)cc4Cl)n3n2	CHEMBL1209612	pKi=7.55
Cl.CN1C(=O)N(C)c2cc(N3CCC[C@@](C)(N)C3)n(Cc4cc(F)ccc4Cl)c2C1=O	CHEMBL1288260	pIC50=7.55
Cl.Cc1nc2cc(nn2c(C)c1C(=O)NCC(C)(C)NCC(=O)N3CCC[C@H]3C#N)c4ccccc4	CHEMBL1929394	pIC50=7.55
Cl.N[C@@H](CC(=O)N1CCSC1C(=O)NCc2ccc(OC(Cc3ccccc3)C(=O)O)cc2)Cc4cc(F)c(F)cc4F	CHEMBL1683497	pIC50=7.55
NC(=O)[C@@H]1CCCN1C(=O)CCNC(=O)c2ccc(cc2)C(F)(F)F	CHEMBL2086592	pIC50=7.55
N[C@@H](CC(=O)N1CCC[C@H]1c2ncn(n2)c3ccccn3)Cc4cc(F)c(F)cc4F	CHEMBL567270	pIC50=7.55
N[C@H](C(=O)N1CCSC1)C23CC4CC(CC(O)(C4)C2)C3	CHEMBL236479	pKi=7.55
CC#CCN1C(=O)c2c(ccn2Cc3nc4ccccc4[nH]3)N=C1N5CCC[C@@H](N)C5	CHEMBL2346924	pIC50=7.56
CN1C(=O)CN2C(=O)c3c(N=C12)nc(N4CCC[C@@H](N)C4)n3Cc5cc(F)ccc5C(F)(F)F	CHEMBL3687977	pIC50=7.56
CC(C)(CC(=O)N1CCCCC1)NCC(=O)N2C[C@@H](F)C[C@H]2C#N	CHEMBL1085074	pIC50=7.57
CC(C)(CC(=O)N1CCSC1)NCC(=O)N2C[C@@H](F)C[C@H]2C#N	CHEMBL1085580	pIC50=7.57
CC(C)(CC(=O)N[C@@H]1C[C@H]1c2cccc(Cl)c2)NCC(=O)N3C[C@@H](F)C[C@H]3C#N	CHEMBL447393	pIC50=7.57
CC1(C)N(Cc2cnc(nc12)C3CC3)[C@H]4CO[C@@H]([C@@H](N)C4)c5cc(F)ccc5F	CHEMBL2425064	pIC50=7.57
CCN(CC#N)C(=O)[C@@H](N)C12CC3CC(CC(C3)C1)C2	CHEMBL206251	pKi=7.57
CN(C)C(=O)[C@H]([C@H](N)C(=O)N1CCC(F)(F)C1)c2ccc(cc2)c3ccc(F)cc3.OC(=O)C(F)(F)F	CHEMBL191337	pIC50=7.57
CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(Cc3cc(Cl)ccc3Cl)C1=O	CHEMBL1650444	pIC50=7.57
COc1ccc(CCNCC(=O)N2C[C@@H](F)C[C@H]2C#N)cc1OC	CHEMBL472101	pIC50=7.57
COc1ccc(NC(=O)CC(C)(C)NCC(=O)N2C[C@@H](F)C[C@H]2C#N)cc1OC	CHEMBL1085305	pIC50=7.57
COc1ccccc1c2cn3c(c(CN)c(C)nc3n2)c4c(F)cc(C)cc4F	CHEMBL1271171	pKi=7.57
CS(=O)(=O)NC[C@@H]1CCCN1C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F	CHEMBL559543	pIC50=7.57
CS(=O)(=O)c1ccccc1C(=O)NC[C@@H]2CCCN2C(=O)C[C@H](N)Cc3ccccc3F	CHEMBL563108	pIC50=7.57
C[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(cc2)c3cccc(NS(=O)(=O)C(F)(F)F)c3.OC(=O)C(F)(F)F	CHEMBL192117	pIC50=7.57
Cl.CN(C)C(=O)c1ccc(cc1)c2nnn3CCN(Cc23)C(=O)C[C@H](N)Cc4cc(F)c(F)cc4F	CHEMBL1683990	pIC50=7.57
Cl.CN1C(=O)N(C)c2cc(N3CCC[C@@](C)(N)C3)n(Cc4cc(F)ccc4C)c2C1=O	CHEMBL1288261	pIC50=7.57
Cl.CO[C@@H]1C[C@H]2C[C@@H](C[C@H]2C1)NCC(=O)N3CCC[C@H]3C#N	CHEMBL1082347	pIC50=7.57
Cl.CO[C@@H]1C[C@H]2C[C@H](C[C@H]2C1)NCC(=O)N3CCC[C@H]3C#N	CHEMBL1082346	pIC50=7.57
Cl.N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc3cc(F)ccc3F	CHEMBL537400	pIC50=7.57
F[C@H]1C[C@@H](C#N)N(C1)C(=O)CN[C@H]2[C@@H]3CN(C[C@H]23)c4ccccn4	CHEMBL511125	pIC50=7.57
N[C@@H](CC(=O)N1CCC[C@H]1CNC(=O)c2ccccc2)Cc3cccc(Cl)c3	CHEMBL562525	pIC50=7.57
N[C@@H](CC(=O)N1CCC[C@H]1CNS(=O)(=O)c2ccc(F)cc2)Cc3ccccc3F	CHEMBL565056	pIC50=7.57
N[C@@H](CC(=O)N1CCN(Cc2cccc(Cl)c2)C(=O)C1)Cc3cc(F)c(F)cc3F	CHEMBL1779702	pIC50=7.57
N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc3cc(F)ccc3F	CHEMBL216186	pIC50=7.57
N[C@@H](Cc1ccccc1C#N)C(=O)N2CCC[C@H]2C#N	CHEMBL3093898	pIC50=7.57
N[C@@H]([C@@H]1CC[C@H](CC1)NC(=O)OCc2ccccc2)C(=O)N3CCC(F)(F)C3	CHEMBL279944	pIC50=7.57
N[C@H](Cc1cc(F)c(F)cc1F)C2CCN(CC2)C(=O)c3cnc4ncccn34	CHEMBL485125	pIC50=7.57
N[C@H]1CN(Cc2cnc3ccccc3c2)C[C@H]1C(=O)N4CCCC4	CHEMBL250852	pIC50=7.57
N[C@H]1C[C@H](CO[C@@H]1c2ccc(F)cc2F)N3Cc4cn[nH]c4C3	CHEMBL2425072	pIC50=7.57
OB(O)[C@@H]1CCCN1C(=O)CNC2CCCCC2	CHEMBL371130	pIC50=7.57
OB(O)[C@@H]1CCCN1C(=O)CNC2CCCCCCC2	CHEMBL382974	pIC50=7.57
N[C@@H](CC(=O)N1CCn2nnc(c2C1)c3cocc3)Cc4cc(F)c(F)cc4F.OC(=O)\C=C\C(=O)O	CHEMBL1683997	pIC50=7.58
O=C([C@@H]1C[C@@H](CN1)N2Cc3ccccc3C2)N4CCSC4	CHEMBL227615	pIC50=7.58
CC#CCn1c(nc2C=NN(CC(=O)c3ccccc3)C(=O)c12)N4CCCC(N)C4	CHEMBL256928	pIC50=7.59
CC(C)(CC(=O)N1CCC(=O)CC1)NCC(=O)N2C[C@@H](F)C[C@H]2C#N	CHEMBL1085332	pIC50=7.59
CC(C)(CC(=O)N[C@H]1C[C@@H]1c2cccc(Cl)c2)NCC(=O)N3CC(F)(F)C[C@H]3C#N	CHEMBL463231	pIC50=7.59
CC(C)Cc1nc2ccc(OCC(=O)N)cc2c(c1CN)c3ccc(F)cc3	CHEMBL1808463	pIC50=7.59
CC(C)[C@H](N)C(=O)N1[C@@H](C[C@@H]2C[C@H]12)C#N	CHEMBL2334677	pKi=7.59
CC[C@@]1(N)CCCN(C1)c2cc3N(C)C(=O)N(C)C(=O)c3n2Cc4cc(F)ccc4C#N	CHEMBL1819091	pIC50=7.59
CN(C)C(=O)Nc1ccc(cc1)S(=O)(=O)N[C@@H]2CC[C@H](CC2)[C@H](N)C(=O)N3CCCC3	CHEMBL3084938	pIC50=7.59
CN(C)C(=O)[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)[C@@H]2CC[C@H](CC2)c3cccc4ncnn34	CHEMBL400841	pIC50=7.59
COc1ccc(cc1OC)c2ccc(C[C@H](N)C(=O)N3CCC[C@H]3C#N)cc2	CHEMBL199922	pKi=7.59
COc1cccc(c1)[C@H]2C[C@@H]2NC(=O)CC(C)(C)NCC(=O)N3C[C@@H](F)C[C@H]3C#N	CHEMBL518831	pIC50=7.59
C[C@H]([C@H](N)C(=O)N1CCC(F)(F)C1)c2ccc(cc2)C3=CN(C)C(=O)C=C3.OC(=O)C(F)(F)F	CHEMBL206501	pIC50=7.59
C[C@H]([C@H](N)C(=O)N1CCSC1)c2ccc(cc2)C3=CN(C)C(=O)C=C3.OC(=O)C(F)(F)F	CHEMBL377724	pIC50=7.59
Cc1cc2nc3CN(Cc3cn2n1)[C@@H]4CC[C@@H]([C@@H](N)C4)c5cc(F)ccc5F	CHEMBL3804982	pIC50=7.59
Cl.N[C@@H](Cc1ccc(cc1)c2cn(CCc3ccccc3)nn2)C(=O)N4CCC[C@H]4C#N	CHEMBL2418637	pIC50=7.59
Cl.N[C@@]1(C[C@@H]2SC[C@@H](C#N)N2C1=O)c3ccccc3	CHEMBL564670	pIC50=7.59
NC(=O)[C@@H]1CCCN1C(=O)CCCNC(=O)c2ccc(cc2)C#N	CHEMBL2086599	pIC50=7.59
N[C@@H](CC(=O)N1CCc2sc(nc2C1)c3ccc(F)cc3)Cc4cc(F)ccc4F	CHEMBL195030	pIC50=7.59
N[C@H](Cc1cc(F)c(F)cc1F)C2CCN(CC2)C(=O)c3cc4ccccc4cn3	CHEMBL498749	pIC50=7.59
N[C@H]1CN(CC[C@@H]1c2cc(F)c(F)cc2F)c3ccn4cnnc4n3.OC(=O)C(F)(F)F	CHEMBL231294	pIC50=7.59
N[C@H]1CN(C[C@@H]1N2CCCCC2=O)c3cc(ncn3)N4CCC(F)(F)C4	CHEMBL1683568	pIC50=7.59
OC(=O)C(=O)O.Clc1ccc(cc1)N2CCN(CCNCC(=O)N3CCC[C@@H]3C#N)C2=O	CHEMBL1202089	pIC50=7.59
OCC1(CCCC1)NCC(=O)N2CCC[C@H]2C#N	CHEMBL95088	pIC50=7.59
CC#CCn1c(nc2C=NN(CC3=Nc4ccccc4Oc5ccccc35)C(=O)c12)N6CCC[C@H](N)C6	CHEMBL256929	pIC50=7.6
CC(C)(C)NCC(=O)N1[C@H](CC[C@H]1C#N)C#C	CHEMBL385904	pKi=7.6
CC(C)(C)OC(=O)N1CCC(CC1)[C@H](N)C(=O)N2[C@@H](C[C@@H]3C[C@H]23)C#N	CHEMBL2334683	pKi=7.6
CC(C)(CC(=O)N1CCc2ccsc2C1)[C@H](N)C(=O)N3CCC[C@H]3C#N.OC(=O)C(F)(F)F	CHEMBL514006	pIC50=7.6
CC(C)(Cc1ccc(F)cc1)NCC(=O)N2C[C@@H](F)C[C@H]2C(=O)c3oc(nn3)C(C)(C)C	CHEMBL393947	pIC50=7.6
CCC(CC)(C=C)[C@H](N)C(=O)N1[C@@H](C[C@@H]2C[C@H]12)C#N	CHEMBL3350922	pKi=7.6
CCOC(=O)[C@@H](Nc1ccc(CNC(=O)[C@@H]2SCCN2C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F)cc1)C(C)C	CHEMBL1683641	pIC50=7.6
CC[C@H](C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O	CHEMBL1790483	pIC50=7.6
CN(C)C(=O)[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(cc2)N(C)C(=O)c3ccc(C)cc3.OC(=O)C(F)(F)F	CHEMBL396168	pIC50=7.6
CN1C(=O)N(Cc2ncccc2C#N)C(=O)c3c1c(C#N)c(N4CCC[C@H](N)C4)n3CC=C(C)C	CHEMBL1951602	pIC50=7.6
COc1cccc(c1)C(=O)CN2C=Nc3c(C#N)c(N4CCC[C@@H](N)C4)n(Cc5ccccc5)c3C2=O	CHEMBL1951422	pIC50=7.6
COc1nc(CN2C(=O)N(C)c3nc(N4CCNCC4)n(CC#CC)c3C2=O)nc5ccccc15	CHEMBL3616901	pIC50=7.6
C[C@@H]1N[C@@H](C[C@@H]1C(=O)N(C)C)C(=O)N(C)CC#N	CHEMBL259198	pIC50=7.6
C[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(cc2)c3ccc(O)nc3.OC(=O)C(F)(F)F	CHEMBL381145	pIC50=7.6
C[C@H]1N(CCn2nc(nc12)C(F)(F)F)C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F	CHEMBL250787	pIC50=7.6
Cl.CN1C(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc4cc(Cl)ccc4Cl)c5cc(ccc15)C(=O)O	CHEMBL2147068	pIC50=7.6
FC1(F)CN(CC1(F)F)C(=O)[C@@H]2C[C@@H](CN2)N3CCN(CC3)c4ncccn4	CHEMBL515869	pIC50=7.6
NC1CCCN(C1)c2nc3C(=O)c4ccccc4C(=O)c3n2Cc5ccccc5C(F)(F)F	CHEMBL1161920	pKi=7.6
N[C@@H](CC(=O)N1CCN(CC1)C(=O)c2ccc3ccccc3n2)Cc4cc(F)c(F)cc4F	CHEMBL2069848	pIC50=7.6
N[C@@H]([C@@H]1CC[C@H](CC1)NC(=O)OCc2ccccc2)C(=O)N3CCSC3	CHEMBL23176	pIC50=7.6
N[C@H]1CCCCN(C1=O)P(=O)(N)NS(=O)(=O)O	CHEMBL495932	pIC50=7.6
N[C@H]1C[C@H](CN(CCN2CCC(F)(F)C2)C1c3cc(F)ccc3F)N4Cc5cn[nH]c5C4	CHEMBL3697943	pIC50=7.6
O=C([C@@H]1C[C@@H](CN1)Nc2ccc(cc2)C#N)N3CCSC3	CHEMBL374688	pIC50=7.6
O=C([C@@H]1C[C@@H](CN1)Nc2ccc(cn2)C#N)N3CCSC3	CHEMBL390513	pIC50=7.6
OB(O)[C@@H]1CCCN1C(=O)CNC2CCCC2	CHEMBL371429	pIC50=7.6
OC(O)[C@@H]1CCCN1C(=O)CNC2CC3CCCC2C3	CHEMBL362922	pIC50=7.6
CS(=O)(=O)n1cc2CN(Cc2n1)[C@H]3C[C@H](N)C(N(Cc4cncc5cccnc45)C3)c6cc(F)ccc6F	CHEMBL3697950	pIC50=7.61
C[C@H]1CNC(=O)[C@@H](CC(F)(F)F)N(C1)C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F	CHEMBL230389	pIC50=7.61
CC#CCn1c(nnc1C(=O)NCc2nc(C)cc3ccccc23)N4CCCC(N)C4	CHEMBL255517	pIC50=7.62
