CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=NC(NC2=CC(=C(C)C=C2)S(N)(=O)=O)=NC=C1	pazopanib	pKd=5.92	pKd=5.92	pKd=5.92
CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1	dasatinib	pKd=9.7	pKd=9.7	pKd=9.7	pIC50=8.4
Cc1cc(cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12)c5c(Cl)cccc5Cl	CHEMBL230686	pKi=7.53
Cc1c(\C=C\CN2CCCC2)nc(O)c3c1ccc4nc(Nc5c(Cl)cccc5Cl)n(C)c34	CHEMBL432089	pIC50=8.7
Cc1cc(Nc2nc3ccc(cc3s2)C(=O)Nc4c(C)cccc4Cl)nc(NCCO)n1	CHEMBL88009	pIC50=8.7
Cc1cccc(Cl)c1NC(=O)c2ccc3nc(Nc4cccc(N)n4)sc3c2	CHEMBL313384	pIC50=8.7
CCCCCCN1CCN(C[C@H]1[C@H](C)Nc2nccc(n2)n3cnc4ccccc34)C(=O)Nc5cccc6ccccc56	CHEMBL567592	pIC50=8.75
CN1CCN(CC1)c2ccc(Nc3ncc(NC(=O)c4cc(NC(=O)c5ccc6OC(F)(F)Oc6c5)ccc4Cl)cn3)cc2	CHEMBL271154	pIC50=8.75
COc1cc2c(cc1NCCN(C)C)nc(Nc3c(C)cccc3Cl)c4cncn24	CHEMBL108362	pIC50=8.77
CN1CCN(CC1)c2ccc(Nc3ncc(NC(=O)c4cc(NC(=O)c5ccc(cc5)C(C)(C)C)ccc4C)cn3)cc2	CHEMBL405401	pIC50=8.82
C[C@H](Nc1nccc(n1)n2cnc3cc(ccc23)c4ccnc(N)n4)c5ccccc5	CHEMBL565933	pIC50=8.82
NC(=O)COc1ccc2CCn3nc(c4ccc(Oc5ccccc5)cc4)c(C(=O)N)c3Nc2c1	CHEMBL591559	pIC50=8.82
NC(=O)c1c2Nc3cc(OCCO)ccc3CCn2nc1c4ccc(Oc5ccccc5)cc4	CHEMBL592261	pIC50=8.82
COc1cc(OC)cc(c1)C(=O)Nc2ccc(C)c(c2)C(=O)Nc3cnc(Nc4ccc(cc4)N5CCN(C)CC5)nc3	CHEMBL272850	pIC50=8.85
CN1CCN(CC1)c2ccc(Nc3ncc(NC(=O)c4cc(NC(=O)c5ccc6OC(F)(F)Oc6c5)ccc4C)cn3)cc2	CHEMBL271141	pIC50=8.89
COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl	bosutinib	pIC50=8.89
COc1ccccc1n2c(cn3c4C(=O)NC(=O)N(C)c4nc23)c5cc(O)ccc5C	CHEMBL566515	pIC50=8.89
Cc1cccc(Cl)c1NC(=O)c2cnc(Nc3cc(nc(C)n3)N4CCOCC4)s2	CHEMBL217039	pIC50=8.89
CN(C)CCOc1ccc2CCn3nc(c4ccc(Oc5ccccc5)cc4)c(C(=O)N)c3Nc2c1	CHEMBL591322	pIC50=8.92
Cc1cccc(C)c1NC(=O)c2cnc(Nc3ccccn3)s2	CHEMBL386745	pIC50=8.92
Cc1cccc(Cl)c1NC(=O)c2cnc(Nc3ccccn3)s2	CHEMBL189776	pIC50=8.92
NC(=O)COc1ccc2Nc3c(C(=O)N)c(nn3CCc2c1)c4ccc(Oc5ccccc5)cc4	CHEMBL603737	pIC50=8.92
CN1CCN(CCOc2ccc3Nc4c(C(=O)N)c(nn4CCc3c2)c5ccc(Oc6ccccc6)cc5)CC1	CHEMBL603859	pIC50=8.96
CSc1cccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)c1	CHEMBL386051	pKd=8.96
CC(C)Oc1cc(F)ccc1N(C(=O)Oc2c(C)cccc2C)c3ccnc(Nc4ccc(cc4)N5CCN(C)CC5)n3	CHEMBL263769	pIC50=9.0
CC(Nc1nccc(n1)n2cnc3ccccc23)C4CCCN(C4)C(=O)Nc5cccc6ccccc56	CHEMBL567885	pIC50=9.0
CCN1CCN(C1=O)c2ccc3c(c2)ncn3c4ccnc(N[C@@H](C)c5ccccc5)n4	CHEMBL566373	pIC50=9.0
CN(C)CCCOc1ccc2Nc3c(C(=O)N)c(nn3CCc2c1)c4ccc(Oc5ccccc5)cc4	CHEMBL591326	pIC50=9.0
CN(C)CCOc1ccc2Nc3c(C(=O)N)c(nn3CCc2c1)c4ccc(NCc5c(Cl)cccc5Cl)cc4	CHEMBL595401	pIC50=9.0
CN1CCN(CC1)c2ccc3nc(Nc4c(C)cccc4Cl)c5cncn5c3c2	CHEMBL108907	pIC50=9.0
CNN1CCN(Cc2ccnc(Nc3nc4ccc(cc4s3)C(=O)Nc5c(C)cccc5Cl)c2)CC1	CHEMBL86939	pIC50=9.0
CNc1ncc2cc(ccc2n1)c3cc(ccc3C)C(=O)Nc4ccc(OC5CCN(C)CC5)cc4	CHEMBL427226	pIC50=9.0
COc1cc(Nc2ncnc(n2)n3c(Nc4c(C)cccc4C)nc5ccccc35)cc(OC)c1OC	CHEMBL270692	pIC50=9.0
COc1cc2nccc(Oc3ccc4N(CCOc4c3)C(=O)Nc5cccc(C)c5)c2cc1OC	CHEMBL270057	pIC50=9.0
COc1ccc(N(C(=O)Oc2c(C)cccc2C)c3ccnc(Nc4cc(OC)c(N5CCN(C)CC5)c(OC)c4)n3)c(OC)c1	CHEMBL385898	pIC50=9.0
COc1ccc(N(C(=O)Oc2c(C)cccc2C)c3ccnc(Nc4cc(OC)c(OCCN5CCN(C)CC5)c(OC)c4)n3)c(OC)c1	CHEMBL212143	pIC50=9.0
COc1ccc(N(C(=O)Oc2c(C)cccc2C)c3ccnc(Nc4cc(OC)c(OCCN5CCOCC5)c(OC)c4)n3)c(OC)c1	CHEMBL264803	pIC50=9.0
COc1ccc(N(C(=O)Oc2c(C)cccc2C)c3ccnc(Nc4ccc(N5CCN(C)CC5)c(F)c4)n3)c(OC)c1	CHEMBL211845	pIC50=9.0
COc1ccc(N(C(=O)Oc2c(C)cccc2C)c3ccnc(Nc4ccc(N5CCN(C)CC5)c(OC)c4)n3)c(OC)c1	CHEMBL215730	pIC50=9.0
COc1ccc(N(C(=O)Oc2c(C)cccc2C)c3ccnc(Nc4ccc(OCCCN(C)C)cc4)n3)c(OC)c1	CHEMBL214775	pIC50=9.0
COc1ccc(N(C(=O)Oc2c(C)cccc2C)c3ccnc(Nc4ccc(OCCCN5CCN(C)CC5)c(F)c4)n3)c(OC)c1	CHEMBL215289	pIC50=9.0
COc1ccc(N(C(=O)Oc2c(C)cccc2C)c3ccnc(Nc4ccc(OCCCN5CCN(C)CC5)c(OC)c4)n3)c(OC)c1	CHEMBL379080	pIC50=9.0
COc1ccc(N(C(=O)Oc2c(C)cccc2C)c3ccnc(Nc4ccc(OCCN(C)C)cc4)n3)c(OC)c1	CHEMBL212721	pIC50=9.0
COc1ccc(N(C(=O)Oc2c(C)cccc2C)c3ccnc(Nc4ccc(OCCN5CCCCC5)cc4)n3)c(OC)c1	CHEMBL379733	pIC50=9.0
COc1ccc(N(C(=O)Oc2c(C)cccc2C)c3ccnc(Nc4ccc(OCCN5CCN(C)CC5)cc4)n3)c(OC)c1	CHEMBL212668	pIC50=9.0
COc1ccc(OC)c(c1)N(C(=O)Oc2c(C)cccc2C)c3ccnc(Nc4ccc(cc4)N5CCN(C)CC5)n3	CHEMBL442485	pIC50=9.0
COc1ccccc1N(C(=O)Oc2c(C)cccc2C)c3ccnc(Nc4ccc(cc4)N5CCN(C)CC5)n3	CHEMBL211460	pIC50=9.0
C[C@H](Nc1nccc(n1)n2cnc3ccccc23)[C@]4(C)CN(CCN4C)C(=O)Nc5cccc6ccccc56	CHEMBL567029	pIC50=9.0
Cc1cc(Nc2nc3ccc(cc3s2)C(=O)Nc4c(C)cccc4Cl)nc(NCC5CCCO5)n1	CHEMBL432189	pIC50=9.0
Cc1cc(Nc2ncc(s2)C(=O)Nc3c(C)cccc3Cl)nc(C)n1	CHEMBL364623	pIC50=9.0
Cc1ccc(cc1C#Cc2ccc(N)nc2)C(=O)Nc3cccc(c3)C(F)(F)F	CHEMBL220874	pIC50=9.0
Cc1ccc(cc1C#Cc2cnc(N)nc2)C(=O)Nc3cccc(c3)C(F)(F)F	CHEMBL427998	pIC50=9.0
Cc1ccc(cc1C#Cc2cnc3ccccc3c2)C(=O)Nc4cccc(c4)C(F)(F)F	CHEMBL219584	pIC50=9.0
Cc1ccc(cc1c2ccc3nc(Nc4ccccc4)ncc3c2)C(=O)Nc5cccc(c5C)C(F)(F)F	CHEMBL215863	pIC50=9.0
Cc1cccc(Cl)c1NC(=O)c2ccc3nc(Nc4cc(CN5CCOCC5)ccn4)sc3c2	CHEMBL315643	pIC50=9.0
NC(=O)c1c2Nc3cc(OCC(=O)O)ccc3CCn2nc1c4ccc(Oc5ccccc5)cc4	CHEMBL605724	pIC50=9.0
CN(C)CCOc1ccc2Nc3c(C(=O)N)c(nn3CCc2c1)c4ccc(NC(=O)Nc5c(Cl)cccc5Cl)cc4	CHEMBL582959	pIC50=9.03
CN(C)CCC(=O)Nc1cccc(Nc2ncc(NC(=O)c3cc(NC(=O)c4cccc(c4)C(F)(F)F)ccc3C)cn2)c1	CHEMBL3290125	pIC50=9.05
Cc1cc(F)c(cc1c2ccc3nc(N)ncc3c2)C(=O)Nc4cccc(c4)C(F)(F)F	CHEMBL213428	pIC50=9.05
Cc1cccc(Cl)c1NC(=O)c2ccc3nc(Nc4cccc(NCCO)n4)sc3c2	CHEMBL312933	pKi=9.05
CN(C)CCOc1ccc2Nc3c(C(=O)N)c(nn3CCc2c1)c4ccc(Nc5ccccc5)cc4	CHEMBL595624	pIC50=9.1
CN1CCN(CC1)c2ccc(Nc3ncc(NC(=O)c4cc(NC(=O)c5cccc(c5C)C(F)(F)F)ccc4C)cn3)cc2	CHEMBL271140	pIC50=9.1
NC(=O)c1c2Nc3cc(OCCN4CCOCC4)ccc3CCn2nc1c5ccc(Oc6ccccc6)cc5	CHEMBL591793	pIC50=9.11
NC(=O)c1c2Nc3ccc(OCCO)cc3CCn2nc1c4ccc(Oc5ccccc5)cc4	CHEMBL601096	pIC50=9.13
CN(C)CCOc1ccc2Nc3c(C(=O)N)c(nn3CCc2c1)c4ccc(Oc5ccccc5)cc4	CHEMBL591325	pIC50=9.14
CCN(CC)C\C=C\c1nc(O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c23)c1C	CHEMBL281957	pIC50=9.16
Cc1cccc(Cl)c1NC(=O)c2cnc(Nc3cc(NCCCN4CCOCC4)nc(C)n3)s2	CHEMBL214617	pIC50=9.16
Cc1cccc(Cl)c1NC(=O)c2cnc(Nc3cc(nc(C)n3)N4CCC(CO)CC4)s2	CHEMBL216240	pIC50=9.16
CN1CCC(CC1)Nc2ncc3cc(ccc3n2)c4cc(ccc4C)C(=O)Nc5cccc(c5C)C(F)(F)F	CHEMBL215691	pIC50=9.22
CN1CCN(CC1)c2ccc(Nc3ncc(NC(=O)c4cc(NC(=O)Nc5cccc(c5)C(F)(F)F)ccc4C)cn3)cc2	CHEMBL405666	pIC50=9.22
CN1CCN(CC1)c2ccc(Nc3ncc(NC(=O)c4cc(NC(=O)c5cccc(c5)C(F)(F)F)ccc4C)cn3)cc2	CHEMBL272888	pIC50=9.22
COc1ccc(N(C(=O)Oc2c(C)cccc2C)c3ccnc(Nc4cc(OC)c(OCCCN5CCN(C)CC5)c(OC)c4)n3)c(OC)c1	CHEMBL386760	pIC50=9.22
COc1nc(Nc2ccc(cc2)N3CCN(C)CC3)ncc1C(=O)Nc4cc(ccc4C)C(=O)Nc5cccc(c5F)C(F)(F)F	CHEMBL257858	pIC50=9.22
Cc1ccc(cc1c2ccc3nc(N)ncc3c2)C(=O)Nc4cccc(c4C)C(F)(F)F	CHEMBL215813	pIC50=9.22
Cc1cccc(Nc2ncc(s2)C(=O)Nc3c(C)cccc3Cl)n1	CHEMBL365505	pIC50=9.22
NC(=O)c1c2Nc3ccc(OCCN4CCOCC4)cc3CCn2nc1c5ccc(Oc6ccccc6)cc5	CHEMBL596079	pIC50=9.25
CN1CCN(CCOc2ccc3CCn4nc(c5ccc(Oc6ccccc6)cc5)c(C(=O)N)c4Nc3c2)CC1	CHEMBL592262	pIC50=9.26
CN(C)CCCOc1ccc2CCn3nc(c4ccc(Oc5ccccc5)cc4)c(C(=O)N)c3Nc2c1	CHEMBL592260	pIC50=9.29
CCN(CC)CC(=O)Nc1ccc(cc1NC(=O)c2ccc(C)c(c2)c3ccc4nc(NC)ncc4c3)C(F)(F)F	CHEMBL212953	pIC50=9.3
CN1CCN(CC1)c2ccc(Nc3ncc(NC(=O)c4cc(ccc4C)C(=O)Nc5cccc(c5)C(F)(F)F)cn3)cc2	CHEMBL408070	pIC50=9.3
CNc1ncc2cc(ccc2n1)c3cc(C(=O)Nc4cccc(c4)C(F)(F)F)c(F)cc3C	CHEMBL215745	pIC50=9.3
CNc1ncc2cc(ccc2n1)c3cc(ccc3C)C(=O)Nc4cc(ccc4OC5CCN(C)CC5)C(F)(F)F	CHEMBL386661	pIC50=9.3
CNc1ncc2cc(ccc2n1)c3cc(ccc3C)C(=O)Nc4ccc(Cl)c(c4)C(F)(F)F	CHEMBL215019	pIC50=9.3
Cc1cccc(Cl)c1NC(=O)c2cnc(Nc3cc(ncn3)N4CCOCC4)s2	CHEMBL189649	pIC50=9.3
Cc1cccc(Cl)c1NC(=O)c2cnc(Nc3cccc(NCCCN4CCOCC4)n3)s2	CHEMBL273250	pIC50=9.3
Cc1ccnc(Nc2ncc(s2)C(=O)Nc3c(C)cccc3Cl)c1	CHEMBL186568	pIC50=9.3
CCOC(=O)CN1CCN(C[C@H]1[C@H](C)Nc2nccc(n2)n3cnc4ccccc34)C(=O)Nc5cccc6ccccc56	CHEMBL566507	pIC50=9.35
CN(C)CCOc1ccc2Nc3c(C(=O)N)c(nn3CCc2c1)c4ccc(O)cc4	CHEMBL595398	pIC50=9.36
NCCOc1ccc2Nc3c(C(=O)N)c(nn3CCc2c1)c4ccc(Oc5ccccc5)cc4	CHEMBL591324	pIC50=9.39
CCN1CCN(C1=O)c2ccc3c(c2)ncn3c4ccnc(N[C@@H](C)[C@@H]5CN(CCN5C)C(=O)Nc6cccc7ccccc67)n4	CHEMBL568759	pIC50=9.4
CNc1ncc2cc(ccc2n1)c3cc(ccc3C)C(=O)Nc4cc(ccc4NC(=O)NCCN5CCOCC5)C(F)(F)F	CHEMBL213831	pIC50=9.4
C[C@H](Nc1nccc(n1)n2cnc3ccccc23)[C@H]4CCCN(C4)C(=O)Nc5cccc6ccccc56	CHEMBL569272	pIC50=9.4
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1c3ccc4nc(N)ncc4c3	CHEMBL429582	pIC50=9.4
Cc1ccc(cc1c2ccc3nc(NCCCN4CCOCC4)ncc3c2)C(=O)Nc5cccc(c5C)C(F)(F)F	CHEMBL214530	pIC50=9.4
Nc1ncc2cc(ccc2n1)c3cc(ccc3Cl)C(=O)Nc4cccc(c4)C(F)(F)F	CHEMBL212900	pIC50=9.4
CN1CCN(CC1)c2ccc(Nc3ncc(NC(=O)c4cc(NC(=O)c5cc(F)cc(c5)C(F)(F)F)ccc4C)cn3)cc2	CHEMBL407063	pIC50=9.52
CNc1ncc2cc(ccc2n1)c3cc(NC(=O)c4cccc(c4)C(F)(F)F)ccc3C	CHEMBL212128	pIC50=9.52
CNc1ncc2cc(ccc2n1)c3cc(ccc3C)C(=O)Nc4cccc(c4)C(F)(F)F	CHEMBL212964	pIC50=9.52
CNc1ncc2cc(ccc2n1)c3cc(ccc3C)C(=O)Nc4cccc5CCCc45	CHEMBL427233	pIC50=9.52
Cc1cccc(C)c1NC(=O)c2cnc(Nc3cccnn3)s2	CHEMBL405630	pIC50=9.52
NCCOc1ccc2CCn3nc(c4ccc(Oc5ccccc5)cc4)c(C(=O)N)c3Nc2c1	CHEMBL607366	pIC50=9.52
CC(C)CN1CCN(C[C@H]1[C@H](C)Nc2nccc(n2)n3cnc4ccccc34)C(=O)Nc5cccc6ccccc56	CHEMBL568762	pIC50=9.7
CCN(CC)CCOc1ccc(Nc2ncc3CN(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)cc1	CHEMBL1234002	pKd=9.7
C[C@H](Nc1nccc(n1)n2cnc3ccccc23)[C@@H]4CN(CCN4c5ccncc5)C(=O)Nc6cccc7ccccc67	CHEMBL565263	pIC50=9.7
Cc1ccc(cc1c2ccc3nc(N)ncc3c2)C(=O)Nc4cccc(c4)C(F)(F)F	CHEMBL385937	pIC50=9.7
Cc1ccc(cc1c2ccc3nc(NCCN4CCOCC4)ncc3c2)C(=O)Nc5cccc(c5)C(F)(F)F	CHEMBL215943	pIC50=9.7
Cc1cccc(Cl)c1NC(=O)c2cnc(Nc3cc(NCCO)nc(C)n3)s2	CHEMBL386118	pIC50=9.7
C[C@H](Nc1nccc(n1)n2cnc3cc(ccc23)c4ccncc4)[C@@H]5CN(CCN5C)C(=O)Nc6cccc7ccccc67	CHEMBL572197	pIC50=9.92
CCN1CCN(C[C@H]1[C@H](C)Nc2nccc(n2)n3cnc4ccccc34)C(=O)Nc5cccc6ccccc56	CHEMBL569496	pIC50=10.15
C[C@H](Nc1nccc(n1)n2cnc3cc(ccc23)c4ccnc(N)n4)[C@@H]5CN(CCN5C)C(=O)Nc6cccc7ccccc67	CHEMBL566284	pIC50=10.15
Cc1ccc(cc1c2ccc3nc(NC4CC4)ncc3c2)C(=O)Nc5cccc(c5C)C(F)(F)F	CHEMBL212181	pIC50=10.15
C[C@H](Nc1nccc(n1)n2cnc3ccccc23)[C@@H]4CN(CCN4C)C(=O)Nc5cccc6ccccc56	CHEMBL566813	pIC50=10.22
COC(C)(C)CCn1nc(Nc2c(C)cccc2C)c3cnc(Nc4ccc(OCCN5CCCC5)cc4)nc13	CHEMBL458333	pKi=10.4
CNc1ncc2cc(ccc2n1)c3cc(ccc3C)C(=O)Nc4cccc(c4C)C(F)(F)F	CHEMBL215969	pIC50=11.0
