COC(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(C)C(=O)CN4CCN(C)CC4)/c5ccccc5)\C(=O)Nc2c1	nintedanib	pKd=8.31	pKd=8.31	pKd=8.31	pKd=8.31
CC(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@H](CC3)NC(=O)[C@@H](N)C(C)(C)C)c4cc(F)c(O)c(Cl)c4	CHEMBL3684268	pIC50=7.55
CN(C)Cc1ccc(cc1)c2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C5CC5	CHEMBL3674282	pIC50=8.41
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(N[C@@H]5CC[C@@H](CN6CCC(C6)N(C)C)CC5)c3c2	CHEMBL3679292	pIC50=8.41
CCCC(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@@H](N)CC3)c4cc(Cl)c(O)c(OC)c4	CHEMBL3679169	pIC50=8.42
CCCC(=O)c1cnc2ccc(cc2c1Nc3ccc(CN(C)C)cc3)c4cnc(nc4)C#N	CHEMBL3679178	pIC50=8.42
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(nc5)N6CCNCC6)c3c2	CHEMBL3674258	pIC50=8.42
NCc1ccc(Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C5CC5)cc1	CHEMBL3674355	pIC50=8.42
CC(C1CCN(CC1)c2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C5CC5)N(C)C	CHEMBL3674196	pIC50=8.43
COc1cc(cc(Cl)c1O)c2ccc3ncc(C#N)c(N4CCC(CN5CCCC5)CC4)c3c2	CHEMBL3674279	pIC50=8.43
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C)c(Nc4ccc(CCN(C)C)cc4)c3n2	CHEMBL3688363	pIC50=8.43
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C)c(Nc4ccc(CN(C)C)cc4)c3c2	CHEMBL3674246	pIC50=8.43
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5cccc(CN(C)C)c5)c3c2	CHEMBL3679249	pIC50=8.43
NC1CCN(C1)c2ccc(Nc3c(cnc4ccc(cc34)c5cc(F)c(O)c(Cl)c5)C(=O)C6CC6)cn2	CHEMBL3679210	pIC50=8.43
Oc1c(F)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(N[C@@H]5CC[C@@H](CN6CCCC6)CC5)c3c2	CHEMBL3679218	pIC50=8.43
CC(=O)c1cnc2ccc(nc2c1Nc3ccc(nc3)N4CCC[C@@H](N)C4)c5cc(F)c(O)c(Cl)c5	CHEMBL3692822	pIC50=8.44
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(OCCN(C)C)nc5)c3c2	CHEMBL3679334	pIC50=8.44
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(cc5)C(C)(C)N)c3c2	CHEMBL3679232	pIC50=8.44
COc1cc(ccc1O)c2ccc3ncc(C(=O)C4CC4)c(N5CCC(CN(C)C)CC5)c3c2	CHEMBL3674160	pIC50=8.44
CN(C)CC(=O)N1CCN(CC1)c2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C5CC5	CHEMBL3674293	pIC50=8.46
CN(C)CC(O)c1ccc(Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C5CC5)cc1	CHEMBL3679331	pIC50=8.46
CN(C)CCOc1ccc(Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)S(=O)(=O)C)cn1	CHEMBL3684239	pIC50=8.46
CN1CCCC1C(=O)N[C@@H]2CC[C@H](CC2)Nc3c(cnc4ccc(cc34)c5cc(Cl)c(O)c(Cl)c5)C(=O)C	CHEMBL3684230	pIC50=8.46
COC1CCN(C1)C2CCC(CC2)Nc3c(cnc4ccc(cc34)c5cc(F)c(O)c(Cl)c5)C(=O)C6CC6	CHEMBL3639781	pIC50=8.46
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(N[C@@H]5CC[C@@H](CN6CCN(C)CC6)CC5)c3c2	CHEMBL3679263	pIC50=8.46
CC1(N)CCC(CC1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C5CC5	CHEMBL3679264	pIC50=8.47
CCC(=O)c1cnc2ccc(cc2c1Nc3ccc(nc3)N4CCC(N)C4)c5cc(Cl)c(O)c(OC)c5	CHEMBL3684139	pIC50=8.47
CCC(=O)c1cnc2ccc(cc2c1Nc3ccc(nc3)N4CCC(N)C4)c5cc(F)c(O)c(Cl)c5	CHEMBL3684126	pIC50=8.47
CN(C)CCNc1ccc(Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C5CC5)cn1	CHEMBL3684140	pIC50=8.47
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C)c(N[C@@H]4CC[C@@H](CN(C)C)CC4)c3c2	CHEMBL3674247	pIC50=8.47
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(NC5CCNCC5)c3c2	CHEMBL3679348	pIC50=8.47
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(NCC5CCN(C)CC5)c3c2	CHEMBL3674173	pIC50=8.47
COc1cc(ccc1O)c2ccc3ncc(C(=O)C4CC4)c(N5CCC(CC5)C(C)N(C)C)c3c2	CHEMBL3674170	pIC50=8.47
NC[C@@H]1CC[C@@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C5CC5	CHEMBL3674361	pIC50=8.47
CN(C)C1CCc2cc(Nc3c(cnc4ccc(cc34)c5cc(Cl)c(O)c(Cl)c5)C(=O)C)ccc12	CHEMBL3679341	pIC50=8.48
CN(C)C[C@@H]1CCC[C@@H](C1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C	CHEMBL3684184	pIC50=8.48
COC1CCN(C1)C2CCC(CC2)Nc3c(cnc4ccc(cc34)c5cc(Cl)c(O)c(OC)c5)C(=O)C6CC6	CHEMBL3679310	pIC50=8.48
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(NC6CCNC6)nc5)c3c2	CHEMBL3679289	pIC50=8.48
CC(=O)c1cnc2ccc(cc2c1Nc3ccc(CN4CCCC4)cc3)c5cc(Cl)c(O)c(Cl)c5	CHEMBL3674268	pIC50=8.5
CCN(CC)[C@@H]1CC[C@@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(OC)c4)C(=O)C5CC5	CHEMBL3674209	pIC50=8.5
CN(C)C1CCN(C1)c2ccc(Nc3c(cnc4ccc(cc34)c5cc(Cl)c(O)c(Cl)c5)C(=O)C)cn2	CHEMBL3684211	pIC50=8.5
CN(C)CCOc1ccc(Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C5CC5)cn1	CHEMBL3679333	pIC50=8.5
CN(C)CC[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C	CHEMBL3679359	pIC50=8.5
CN(C)CC[C@H]1CCC[C@@H](C1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C	CHEMBL3684217	pIC50=8.5
CN(C)Cc1ccc(Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C5CC5)cc1	CHEMBL3674227	pIC50=8.5
CN1CCC(CC1)n2cc(Nc3c(cnc4ccc(cc34)c5cc(F)c(O)c(Cl)c5)S(=O)(=O)C)cn2	CHEMBL3684255	pIC50=8.5
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C)c(Nc4ccc(nc4)N5CCCC(N)C5)c3c2	CHEMBL3679311	pIC50=8.5
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(CN)cc5)c3c2	CHEMBL3674354	pIC50=8.5
CC(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@@H](CN4CCC(N)C4)CC3)c5cc(F)c(O)c(Cl)c5	CHEMBL3684149	pIC50=8.51
CC(=O)c1cnc2ccc(nc2c1N[C@@H]3CC[C@@H](CO)CC3)c4cc(Cl)c(O)c(Cl)c4	CHEMBL3688375	pIC50=8.51
CC(=O)c1cnc2ccc(nc2c1Nc3ccc(nc3)N4CCCC(N)C4)c5cc(F)c(O)c(Cl)c5	CHEMBL3692791	pIC50=8.51
CC(C)C(N)C(=O)N[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C	CHEMBL3684269	pIC50=8.51
CCN(CC)C[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(OC)c4)C(=O)C	CHEMBL3684154	pIC50=8.51
CCN(CC)[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(OC)c4)C(=O)C5CC5	CHEMBL3674211	pIC50=8.51
CN(C)CCN1CCC(CC1)Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C5CC5	CHEMBL3684179	pIC50=8.51
CN(C)C[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C	CHEMBL3674238	pIC50=8.51
CN(C)C[C@@H]1C[C@H](C1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C	CHEMBL3684147	pIC50=8.51
CN(CCO)C[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C5CC5	CHEMBL3679259	pIC50=8.51
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(nc5)N6CCCC(N)C6)c3c2	CHEMBL3679191	pIC50=8.51
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5cnc(nc5)N6CCC(N)C6)c3c2	CHEMBL3679214	pIC50=8.51
NC1CCN(C1)c2ccc(Nc3c(cnc4ccc(cc34)c5cc(Cl)c(O)c(Cl)c5)C(=O)C6CC6)cn2	CHEMBL3679209	pIC50=8.51
CN(C)C1CCN(C[C@@H]2CC[C@H](CC2)Nc3c(cnc4ccc(cc34)c5cc(Cl)c(O)c(Cl)c5)C(=O)C6CC6)C1	CHEMBL3679287	pIC50=8.52
CN(C)C[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C5CCCC5	CHEMBL3684271	pIC50=8.52
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(N[C@@H]5CC[C@@H](CN)CC5)c3c2	CHEMBL3674343	pIC50=8.52
NC1CCCN(C1)c2ccc(Nc3c(cnc4ccc(cc34)c5cc(F)c(O)c(F)c5)C(=O)C6CC6)cn2	CHEMBL3679346	pIC50=8.52
NC1CCN(CC1)c2ncc(Nc3c(cnc4ccc(cc34)c5cc(Cl)c(O)c(Cl)c5)C(=O)C6CC6)cn2	CHEMBL3679201	pIC50=8.52
Oc1c(F)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(N[C@@H]5CC[C@@H](CNCCF)CC5)c3c2	CHEMBL3679323	pIC50=8.52
Oc1ccc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(Nc5cnn(c5)C6CCNCC6)c3c2	CHEMBL3674365	pIC50=8.52
CC(=O)c1cnc2ccc(cc2c1Nc3ccc(CN4CCCC4)cc3)c5cnc(nc5)C#N	CHEMBL3674266	pIC50=8.54
CCN(CC)CCO[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C	CHEMBL3684223	pIC50=8.54
CN(C)[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C5CC5	CHEMBL3674193	pIC50=8.54
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(NC5CCN(CC5)C6CCNC6)c3c2	CHEMBL3684130	pIC50=8.54
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(NCCN(C)C)nc5)c3c2	CHEMBL3679364	pIC50=8.54
NC[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C5CC5	CHEMBL3674344	pIC50=8.54
Oc1c(F)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(N5CCC(CN6CCCC6)CC5)c3c2	CHEMBL3674201	pIC50=8.54
CC(=O)c1cnc2ccc(cc2c1Nc3cnc(C)c(CCN4CCCC4)c3)c5cc(Cl)c(O)c(Cl)c5	CHEMBL3684226	pIC50=8.55
CC(C)(N)c1ccc(Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C5CC5)cc1	CHEMBL3679233	pIC50=8.55
CC(C)C(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@@H](N)CC3)c4cc(Cl)c(O)c(Cl)c4	CHEMBL3674180	pIC50=8.55
CCC(=O)c1cnc2ccc(nc2c1N[C@@H]3CC[C@@H](CN(C)C)CC3)c4cc(F)c(O)c(Cl)c4	CHEMBL3692827	pIC50=8.55
CN(C)CCOc1ccc(Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C)cn1	CHEMBL3684209	pIC50=8.55
CN(C)C[C@@H]1CC[C@@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C5CC5	CHEMBL3674360	pIC50=8.55
CN(C)Cc1ccc(Nc2c(cnc3ccc(nc23)c4cc(Cl)c(O)c(Cl)c4)S(=O)(=O)C)cc1	CHEMBL3688349	pIC50=8.55
CN1CCC(CC1)n2cc(Nc3c(cnc4ccc(cc34)c5cc(F)c(O)c(Cl)c5)C(=O)C)cn2	CHEMBL3684164	pIC50=8.55
CNC1CCN(C1)c2ccc(Nc3c(cnc4ccc(cc34)c5cc(F)c(O)c(Cl)c5)C(=O)C6CC6)cn2	CHEMBL3684152	pIC50=8.55
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(N[C@@H]5CC[C@@H](CN6CCCC6)CC5)c3c2	CHEMBL3679217	pIC50=8.55
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5cnc(nc5)N6CCCC(N)C6)c3c2	CHEMBL3679270	pIC50=8.55
CCN(C)C[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(OC)c4)C(=O)C	CHEMBL3684174	pIC50=8.57
CN(C)CC(=O)N[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C	CHEMBL3684232	pIC50=8.57
CN(C)CCN1CCC(CC1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C	CHEMBL3684180	pIC50=8.57
CN(C)C[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(nc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C5CCC5	CHEMBL3692833	pIC50=8.57
CN(C)C[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(nc23)c4ccc(O)c(OC(F)(F)F)c4)C(=O)C	CHEMBL3688344	pIC50=8.57
CN(C)[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C#N	CHEMBL3674297	pIC50=8.57
CN1CCN(C[C@@H]2CCC[C@@H](C2)Nc3c(cnc4ccc(cc34)c5cc(Cl)c(O)c(Cl)c5)C(=O)C)CC1	CHEMBL3684192	pIC50=8.57
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C)c(N4CCC(CN5CCCC5)CC4)c3c2	CHEMBL3674215	pIC50=8.57
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C)c(N[C@@H]4CC[C@@H](CN5CCC[C@@H]5CO)CC4)c3c2	CHEMBL3684170	pIC50=8.57
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(nc5)N6CCC(N)C6)c3c2	CHEMBL3679203	pIC50=8.57
CS(=O)(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@@H](CN4CCCC4)CC3)c5cc(Cl)c(O)c(Cl)c5	CHEMBL3684245	pIC50=8.57
NC1CCCN(C1)c2ccc(Nc3c(cnc4ccc(cc34)c5cc(F)c(O)c(Cl)c5)C(=O)C6CC6)cn2	CHEMBL3679197	pIC50=8.57
Oc1c(F)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(nc5)N6CCNCC6)c3c2	CHEMBL3674276	pIC50=8.57
CC(N)C(=O)N[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(nc23)c4cc(F)c(O)c(Cl)c4)C(=O)C	CHEMBL3692800	pIC50=8.59
CCC(=O)c1cnc2ccc(cc2c1Nc3ccc(nc3)N4CCC(N)C4)c5cc(Cl)c(O)c(Cl)c5	CHEMBL3684127	pIC50=8.59
CCC(=O)c1cnc2ccc(nc2c1Nc3ccc(nc3)N4CCC[C@H](N)C4)c5cc(F)c(O)c(Cl)c5	CHEMBL3692830	pIC50=8.59
CCN(CC)C1CCC(CC1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(OC)c4)C(=O)C5CC5	CHEMBL3674169	pIC50=8.59
CN(C)CCc1ccc(Nc2c(cnc3ccc(nc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C)cc1	CHEMBL3688361	pIC50=8.59
CN1CCCC(C1)n2cc(Nc3c(cnc4ccc(cc34)c5cc(F)c(O)c(Cl)c5)C(=O)C6CC6)cn2	CHEMBL3679321	pIC50=8.59
CN1CCN(C[C@@H]2CC[C@H](CC2)Nc3c(cnc4ccc(nc34)c5cc(F)c(O)c(Cl)c5)C(=O)C)CC1	CHEMBL3692794	pIC50=8.59
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C)c(N[C@@H]4CC[C@@H](CCN(C)C)CC4)c3c2	CHEMBL3679358	pIC50=8.59
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C)c(Nc4cccc(CCN(C)C)c4)c3c2	CHEMBL3679351	pIC50=8.59
N[C@@H]1CC[C@@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(F)c4)C(=O)C5CC5	CHEMBL3674167	pIC50=8.59
Oc1c(Cl)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(c5ccc(CN6CCCC6)cc5)c3c2	CHEMBL3674303	pIC50=8.59
CN(C)CCNC(=O)c1ccc(cc1)c2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C5CC5	CHEMBL3674302	pIC50=8.6
CN(C)C[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cnc(nc4)C#N)C(=O)C5CC5	CHEMBL3674277	pIC50=8.6
CN[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C	CHEMBL3679194	pIC50=8.6
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(NC6CCCNC6)nc5)c3c2	CHEMBL3679238	pIC50=8.6
CC(=O)c1cnc2ccc(nc2c1N[C@@H]3CC[C@H](CC3)NC(=O)[C@@H]4CCCN4)c5cc(F)c(O)c(Cl)c5	CHEMBL3692802	pIC50=8.62
CCC(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@@H](CN(C)C)CC3)c4cc(Cl)c(O)c(OC)c4	CHEMBL3679335	pIC50=8.62
CCCC(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@@H](N)CC3)c4cc(Cl)c(O)c(Cl)c4	CHEMBL3679174	pIC50=8.62
CCOc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(N5CCC(CN(C)C)CC5)c3c2	CHEMBL3674308	pIC50=8.62
CN(C)C1CCN(C1)c2ccc(Nc3c(cnc4ccc(cc34)c5cc(Cl)c(O)c(Cl)c5)S(=O)(=O)C)cn2	CHEMBL3684260	pIC50=8.62
CN(C)CC1CCN(CC1)c2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C5CC5	CHEMBL3674228	pIC50=8.62
CN(C)CCN1CCC(CC1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C5CC5	CHEMBL3684177	pIC50=8.62
CN(C)CCc1cccc(Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C5CC5)c1	CHEMBL3679320	pIC50=8.62
CN(C)[C@@H]1CC[C@@H](CNc2c(cnc3ccc(nc23)c4cc(F)c(O)c(Cl)c4)C(=O)C)CC1	CHEMBL3692816	pIC50=8.62
CN[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C5CC5	CHEMBL3679163	pIC50=8.62
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C)c(N[C@@H]4CC[C@@H](N)CC4)c3c2	CHEMBL3674190	pIC50=8.62
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(C5=CCN(CC5)C(=O)CN(C)C)c3c2	CHEMBL3679161	pIC50=8.62
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(nc5)N6CCC[C@H](N)C6)c3c2	CHEMBL3679284	pIC50=8.62
N[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cnc(nc4)C#N)C(=O)C5CC5	CHEMBL3674156	pIC50=8.62
CCC(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@@H](CN4CCCC4)CC3)c5cc(F)c(O)c(Cl)c5	CHEMBL3684203	pIC50=8.64
CN(C)CCNC(=O)[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C	CHEMBL3684247	pIC50=8.64
CN(C)C[C@@H]1CCC[C@H](C1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C	CHEMBL3679367	pIC50=8.64
CN(C)C[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)S(=O)(=O)C	CHEMBL3674272	pIC50=8.64
COC1CCN(C[C@@H]2CC[C@H](CC2)Nc3c(cnc4ccc(cc34)c5cc(Cl)c(O)c(Cl)c5)C(=O)C6CC6)C1	CHEMBL3679228	pIC50=8.64
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C)c(Nc4ccc(nc4)N5CCNCC5)c3c2	CHEMBL3679326	pIC50=8.64
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(N[C@@H]5CC[C@@H](CN6CCC(O)C6)CC5)c3c2	CHEMBL3679257	pIC50=8.64
Oc1c(Cl)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(N5CCC(CCN6CCCC6)CC5)c3c2	CHEMBL3679373	pIC50=8.64
Oc1c(F)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(NC6CCCNC6)nc5)c3c2	CHEMBL3679240	pIC50=8.64
CC(C)C(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@@H](CN(C)C)CC3)c4cc(Cl)c(O)c(Cl)c4	CHEMBL3679237	pIC50=8.66
CC(C)CC(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@@H](N)CC3)c4cc(Cl)c(O)c(Cl)c4	CHEMBL3674195	pIC50=8.66
CN(C)CCc1ccc(Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C5CC5)cc1	CHEMBL3679242	pIC50=8.66
CN(C)CCc1cccc(Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C)c1	CHEMBL3679350	pIC50=8.66
CN(C)Cc1ccc(Nc2c(cnc3ccc(cc23)c4cnc(nc4)C#N)C(=O)C)cc1	CHEMBL3674267	pIC50=8.66
CN(C)[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C	CHEMBL3684131	pIC50=8.66
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C)c(N4CCC(CN(C)C)CC4)c3c2	CHEMBL3674206	pIC50=8.66
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(N5CCC(CC5)N6CCN(C)CC6)c3c2	CHEMBL3674232	pIC50=8.66
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5cnn(c5)C6CCNCC6)c3c2	CHEMBL3674359	pIC50=8.66
CC(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@@H](CN4CCNCC4)CC3)c5cc(Cl)c(O)c(Cl)c5	CHEMBL3684136	pIC50=8.68
CC(=O)c1cnc2ccc(nc2c1N3CCC(CCN4CCCC4)CC3)c5cc(Cl)c(O)c(Cl)c5	CHEMBL3688368	pIC50=8.68
CCOc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C)c(N[C@@H]4CC[C@@H](N)CC4)c3c2	CHEMBL3674337	pIC50=8.68
CN(C)C[C@@H]1CC[C@@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C5CC5	CHEMBL3679166	pIC50=8.68
CN1CCC(C1)n2cc(Nc3c(cnc4ccc(cc34)c5cc(F)c(O)c(Cl)c5)C(=O)C)cn2	CHEMBL3684172	pIC50=8.68
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(N[C@@H]5CC[C@H](CC5)N6CCCC6)c3c2	CHEMBL3674226	pIC50=8.68
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(nc5)N6CCC[C@@H](N)C6)c3c2	CHEMBL3679274	pIC50=8.68
OC1CCN(C[C@@H]2CC[C@H](CC2)Nc3c(cnc4ccc(cc34)c5cc(F)c(O)c(Cl)c5)C(=O)C6CC6)C1	CHEMBL3679258	pIC50=8.68
Oc1c(Cl)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(Nc5cnc(nc5)N6CCNCC6)c3c2	CHEMBL3674346	pIC50=8.68
CCN(C)C[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C	CHEMBL3684202	pIC50=8.69
CC(=O)c1cnc2ccc(nc2c1N[C@@H]3CC[C@@H](CN4CC[C@@H](F)C4)CC3)c5cc(Cl)c(O)c(Cl)c5	CHEMBL3692831	pIC50=8.7
CC(=O)c1cnc2ccc(nc2c1Nc3ccc(nc3)N4CCC[C@@H](N)C4)c5cc(Cl)c(O)c(Cl)c5	CHEMBL3692821	pIC50=8.7
CCCC(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@@H](CN(C)C)CC3)c4cc(Cl)c(O)c(Cl)c4	CHEMBL3679234	pIC50=8.7
