CC1=C(C=CC=C1)C(=O)NC1=CC(C)=C(C=C1)C(=O)N1CCCC(O)C2=CC(Cl)=CC=C12	tolvaptan	pKi=9.0	pKi=9.0	pKi=9.0	pKi=9.37
CC1=NC2=C(N1)C1=C(C=CC=C1)N(CC2)C(=O)C1=CC=C(NC(=O)C2=C(C=CC=C2)C2=CC=CC=C2)C=C1	conivaptan	pKi=9.44	pKi=9.44	pKi=9.44	pKi=9.44
CN(C)C1CCCN(C(=O)C2=CC=C(NC(=O)C3=C(C)C=CC=C3)C=C2)C2=CC=CC=C12	mozavaptan	pKi=8.03	pKi=8.03	pKi=8.03	pKi=8.01
NC(=O)CC[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(=O)N)NC1=O)C(=O)N4CCC[C@H]4C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N	desmopressin	pKi=8.3	pKi=8.3	pKi=8.3	pKi=8.3
[H]N[C@H]1CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(N)=O	vasopressin	pKi=8.92	pKi=8.92	pKi=8.92
[H]N[C@H]1CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(=O)NCC(N)=O	lypressin
Fc1ccc(C(=O)Nc2ccc(C(=O)N3CC4CSCCN4Cc5ccccc35)c(Cl)c2)c(c1)c6ccccc6	CHEMBL330005	pKi=8.43
O=C(Nc1ccc(cc1)C(=O)N2C[C@H]3COCCN3Cc4ccccc24)c5ccccc5c6ccccc6	CHEMBL93861	pKi=8.43
CCOc1ccc(C[C@H]2NC(=O)CC3(CCCCC3)SCSC[C@@H](NC(=O)[C@@H](CC(=O)N)NC(=O)[C@@H](NC(=O)[C@@H](Cc4ccccc4)NC2=O)C(C)C)C(=O)N5CCC[C@H]5C(=O)N[C@@H](CCCN=C(N)N)C(=O)N)cc1	CHEMBL2370646	pKi=8.44
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CCC(=O)N)NC1=O)C(=O)N3CCC[C@H]3C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N	CHEMBL439044	pEC50=8.46
Cc1ccc(F)cc1C(=O)Nc2ccc(C(=O)N3CCCCc4sccc34)c(Cl)c2	CHEMBL350089	pIC50=8.47
Cc1ccn(n1)c2ccc(C(=O)N3CCC(F)(F)\C(=C/C(=O)NCc4cccnn4)\c5ccccc35)c(Cl)c2	CHEMBL475684	pKi=8.47
CCOc1ccc(C[C@H]2NC(=O)CC3(CCCCC3)SSC[C@@H](NC(=O)[C@@H](CC(=O)N)NC(=O)[C@@H](NC(=O)[C@@H](Cc4ccccc4)NC2=O)C(C)C)C(=O)N[C@H](CCCCN)C(=O)N)cc1	CHEMBL416114	pKi=8.48
Clc1ccc(C(=O)Nc2ccc(cc2)C(=O)N3Cc4cccn4Cc5ccccc35)c(Cl)c1	CHEMBL418890	pIC50=8.5
O=C(Nc1ccc(cc1)C(=O)N2C[C@H]3CSCCN3Cc4ccccc24)c5ccccc5c6ccccc6	CHEMBL329903	pKi=8.5
Oc1cc(NC(=O)c2ccccc2c3ccccc3)ccc1C(=O)N4CC5CSCCN5Cc6ccccc46	CHEMBL328791	pKi=8.5
COc1ccc(cc1)c2ccccc2C(=O)Nc3ccc(C(=O)N4C[C@H]5COCCN5Cc6ccccc46)c(Cl)c3	CHEMBL329026	pKi=8.55
Cc1ccc(F)cc1C(=O)Nc2ccc(C(=O)N3C[C@H]4COCCN4Cc5ccccc35)c(Cl)c2	CHEMBL328079	pKi=8.55
Clc1cc(NC(=O)c2ccccc2c3ccccc3)ccc1C(=O)N4Cc5cccn5Cc6ccccc46	CHEMBL159359	pIC50=8.57
CN(C)CCN(C)Cc1ccc2CN(C(=O)c3ccc(NC(=O)c4ccccc4c5ccccc5)cc3Cl)c6ccccc6Cn12	CHEMBL349237	pIC50=8.59
CC[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(=O)N)NC1=O)C(=O)N4CCC[C@H]4C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N	CHEMBL2369829	pKi=8.68
Cc1ccc(F)cc1C(=O)Nc2ccc(C(=O)N3Cc4cccn4Cc5ccccc35)c(C)c2	CHEMBL81133	pIC50=8.68
Clc1cc(NC(=O)c2ccccc2c3ccccc3)ccc1C(=O)N4Cc5ccc(CN6CCC(CC6)N7CCCCC7)n5Cc8ccccc48	CHEMBL165200	pIC50=8.68
CN(C)C1CCN(Cc2ccc3CN(C(=O)c4ccc(NC(=O)c5ccccc5c6ccccc6)cc4Cl)c7ccccc7Cn23)CC1	CHEMBL350869	pIC50=8.7
CN1CCCN(CCCOc2cc(ccc2NC(=O)c3ccccc3c4ccccc4)C(=O)N5CCCCc6sccc56)CC1	CHEMBL369832	pIC50=8.7
COc1cc(NC(=O)c2cc(F)ccc2C)ccc1C(=O)N3Cc4cccn4Cc5ccccc35	CHEMBL312036	pIC50=8.7
Clc1ccc(C(=O)Nc2ccc(C(=O)N3Cc4cccn4Cc5ccccc35)c(Cl)c2)c(Cl)c1	CHEMBL311230	pIC50=8.7
COc1cc(ccc1NC(=O)c2ccc(Cl)cc2Cl)C(=O)N3Cc4cccn4Cc5ccccc35	CHEMBL81269	pIC50=8.72
Cc1c(F)cccc1C(=O)Nc2ccc(C(=O)N3Cc4cccn4Cc5ccccc35)c(Cl)c2	CHEMBL80029	pIC50=8.72
Fc1ccc(C(=O)Nc2ccc(C(=O)N3C[C@H]4COCCN4Cc5ccccc35)c(Cl)c2)c(c1)c6ccccc6	CHEMBL93603	pKi=8.72
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CCC(=O)N)NC1=O)C(=O)N(CC(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N)C3CCC3	CHEMBL3353932	pEC50=8.75
Clc1cc(NC(=O)c2ccccc2c3ccccc3)ccc1C(=O)N4CCc5c[nH]nc5c6sccc46	CHEMBL350973	pIC50=8.77
Cc1ccn(n1)c2ccc(C(=O)N3Cc4cccnc4Nc5ccccc35)c(c2)C(F)(F)F	CHEMBL201889	pEC50=8.78
CCOc1ccc(C[C@H]2NC(=O)CC3(CCCCC3)SCSC[C@@H](NC(=O)[C@@H](CC(=O)N)NC(=O)[C@@H](NC(=O)[C@@H](Cc4ccccc4)NC2=O)C(C)C)C(=O)N[C@H](CCCN=C(N)N)C(=O)N)cc1	CHEMBL339943	pKi=8.82
C[C@@H](O)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(=O)N)NC1=O)C(=O)N4CCC[C@H]4C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N	CHEMBL2369831	pKi=8.82
Cc1ccc(F)cc1C(=O)Nc2ccc(cc2)C(=O)N3Cc4cccn4Cc5ccccc35	CHEMBL68085	pIC50=8.82
Oc1ccc(C(=O)Nc2ccc(C(=O)N3C[C@H]4COCCN4Cc5ccccc35)c(Cl)c2)c(c1)c6ccccc6	CHEMBL327242	pKi=8.85
CN1CCN(Cc2ccc3CN(C(=O)c4ccc(NC(=O)c5ccccc5c6ccccc6)cc4Cl)c7ccccc7Cn23)CC1	CHEMBL165340	pIC50=8.89
CC(C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(=O)N)NC1=O)C(=O)N4CCC[C@H]4C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N	CHEMBL221436	pKi=8.92
CN(C)C1CCN(CC1)C(=O)\C=C/2\c3ccccc3N(CCC2(F)F)C(=O)c4ccc(NC(=O)c5ccccc5c6ccccc6)cc4	CHEMBL307483	pKi=8.92
CCOc1ccc(C[C@@H]2NC(=O)CC3(CCCCC3)SSC[C@@H](NC(=O)[C@@H](CC(=O)N)NC(=O)[C@@H](NC(=O)[C@@H](Cc4ccccc4)NC2=O)C(C)C)C(=O)N5CCC[C@H]5C(=O)N[C@@H](CCCN=C(N)N)C(=O)N)cc1	CHEMBL384776	pKi=8.96
CCOc1ccc(C[C@@H]2NC(=O)CC3(CCC(C)CC3)SSC[C@@H](NC(=O)[C@@H](CC(=O)N)NC(=O)[C@@H](NC(=O)[C@@H](Cc4ccccc4)NC2=O)C(C)C)C(=O)N5CCC[C@H]5C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N)cc1	CHEMBL3084974	pKi=9.0
CCOc1ccc(C[C@@H]2NC(=O)CC3(CCCCC3)SSC[C@@H](NC(=O)[C@@H](CC(=O)N)NC(=O)[C@@H](NC(=O)[C@@H](Cc4ccccc4)NC2=O)C(C)C)C(=O)N5CCC[C@H]5C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N)cc1	CHEMBL438014	pKi=9.0
CN1CCN(CCCCOc2cc(ccc2NC(=O)c3ccccc3c4ccccc4)C(=O)N5CCCCc6sccc56)CC1	CHEMBL368354	pIC50=9.0
Cc1ccccc1C(=O)Nc2ccc(C(=O)N3Cc4cccn4Cc5ccccc35)c(Cl)c2	CHEMBL310416	pIC50=9.0
Cl.Clc1cc(NC(=O)c2ccccc2c3ccccc3)ccc1C(=O)N4C[C@H]5COCCN5Cc6ccccc46	CHEMBL543854	pKi=9.05
CCOc1ccc(C[C@@H]2NC(=O)CC3(CCC(C)CC3)SSC[C@@H](NC(=O)[C@H](CC(=O)N)NC(=O)[C@@H](NC(=O)[C@H](Cc4ccccc4)NC2=O)C(C)C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N)cc1	CHEMBL2371604	pKi=9.16
Cc1ccccc1C(=O)Nc2ccc(cc2)C(=O)N3Cc4sccc4Cc5ccccc35	CHEMBL49322	pIC50=9.16
Fc1ccc(C(=O)Nc2ccc(C(=O)N3Cc4cccn4Cc5ccccc35)c(Cl)c2)c(Cl)c1	CHEMBL420031	pIC50=9.16
CN(C)CCCNC(=O)CCc1ccc(cc1)S(=O)(=O)N(CC(=O)N\N=C\2/C(=O)Nc3ccccc23)c4ccc(Cl)cc4	CHEMBL445816	pKi=9.17
CCOc1ccc(C[C@@H]2NC(=O)CC3(CCCCC3)SSC[C@@H](NC(=O)[C@@H](CC(=O)N)NC(=O)[C@@H](NC(=O)[C@@H](Cc4ccccc4)NC2=O)C(C)C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N)cc1	CHEMBL2371605	pKi=9.3
Cc1cccc(C(=O)Nc2ccc(C(=O)N3Cc4cccn4Cc5ccccc35)c(Cl)c2)c1C	CHEMBL311931	pIC50=9.3
COc1ccccc1C(=O)Nc2ccc(cc2)C(=O)N3CCC4(CCCC=C4)Cc5ccccc35	CHEMBL102311	pIC50=9.7
