Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4(CC4)c5ccc(Cl)cc5)ncc23	CHEMBL3654736	pIC50=7.53
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4c(C)cc(Cl)cc4Cl)ncc23	CHEMBL3662970	pIC50=8.54
Cc1nn(C)cc1Nc2nccc(n2)C3=CC(=O)N(C=C3)C(CO)c4ccc(Cl)c(F)c4	CHEMBL3675718	pIC50=8.54
CC(NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4cc(C)ccn4	CHEMBL3662954	pIC50=8.55
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCC4(CC4)c5ccc(F)cc5)ncc23	CHEMBL3658639	pIC50=8.55
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCC4CNC(=O)O4)ncc23	CHEMBL3658828	pIC50=8.55
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ccc5[nH]cnc5c4)ncc23	CHEMBL3658732	pIC50=8.55
OC[C@H](N1C=CC(=CC1=O)c2ccnc(NC3CCOCC3)n2)c4ccc(Cl)c(F)c4	CHEMBL3409610	pKi=8.55
CCCNC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1	CHEMBL3654867	pIC50=8.56
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCC4COc5ccccc5O4)ncc23	CHEMBL3658821	pIC50=8.56
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ccc5ccccc5c4)ncc23	CHEMBL3654696	pIC50=8.56
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4cncs4)ncc23	CHEMBL3658793	pIC50=8.56
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4nccc5ccccc45)ncc23	CHEMBL3658754	pIC50=8.56
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4scnc4C)ncc23	CHEMBL3658781	pIC50=8.56
C[C@@H](NC(=O)Nc1cc2[nH]nc(C3CC3C(=O)O)c2cn1)c4ccccc4	CHEMBL3663098	pIC50=8.57
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4cc[nH]n4)ncc23	CHEMBL3658782	pIC50=8.57
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4nc(N)cs4)ncc23	CHEMBL3658835	pIC50=8.57
O=C(N[C@@H]1CCCOc2ccccc12)Nc3cc4[nH]nc(C5CC5)c4cn3	CHEMBL3658663	pIC50=8.57
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(Cl)c3)c2cn1)c4ccc(F)c(Cl)c4	CHEMBL3654726	pIC50=8.58
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCC4CCN(Cc5ccccc5)C4)ncc23	CHEMBL3658774	pIC50=8.58
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC[C@H]4COCCO4)ncc23	CHEMBL3663004	pIC50=8.58
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4nc(C)cs4)ncc23	CHEMBL3658839	pIC50=8.58
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ncccc4F)ncc23	CHEMBL3658810	pIC50=8.58
C[C@@H](NC(=O)Nc1cc2[nH]nc(C(=O)NCc3cccnn3)c2cn1)c4ccccc4	CHEMBL3654753	pIC50=8.59
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4cn[nH]c4)ncc23	CHEMBL3658783	pIC50=8.59
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ncnn4C)ncc23	CHEMBL3658787	pIC50=8.59
OP(=O)(O)OCOC[C@@H](N1C=CC(=CC1=O)c2ccnc(NC3CCOCC3)n2)c4ccc(Cl)c(F)c4	CHEMBL3680618	pIC50=8.59
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	CHEMBL388978	pIC50=8.6
COCCCc1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)ncc12	CHEMBL3654672	pIC50=8.6
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3cncc(F)c3)c2cn1)c4ccc(F)cc4	CHEMBL3663102	pIC50=8.6
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4c[nH]nn4)ncc23	CHEMBL3658794	pIC50=8.6
OC[C@@H](N1C=CC(=CC1=O)c2ccnc(NC3CCS(=O)(=O)C3)n2)c4ccc(Cl)c(F)c4	CHEMBL3409606	pKi=8.6
CC(NC(=O)Nc1ncc2c(n[nH]c2c1F)c3ccnc(C)c3)c4ccccn4	CHEMBL3654852	pIC50=8.61
C[C@@H](NC(=O)Nc1cc2[nH]nc(C3CC3)c2cn1)c4ccc(F)cc4	CHEMBL3654771	pIC50=8.61
C[C@@H](NC(=O)Nc1cc2[nH]nc(C3CCC3)c2cn1)c4ccccc4	CHEMBL3654775	pIC50=8.61
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC[C@@H]4COCCO4)ncc23	CHEMBL3663005	pIC50=8.61
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ccc(Cl)cc4C)ncc23	CHEMBL3662971	pIC50=8.61
Fc1ccc(cc1)c2n[nH]c3cc(NC(=O)NCC4CCOC4)ncc23	CHEMBL3654847	pIC50=8.61
CC(NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccccc4OC(F)(F)F	CHEMBL3662979	pIC50=8.62
CC1=CC(=CC(=O)N1C(CO)c2ccc(Cl)c(F)c2)c3ccnc(NC4CCOCC4)n3	CHEMBL3409593	pKi=8.62
CC1CC(CCO1)Nc2nccc(n2)C3=CC(=O)N(C=C3)[C@H](CO)c4ccc(Cl)c(F)c4	CHEMBL3409605	pKi=8.62
Fc1cccc2[nH]c(CN3C=CC(=CC3=O)c4ccnc(NC5CCOCC5)n4)cc12	CHEMBL3680609	pIC50=8.62
CC(C)Oc1ccc(cn1)c2n[nH]c3cc(NC(=O)N[C@H](C)c4ccc(F)cc4)ncc23	CHEMBL3654876	pIC50=8.63
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3cncnc3)c2cn1)c4ccc(F)cc4	CHEMBL3663109	pIC50=8.63
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCCc4ccccn4)ncc23	CHEMBL3654698	pIC50=8.63
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ccc(F)cn4)ncc23	CHEMBL3662972	pIC50=8.63
COc1ccc(NC(=O)COc2ccc(\C=C\3/N=C(N(C3=O)c4ccc(OC)cc4)c5ccccc5)cc2)cc1	CHEMBL3577642	pIC50=8.64
O=C(NC1CCCOc2ccccc12)Nc3cc4[nH]nc(C5CC5)c4cn3	CHEMBL3654783	pIC50=8.64
OCC(N1C=CC(=CC1=O)c2ccnc(NC3CCOCC3)n2)c4cccc(c4)C(F)(F)F	CHEMBL3409577	pKi=8.64
COc1cccc(F)c1CN2CCC[C@H](C2)NC(=O)Nc3cc4[nH]nc(c5ccc(cc5)C#N)c4cn3	CHEMBL3663097	pIC50=8.65
OC[C@@H](N1CCCn2cc(cc2C1=O)c3ccnc(N[C@H]4CC[C@@H](O)C4)n3)c5ccccc5	CHEMBL3608460	pIC50=8.65
COC(=O)c1cc(Nc2nccc(n2)C3=CC(=O)N(C=C3)[C@H](CO)c4ccc(Cl)c(F)c4)ccn1	CHEMBL3680610	pIC50=8.66
COCCNC(=O)Nc1cc2[nH]nc(c3ccc(F)cc3)c2cn1	CHEMBL3663080	pIC50=8.66
COc1cccc(F)c1CN2CCC[C@H](C2)NC(=O)Nc3cc4[nH]nc(c5ccc(F)cc5)c4cn3	CHEMBL3663096	pIC50=8.66
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccn(C)n3)c2cn1)c4ccccc4	CHEMBL3654741	pIC50=8.66
Cc1cnc(NC2CCOCC2)nc1C3=CC(=O)N(C=C3)C(CO)c4ccc(Cl)c(F)c4	CHEMBL3409598	pKi=8.66
CC(C)OCCNC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1	CHEMBL3658814	pIC50=8.67
COCC(NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccccn4	CHEMBL3658713	pIC50=8.67
COCCNC(=O)Nc1cc2[nH]nc(c3ccc(OC(C)C)nc3)c2cn1	CHEMBL3663078	pIC50=8.67
COC[C@@H](NC(=O)Nc1cc2[nH]nc(C3CC3)c2cn1)c4ccc(F)cc4	CHEMBL3654788	pIC50=8.67
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4nccs4)ncc23	CHEMBL3658799	pIC50=8.67
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCC4CC4)ncc23	CHEMBL3654686	pIC50=8.68
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@@H]4CCSc5ccccc45)ncc23	CHEMBL3658634	pIC50=8.68
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCCC(=O)Nc4ccccc4Br)ncc23	CHEMBL3658763	pIC50=8.69
Cn1cc(cn1)c2n[nH]c3cc(NC(=O)NCC4CCC4)ncc23	CHEMBL3663043	pIC50=8.69
CC(C)Nc1ncc2CCN(Cc2n1)C(=O)N[C@H](CN)c3ccc(F)c(Cl)c3	CHEMBL3297855	pIC50=8.7
CC(CCCc1ccccc1)NC(=O)Nc2ccc3ncc(nc3n2)c4cnn(C)c4	CHEMBL3671102	pIC50=8.7
CC[C@H](O)[C@@H](NC(=O)N1CCc2cnc(NC(C)C)nc2C1)c3ccc(F)c(Cl)c3	CHEMBL3297852	pIC50=8.7
COc1ncccc1c2cnc3ccc(NC(=O)N[C@H](C)CCCc4ccccc4)nc3n2	CHEMBL3671099	pIC50=8.7
C[C@H](CCCc1ccccc1)NC(=O)Nc2ccc3ncc(nc3n2)c4ccncc4	CHEMBL3671095	pIC50=8.7
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N)ncc23	CHEMBL3654674	pIC50=8.7
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4nc5ccccc5[nH]4)ncc23	CHEMBL3658772	pIC50=8.7
FC(F)Cn1cc(cn1)c2cnc3ccc(NC(=O)NCCCCc4ccccc4)nc3n2	CHEMBL3671101	pIC50=8.7
OCCCn1cc(cn1)c2cnc3ccc(NC(=O)NCCCCc4ccccc4)nc3n2	CHEMBL3671100	pIC50=8.7
OC[C@@H](NC(=O)N1CCc2cnc(N[C@H]3CC[C@H](O)C3)nc2C1)c4ccc(F)c(Cl)c4	CHEMBL3298417	pIC50=8.7
OC[C@@H](NC(=O)c1cc(c[nH]1)c2n[nH]cc2c3cccc(Cl)c3)c4ccc(F)c(Cl)c4	CHEMBL387385	pKi=8.7
C[C@@H](NC(=O)Nc1cc2[nH]nc(C3CC3)c2cn1)c4ccccc4	CHEMBL3654676	pIC50=8.71
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4conc4)ncc23	CHEMBL3658800	pIC50=8.71
Cc1cccc(CNC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2)n1	CHEMBL3658683	pIC50=8.71
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(F)c3)c2cn1)c4ccc(F)c(Cl)c4	CHEMBL3654732	pIC50=8.72
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(c3)N4CCOCC4)c2cn1)c5ccc(F)cc5	CHEMBL3658651	pIC50=8.72
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3cnn(c3)C4COC4)c2cn1)c5ccccc5	CHEMBL3663072	pIC50=8.72
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ncc(F)cc4F)ncc23	CHEMBL3658813	pIC50=8.72
CN1CC[C@H](C1)NC(=O)Nc2cc3[nH]nc(c4ccc(F)cc4)c3cn2	CHEMBL3658684	pIC50=8.73
CN1C[C@@H](NC(=O)Nc2cc3[nH]nc(c4ccc(F)cc4)c3cn2)[C@H](c5ccccc5)C16COC6	CHEMBL3663012	pIC50=8.73
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(F)c3)c2cn1)c4ccc(Cl)cc4	CHEMBL3654708	pIC50=8.74
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@@H]4CCCc5ccncc45)ncc23	CHEMBL3658633	pIC50=8.74
COC[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(F)c3)c2cn1)c4ccc(F)cc4	CHEMBL3654882	pIC50=8.75
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(c3)C#N)c2cn1)c4ccc(F)cc4	CHEMBL3654884	pIC50=8.75
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3cncc(C)c3)c2cn1)c4ccc(F)cc4	CHEMBL3658676	pIC50=8.75
Fc1ccc(CN2C=CC(=CC2=O)N3CCc4[nH]nc(c4C3)c5ccncc5)cc1	CHEMBL3604854	pIC50=8.75
OCC(N1C=CC(=CC1=O)c2ccnc(NC3CCOCC3)c2)c4ccc(Cl)c(F)c4	CHEMBL3409596	pKi=8.75
OC[C@@H](N1C=CC(=CC1=O)c2ccnc(N[C@@H]3CCOC3)n2)c4ccc(Cl)c(F)c4	CHEMBL3409601	pKi=8.75
COC[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc(cc3)n4ccnn4)c2cn1)c5ccc(F)cc5	CHEMBL3658675	pIC50=8.76
COC[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(c3)C#N)c2cn1)c4ccc(F)cc4	CHEMBL3658672	pIC50=8.76
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCCC4=CCCC4)ncc23	CHEMBL3654839	pIC50=8.76
CC(NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccc(F)cn4	CHEMBL3658728	pIC50=8.78
Fc1ccc(cc1)c2n[nH]c3cc(NC(=O)NCCC4CCOC4)ncc23	CHEMBL3654846	pIC50=8.78
NC(=O)Nc1cc2[nH]nc(c3ccc(F)cc3)c2cn1	CHEMBL3654685	pIC50=8.78
CCCc1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)ncc12	CHEMBL3654673	pIC50=8.79
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCCOc4ccccc4)ncc23	CHEMBL3658816	pIC50=8.79
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@@H]4CCCCc5ccccc45)ncc23	CHEMBL3658635	pIC50=8.79
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@@H]4CCS(=O)(=O)c5ccccc45)ncc23	CHEMBL3658645	pIC50=8.79
CN1CCOC(CNC(=O)Nc2cc3[nH]nc(c4ccc(F)cc4)c3cn2)C1	CHEMBL3654853	pIC50=8.8
CN1C[C@H](F)[C@H](C1)NC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2	CHEMBL3658696	pIC50=8.8
C[C@@H](NC(=O)Nc1ncc2c(n[nH]c2c1C)c3ccnc(C)c3)c4ccccc4	CHEMBL3654802	pIC50=8.8
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCC4(C)CCCO4)ncc23	CHEMBL3658825	pIC50=8.8
Clc1ccc2cc(CN3C=CC(=CC3=O)c4ccnc(NC5CCOCC5)n4)[nH]c2c1	CHEMBL3680608	pIC50=8.8
CC(NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4oncc4	CHEMBL3662953	pIC50=8.81
CN(C)CCC(NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccccn4	CHEMBL3639575	pIC50=8.81
CO[C@H](C)CNC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1	CHEMBL3663049	pIC50=8.81
COc1ccnc(c1)[C@@H](C)NC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2	CHEMBL3654857	pIC50=8.81
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3cccc(c3)C#N)c2cn1)c4ccccc4	CHEMBL3663110	pIC50=8.81
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4(CCC4)c5ccccn5)ncc23	CHEMBL3658719	pIC50=8.81
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ccc(F)cc4F)ncc23	CHEMBL3662969	pIC50=8.81
Fc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCC4CCC4)ncc23	CHEMBL3663044	pIC50=8.81
COCCNC(=O)Nc1cc2[nH]nc(c3ccnc(c3)C4CC4)c2cn1	CHEMBL3663077	pIC50=8.82
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccncc4	CHEMBL3654862	pIC50=8.82
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC(C(F)F)c4ccccc4)ncc23	CHEMBL3658743	pIC50=8.82
Fc1ccc(CN2C=CC(=CC2=O)c3ccnc(NC4CCOCC4)n3)cc1Cl	CHEMBL3409568	pKi=8.82
OCC(N1C=CC(=CC1=O)c2ccnc(NC3CCOCC3)n2)c4ccccc4	CHEMBL3409571	pKi=8.82
OC[C@@H](N1C=CC(=CC1=O)c2ccnc(N[C@H]3CCOC3)n2)c4ccc(Cl)c(F)c4	CHEMBL3409602	pKi=8.82
CN1C[C@H](NC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2)[C@H]([C@H]1C(F)F)c5ccccc5	CHEMBL3663024	pIC50=8.83
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@@H]4CCCc5ncccc45)ncc23	CHEMBL3654887	pIC50=8.83
CN1C[C@H](NC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2)[C@H](C1)c5ccc(F)nc5	CHEMBL3654807	pIC50=8.84
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCC4CC(C)(C)OC(C)(C)C4)ncc23	CHEMBL3658734	pIC50=8.84
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4nccn4C)ncc23	CHEMBL3658791	pIC50=8.84
CC(NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4cscn4	CHEMBL3662952	pIC50=8.85
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCC4CCC4)ncc23	CHEMBL3663028	pIC50=8.85
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ccc5C(=O)NCc5c4)ncc23	CHEMBL3658733	pIC50=8.85
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4cnccc4C)ncc23	CHEMBL3662947	pIC50=8.85
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)Nc4noc5ccccc45)ncc23	CHEMBL3658704	pIC50=8.85
COC[C@@H](NC(=O)Nc1cc2[nH]nc(C3CC3)c2cn1)c4ccccc4	CHEMBL3654790	pIC50=8.86
CC(NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccc(F)nc4	CHEMBL3662955	pIC50=8.87
CCC(NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccccn4	CHEMBL3658712	pIC50=8.87
COC[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccn4ncnc4c3)c2cn1)c5ccc(F)cc5	CHEMBL3658668	pIC50=8.87
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4C(O)Cc5ccccc45)ncc23	CHEMBL3658699	pIC50=8.87
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4CCN(c5ccccc45)S(=O)(=O)C)ncc23	CHEMBL3658647	pIC50=8.87
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4CCc5nc(N)sc5C4)ncc23	CHEMBL3662960	pIC50=8.87
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ncc[nH]4)ncc23	CHEMBL3658790	pIC50=8.87
COC(=O)C1CC1c2n[nH]c3cc(NC(=O)N[C@H](C)c4ccccc4)ncc23	CHEMBL3663089	pIC50=8.88
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc(cc3)S(=O)(=O)C)c2cn1)c4ccccc4	CHEMBL3654740	pIC50=8.88
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4cccc(c4)c5ncc[nH]5)ncc23	CHEMBL3658736	pIC50=8.88
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4csc5ccccc45)ncc23	CHEMBL3662958	pIC50=8.88
CO[C@H](C)CNC(=O)Nc1cc2[nH]nc(c3ccc(F)cc3)c2cn1	CHEMBL3663082	pIC50=8.89
C[C@@H](CNC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccccc4	CHEMBL3663070	pIC50=8.89
Cc1cc(ccn1)c2n[nH]c3c(F)c(NC(=O)N[C@H](CO)c4ccccc4)ncc23	CHEMBL3662999	pIC50=8.89
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCC4CNC4)ncc23	CHEMBL3663039	pIC50=8.89
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ccccc4Cl)ncc23	CHEMBL3658802	pIC50=8.89
OCC(N1C=CC(=CC1=O)c2ccnc(NC3CCOCC3)n2)c4cccc(Cl)c4	CHEMBL3409574	pKi=8.89
OCC(N1C=CC(=CC1=O)c2ccnc(NC3CCOCC3)n2)c4cccc(F)c4	CHEMBL3409575	pKi=8.89
COC(C)CNC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1	CHEMBL3663038	pIC50=8.9
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4COc5ccccc5C4)ncc23	CHEMBL3658829	pIC50=8.9
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@@H]4CCCc5cccnc45)ncc23	CHEMBL3658632	pIC50=8.9
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ncccc4C)ncc23	CHEMBL3658842	pIC50=8.91
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)C4CCCCC4	CHEMBL3663029	pIC50=8.92
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4CNCc5ccccc45)ccc23	CHEMBL3658851	pIC50=8.92
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCC4CCCCO4)ncc23	CHEMBL3658831	pIC50=8.92
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4cnc(F)cc4Cl)ncc23	CHEMBL3662967	pIC50=8.92
OC[C@@H](N1C=CC(=CC1=O)c2ccnc(NC3CC(F)(F)C3)n2)c4ccc(Cl)c(F)c4	CHEMBL3409604	pKi=8.92
CN1CC[C@H](CNC(=O)Nc2cc3[nH]nc(c4ccc(F)cc4)c3cn2)C1	CHEMBL3658690	pIC50=8.93
COC[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(c3)N4CCOCC4)c2cn1)c5ccc(F)cc5	CHEMBL3658666	pIC50=8.93
COC[C@@H](NC(=O)Nc1cc2[nH]nc(c3cnc(OC)nc3)c2cn1)c4ccc(F)cc4	CHEMBL3658667	pIC50=8.94
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc4OCCOc4c3)c2cn1)c5ccccc5	CHEMBL3654739	pIC50=8.94
Cc1cc(ccn1)c2n[nH]c3c(F)c(NC(=O)NCc4ccccc4)ncc23	CHEMBL3662991	pIC50=8.94
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4cnc(C)s4)ncc23	CHEMBL3658797	pIC50=8.94
CO[C@H]1CN(C)C[C@@H]1NC(=O)Nc2cc3[nH]nc(c4ccc(F)cc4)c3cn2	CHEMBL3658685	pIC50=8.95
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCC4(CCOCC4)Nc5ccccc5)ncc23	CHEMBL3658762	pIC50=8.95
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4c(C)cccc4Cl)ncc23	CHEMBL3658807	pIC50=8.95
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ccns4)ncc23	CHEMBL3658792	pIC50=8.95
Fc1cc(CCN2C=CC(=CC2=O)c3ccnc(NC4CCOCC4)n3)ccc1Cl	CHEMBL3409570	pKi=8.96
CCN(CC)CCC(NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccccc4	CHEMBL3658770	pIC50=8.97
CCOCCNC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1	CHEMBL3663066	pIC50=8.97
COc1cccc(F)c1CN2CCC[C@H](C2)NC(=O)Nc3cc4[nH]nc(c5ccnc(F)c5)c4cn3	CHEMBL3663091	pIC50=8.97
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCCC4COc5ccccc5O4)ncc23	CHEMBL3658737	pIC50=8.97
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4oncc4)ncc23	CHEMBL3658798	pIC50=8.97
CC(NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4cccnc4	CHEMBL3654700	pIC50=8.98
COC[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc(nc3)N4CCOCC4)c2cn1)c5ccc(F)cc5	CHEMBL3658665	pIC50=8.98
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc(cc3)C#N)c2cn1)c4ccccc4	CHEMBL3654717	pIC50=8.98
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4cc(Cl)ccn4	CHEMBL3654856	pIC50=8.98
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC(CO)c4cccnc4)ncc23	CHEMBL3658703	pIC50=8.99
CC(NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccc(F)c(F)c4	CHEMBL3658697	pIC50=9.0
COc1c(CO)cccc1c2cnc3ccc(NC(=O)N[C@H](C)CCCc4ccccc4)nc3n2	CHEMBL3671096	pIC50=9.0
COc1cc(CO)ccc1c2cnc3ccc(NC(=O)N[C@H](C)CCCc4ccccc4)nc3n2	CHEMBL3671094	pIC50=9.0
COc1cc(ccc1C(=O)O)c2cnc3ccc(NC(=O)NCCCCc4ccccc4)nc3n2	CHEMBL3671121	pIC50=9.0
C[C@@H](NC(=O)N1CCc2cnc(Nc3ccnn3C)nc2C1)c4ccc(Cl)c(Cl)c4	CHEMBL3357951	pIC50=9.0
C[C@@H](NC(=O)N1CCc2cnc(Nc3cnn(C)c3)nc2C1)c4ccc(Cl)c(Cl)c4	CHEMBL3357950	pIC50=9.0
C[C@H](CCCc1ccccc1)NC(=O)Nc2ccc3ncc(nc3n2)c4ccc(C[C@H](N)C(=O)O)cc4	CHEMBL3671122	pIC50=9.0
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4cncc(F)c4)ncc23	CHEMBL3654702	pIC50=9.0
Fc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ccc(F)c(Cl)c4)ncc23	CHEMBL3654709	pIC50=9.0
Fc1ccc(cc1)c2n[nH]c3cc(NC(=O)NCc4oncc4)ncc23	CHEMBL3654849	pIC50=9.0
O=C(NCCCCc1ccccc1)Nc2ccc3ncc(nc3n2)c4cn[nH]c4	CHEMBL3671097	pIC50=9.0
OC[C@@H](NC(=O)N1CCc2cnc(NC3CCOCC3)nc2C1)c4ccc(F)c(Cl)c4	CHEMBL3298414	pIC50=9.0
Oc1ccc(cc1)c2cnc3ccc(NC(=O)NCCCCc4ccccc4)nc3n2	CHEMBL3671098	pIC50=9.0
