OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1	sulfasalazine
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl	meclofenamic acid	pIC50=4.33	pIC50=4.33	pIC50=4.33
Nc1ccc(O)c(c1)C(=O)O	mesalazine
CC(N(O)C(N)=O)C1=CC2=C(S1)C=CC=C2	zileuton	pIC50=6.52	pIC50=6.52	pIC50=6.52	pIC50=6.0
OC(=O)C1=CC(=CC=C1O)N=NC1=CC(C(O)=O)=C(O)C=C1	olsalazine
OC(=O)CCNC(=O)C1=CC=C(C=C1)\N=N\C1=CC=C(O)C(=C1)C(O)=O	balsalazide
CC(C(O)=O)C1=CC2=C(OC(=N2)C2=CC=C(Cl)C=C2)C=C1	benoxaprofen
CCCCCC(O)c1cccc(OCc2ccc3ccccc3n2)c1	CHEMBL8747	pIC50=6.52
CCCCCCC(Sc1nc(Cl)cc(Nc2nc(cs2)c3ccc4ccccc4c3)n1)C(=O)O	CHEMBL3094412	pIC50=6.52
CCCC\C(=C/c1cc(OCCc2ccc(cc2)C(F)(F)F)ccc1OCCc3ccc(cc3)C(F)(F)F)\C(=O)O	CHEMBL1819478	pIC50=6.52
CCCC\C(=C/c1cc(OCc2cc(cc(c2)C(F)(F)F)C(F)(F)F)ccc1OCc3ccc(cc3)C(F)(F)F)\C(=O)O	CHEMBL3397717	pIC50=6.52
CCCC\C(=C/c1cc(OCc2ccc(Cl)c(Cl)c2)ccc1OCc3ccc(cc3)C(F)(F)F)\C(=O)O	CHEMBL3397716	pIC50=6.52
CCOC(=O)c1c(Nc2cccc(Cl)c2)[nH]c3ccc(O)cc13	CHEMBL212366	pIC50=6.52
CN(O)C(=O)Cc1ccc(OCc2ccccc2)cc1	CHEMBL54453	pIC50=6.52
COC(=O)c1c(Nc2cccc(Cl)c2)[nH]c3ccc(O)cc13	CHEMBL485243	pIC50=6.52
COC1(CCOCC1)c2cc(F)cc(OCc3ccc4OC(=O)C=Cc4c3)c2	CHEMBL89757	pIC50=6.52
COC1(CCOCC1)c2cc(F)cc(OCc3ccc4nccnc4c3)c2	CHEMBL315608	pIC50=6.52
COC1=CC(=O)C(=O)C(=C1OC)C\C=C(/C)\CC\C=C(/C)\CCC=C(C)C	CHEMBL3416365	pIC50=6.52
COc1cc(O)c2C(=O)C(=C(Oc2c1OC)c3ccc(O)c(O)c3)C	CHEMBL68562	pIC50=6.52
COc1ccc(\C=C\2/SC(=NC2=O)c3cnccn3)cc1	CHEMBL3353706	pIC50=6.52
Clc1ccc(cc1)c2csc(Nc3ccc4OCCOc4c3)n2	CHEMBL3318381	pIC50=6.52
O=C1CCN(N1)c2ccccc2	CHEMBL7660	pIC50=6.52
O=C1N=C(S/C/1=C\c2c3ccccc3cc4ccccc24)c5ccccc5	CHEMBL1765898	pIC50=6.52
OC(=O)C(Sc1nc(Cl)cc(Nc2ccc(Cc3ccccc3)cc2)n1)c4cccc5ccccc45	CHEMBL1683868	pIC50=6.52
ON(CCc1ccccc1)C(=O)CCOc2ccccc2	CHEMBL54838	pIC50=6.52
O[C@]1(C[C@H]2CO[C@@H](C1)O2)c3cc(F)cc(OCc4ccc5C(=CC(=O)Oc5c4)c6ccccc6)c3	CHEMBL204781	pIC50=6.52
Oc1ccc(Nc2nc(cs2)c3ccccc3)cc1	CHEMBL562493	pIC50=6.52
CCCCCCCCCCCCCCC1=C(OC)C(=O)C=C(OC)C1=O	CHEMBL3416349	pIC50=6.54
CCOC(=O)c1c(CSc2cc(C)cc(C)c2)[nH]c3c4ccccc4c(O)cc13	CHEMBL3759807	pIC50=6.54
Cc1ccc(\C=C\c2cc(C)c(O)c(C)c2)cc1	CHEMBL291710	pIC50=6.54
CCCCCCOc1c(OC)c(OC)cc2OC(=C(OC)C(=O)c12)c3ccc(O)c(O)c3	CHEMBL66996	pIC50=6.55
CNC(=O)C1(CCOCC1)c2cc(F)cc(OCc3ccc(cc3)n4ccnc4C)c2	CHEMBL349746	pIC50=6.55
COC1=CC(=O)C(=CC1=O)Oc2ccc3ccccc3c2	CHEMBL3109719	pIC50=6.55
COc1ccc(\C=C/2\SC(=NC2=O)c3ccc(Cl)cc3)cc1	CHEMBL3353727	pIC50=6.55
COc1ccc(\C=C\2/SC(=NC2=O)c3ccc(Cl)cc3)cc1	CHEMBL1765899	pIC50=6.55
COc1ccc(cc1)C2=NC(=O)\C(=C\c3ccc(C)cc3)\S2	CHEMBL2029831	pIC50=6.55
Cc1ccc(cc1)C2=NC(=O)\C(=C\c3cccnc3)\S2	CHEMBL3353698	pIC50=6.55
Cc1ccc2nc(c(NC3CCCCC3)n2c1)c4ccc(OCc5ccccc5)cc4	CHEMBL1958141	pIC50=6.55
OC1(CCOCC1)c2cccc(COc3ccc4c(c5COC(=O)c5cc4c3)c6occc6)c2	CHEMBL340795	pIC50=6.55
CCCCCCCCCCC1=C(Oc2cc(OC)c(OC)c(O)c2C1=O)c3ccc(O)c(O)c3	CHEMBL65798	pIC50=6.57
Clc1ccc2nc(c(NC3CCCCC3)n2c1)c4ccc(cc4)N5CCOCC5	CHEMBL1957972	pIC50=6.57
CCC(O)(c1cn(Cc2ccc3c(c4ccccc4)c(sc3c2)C(=O)NC)nn1)C(F)(F)F	CHEMBL1289329	pIC50=6.58
CCCCC1=C(Oc2cc(OC)c(OC)c(O)c2C1=O)c3ccc(O)c(O)c3	CHEMBL70113	pIC50=6.58
CC(C)(C)c1cc(Nc2cc(Cl)nc(SC(C(=O)O)c3cccc4ccccc34)n2)cc(c1)C(C)(C)C	CHEMBL1683859	pIC50=6.59
CC(C)c1ccc(Nc2cc(Cl)nc(SC(C(=O)O)c3cccc4ccccc34)n2)cc1	CHEMBL1089110	pIC50=6.59
CC(N(O)C(=O)N)C1=Cc2cc(Oc3ccccc3)ccc2OC1	CHEMBL421423	pIC50=6.59
CC1Oc2ccc(OCc3ccccc3)cc2C=C1CN(O)C(=O)N	CHEMBL120745	pIC50=6.59
CCC(O)(c1cn(Cc2ccc3c(c4ccccc4)c(sc3c2)C(=O)OC)nn1)C(F)(F)F	CHEMBL1290649	pIC50=6.59
CCOC(=O)c1c(CSc2cccc(Cl)c2)[nH]c3c4ccccc4c(O)cc13	CHEMBL3759142	pIC50=6.59
COc1ccc(\C=C\2/SC(=NC2=O)c3ccc(NC(=O)CCc4ccccc4)cc3)cc1	CHEMBL2029842	pIC50=6.59
Cc1ccc2nc(c(NC3CCCCC3)n2c1)c4ccc(Oc5ccccc5)cc4	CHEMBL1958142	pIC50=6.59
OCc1cc(c2ccccc2)c3ccc(OCc4cccc(c4)C5(O)CCOCC5)cc3c1	CHEMBL128666	pIC50=6.59
CC(C)c1cccc(NC2=NS(=O)(=O)c3cc(ccc23)[N+](=O)[O-])c1	CHEMBL3288315	pIC50=6.6
CC1Cc2c(OCc3ccc(cn3)c4ccccc4)ccc5c2c(S1)c(COCCC(=O)O)n5Cc6ccc(Cl)cc6	CHEMBL278478	pIC50=6.6
CCCCCCCCC1=C(Oc2cc(OC)c(OC)c(OC)c2C1=O)c3ccc(O)c(O)c3	CHEMBL66458	pIC50=6.6
CCCC\C(=C/c1cc(OCC(c2ccccc2)c3ccccc3)ccc1OCc4ccc(cc4)C(F)(F)F)\C(=O)O	CHEMBL3397726	pIC50=6.6
CCOC(=O)c1c(Cc2ccc(cc2)C(F)(F)F)[nH]c3c4ccccc4c(O)cc13	CHEMBL483878	pIC50=6.6
CN(O)C(=O)CCCCc1ccccc1	CHEMBL54360	pIC50=6.6
COc1ccc(CCCC(=O)N(O)CCc2ccccc2)cc1	CHEMBL293264	pIC50=6.6
Cc1ccc(cc1)C2=NC(=O)\C(=C\c3cccc(c3)S(=O)(=O)N)\S2	CHEMBL3353691	pIC50=6.6
Cc1ccc2nc(c(NC3CCCCC3)n2c1)c4ccc(OCCCNC(=O)Nc5ccc(cc5)C(F)(F)F)cc4	CHEMBL2336299	pIC50=6.6
ON(CC1=Cc2cc(Oc3ccccc3)ccc2OC1)C(=O)Nc4ccccc4	CHEMBL118786	pIC50=6.6
ONC(=O)c1ccc2Oc3ccccc3Nc2c1	CHEMBL12456	pIC50=6.6
CCCCCCCCCCCCCCC1=C(Oc2cc(OC)c(OC)c(OC)c2C1=O)c3ccc(O)c(O)c3	CHEMBL69909	pIC50=6.62
CCOC(=O)c1c(CSc2cc(Cl)cc(Cl)c2)[nH]c3c4ccccc4c(O)cc13	CHEMBL3759314	pIC50=6.62
COc1ccc(\C=C\2/SC(=NC2=O)c3cccc(F)c3)cc1	CHEMBL1765908	pIC50=6.62
COc1ccc(cc1)C2=NC(=O)\C(=C\c3ccc(Cl)cc3)\S2	CHEMBL2029832	pIC50=6.62
COc1ccc2[nH]c(c(C)c2c1)c3cc(C)c(O)c(C)c3	CHEMBL76586	pIC50=6.62
COc1cccc(NC2=NS(=O)(=O)c3cc(ccc23)[N+](=O)[O-])c1	CHEMBL3288317	pIC50=6.62
Cc1ccc(C)c(\C=C\c2cc(C)c(O)c(C)c2)c1	CHEMBL56576	pIC50=6.62
NC(=O)N(O)CC1=Cc2cc(ccc2OC1)c3ccccc3	CHEMBL122125	pIC50=6.62
OC(=O)C(Sc1nc(Cl)cc(Nc2ccc3c(Cc4ccccc34)c2)n1)c5cccc6ccccc56	CHEMBL1683869	pIC50=6.62
OC1(CC2COC(C1)O2)c3cccc(COc4ccc5c(c6COC(=O)c6cc5c4)c7ccccc7)c3	CHEMBL129253	pIC50=6.62
CC1(C)Cc2c(c3ccccc3)c(c(CC(=O)O)n2C1)c4ccc(Cl)cc4	CHEMBL300982	pIC50=6.64
CCCCCCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O	CHEMBL462998	pIC50=6.64
Cc1c(C)c2nc(NCc3ccc(cc3)S(=O)(=O)N)sc2c(C)c1O	CHEMBL318809	pIC50=6.64
CCCCCCC1=C(Oc2cc(OC)c(OC)c(OC)c2C1=O)c3ccc(O)c(O)c3	CHEMBL69242	pIC50=6.66
CCCCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O	CHEMBL462801	pIC50=6.66
CC[C@](OC)(C(=O)OC)c1cc(F)cc(OCc2ccc3ccccc3c2)c1	CHEMBL21880	pIC50=6.66
NC(=O)N(O)CCC#Cc1ccc(OCCN2CCN(CC2)[C@H](c3ccccc3)c4ccc(Cl)cc4)cc1	CHEMBL425358	pIC50=6.67
CCCCCCCCCCCCC1=C(Oc2cc(OC)c(OC)c(O)c2C1=O)c3ccc(O)c(O)c3	CHEMBL69311	pIC50=6.68
NC(=O)N(O)CC1=Cc2ccc(Oc3ccccc3)cc2OCC1	CHEMBL150385	pIC50=6.68
CC(=CCC\C(=C\CC1=CC(=O)C=C(C)C1=O)\C)C	CHEMBL470129	pIC50=6.7
CC(=O)Oc1ccc(\C=C\C(=O)OCCCCCCCCc2cnnn2CCCO)cc1OC(=O)C	CHEMBL3613033	pIC50=6.7
CC(C#Cc1ccc(Cc2ccc(F)cc2)s1)N(O)C(=O)N	CHEMBL144028	pIC50=6.7
CC(C)c1cc(\C=C\c2cccnc2)cc(C(C)C)c1O	CHEMBL8842	pIC50=6.7
CCCCCCC(Sc1nc(Cl)cc(Nc2nc(c(C)s2)c3ccc(Br)cc3)n1)C(=O)O	CHEMBL3094426	pIC50=6.7
CCCCCCC(Sc1nc(Cl)cc(Nc2nc(cs2)c3ccc(C)cc3)n1)C(=O)O	CHEMBL3091499	pIC50=6.7
CCCCCCC(Sc1nc(Cl)cc(Nc2nc3c(CCc4cc(OC)ccc34)s2)n1)C(=O)O	CHEMBL3094410	pIC50=6.7
CCCC\C(=C/c1cc(OCc2ccc(Oc3ccccn3)cc2)ccc1OCc4ccc(cc4)C(F)(F)F)\C(=O)O	CHEMBL3397723	pIC50=6.7
CCCC\C(=C/c1cc(OCc2ccc(cc2)C(F)(F)F)ccc1OCc3ccc(cc3)C(F)(F)F)\C(=O)O	CHEMBL1819479	pIC50=6.7
CCCC\C(=C/c1cc(OCc2ccc3nc(cc(OC)c3c2)C(F)(F)F)ccc1OCc4ccc(cc4)C(F)(F)F)\C(=O)O	CHEMBL3397721	pIC50=6.7
CCOC(=O)C.COC1(CCOCC1)c2cc(F)cc(OCc3cc4ccccc4nc3O)c2	CHEMBL89603	pIC50=6.7
CCOC(=O)C.COC1(CCOCC1)c2cc(F)cc(OCc3ncc4ccccc4n3)c2	CHEMBL87032	pIC50=6.7
CCOC(=O)C1(CCOCC1)c2cc(F)cc(OCc3ccc(cc3)n4ccnc4C)c2	CHEMBL163198	pIC50=6.7
CN(O)C(=O)Cc1ccc(OCc2cccc(Cl)c2)cc1	CHEMBL55620	pIC50=6.7
COC1(CCCOCC1)c2cccc(OCc3ccc4ccccc4c3)c2	CHEMBL330672	pIC50=6.7
COC1(CCOCC1)c2cc(F)cc(OCc3cc(c4ccccc4)n(n3)c5ccc(cc5)S(=O)(=O)C)c2	CHEMBL423638	pIC50=6.7
COC1(CCOCC1)c2cc(F)cc(OCc3ccc4C(=O)N(C)C=Cc4c3)c2	CHEMBL89036	pIC50=6.7
COC1(CCOCC1)c2cc(F)cc(OCc3ccc4N(C)C(=O)Oc4c3)c2	CHEMBL314068	pIC50=6.7
COC1(CCOCC1)c2cc(F)cc(OCc3ccc4ncncc4c3)c2	CHEMBL89849	pIC50=6.7
COC1(CCOCC1)c2cccc(OCc3ccc4C=CC(=O)N(C)c4c3)c2	CHEMBL328958	pIC50=6.7
C[C@@H](C#Cc1ccc(Cc2ccc(F)cc2)s1)N(O)C(=O)N	CHEMBL145306	pIC50=6.7
NC(=S)N(O)CC1=Cc2cc(Oc3ccccc3)ccc2OC1	CHEMBL118842	pIC50=6.7
O[C@]1(C[C@H]2CO[C@@H](C1)O2)c3cc(F)cc(OCc4ccc5C(=CC(=O)Oc5c4)c6cocc6)c3	CHEMBL207109	pIC50=6.7
NC(=O)N(O)CCC#Cc1ccc(OCCCCN2CCN(CC2)C(c3ccc(F)cc3)c4ccc(F)cc4)cc1	CHEMBL444083	pIC50=6.71
NC(=O)N(O)CCC#Cc1ccc(OCCCN2CCC(=C3c4ccc(Cl)cc4CCc5cccnc35)CC2)cc1	CHEMBL188021	pIC50=6.71
CC1(C)COC(=N1)c2cc(c3cocc3)c4ccc(OCc5cccc(c5)C6(O)CCOCC6)cc4c2	CHEMBL128105	pIC50=6.72
CCCCCCCCCCC1=C(Oc2cc(OC)c(OC)c(OC)c2C1=O)c3ccc(O)c(O)c3	CHEMBL71930	pIC50=6.72
CCCCCCCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O	CHEMBL3416166	pIC50=6.72
CCOC(=O)c1c(CSc2c(Cl)cccc2Cl)[nH]c3c4ccccc4c(O)cc13	CHEMBL3759622	pIC50=6.72
COC(=O)COc1ccc(\C=C\2/SC(=NC2=O)c3ccc(C)cc3)cc1	CHEMBL1765901	pIC50=6.72
COc1cc(ccc1OCCCNC(=O)NC23CC4CC(CC(C4)C2)C3)c5nc6ccc(C)cn6c5NC7CCCCC7	CHEMBL2336301	pIC50=6.72
COc1cc(ccc1OCCCNC(=O)NC2CCCCC2)c3nc4ccc(C)cn4c3NC5CCCCC5	CHEMBL2336302	pIC50=6.72
COc1cc(ccc1OCCCNC(=O)Nc2ccc(OC(F)(F)F)cc2)c3nc4ccc(Cl)cn4c3NC5CCCCC5	CHEMBL2336306	pIC50=6.72
Cc1ccc(cc1)C2=NC(=O)\C(=C\c3ccc(cc3)S(=O)(=O)C)\S2	CHEMBL3353692	pIC50=6.72
Cc1ccc2nc(c3ccc(OCCCNC(=O)Nc4ccc(cc4)C(F)(F)F)c(Cl)c3)c(NC5CCCCC5)n2c1	CHEMBL2336300	pIC50=6.72
OC1(CC2COC(C1)O2)c3cccc(COc4ccc5c(cc(cc5c4)C#N)c6cocc6)c3	CHEMBL97380	pIC50=6.72
NC(=O)N(O)CCC#Cc1ccc(OCCN2CCC(=C3c4ccc(Cl)cc4CCc5cccnc35)CC2)cc1	CHEMBL185905	pIC50=6.73
CC(=O)Oc1ccc(\C=C\C(=O)OCCCCCCCCC#C)cc1OC(=O)C	CHEMBL3613026	pIC50=6.75
CC1CC(O)(CC(C)O1)c2cccc(COc3ccc4c(c5COC(=O)c5cc4c3)c6ccccc6)c2	CHEMBL128751	pIC50=6.75
CCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O	CHEMBL3416163	pIC50=6.75
CCCOc1ccc(\C=C\2/SC(=NC2=O)c3ccc(Cl)cc3)cc1	CHEMBL2029845	pIC50=6.75
CCc1ccc(cc1)S2=NS(=O)(=O)c3cc(ccc23)[N+](=O)[O-]	CHEMBL1917097	pIC50=6.75
COC(=O)\C=C\c1ccc(\C=C\2/SC(=NC2=O)c3ccc(C)cc3)cc1	CHEMBL3353689	pIC50=6.75
COc1ccc(\C=C\2/SC(=NC2=O)c3ccc(Br)cc3)cc1	CHEMBL2029834	pIC50=6.75
COc1ccc(\C=C\2/SC(=NC2=O)c3cccc(Cl)c3)cc1	CHEMBL2029836	pIC50=6.75
Cc1ccnc(c1)N2CCN(CCC3Cn4c(c(C)c5cc(O)cc(O3)c45)c6cc(C)c(O)c(C)c6)CC2	CHEMBL305825	pIC50=6.75
NC(=O)N(O)C[C@@H]1COc2ccc(Oc3ccc(F)cc3)cc2O1	CHEMBL165967	pIC50=6.75
OC(c1cc(F)cc(Sc2ccc3C(=CC(=O)Oc3c2)c4ccc(Cl)cc4)c1)(C(F)(F)F)C(F)(F)F	CHEMBL206632	pIC50=6.75
ON(CCc1ccccc1)C(=O)CCCc2ccccc2	CHEMBL55053	pIC50=6.75
CC1Cc2c(OCc3cc4ccccc4cn3)ccc5c2c(S1)c(CSc6ccccc6C(=O)O)n5Cc7ccc(Cl)cc7	CHEMBL341696	pIC50=6.76
CCC(O)(c1cc(F)cc(OCc2ccc3C(=CC(=O)Oc3c2)c4ccc(F)cc4)c1)c5nccs5	CHEMBL205222	pIC50=6.76
CCC(O)(c1cc(F)cc(OCc2ccc3C(=CC(=O)Oc3c2)c4cocc4)c1)c5ccccn5	CHEMBL204633	pIC50=6.76
CCCCCCCCCCCCC1=C(Oc2cc(OC)c(OC)c(OC)c2C1=O)c3ccc(O)c(O)c3	CHEMBL68385	pIC50=6.76
CC1Cc2c(OCc3ccc(cn3)c4ccccc4)ccc5c2c(S1)c(CCOc6cccc(c6)C(=O)O)n5Cc7ccc(Cl)cc7	CHEMBL341785	pIC50=6.77
CCCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O	CHEMBL3416164	pIC50=6.77
CCCCCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O	CHEMBL3416165	pIC50=6.77
CCOC(=O)c1c(CSc2c(C)cccc2C)[nH]c3c4ccccc4c(O)cc13	CHEMBL3758589	pIC50=6.77
COC(=O)N(O)CCC#Cc1ccc(OCCCCN2CCN(CC2)C(c3ccc(F)cc3)c4ccc(F)cc4)cc1	CHEMBL366925	pIC50=6.77
COCC1(CCOCC1)c2cccc(OCc3ccc4N(C)C(=O)C=Cc4c3)c2	CHEMBL21764	pIC50=6.77
COc1ccc(\C=C\2/SC(=NC2=O)c3ccc4ccccc4c3)c5ccccc15	CHEMBL2029858	pIC50=6.77
Cc1cc(\C=C\c2ccc(Cl)cc2)cc(C)c1O	CHEMBL417379	pIC50=6.77
Clc1ccc(cc1)C2=NC(=O)\C(=C\c3ccc(Oc4ccccc4)cc3)\S2	CHEMBL2029847	pIC50=6.77
NC(=O)N(O)CCC#Cc1oc(CN2CCN(CC2)C(c3ccc(F)cc3)c4ccc(F)cc4)cc1	CHEMBL73706	pIC50=6.77
NC(=O)N(O)[C@@H]1C[C@@H](C1)c2cccc(Oc3ccc(F)cc3)c2	CHEMBL87994	pIC50=6.77
OC(=O)C(Sc1nc(Cl)cc(Nc2ccc(cc2)c3ccc(cc3)C#N)n1)c4cccc5ccccc45	CHEMBL1683863	pIC50=6.77
CCC(O)(c1cn(Cc2ccc3c(c4ccccc4)c(sc3c2)C(C)O)nn1)C(F)(F)F	CHEMBL1289214	pIC50=6.79
CC(=O)N(O)C(=O)\C=C\c1cccc(Oc2ccccc2)c1	CHEMBL529218	pIC50=6.8
CC(=O)Oc1ccc(\C=C\C(=O)OCCc2cnnn2CCCOC(=O)C3(C)CCc4c(C)c(OC(=O)C)c(C)c(C)c4O3)cc1OC(=O)C	CHEMBL3613038	pIC50=6.8
CC(\C=C/c1oc(Oc2ccc(F)cc2)cc1)N(O)C(=O)N	CHEMBL145318	pIC50=6.8
CCC(OC)(c1cccc(COc2ccc3c(c4COC(=O)c4cc3c2)c5ccccc5)c1)c6nccs6	CHEMBL357335	pIC50=6.8
CCCN(O)C(=O)Cc1ccc(OCc2ccccc2)cc1	CHEMBL55133	pIC50=6.8
COCc1cc(c2ccccc2)c3ccc(OCc4cccc(c4)C5(O)CCOCC5)cc3c1	CHEMBL436595	pIC50=6.8
C[C@H](C#Cc1ccc(Cc2ccc(F)cc2)s1)N(O)C(=O)N	CHEMBL59356	pIC50=6.8
Cc1ccc2nc(c(NC3CCCCC3)n2c1)c4ccc(cc4)N5CCOCC5	CHEMBL1957971	pIC50=6.8
NC(=O)N(O)CC1=Cc2cc(OCCCc3ccccc3)ccc2OC1	CHEMBL325496	pIC50=6.8
CCCCCCCCC1=C(Oc2cc(OC)c(OC)c(O)c2C1=O)c3ccc(O)c(O)c3	CHEMBL417055	pIC50=6.81
CC[C@@](O)(c1cn(Cc2ccc3c(c4ccc(F)cc4)c(sc3c2)C(=O)N)nn1)C(F)(F)F	CHEMBL1289664	pIC50=6.81
CCC(OCCc1c2SC(C)Cc3c(OCc4ccc(cn4)c5ccccc5)ccc(c23)n1Cc6ccc(Cl)cc6)C(=O)O	CHEMBL275634	pIC50=6.82
CCC1(CCOCC1)c2cccc(OCc3ccc4N(C)C(=O)C=Cc4c3)c2	CHEMBL21383	pIC50=6.82
CCCCCCCCCCCCC1=C(OC)C(=CC(=O)C1=O)OC	CHEMBL3416359	pIC50=6.82
COc1ccc(\C=C\2/SC(=NC2=O)c3cccc(NC(=O)C45CC6CC(CC(C6)C4)C5)c3)cc1	CHEMBL2029840	pIC50=6.82
O=C1N2C(=Nc3ccccc13)C(=O)c4ccccc24	CHEMBL306946	pIC50=6.82
ON(Cc1ccccc1)C(=O)CCCCc2ccccc2	CHEMBL301253	pIC50=6.82
[O-][N+](=O)c1ccc2c(c1)S(=O)(=O)N=S2c3ccc(cc3)c4ccccc4	CHEMBL1917102	pIC50=6.82
CCCCCCCCC1=C(Oc2c(OC)c(OC)cc(O)c2C1=O)c3ccc(O)c(O)c3	CHEMBL304728	pIC50=6.85
COc1ccc(Cc2sc(nc2O)c3ccc(Cl)cc3)cc1	CHEMBL3353725	pIC50=6.85
COc1ccc(\C=C\2/SC(=NC2=O)c3ccc(Oc4ccccc4)cc3)c5ccccc15	CHEMBL2029856	pIC50=6.85
Clc1ccc2nc(c3ccc(cc3)N4CCCCC4)c(NC5CCCCC5)n2c1	CHEMBL1957975	pIC50=6.85
NC(=O)N(O)CC1COc2ccc(Oc3ccccc3)cc2O1	CHEMBL165101	pIC50=6.85
NC(=O)N(O)CCC#C[C@@H]1CC[C@@H](CN2CCN(CC2)C(c3ccc(F)cc3)c4ccc(F)cc4)O1	CHEMBL74779	pIC50=6.85
OC1(CCOCC1)c2cccc(COc3ccc4c(c5COC(=O)c5cc4c3)c6ccc(F)cc6)c2	CHEMBL414375	pIC50=6.85
OC1(CCOCC1)c2cccc(COc3ccc4c(cc(Cc5nccs5)cc4c3)c6cocc6)c2	CHEMBL339970	pIC50=6.85
CCCCCCCCCCC1=C(Oc2c(OC)c(OC)cc(O)c2C1=O)c3ccc(O)c(O)c3	CHEMBL67821	pIC50=6.87
CC(=O)C1(CCOCC1)c2cc(F)cc(OCc3ccc(cc3)n4ccnc4C)c2	CHEMBL349393	pIC50=6.89
CC(=O)c1cc(c2ccccc2)c3ccc(OCc4cccc(c4)C5(O)CCOCC5)cc3c1	CHEMBL128821	pIC50=6.89
CC1Cc2c(OCc3ccc(cn3)c4ccccc4)ccc5c2c(S1)c(CCOc6ccc(Cl)cc6C(=O)O)n5Cc7ccc(Cl)cc7	CHEMBL142032	pIC50=6.89
CCCCCCCCCCC1=C(OC)C(=CC(=O)C1=O)OC	CHEMBL3416357	pIC50=6.89
CCCCCCOc1cc(OC)c(OC)c2OC(=C(OC)C(=O)c12)c3ccc(O)c(O)c3	CHEMBL67819	pIC50=6.89
CNC(=O)N(O)CC1=Cc2cc(Oc3ccc(F)cc3)ccc2OCC1	CHEMBL153201	pIC50=6.89
Cc1cccc(\C=C\c2cc(C)c(O)c(C)c2)c1	CHEMBL56461	pIC50=6.89
NC(=O)N(O)CC1=Cc2cc(Oc3ccccc3)ccc2SCC1	CHEMBL152784	pIC50=6.89
ON(Cc1ccccc1)C(=O)CCCc2ccccc2	CHEMBL53028	pIC50=6.89
CCCCCCOC1=C(Oc2cc(OC)c(OC)c(OC)c2C1=O)c3ccc(O)c(O)c3	CHEMBL302090	pIC50=6.9
OC1(CC2COC(C1)O2)c3cc(F)cc(SCc4ccc5c(cc(nc5c4)C#N)c6cocc6)c3	CHEMBL280348	pIC50=6.91
CC(=O)N(O)CC1=Cc2cc(Oc3ccccc3)ccc2OC1	CHEMBL118914	pIC50=6.92
CC1Oc2ccc(Oc3ccccc3)cc2C=C1CN(O)C(=O)N	CHEMBL332092	pIC50=6.92
CCCCCCCCCCCCCC1=C(OC)C(=CC(=O)C1=O)OC	CHEMBL3416360	pIC50=6.92
CCCCCCCCCCCCCCC1=C(OC)C(=CC(=O)C1=O)OC	CHEMBL3416361	pIC50=6.92
CC[C@H](CSCc1c2SC(C)Cc3c(OCc4ccc(cn4)c5ccccc5)ccc(c23)n1Cc6ccc(Cl)cc6)C(=O)O	CHEMBL16284	pIC50=6.92
COc1ccc(\C=C/2\SC(=NC2=O)c3cccc4ccccc34)cc1	CHEMBL3353728	pIC50=6.92
COc1ccc(\C=C\2/SC(=NC2=O)c3ccc4ccccc4c3)cc1	CHEMBL2029843	pIC50=6.92
Cc1cc(\C=C\c2ccc(F)cc2)cc(C)c1O	CHEMBL57358	pIC50=6.92
Cn1nnc(n1)c2cc(c3ccccc3)c4ccc(OCc5cccc(c5)C6(O)CCOCC6)cc4c2	CHEMBL129167	pIC50=6.92
NC(=O)N(O)CC1COc2ccc(Oc3ccc(F)cc3)cc2O1	CHEMBL165743	pIC50=6.92
OC1(CCOCC1)c2cccc(COc3ccc4c(cc(cc4c3)C#N)c5ccccc5)c2	CHEMBL129916	pIC50=6.92
OC1(CCOCC1)c2cccc(COc3ccc4c(cc(cc4c3)C(=O)c5cccnc5)c6cocc6)c2	CHEMBL340737	pIC50=6.92
ON(Cc1ccccc1)C(=O)Cc2ccc(OCc3ccccc3)cc2	CHEMBL52749	pIC50=6.92
NC(=O)N(O)CCC#C[C@@H]1CC[C@@H](COc2ccc(F)cc2)O1	CHEMBL73148	pIC50=6.93
CCCCC1=C(Oc2c(OC)c(OC)cc(O)c2C1=O)c3ccc(O)c(O)c3	CHEMBL308585	pIC50=6.94
CCCCCCC1=C(Oc2c(OC)c(OC)cc(O)c2C1=O)c3ccc(O)c(O)c3	CHEMBL68552	pIC50=6.94
CCCCCCCCCCCCCCC1=C(Oc2c(OC)c(OC)cc(OC)c2C1=O)c3ccc(O)c(O)c3	CHEMBL70067	pIC50=6.94
COc1cc(ccc1OCCCNC(=O)Nc2ccc(OC(F)(F)F)cc2)c3nc4ccc(C)cn4c3NC5CCCCC5	CHEMBL2336305	pIC50=6.94
