COC1=CC(CNC(=O)CCCC\C=C/C(C)C)=CC=C1O	zucapsaicin	pEC50=7.71000004	pEC50=7.71000004	pEC50=7.71000004
COC1=C(O)C=CC(CNC(=O)CCCC\C=C\C(C)C)=C1	capsaicin	pKi=8.22	pKi=8.22	pKi=8.22	pIC50=8.1
CC(=O)NC1=CC=C(O)C=C1	paracetamol
C[C@]1(C[C@@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4ccccc4O1)C(F)(F)F	CHEMBL3682333	pIC50=6.55
Oc1ccc2C(Cc3ccccc3)C(CCc2c1)NC(=O)Nc4cccc5cnccc45	CHEMBL248761	pKi=6.55
CCOc1nc(ccc1CNC(=O)C(C)c2ccc(NS(=O)(=O)C)c(F)c2)C(F)(F)F	CHEMBL2385421	pIC50=6.56
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3C[C@@](C)(Oc4ccccc34)C(F)F)cc12	CHEMBL3682380	pIC50=6.57
CN1Cc2ccc(NC(=O)N[C@@H]3CC(C)(C)Oc4ccccc34)cc2NC1=O	CHEMBL3682281	pIC50=6.57
COc1cccc(NC(=O)\C=C\c2ccc(Cl)cc2)c1	CHEMBL122413	pIC50=6.57
O[C@H]1CC2(CCN(CC2)C(=O)Nc3ccc(OC(F)(F)F)cc3)Oc4c(F)cccc14	CHEMBL2443078	pIC50=6.58
CN1C(=O)CCc2ccc(NC(=O)N[C@H]3CC4(CCC4)Oc5ccc(F)cc35)cc12	CHEMBL3682374	pIC50=6.59
COCC1(COC)C[C@@H](NC(=O)Nc2cccc3N(C)C(=O)C=Cc23)c4cc(F)ccc4O1	CHEMBL3677377	pIC50=6.59
C[C@@]1(CF)C[C@@H](NC(=O)NCc2ccc(NS(=O)(=O)C)c(F)c2)c3ccc(cc3O1)C(F)(F)F	CHEMBL3698487	pIC50=6.59
OCCN1Cc2ccc(NC(=O)N[C@@H]3CCOc4cc(ccc34)C(F)(F)F)cc2NC1=O	CHEMBL3677352	pIC50=6.59
Oc1ccc(CC(=O)NCCCCCCCc2ccccc2)cc1	CHEMBL3770435	pIC50=6.59
CC(C(=O)NCc1ccc(nc1SCC2CCCCC2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2442920	pIC50=6.6
CC(C(=O)NCc1ccc(nc1SCCCN2CCCCC2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2442904	pIC50=6.6
CCCCCCCCC(=O)NCc1cc(Br)c(O)c(OC)c1	CHEMBL414663	pIC50=6.6
CN1C(=O)C=Cc2c(NC(=O)N[C@@H]3CCOc4ccc(F)cc34)cccc12	CHEMBL3677380	pIC50=6.6
CS(=O)(=O)Nc1ccccc1c2ccc3[nH]c(\C=C\c4ccc(F)c(F)c4)nc3c2	CHEMBL3426348	pIC50=6.6
C[C@@H]1CN(CCN1C(=O)Nc2ccc(cc2)C(F)(F)F)c3nnccc3C	CHEMBL363749	pIC50=6.6
O[C@H]1Cc2cccc(NC(=O)N[C@H]3CC[C@H](C3)c4cccc(F)c4)c2C1	CHEMBL3644142	pIC50=6.61
CC(C(=O)NCc1ccc(nc1OC2CCC(CC2)C(C)(C)C)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2385240	pIC50=6.62
CC(C)Cc1ccc(cc1)C(C)C(=O)NCCCC(=O)Nc2ccc(Cl)cc2	CHEMBL3752193	pIC50=6.62
CN(C)c1ccc(\C=C\c2nc3cc(ccc3[nH]2)c4ccccc4NS(=O)(=O)C)cc1	CHEMBL3426358	pIC50=6.62
CN1Cc2ccc(NC(=O)N[C@@H]3C[C@](C)(CF)Oc4cc(ccc34)C(F)(F)F)cc2NC1=O	CHEMBL3682294	pIC50=6.62
Fc1ccc2OC3(CCC3)C[C@@H](NC(=O)Nc4ccc5OCC(=O)Nc5c4)c2c1	CHEMBL3677406	pIC50=6.62
CC(C(=O)NCc1ccc(nc1N2CCC(C)CC2)C(F)(F)F)c3ccc(CNS(=O)(=O)C)c(F)c3	CHEMBL3822749	pKi=6.64
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3CN(C)C(=O)Nc3c2)c4ccc(cc4O1)C(F)(F)F	CHEMBL3682269	pIC50=6.64
CCCCc1ccc(cc1)C(=O)Nc2cnc3ccccc3c2	CHEMBL259385	pIC50=6.64
CN(CCO)C1Cc2ccc(NC(=O)N[C@@H]3CC(CF)(CF)Oc4cc(Cl)ccc34)cc2NC1=O	CHEMBL3682391	pIC50=6.64
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3C[C@@](C)(CF)Oc4cc(ccc34)C(F)(F)F)cc12	CHEMBL3682377	pIC50=6.64
CC(C)(C)c1ccc(COC(=O)Nc2cccc3cnccc23)cc1	CHEMBL192023	pIC50=6.65
C[C@@H]1CN(CCN1C(=O)Nc2nc3ccc(F)cc3s2)c4nnc(Cl)cc4C	CHEMBL186411	pIC50=6.65
Cc1cccc(c1)N2CCC(CC2)C(=O)Nc3ccc4OCC(=O)Nc4c3	CHEMBL455926	pKi=6.65
CC(C(=O)NCc1ccc(nc1SCCCN2CCC(C)CC2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2442905	pIC50=6.66
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3CCC(=O)N(C)c3c2)c4cc(F)ccc4O1	CHEMBL3682358	pIC50=6.66
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3CCC(=O)N(C)c3c2)c4ccc(cc4O1)C(F)(F)F	CHEMBL3682349	pIC50=6.66
CCCC1(CCC)C[C@@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4cc(F)ccc4O1	CHEMBL3682315	pIC50=6.66
CN1C(=O)NCc2c(NC(=O)N[C@@H]3C[C@](C)(CF)Oc4ccccc34)cccc12	CHEMBL3682252	pIC50=6.66
CN1Cc2ccc(NC(=O)N[C@@H]3CCc4cc(F)ccc34)cc2NC1=O	CHEMBL3682290	pIC50=6.66
Cc1ccnnc1N2CCN(CC2)C(=O)Nc3ccc(cc3)C(C)(C)C	CHEMBL187248	pIC50=6.66
Cn1ncc2c(NC(=O)N[C@H]3CC[C@H](C3)c4cccc(F)c4)cccc12	CHEMBL3646641	pIC50=6.66
FC(F)(F)c1ccc(cc1)[C@@H]2CC[C@@H](C2)NC(=O)Nc3cccc4[nH]ncc34	CHEMBL3644098	pIC50=6.66
FCC1(CF)C[C@@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4cccc(F)c4O1	CHEMBL3682304	pIC50=6.66
O[C@H]1CC2(CCN(CC2)C(=O)Nc3ccc(OC(F)(F)F)cc3)Oc4c(Cl)cccc14	CHEMBL2443060	pIC50=6.66
CC(C)(C)c1ccc2C(NC(=O)Nc3cccc4[nH]ncc34)C(F)(F)Cc2c1	CHEMBL254019	pIC50=6.67
CC(C)(C)c1ccc(\C=C\c2nc3cc(ccc3[nH]2)c4ccccc4N)cc1	CHEMBL3426344	pIC50=6.68
CC1CCN(CC1)c2nc(ccc2CCNC(=O)Nc3ccc(NS(=O)(=O)C)c(F)c3)C(F)(F)F	CHEMBL3823983	pKi=6.68
CCC1(CC)C[C@@H](NC(=O)NCc2ccc(NS(=O)(=O)C)c(F)c2)c3ccc(Cl)cc3O1	CHEMBL3698467	pIC50=6.68
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3CN(C)C(=O)Nc3c2)c4ccc(Cl)cc4O1	CHEMBL3682270	pIC50=6.68
CCCC1(CCC)C[C@@H](NC(=O)Nc2ccc3CN(C)C(=O)Nc3c2)c4cc(F)ccc4O1	CHEMBL3682274	pIC50=6.68
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3CC(CF)(CF)Oc4c(F)c(Cl)ccc34)cc12	CHEMBL3682361	pIC50=6.68
CN1Cc2ccc(NC(=O)N[C@@H]3CC(C)(C)Oc4c(Cl)c(F)ccc34)cc2NC1=O	CHEMBL3682261	pIC50=6.68
O=C(N[C@H]1CC[C@@H](C1)c2ccccc2)Nc3ccc4CCC(=O)Nc4c3	CHEMBL3644068	pIC50=6.68
O[C@H]1Cc2cccc(NC(=O)N[C@H]3CC[C@@H](C3)c4ccccc4)c2C1	CHEMBL3639429	pIC50=6.69
CC1(C)C[C@@H](NC(=O)Nc2ccc3CN(CCO)C(=O)Nc3c2)c4ccc(F)c(Cl)c4O1	CHEMBL3682399	pIC50=6.7
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3CN(C)C(=O)Nc3c2)c4cc(F)ccc4O1	CHEMBL3682278	pIC50=6.7
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3OCC(=O)Nc3c2)c4ccc(Cl)cc4O1	CHEMBL3677402	pIC50=6.7
FC(F)(F)c1cccc2[C@@H](CCOc12)NC(=O)Nc3ccc4OCC(=O)Nc4c3	CHEMBL3677418	pIC50=6.7
FCC1(CF)C[C@@H](NC(=O)Nc2ccc3CC(N4CCCOCC4)C(=O)Nc3c2)c5ccc(Cl)cc5O1	CHEMBL3682389	pIC50=6.7
COc1ccc(CNC(=O)Nc2cccc3cnccc23)cc1	CHEMBL323352	pKi=6.71
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3OCC(=O)Nc3c2)c4ccc(OC(F)(F)F)cc4O1	CHEMBL3677409	pIC50=6.72
CCCC1(CCC)C[C@@H](NC(=O)Nc2ccc3CN(CCO)C(=O)Nc3c2)c4cc(F)ccc4O1	CHEMBL3682397	pIC50=6.72
CCCC1(CCC)C[C@@H](NC(=O)Nc2cccc3N(C)C(=O)NCc23)c4cccc(F)c4O1	CHEMBL3682245	pIC50=6.72
CCCCCCCCN(C)c1ccc(cc1)C(=O)Nc2cnc3ccccc3c2	CHEMBL259017	pIC50=6.72
CCCCCCc1ccc(cc1)C(=O)Nc2cnc3ccccc3c2	CHEMBL258623	pKi=6.72
CN1Cc2ccc(NC(=O)N[C@@H]3CCc4cc(ccc34)C(C)(C)C)cc2NC1=O	CHEMBL3682268	pIC50=6.72
COc1cc(OC(=O)OCC2=C[C@H]3[C@H]4O[C@]5(Cc6ccccc6)O[C@]4(C[C@@H](C)[C@]3(O5)[C@@H]7C=C(C)C(=O)[C@@]7(O)C2)C(=C)C)cc(I)c1O	CHEMBL595262	pKi=6.72
Cc1cc2c(NC(=O)NCc3ccc(Cl)c(Cl)c3)cccc2nn1	CHEMBL178939	pIC50=6.72
Cc1ccc(\C=C\c2nc3cc(ccc3[nH]2)c4ccccc4NS(=O)(=O)C)cc1	CHEMBL3426349	pIC50=6.72
O=C(N[C@@H]1CCOc2ccccc12)Nc3ccc4CCC(=O)Nc4c3	CHEMBL3682308	pIC50=6.72
FC(F)(F)c1ccc(NC(=O)N2CCC(=CC2)c3ncccc3Cl)nc1	CHEMBL3671845	pIC50=6.73
CC(C(=O)NCc1ccc(nc1OCc2ccc(cc2)C(C)(C)C)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2385228	pIC50=6.74
C\C=C/COc1nc(ccc1CNC(=O)C(C)c2ccc(NS(=O)(=O)C)c(F)c2)C(F)(F)F	CHEMBL2385254	pIC50=6.74
CC(C(=O)NCc1cc(nn1c2ccc(Cl)cc2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL3689041	pIC50=6.75
CC(C(=O)NCc1ccc(nc1SC2CCC(C)CC2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2442916	pIC50=6.75
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3CCC(=O)N(C)c3c2)c4ccc(OC(F)(F)F)cc4O1	CHEMBL3682360	pIC50=6.75
Cc1nc(Nc2cccc3CC[C@@H](O)Cc23)oc1c4ccc(cc4)C(F)(F)F	CHEMBL1173240	pIC50=6.75
Cc1nc(Nc2ncnc3CC[C@@H](O)Cc23)oc1c4ccc(cc4)C(F)(F)F	CHEMBL3646693	pIC50=6.75
FCC1(CF)C[C@@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4cc(F)cc(F)c4O1	CHEMBL3682302	pIC50=6.75
O[C@@H]1Cc2cccc(NC(=O)N[C@@H]3CC[C@H](C3)c4ccccc4)c2C1	CHEMBL3644071	pIC50=6.75
CC(C(=O)NCc1ccc(nc1OC2CC(C)CC(C)C2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2385242	pIC50=6.76
CC(C)Cc1ccc(cc1)C(C)C(=O)NCCCC(=O)Nc2ccccc2N	CHEMBL3753519	pIC50=6.76
FC(F)(F)c1ccc(CNC(=O)Nc2cccc3cnncc23)cc1	CHEMBL179296	pIC50=6.76
Brc1ccc(CNC(=O)Nc2cccc3cncnc23)cc1	CHEMBL175831	pIC50=6.77
CC(C(=O)NCc1ccc(nc1Br)C(F)(F)F)c2ccc(NS(=O)(=O)C)c(F)c2	CHEMBL3314378	pKi=6.77
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3CCC(=O)N(C)c3c2)c4ccc(Cl)c(Cl)c4O1	CHEMBL3682352	pIC50=6.77
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3CN(CCO)C(=O)Nc3c2)c4ccc(Cl)cc4O1	CHEMBL3677345	pIC50=6.77
CCCC1(CCC)C[C@@H](NC(=O)Nc2ccc3CCC(=O)N(C)c3c2)c4cccc(F)c4O1	CHEMBL3682359	pIC50=6.77
CCCC1(CCC)C[C@@H](NC(=O)Nc2cccc3N(C)C(=O)NCc23)c4cc(F)ccc4O1	CHEMBL3682240	pIC50=6.77
CN(CC1CCCCC1)c2ccc(cc2)C(=O)Nc3cnc4ccccc4c3	CHEMBL405387	pIC50=6.77
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3CCOc4ccccc34)cc12	CHEMBL3682346	pIC50=6.77
CN1C(=O)NCc2c(NC(=O)N[C@@H]3CC(CF)(CF)Oc4c(F)cc(F)cc34)cccc12	CHEMBL3682242	pIC50=6.77
Clc1ccc2[C@@H](CCc2c1)NC(=O)Nc3ccc4OCC(=O)Nc4c3	CHEMBL3677417	pIC50=6.77
FC(F)(F)c1ccc(cc1)[C@@H]2CC[C@H](C2)NC(=O)Nc3cccc4[nH]ncc34	CHEMBL3644099	pIC50=6.77
FCC1(CF)C[C@@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4cc(F)ccc4O1	CHEMBL3682301	pIC50=6.77
OC[C@@H](O)[C@@H](O)c1cnc(c(Cl)c1)C2(F)CCN(CC2)C(=O)Nc3nc4ccc(cc4s3)C(F)(F)F	CHEMBL3671850	pIC50=6.77
Oc1ccc2[nH]c3CN(CCc3c2c1)C(=O)Nc4ccc(cc4)c5ccccc5	CHEMBL2312054	pEC50=6.77
CCc1ccc(COc2nc(ccc2CNC(=O)C(C)c3ccc(NS(=O)(=O)C)c(F)c3)C(F)(F)F)cc1	CHEMBL2385226	pIC50=6.78
CC(C(=O)NCc1ccc(nc1OCC2CC2(C)C)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2385247	pIC50=6.79
CC(C(=O)NCc1ccc(nc1OCCCOc2ccccc2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2385406	pIC50=6.79
CC(C)(C)C(=O)OC[C@H](CNC(=S)NCc1ccc(NS(=O)(=O)C)c(F)c1)Cc2ccc(cc2)C(C)(C)C	CHEMBL3099611	pKi=6.79
C[C@]1(CC[C@H](C1)NC(=O)Nc2cccc3[nH]ncc23)c4ccccc4	CHEMBL3644128	pIC50=6.79
CCC1(CC)C[C@@H](NC(=O)Nc2cccc3N(C)C(=O)NCc23)c4ccc(Cl)cc4O1	CHEMBL3682234	pIC50=6.8
C[C@]1(C[C@@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4ccccc4O1)C(F)F	CHEMBL3682336	pIC50=6.8
FC(F)(F)c1ccc(NC(=O)Nc2cccc3cnccc23)cc1	CHEMBL104892	pKi=6.8
Cc1csc(n1)[C@H]2CC[C@@H](C2)NC(=O)Nc3c(F)ccc4cnc(C)cc34	CHEMBL3646673	pIC50=6.81
FC(F)(F)c1ccc(NC(=O)N2CCC(F)(CC2)c3ncccc3Cl)nc1	CHEMBL3671849	pIC50=6.81
CCCC1(CCC)C[C@@H](NC(=O)Nc2ccc3CN(CCO)C(=O)Nc3c2)c4cccc(F)c4O1	CHEMBL3682398	pIC50=6.82
CCCC1(CCC)C[C@@H](NC(=O)Nc2ccc3OCC(=O)Nc3c2)c4cccc(F)c4O1	CHEMBL3677408	pIC50=6.82
CCCC1(CCC)C[C@@H](NC(=O)Nc2cccc3cnc(C)cc23)c4cccc(F)c4O1	CHEMBL3326580	pIC50=6.82
CCCCCCCCCN(C)c1ccc(cc1)C(=O)Nc2cnc3ccccc3c2	CHEMBL407233	pIC50=6.82
COCC1(COC)C[C@@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4cc(F)ccc4O1	CHEMBL3682325	pIC50=6.82
O=C(NC1CCc2ccccc12)Nc3cccc4[nH]ncc34	CHEMBL399977	pIC50=6.82
CC1CCN(CC1)c2nc(ccc2CNC(=O)Nc3ccc(NS(=O)(=O)C)c(F)c3)C(F)(F)F	CHEMBL3824160	pKi=6.83
COc1cc(C\N=C(/S)\NCC2=C[C@H]3[C@H]4OC5(Cc6ccccc6)O[C@]4(C[C@@H](C)[C@]3(O5)[C@@H]7C=C(C)C(=O)[C@@]7(O)C2)C(=C)C)ccc1O	CHEMBL27105	pKi=6.83
O=C(N[C@@H]1CC[C@@H](C1)c2ccccc2)Nc3ccc4CC(N5CCCOCC5)C(=O)Nc4c3	CHEMBL3646681	pIC50=6.84
CC(C(=O)NCc1ccc(nc1Cc2ccccc2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL3317493	pKi=6.85
CC(C(=O)NCc1ccc(nc1OC2CCC(C)(C)CC2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2385241	pIC50=6.85
CC(C(=O)NCc1ccc(nc1OCc2cccnc2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2385217	pKi=6.85
CC(C)(C)c1ccc(\C=C\c2nc3cc(ccc3[nH]2)c4ccccc4O)cc1	CHEMBL3426336	pIC50=6.85
CC(C)(C)c1ccc(cc1)N2CCC(CC2)C(=O)Nc3ccc4OCC(=O)Nc4c3	CHEMBL457174	pKi=6.85
CC1(C)C[C@@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4cc(F)ccc4O1	CHEMBL3682320	pIC50=6.85
COc1cc(OC(=O)OCC2=C[C@H]3[C@H]4O[C@]5(Cc6ccccc6)O[C@]4(C[C@@H](C)[C@]3(O5)[C@@H]7C=C(C)C(=O)[C@@]7(O)C2)C(=C)C)ccc1N	CHEMBL2425550	pKi=6.85
OC[C@@H](O)[C@@H](O)c1cnc(c(Cl)c1)C2(F)CCN(CC2)C(=O)Nc3ccc(cn3)C(F)(F)F	CHEMBL3671848	pIC50=6.85
COc1cc(OC(=O)OCC2=C[C@H]3[C@H]4O[C@]5(Cc6ccccc6)O[C@]4(C[C@@H](C)[C@]3(O5)[C@@H]7C=C(C)C(=O)[C@@]7(O)C2)C(=C)C)cc(F)c1O	CHEMBL2425547	pKi=6.86
FC(F)(F)c1ccc(NC(=O)N2CCC(=CC2)c3ncccc3Cl)cc1Cl	CHEMBL3671843	pIC50=6.86
Fc1cc(F)cc(c1)N2CCC(CC2)C(=O)Nc3ccc4OCC(=O)Nc4c3	CHEMBL449104	pKi=6.86
O[C@H]1Cc2cccc(NC(=O)N[C@H]3CC[C@H](C3)c4ccccc4)c2C1	CHEMBL3644079	pIC50=6.86
CC(C)Cc1ccc(cc1)C(C)C(=O)N2CCC(CC2)C(=O)Nc3ccc(Cl)cc3	CHEMBL3751973	pIC50=6.87
CC(C(=O)NCc1ccc(nc1OCc2ccc(Cl)cc2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2385230	pIC50=6.88
CC(C(=O)NCc1ccc(nc1c2ccc(F)cc2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL3319108	pKi=6.88
FC(F)(F)c1csc(n1)C2CC[C@H](C2)NC(=O)Nc3cccc4[nH]ncc34	CHEMBL3646670	pIC50=6.88
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3CCC(=O)N(C)c3c2)c4ccccc4O1	CHEMBL3682348	pIC50=6.89
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4ccc(Cl)cc4O1	CHEMBL3682313	pIC50=6.89
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3OCC(=O)Nc3c2)c4cc(F)ccc4O1	CHEMBL3677407	pIC50=6.89
CCC1(CC)C[C@@H](NC(=O)Nc2cccc3N(C)C(=O)NCc23)c4ccc(cc4O1)C(F)(F)F	CHEMBL3682233	pIC50=6.89
CCCc1ccc(cc1)C(=O)Nc2cnc3ccccc3c2	CHEMBL259600	pIC50=6.89
CCN1C(=O)NCc2c(NC(=O)N[C@@H]3CC(CF)(CF)Oc4cc(Cl)ccc34)cccc12	CHEMBL3682251	pIC50=6.89
CN(CCO)c1ncc(NC(=O)COc2ccc(cc2)C(C)(C)C)cc1C	CHEMBL2380436	pIC50=6.89
CN1C(=O)CCc2c(NC(=O)N[C@@H]3CC(CF)(CF)Oc4cc(Cl)ccc34)cccc12	CHEMBL3682342	pIC50=6.89
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3CC(C)(C)Oc4cc(Br)ccc34)cc12	CHEMBL3682384	pIC50=6.89
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3CC(CF)(CF)Oc4cc(F)ccc34)cc12	CHEMBL3682383	pIC50=6.89
CN1Cc2ccc(NC(=O)N[C@@H]3CC(CF)(CF)Oc4cc(Cl)ccc34)cc2NC1=O	CHEMBL3682259	pIC50=6.89
CN1Cc2ccc(NC(=O)N[C@@H]3CCOc4cc(ccc34)C(F)(F)F)cc2NC1=O	CHEMBL3682289	pIC50=6.89
CN1Cc2ccc(NC(=O)N[C@@H]3CCc4cc(ccc34)C(F)(F)F)cc2NC1=O	CHEMBL3682263	pIC50=6.89
C[C@@]1(CF)C[C@@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4ccc(Cl)cc4O1	CHEMBL3682334	pIC50=6.89
C[C@]1(CF)C[C@@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4ccc(Cl)cc4O1	CHEMBL3682329	pIC50=6.89
CC(C)(CO)c1ccc2[C@@H](CCc2c1)NC(=O)Nc3cccc4[nH]ncc34	CHEMBL398856	pIC50=6.9
CC(C)Cc1ccc(cc1)C(C)C(=O)N2CCC(CC2)C(=O)Nc3cccc(Cl)c3	CHEMBL3753757	pIC50=6.9
CC(C)Cc1ccc(cc1)C(C)C(=O)NCCCC(=O)Nc2ccc(N)cc2	CHEMBL3754697	pIC50=6.9
CCC1CCC(CC1)Oc2nc(ccc2CNC(=O)C(C)c3ccc(NS(=O)(=O)C)c(F)c3)C(F)(F)F	CHEMBL2385239	pIC50=6.9
CCCCCCCCC(=O)NCc1cc(I)c(O)c(OC)c1	CHEMBL365972	pIC50=6.9
CCc1ccccc1N2CCC(CC2)C(=O)Nc3ccc4OCC(=O)Nc4c3	CHEMBL464180	pKi=6.9
CC(C)(C)C(=O)OCC(CNC(=S)NCc1ccc(NS(=O)(=O)C)c(F)c1)Cc2ccc(cc2)C(C)(C)C	CHEMBL253392	pKi=6.91
CC(C)(C)c1ccc2[C@H](CCc2c1)NC(=O)Nc3cccc4[nH]ncc34	CHEMBL398339	pIC50=6.91
CCC(C)(C(=O)NCc1ccc(nc1N2CCC(C)CC2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL3427120	pKi=6.91
O=C(N[C@@H]1C[C@@H](C=C1)c2ccccc2)Nc3cccc4[nH]ncc34	CHEMBL3644118	pIC50=6.91
O[C@@H]1Cc2cccc(NC(=O)N[C@H]3CC[C@@H](C3)c4ccccc4)c2C1	CHEMBL3644065	pIC50=6.91
CC(=O)c1ccccc1c2ccc3[nH]c(\C=C\c4ccc(cc4)C(F)(F)F)nc3c2	CHEMBL3426360	pIC50=6.92
CC1(C)C[C@@H](NC(=O)Nc2ccc3OCC(=O)Nc3c2)c4ccc(F)c(F)c4O1	CHEMBL3677415	pIC50=6.92
CCCCCCCN(C)c1ccc(cc1)C(=O)Nc2cnc3ccccc3c2	CHEMBL261766	pIC50=6.92
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3CC(C)(C)Oc4c(F)c(Cl)ccc34)cc12	CHEMBL3682381	pIC50=6.92
CN1C(=O)NCc2c(NC(=O)N[C@@H]3CC(CF)(CF)Oc4cc(OC(F)(F)F)ccc34)cccc12	CHEMBL3682238	pIC50=6.92
CN1C(=O)NCc2c(NC(=O)N[C@@H]3C[C@@](C)(CF)Oc4ccccc34)cccc12	CHEMBL3682253	pIC50=6.92
CN1Cc2ccc(NC(=O)N[C@@H]3CC(C)(C)Oc4cc(F)ccc34)cc2NC1=O	CHEMBL3682265	pIC50=6.92
CN1Cc2ccc(NC(=O)N[C@@H]3CC(CF)(CF)Oc4cc(OC(F)(F)F)ccc34)cc2NC1=O	CHEMBL3682272	pIC50=6.92
C[C@@]1(CF)C[C@@H](NC(=O)Nc2ccc3OCC(=O)Nc3c2)c4ccc(Cl)cc4O1	CHEMBL3682219	pIC50=6.92
FC(F)(F)c1ccc(nc1)N2CC[C@@H](C2)NC(=O)Nc3ccccc3Br	CHEMBL2380430	pIC50=6.92
Fc1ccc2OC3(CCC3)C[C@@H](NC(=O)Nc4ccc5CCC(=O)Nc5c4)c2c1	CHEMBL3682316	pIC50=6.92
CC(C(=O)NCc1ccc(nc1SCCOc2ccccc2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2442900	pIC50=6.93
CC(C(=O)NCc1cc(nn1c2cccc(Cl)c2)C(C)(C)C)c3ccc(N4CCCS4(=O)=O)c(F)c3	CHEMBL3689056	pKi=6.94
CC(C(=O)NCc1ccc(nc1OCC2CC2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2385082	pIC50=6.94
CC(C(=O)NCc1ccc(nc1OCc2cc(Cl)cc(Cl)c2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2385237	pIC50=6.94
O=C(N[C@@H]1CC[C@@H](C1)c2ccccc2)Nc3ccc4CC(N5CCOCC5)C(=O)Nc4c3	CHEMBL3646680	pIC50=6.94
OC[C@@H](O)Cc1cnc(c(Cl)c1)C2(F)CCN(CC2)C(=O)Nc3nc4ccc(F)cc4s3	CHEMBL3671856	pIC50=6.94
Cc1c(CNC(=O)Cc2cccc(F)c2)n(nc1C(F)(F)F)c3cccc(Cl)c3	CHEMBL3689064	pKi=6.95
Cc1cccnc1N2CCN(CC2)C(=O)Nc3ccc(Cl)cc3	CHEMBL369647	pIC50=6.95
CC(C(=O)NCc1ccc(nc1SCCc2ccccc2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL2442928	pIC50=6.96
CC(C)c1ccc(OCC(=O)Nc2ccc(nc2)N(C)CCO)cc1	CHEMBL2380567	pIC50=6.96
CC1(C)C[C@@H](NC(=O)NCc2ccc(NS(=O)(=O)C)c(F)c2)c3ccc(cc3O1)C(F)(F)F	CHEMBL3698463	pIC50=6.96
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3OCC(=O)Nc3c2)c4ccc(cc4O1)C(F)(F)F	CHEMBL3677401	pIC50=6.96
