OC1=C(Oc2cc(O)cc(O)c2C1=O)c3ccc(O)c(O)c3	quercetin	pKd=7.6	pKd=7.6	pKd=7.6	pKd=7.6
Brc1c(Br)c(Br)c2[nH]c(nc2c1Br)N3CCOCC3	CHEMBL3684932	pIC50=7.53
C1CC2(CC2)[C@H](CN1)Oc3cncc(n3)c4n[nH]c5ccc(cc45)c6nccs6	CHEMBL3393715	pIC50=8.52
CC1(C)CCNCC1Oc2cncc(n2)c3n[nH]c4ccc(cc34)c5c(F)cccc5F	CHEMBL3393705	pIC50=8.52
CC1(COc2cccc3ccc(nc23)c4nnc5ccccn45)CCN(CCO)CC1	CHEMBL3660082	pIC50=8.52
CCCCNc1nc2c(cccc2nc1C)c3cc4C(=O)NCCc4[nH]3	CHEMBL3809623	pIC50=8.52
CCNCC(C)(C)COc1cccc2ccc(nc12)c3nnc4ccccn34	CHEMBL3660032	pIC50=8.52
CC[C@@H](CN)C(CC)Oc1cccc2ccc(nc12)c3nnc4ccccn34	CHEMBL3660035	pIC50=8.52
CCc1ccc(F)c(c1F)c2cccc(n2)C(=O)Nc3cnccc3[C@@H]4CCC[C@H](N)C4	CHEMBL3651915	pIC50=8.52
CCc1ccc(F)c(c1F)c2cccc(n2)C(=O)Nc3cnccc3[C@@H]4CC[C@H](O)[C@H](N)C4	CHEMBL3651914	pIC50=8.52
CCc1ccc(F)c(c1F)c2cccc(n2)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@@H](O)[C@H](N)C4	CHEMBL3651911	pIC50=8.52
CN(C)CC1=Nc2c(sc3ccc(cc23)C#CCCCCN4CCCCC4)C(=O)N1	CHEMBL576734	pKi=8.52
CN(C)CC1=Nc2c(sc3ccc(cc23)c4cc(F)cc(Cl)c4)C(=O)N1	CHEMBL583385	pKi=8.52
CN(C)CC1=Nc2c(sc3ccc(cc23)c4cccc(Cl)c4)C(=O)N1	CHEMBL582844	pKi=8.52
CN1CCC(F)C(CC1)Oc2cccc3ccc(nc23)c4nnc5ccccn45	CHEMBL3664621	pIC50=8.52
CN1CCCN(CC1)C(=O)c2ccc(F)c(c2)c3oc(\C=C/4\C(=O)Nc5ccc(Cl)cc45)cc3	CHEMBL2037204	pIC50=8.52
CN1C[C@@H]2CC[C@H]1CN2CC3=Nc4c(oc5ccc(Br)cc45)C(=O)N3	CHEMBL2035636	pIC50=8.52
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)C4CCCCC4	CHEMBL3651986	pIC50=8.52
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)[C@@H]4CC[C@@H](O)CC4	CHEMBL3651951	pIC50=8.52
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)[C@@H]4CC[C@H](O)CC4	CHEMBL3651950	pIC50=8.52
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)ccc(F)c4F	CHEMBL3676308	pIC50=8.52
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3nc(ccc3F)c4c(F)cccc4F	CHEMBL3651965	pIC50=8.52
C[C@H]1CN(C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4ccncc4	CHEMBL3652014	pIC50=8.52
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4cc(O)ccc4F	CHEMBL3651901	pIC50=8.52
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3nc(ccc3N)C4CCCCC4	CHEMBL3639508	pIC50=8.52
Cc1nc2cccc(c3cc4C(=O)NCCc4[nH]3)c2nc1Nc5ccccc5	CHEMBL3810085	pIC50=8.52
Clc1cc(NC(=O)CCN2CCCCC2)ccc1C3=Nc4c(oc5ccc(Br)cc45)C(=O)N3	CHEMBL2035629	pIC50=8.52
Clc1ccccc1Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5	CHEMBL2017323	pIC50=8.52
FC1CNCCC1Oc2cccc3ccc(nc23)c4nnc5ccc(cn45)c6ccccc6	CHEMBL3660078	pIC50=8.52
FC1CNCCCC1Oc2cccc3ccc(nc23)c4nnc5ccccn45	CHEMBL3660049	pIC50=8.52
F[C@@H]1CNCCC1Oc2cccc3ccc(nc23)c4nnc5ccccn45	CHEMBL3660031	pIC50=8.52
Fc1cccc(F)c1c2ccc3[nH]nc(c4cncc(NC5CCNC5)n4)c3c2	CHEMBL3393699	pIC50=8.52
Fc1cccc(F)c1c2ccc3[nH]nc(c4cncc(OC5CNCCC5=C)n4)c3c2	CHEMBL3393703	pIC50=8.52
Fc1cccc(Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5)c1	CHEMBL2017346	pIC50=8.52
Fc1ncccc1c2ccc3[nH]nc(c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2	CHEMBL3393713	pIC50=8.52
NC1CCCN(C1)c2cncc(n2)c3n[nH]c4ccc(cc34)c5c(F)cccc5F	CHEMBL3393722	pIC50=8.52
NCCCOc1cccc2ccc(nc12)c3nnc4ccccn34	CHEMBL3660015	pIC50=8.52
NCc1ccc(C2=Nc3c(oc4ccc(Br)cc34)C(=O)N2)c(Cl)c1	CHEMBL2035626	pIC50=8.52
N[C@H]1CCCN(C1)c2ccncc2NC(=O)c3nc(ccc3N)c4ccccc4C(F)(F)F	CHEMBL3103865	pKi=8.52
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4ccc(F)cc4F	CHEMBL3651978	pIC50=8.52
N[C@H]1C[C@@H](CC[C@@H]1O)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3651998	pIC50=8.52
Nc1cncc(n1)c2ccncc2NC(=O)c3nc(ccc3N)c4ccccc4F	CHEMBL3792474	pKi=8.52
OC1CCC(CC1)Nc2cccc3ccc(nc23)c4nnc5ccccn45	CHEMBL3660008	pIC50=8.52
O[C@H]1CCN(CC2=Nc3c(sc4ccc(cc34)c5ccccc5)C(=O)N2)C1	CHEMBL572781	pKi=8.52
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1[S+](C)[O-])c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687442	pIC50=8.53
N[C@@H]1CCCC[C@H]1Nc2ccn3ncc(c4ccc5ccccc5c4)c3n2	CHEMBL2442317	pIC50=8.54
CCN(CC)CCNc1cncc(n1)c2ccc3[nH]cc(c4ccnc(N)n4)c3c2	CHEMBL3264258	pIC50=8.55
Cn1ncc(NC(=O)c2nc(sc2N)c3c(F)cccc3F)c1N4CCNCC(C4)C#N	CHEMBL3648777	pKi=8.55
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1NS(=O)(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687429	pIC50=8.59
CCN1C2=C(C(=O)ON2)C(=O)c3cc(O)c(Cl)cc13	CHEMBL523823	pKi=8.6
C[C@@H]1C[C@@H](C[C@H](N)[C@@H]1Oc2ccccn2)c3ccncc3NC(=O)c4ccc(F)c(n4)c5c(F)cccc5F	CHEMBL3687523	pIC50=8.6
Cc1cc(cc(C)n1)c2nc(C(=O)Nc3cnn(C)c3N4CC[C@@H](N)[C@H](F)CC4)c(N)s2	CHEMBL3648819	pKi=8.6
CCC(CC)(CO)COc1cccc2ccc(nc12)c3nnc4ccccn34	CHEMBL3664628	pIC50=8.64
CC(C)(COc1cccc2ccc(nc12)c3nnc4ccccn34)[C@@H](O)CO	CHEMBL3664616	pIC50=8.66
CCn1ncc(NC(=O)c2nc(sc2N)c3ccccc3F)c1N4CCC(N)C(CC4)OC	CHEMBL3648785	pKi=8.67
CO[C@@H]1[C@H](C)C[C@@H](C[C@@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(C)cc4F	CHEMBL3687513	pIC50=8.67
C[C@H]1C[C@H](C[C@@H](N)[C@H]1NS(=O)(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687438	pIC50=8.67
Cn1ncc(NC(=O)c2nc(sc2N)c3ccnc(F)c3)c1N4CCC[C@H](N)CC4	CHEMBL3648798	pKi=8.67
C[C@H]1CN(CCN1)c2c(NC(=O)c3nc(sc3N)c4c(F)cccc4F)cnn2CC(F)(F)F	CHEMBL3648729	pKi=8.68
C(Oc1cccc2ccc(nc12)c3nnc4ccccn34)C5CCNCC5	CHEMBL3660019	pIC50=8.7
CC(=O)O[C@H]1CC[C@H](C[C@H]1N)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3651995	pIC50=8.7
CC(C)(C)COc1cccc2ccc(nc12)c3nnc4ccccn34	CHEMBL3660028	pIC50=8.7
CC(C)COc1cccc2ccc(nc12)c3nnc4cc(CN)ccn34	CHEMBL3660025	pIC50=8.7
CC(C)Nc1cncc(n1)c2c[nH]c3ccc(cc23)c4nnc(N)s4	CHEMBL3394074	pIC50=8.7
CC1CC(N)CN(C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676270	pIC50=8.7
CCCOc1ccc(F)c(c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4CC[C@H](O)[C@H](N)C4	CHEMBL3651960	pIC50=8.7
CCc1ccc(F)c(c1F)c2cccc(n2)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)C[C@H](N)C4	CHEMBL3651917	pIC50=8.7
CN(C)CC1=Nc2c(sc3ccc(cc23)c4ccc(N)cc4)C(=O)N1	CHEMBL574169	pKi=8.7
CN(C)CC1=Nc2c(sc3ccc(cc23)c4ccc(O)cc4)C(=O)N1	CHEMBL585182	pKi=8.7
CN(C)CC1=Nc2c(sc3ccc(cc23)c4cccnc4)C(=O)N1	CHEMBL575461	pKi=8.7
CN1CCC(F)(COc2cccc3ccc(nc23)c4nnc5ccccn45)CC1	CHEMBL3660080	pIC50=8.7
CN1CCN(CC1)c2ccc(Nc3nc4c(cccc4c5cnccc35)c6nnc[nH]6)c(Cl)c2	CHEMBL1915449	pIC50=8.7
CN1CCN(C[C@@H](NC(=O)C[C@H]2CNC(=O)c3cc(cn23)c4cc(Cl)ccc4F)C5CCCCC5)CC1	CHEMBL3297764	pIC50=8.7
CNCC(C)(C)COc1cccc2ccc(nc12)c3nnc4ccccn34	CHEMBL3660033	pIC50=8.7
COc1ccc2C(=O)\C(=C\c3c[nH]c4ccccc34)\Oc2c1CN5CCNCC5	CHEMBL2147763	pIC50=8.7
COc1ccc2C(=O)\C(=C\c3c[nH]c4ncccc34)\Oc2c1CN5CCNCC5	CHEMBL2147767	pIC50=8.7
C[C@@H]1CN(C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3651997	pIC50=8.7
C[C@@H]1C[C@@H](C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3651991	pIC50=8.7
C[C@@H]1C[C@H](C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3652026	pIC50=8.7
C[C@@H]1C[C@H](C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3651992	pIC50=8.7
C[C@@H]1C[C@H](C[C@@H](O)[C@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3652030	pIC50=8.7
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3cccc(n3)c4ccc(O)cc4F	CHEMBL3651933	pIC50=8.7
C[C@@H]1C[C@H](O)C[C@@H](C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676287	pIC50=8.7
C[C@H]1CN(C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3cccc(n3)c4ccccc4F	CHEMBL3651919	pIC50=8.7
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4cc(ccc4F)C(F)(F)F	CHEMBL3652020	pIC50=8.7
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3cccc(n3)c4c(F)ccc(C)c4F	CHEMBL3651926	pIC50=8.7
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3nc(c(F)cc3N)c4c(F)cccc4F	CHEMBL3652024	pIC50=8.7
C[C@H]1C[C@H](C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3cccc(n3)c4c(F)ccc(C)c4F	CHEMBL3651927	pIC50=8.7
Cc1ccc(F)c(c1F)c2cccc(n2)C(=O)Nc3cnccc3[C@@H]4CC[C@H](O)[C@H](N)C4	CHEMBL3651937	pIC50=8.7
Cc1nc2cccc3c4cc5C(=O)NC[C@@H](C\C=C/CNc1nc23)c5[nH]4	CHEMBL3808445	pIC50=8.7
Clc1cc(OCCN2CCOCC2)ccc1Nc3nc4c(cccc4c5cnccc35)c6nnc[nH]6	CHEMBL1915448	pIC50=8.7
FC1CNCCC1Oc2cccc3ccc(nc23)c4nnc5ccc(cn45)C6CC6	CHEMBL3660076	pIC50=8.7
Fc1ccc(Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5)c(F)c1	CHEMBL2017348	pIC50=8.7
Fc1cccc(F)c1Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5	CHEMBL1915636	pIC50=8.7
Fc1cccc(F)c1c2ccc3[nH]nc(c4cncc(NC5CCCNC5)n4)c3c2	CHEMBL3393698	pIC50=8.7
Fc1cccc(F)c1c2ccc3[nH]nc(c4cncc(NC5CCNCC5)n4)c3c2	CHEMBL3393697	pIC50=8.7
Fc1ccccc1Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5	CHEMBL2017324	pIC50=8.7
Fc1ccncc1c2ccc3[nH]nc(c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2	CHEMBL3393711	pIC50=8.7
NC(=O)Nc1cc2c(n[nH]c2cn1)c3cccc(n3)N4CCNCC4	CHEMBL3634775	pKi=8.7
NC1C=C(CCC1O)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3651987	pIC50=8.7
NC1CCCC(=C1)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3652001	pIC50=8.7
NC1CCN(CC1)c2cncc(n2)c3n[nH]c4ccc(cc34)c5c(F)cccc5F	CHEMBL3393692	pIC50=8.7
NCCNc1ccn2ncc(c3ccc4sccc4c3)c2n1	CHEMBL2442302	pIC50=8.7
N[C@@H]1CN(CC(F)(F)C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676280	pIC50=8.7
N[C@@H]1CN(CC[C@H]1F)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676260	pIC50=8.7
N[C@@H]1CN(CC[C@H]1O)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676259	pIC50=8.7
N[C@@H]1C[C@@H](CC[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4ccccc4F	CHEMBL3651983	pIC50=8.7
N[C@@H]1C[C@@H](CC[C@@H]1O)c2ccncc2NC(=O)c3cccc(n3)c4c(F)cccc4F	CHEMBL3651974	pIC50=8.7
N[C@@H]1C[C@@H](CC[C@@H]1O)c2ccncc2NC(=O)c3nc(c(F)cc3N)c4c(F)cccc4F	CHEMBL3651961	pIC50=8.7
N[C@@H]1C[C@@H](C[C@@H](C1)C(F)(F)F)c2ccncc2NC(=O)c3ccc(F)c(n3)C4CCCCC4	CHEMBL3652005	pIC50=8.7
N[C@H]1CCCN(C1)c2ccncc2NC(=O)c3csc(n3)c4ccccc4	CHEMBL3676302	pIC50=8.7
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4cc(F)ccc4F	CHEMBL3651977	pIC50=8.7
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4cccc(F)c4F	CHEMBL3651975	pIC50=8.7
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3cccc(n3)c4ccc(O)cc4F	CHEMBL3651902	pIC50=8.7
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676290	pIC50=8.7
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3nc(c(F)cc3N)c4ccncc4F	CHEMBL3652028	pIC50=8.7
Nc1cc(ccn1)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3793927	pKi=8.7
OCCN1CCC(F)(COc2cccc3ccc(nc23)c4nnc5ccccn45)CC1	CHEMBL3660081	pIC50=8.7
Oc1cccc(NCC2=Nc3c(sc4ccc(cc34)c5ccccc5)C(=O)N2)c1	CHEMBL573011	pKi=8.7
Oc1cccc(NCC2=Nc3c(sc4ccc(cc34)c5ccsc5)C(=O)N2)c1	CHEMBL575264	pKi=8.7
Cn1ncc(NC(=O)c2nc(sc2N)c3c(F)cccc3F)c1OC4CCNCC4	CHEMBL3652631	pKi=8.71
COc1ccc2C(=O)\C(=C\c3n[nH]c4ncccc34)\Oc2c1C(C)N5CCNCC5	CHEMBL3735890	pIC50=8.72
COc1ccc2nnc(c3ccc4cc(F)cc(OCC5(F)CCNCC5)c4n3)n2c1	CHEMBL3664613	pIC50=8.72
Cn1ncc(NC(=O)c2nc(ccc2N)c3ccccc3F)c1N4CC[C@@H](N)C4	CHEMBL3652635	pKi=8.72
N[C@H]1CCCN(C1)c2ccncc2NC(=O)c3csc(n3)c4ccccc4F	CHEMBL3676303	pIC50=8.72
C1CN(CCN1)c2cccc(n2)c3n[nH]c4cnc(cc34)n5ccnc5	CHEMBL3634773	pKi=8.74
CO[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccnc(n3)c4c(F)cccc4F	CHEMBL3687461	pIC50=8.75
COC(=O)N[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3nc(ccc3N)c4cc(ccc4F)C(=O)NC(C)C	CHEMBL3691983	pIC50=8.77
C(Oc1cccc2ccc(nc12)c3nnc4ccccn34)C5(CC6CC6)CCNCC5	CHEMBL3660065	pIC50=8.8
C1CC(CCN1)Nc2cccc3ccc(nc23)c4nnc5ccccn45	CHEMBL3660006	pIC50=8.8
C1CC2(CC2)[C@H](CN1)Oc3cncc(n3)c4n[nH]c5ccc(cc45)c6ccccc6	CHEMBL3393709	pIC50=8.8
CCN1CCCC1CNc2ccn3ncc(c4ccc5ccccc5c4)c3n2	CHEMBL2442301	pIC50=8.8
CO[C@H]1CCC(CC[C@@H]1N)c2c(NC(=O)c3nc(sc3N)c4ccccc4F)cnn2C	CHEMBL3648797	pKi=8.8
FC1(COc2cccc3ccc(nc23)c4nnc5ccccn45)CCCNC1	CHEMBL3664630	pIC50=8.8
Cn1ncc(NC(=O)c2nc(sc2N)c3c(F)cccc3F)c1C4CCC(N)CC(C)(O)C4	CHEMBL3648829	pKi=8.81
CC(C)(CN)COc1cccc2ccc(nc12)c3nnc4ccccn34	CHEMBL3660023	pIC50=8.82
COc1cc(NCC2CCNCC2)nc3c1nnn3c4cccc(c4)N(C)C	CHEMBL1952143	pIC50=8.82
NCCNc1ccn2ncc(c3ccc4ccccc4c3)c2n1	CHEMBL2442296	pIC50=8.82
C[C@@H]1C[C@@H](C[C@H](N)[C@@H]1C#N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687477	pIC50=8.83
Cn1ncc(NC(=O)c2nc(sc2N)c3cccc(n3)C#N)c1N4CC[C@@H](N)[C@H](F)CC4	CHEMBL3648813	pKi=8.84
COC1(COc2cc(F)cc3ccc(nc23)c4nnc5ccccn45)CCCN(CCO)CC1	CHEMBL3664618	pIC50=8.85
CS(=O)(=O)c1ccc(c(F)c1)c2ccc3[nH]nc(c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2	CHEMBL3393719	pIC50=8.85
C[C@H]1C[C@H](C[C@@H](N)[C@H]1S(=O)(=O)C)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3687529	pIC50=8.85
Cn1ncc(NC(=O)c2nc(sc2N)c3c(F)cccc3F)c1N4CCNCC(CO)C4	CHEMBL3648761	pKi=8.85
Cn1ncc(NC(=O)c2nc(sc2N)c3ccccn3)c1N4CC[C@H](N)[C@H](F)CC4	CHEMBL3648782	pKi=8.85
Fc1ccc2nnc(c3ccc4cccc(OCC5(F)CCNCC5)c4n3)n2c1	CHEMBL3660093	pIC50=8.85
C[C@@H]1C[C@@H](C[C@H](N)[C@@H]1OCCC#N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(C)cc4F	CHEMBL3687494	pIC50=8.88
CCC1(COc2cccc3ccc(nc23)c4nnc5ccccn45)CCNCC1	CHEMBL3660064	pIC50=8.89
Cc1oc(nn1)c2cccc(c2)c3cnn4ccc(NCCN)nc34	CHEMBL2442291	pIC50=8.89
Cn1ncc(NC(=O)c2nc(sc2N)c3ccccn3)c1N4CC[C@@H](N)[C@H](F)CC4	CHEMBL3648716	pKi=8.9
Cn1ncc(NC(=O)c2nc(sc2N)c3ccccc3F)c1N4CCC[C@H](N)C4	CHEMBL3652623	pKi=8.91
Cc1ncccc1c2nc(C(=O)Nc3cnn(C)c3N4CC[C@@H](N)[C@H](F)CC4)c(N)s2	CHEMBL3648811	pKi=8.93
C[C@@H]1CNCCN1c2c(NC(=O)c3nc(sc3N)c4c(F)cccc4F)cnn2C	CHEMBL3648667	pKi=8.94
Cn1ncc(NC(=O)c2nc(sc2N)c3c(F)cccc3F)c1OCC4CCNCC4	CHEMBL3652628	pKi=8.94
Oc1cc(Cc2ccc(cc2)C#N)nc3c(cnn13)C(=O)Nc4ccc(F)cc4	CHEMBL2387467	pKi=8.96
COc1ncccc1c2nc(C(=O)Nc3cnn(C)c3N4CCC[C@H](N)CC4)c(N)s2	CHEMBL3648799	pKi=8.97
Cn1ncc(NC(=O)c2nc(sc2N)c3cc(ccc3F)C#N)c1N4CC[C@@H](N)[C@H](F)CC4	CHEMBL3648818	pKi=8.97
Cc1cc(ccn1)c2nc(C(=O)Nc3cnn(C)c3N4CC[C@@H](N)[C@H](F)CC4)c(N)s2	CHEMBL3648812	pKi=8.98
Cn1ncc(NC(=O)c2nc(sc2N)c3c(F)cccc3F)c1N4CCNCCC4=O	CHEMBL3648735	pKi=8.99
C(Oc1cccc2ccc(nc12)c3nnc4ccccn34)C5CCCNC5	CHEMBL3660021	pIC50=9.0
CC(C)(CCN)COc1cccc2ccc(nc12)c3nnc4ccccn34	CHEMBL3664629	pIC50=9.0
CC(C)Oc1ccc(F)c(c1F)c2nc(cs2)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)C[C@H](N)C4	CHEMBL3676306	pIC50=9.0
CC1(C)C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(O)cc4F	CHEMBL3652016	pIC50=9.0
CC1(C)C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3651945	pIC50=9.0
CC1(C)C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4ccc(O)cc4F	CHEMBL3651906	pIC50=9.0
CC1(C)C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676301	pIC50=9.0
CC1CC(O)C=C(C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3652029	pIC50=9.0
CC1CC(O)C=C(C1)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3651999	pIC50=9.0
CC1CCN(CC1N)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676275	pIC50=9.0
CCCOc1ccc(F)c(c1)c2ccc(N)c(n2)C(=O)Nc3cnccc3[C@@H]4CC[C@H](O)[C@H](N)C4	CHEMBL3651964	pIC50=9.0
CCCOc1ccc(F)c(c1)c2nc(C(=O)Nc3cnccc3[C@@H]4CC[C@H](O)[C@H](N)C4)c(N)cc2F	CHEMBL3651963	pIC50=9.0
CCOc1ccc(F)c(c1F)c2nc(cs2)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)C[C@H](N)C4	CHEMBL3676307	pIC50=9.0
CC[C@@H]1C[C@H](N)CN(C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676281	pIC50=9.0
CCc1ccc(F)c(c1F)c2cccc(n2)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@H](O)[C@H](N)C4	CHEMBL3651913	pIC50=9.0
CN(C)C1CCN(C[C@@H](NC(=O)C[C@H]2CNC(=O)c3cc(cn23)c4cccc(Cl)c4)C5CCCCC5)CC1	CHEMBL3297766	pIC50=9.0
CN(C)CC1=Nc2c(sc3ccc(\C=C\C4CC4)cc23)C(=O)N1	CHEMBL576387	pKi=9.0
CN(C)CC1=Nc2c(sc3ccc(cc23)c4ccc(O)c(F)c4)C(=O)N1	CHEMBL572514	pKi=9.0
CN(C)CC1=Nc2c(sc3ccc(cc23)c4ccc(OCC(O)CO)cc4)C(=O)N1	CHEMBL575463	pKi=9.0
CN(C)CC1=Nc2c(sc3ccc(cc23)c4cccc(O)c4)C(=O)N1	CHEMBL583913	pKi=9.0
COC1(COc2cccc3ccc(nc23)c4nnc5cc(C)ccn45)CCNCC1	CHEMBL3664624	pIC50=9.0
COC1(COc2cccc3ccc(nc23)c4nnc5ccccn45)CCCNCC1	CHEMBL3664620	pIC50=9.0
COc1cc(F)c(c(F)c1)c2cccc(n2)C(=O)Nc3cnccc3[C@H]4C[C@@H](N)C[C@H](C4)C(F)(F)F	CHEMBL3652003	pIC50=9.0
COc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@H]4C[C@@H](N)CC(C)(C)C4	CHEMBL3652017	pIC50=9.0
COc1cc(NCC2CCNCC2)nc3c1nnn3c4cccc(OC(F)(F)F)c4	CHEMBL1952142	pIC50=9.0
COc1ccc(F)c(c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)C[C@H](N)C4	CHEMBL3651941	pIC50=9.0
COc1ccc(F)c(c1F)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@@H](O)[C@H](N)C4	CHEMBL3651943	pIC50=9.0
COc1ccc(F)c(c1F)c2nc(cs2)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)C[C@H](N)C4	CHEMBL3676305	pIC50=9.0
C[C@@H]1C[C@@H](C[C@H](N)[C@H]1O)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3651990	pIC50=9.0
C[C@@H]1C[C@H](N)CN(C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676284	pIC50=9.0
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(O)cc4F	CHEMBL3652022	pIC50=9.0
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)ccc(C)c4F	CHEMBL3651923	pIC50=9.0
