C[C@H]1C[C@H](C[C@@H](N)[C@H]1[S+](C)[O-])c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687446	pIC50=7.53
O[C@H]1CCN(CC2=Nc3c(sc4ccc(cc34)c5ccsc5)C(=O)N2)C1	CHEMBL573012	pKi=8.52
CO[C@@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(C)cc4F	CHEMBL3687472	pIC50=8.54
COC(=O)N[C@H]1[C@@H](C)CN(C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5(F)CCOCC5	CHEMBL3691982	pIC50=8.55
C[C@H]1C[C@H](C[C@@H](N)[C@H]1n2cc(nn2)C(=C)C)c3ccncc3NC(=O)c4ccc(F)c(n4)c5c(F)cccc5F	CHEMBL3691971	pIC50=8.55
Oc1cc(Cc2ccc(cc2)C#N)nc3c(cnn13)C(=O)Nc4c[nH]c5ncccc45	CHEMBL2387468	pKi=8.55
COC(=O)N[C@H]1[C@@H](C)CN(C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(OC)cc4F	CHEMBL3691957	pIC50=8.57
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1OCCS(=O)(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(OC5CCOCC5)cc4F	CHEMBL3691924	pIC50=8.57
CC(C)NC(=O)c1ccc(F)c(c1)c2ccc(N)c(n2)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@@H]([C@H](N)C4)n5ccnn5	CHEMBL3691980	pIC50=8.59
CO[C@@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3nc(ccc3N)c4cc(ccc4F)C(=O)NC(C)C	CHEMBL3687535	pIC50=8.59
CO[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3nc(ncc3N)c4c(F)cccc4F	CHEMBL3687489	pIC50=8.59
C[C@H]1CN(C[C@@H](N)[C@H]1NS(=O)(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687431	pIC50=8.59
C[C@H]1CN(C[C@@H](N)[C@H]1n2ccnn2)c3ccncc3NC(=O)c4csc(n4)c5c(F)cccc5F	CHEMBL3691915	pIC50=8.59
COCCOc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@H](OCCS(=O)(=O)C)[C@H](N)C4	CHEMBL3691914	pIC50=8.6
C[C@H]1C[C@H](C[C@@H](N)[C@H]1n2ccnn2)c3ccncc3NC(=O)c4ccc(F)c(n4)c5c(F)cccc5F	CHEMBL3687414	pIC50=8.6
Cn1ncc(NC(=O)c2nc(ccc2N)c3ccccc3F)c1N4CCC[C@@H](N)C4	CHEMBL3652625	pKi=8.6
C[C@H]1C[C@H](C[C@@H](N)[C@H]1OCCS(=O)(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5(F)CCOCC5	CHEMBL3691913	pIC50=8.61
C[C@H]1C[C@H](C[C@@H](N)[C@H]1S(=O)(=O)C)c2ccncc2NC(=O)c3nc(sc3N)c4c(F)cccc4F	CHEMBL3687525	pIC50=8.61
CO[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5(F)CCOCC5	CHEMBL3687506	pIC50=8.62
CCO[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687498	pIC50=8.63
CO[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5CCS(=O)(=O)CC5	CHEMBL3687504	pIC50=8.63
C[C@H]1C[C@H](C[C@@H](N)[C@H]1S(=O)(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5(O)CCC5	CHEMBL3687518	pIC50=8.63
CCO[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(C)cc4F	CHEMBL3687501	pIC50=8.65
CCOCc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@@H]([C@H](N)C4)n5ccnn5	CHEMBL3691939	pIC50=8.66
COC(=O)N[C@H]1[C@@H](C)CN(C[C@H]1N)c2ccncc2NC(=O)c3nc(ccc3N)c4cc(ccc4F)C(=O)NC(C)C	CHEMBL3639908	pIC50=8.66
CO[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(C)cc4F	CHEMBL3687512	pIC50=8.66
Cn1cc(cn1)c2cc3c(n[nH]c3cn2)c4cccc(n4)C5CCNCC5	CHEMBL3634768	pKi=8.66
O=C(Nc1c[nH]c2ncccc12)c3cnn4ccc(NCCc5ccccc5)nc34	CHEMBL2387469	pKi=8.66
COC(=O)N[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3nc(c(F)cc3N)c4c(F)cccc4F	CHEMBL3691959	pIC50=8.67
Cn1ncc(NC(=O)c2nc(cnc2N)c3ccccc3F)c1N4CCC[C@H](N)C4	CHEMBL3652630	pKi=8.67
C[C@H]1C[C@H](C[C@@H](N)[C@H]1n2ccnn2)c3ccncc3NC(=O)c4ccc(F)c(n4)c5c(F)cc(C)cc5F	CHEMBL3691965	pIC50=8.68
C[C@H]1CN(C[C@@H](N)[C@H]1n2ccnn2)c3ccncc3NC(=O)c4ccc(F)c(n4)c5c(F)cc(cc5F)C6(F)CCOCC6	CHEMBL3691935	pIC50=8.69
C[C@H]1C[C@H](C[C@@H](N)[C@H]1OCCC#N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5(O)CCC5	CHEMBL3691968	pIC50=8.69
CC(C)NC(=O)c1cccc2c3cnccc3c(Nc4ccccc4Cl)nc12	CHEMBL1915647	pIC50=8.7
CC1(C)C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(O)cc4F	CHEMBL3652016	pIC50=8.7
CCCCNc1nc2c(cccc2nc1C)c3cc4C(=O)NCCc4[nH]3	CHEMBL3809623	pIC50=8.7
CCCNc1nc2c(cccc2nc1C)c3cc4C(=O)NCCc4[nH]3	CHEMBL3808459	pIC50=8.7
CCNC(=O)c1cccc2c3cnccc3c(Nc4ccccc4Cl)nc12	CHEMBL1915646	pIC50=8.7
CN(C)CC1=Nc2c(sc3ccc(\C=C\C4CC4)cc23)C(=O)N1	CHEMBL576387	pKi=8.7
CN(C)CC1=Nc2c(sc3ccc(cc23)c4ccc(N)cc4)C(=O)N1	CHEMBL574169	pKi=8.7
CN(C)CC1=Nc2c(sc3ccc(cc23)c4ccc(OCC(O)CO)cc4)C(=O)N1	CHEMBL575463	pKi=8.7
CN(C)CC1=Nc2c(sc3ccc(cc23)c4ccsc4)C(=O)N1	CHEMBL575263	pKi=8.7
CNC(=O)c1cccc2c3cnccc3c(Nc4c(F)cccc4F)nc12	CHEMBL1914471	pIC50=8.7
CO[C@@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5(F)CCOCC5	CHEMBL3687536	pIC50=8.7
COc1cc(F)c(c(F)c1)c2cccc(n2)C(=O)Nc3cnccc3[C@H]4C[C@@H](N)C[C@H](C4)C(F)(F)F	CHEMBL3652003	pIC50=8.7
COc1ccc(F)c(c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)C[C@H](N)C4	CHEMBL3651941	pIC50=8.7
C[C@@H]1C[C@H](N)CN(C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676284	pIC50=8.7
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3651966	pIC50=8.7
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4cc(O)ccc4F	CHEMBL3651942	pIC50=8.7
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3nc(ccc3F)c4c(F)cc(O)cc4F	CHEMBL3651938	pIC50=8.7
C[C@H]1CN(C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)ccc(C)c4F	CHEMBL3651918	pIC50=8.7
C[C@H]1CN(C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4ccccc4F	CHEMBL3651921	pIC50=8.7
C[C@H]1CN(C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3cccc(n3)c4c(F)cccc4F	CHEMBL3651922	pIC50=8.7
C[C@H]1CN(C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3nc(ccc3F)c4c(F)cccc4F	CHEMBL3651920	pIC50=8.7
C[C@H]1CN(C[C@@H](O)[C@@H]1O)c2ccncc2NC(=O)c3cccc(n3)c4c(F)cccc4F	CHEMBL3652009	pIC50=8.7
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)ccc(C)c4F	CHEMBL3651940	pIC50=8.7
Cc1nc2cccc(c3cc4C(=O)NCCc4[nH]3)c2nc1Nc5ccccc5	CHEMBL3810085	pIC50=8.7
Clc1ccccc1Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5	CHEMBL2017323	pIC50=8.7
F[C@@H]1CNCC[C@H]1CNc2ccn3ncc(C(=O)Nc4c[nH]c5ncccc45)c3n2	CHEMBL2387479	pKi=8.7
Fc1ccc(Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5)c(F)c1	CHEMBL2017348	pIC50=8.7
Fc1ccccc1Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5	CHEMBL2017324	pIC50=8.7
N[C@H]1CCCN(C1)c2ccncc2NC(=O)c3nc(sc3N)c4c(F)cccc4F	CHEMBL3676285	pIC50=8.7
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)ccc(O)c4F	CHEMBL3652018	pIC50=8.7
O[C@H]1CCN(CC2=Nc3c(sc4ccc(cc34)c5ccc(O)cc5)C(=O)N2)C1	CHEMBL583187	pKi=8.7
Oc1ccc(Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5)c(Cl)c1	CHEMBL1915445	pIC50=8.7
C[C@H]1C[C@H](C[C@@H](N)C12OCCO2)c3ccncc3NC(=O)c4ccc(F)c(n4)c5c(F)cccc5F	CHEMBL3687452	pIC50=8.71
COC(=O)N[C@H]1[C@@H](C)CN(C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5(O)CCOCC5	CHEMBL3691961	pIC50=8.72
C[C@H]1CN(C[C@@H](N)[C@H]1n2ccnn2)c3ccncc3NC(=O)c4ccc(F)c(n4)c5c(F)cc(cc5F)C6(O)CCOCC6	CHEMBL3691944	pIC50=8.72
COc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@H](OCCS(=O)(=O)C)[C@H](N)C4	CHEMBL3691928	pIC50=8.73
C[C@H]1C[C@H](C[C@@H](N)[C@H]1OCCC#N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5COC5	CHEMBL3691947	pIC50=8.74
CCOCc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@H](OCCS(=O)(=O)C)[C@H](N)C4	CHEMBL3687534	pIC50=8.75
COc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3N4C[C@H](C)[C@@H]([C@H](N)C4)n5ccnn5	CHEMBL3691977	pIC50=8.75
COCc1cn(nn1)[C@H]2[C@@H](C)CN(C[C@H]2N)c3ccncc3NC(=O)c4ccc(F)c(n4)c5c(F)cccc5F	CHEMBL3687427	pIC50=8.76
CO[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5(O)CCC5	CHEMBL3687508	pIC50=8.76
CC(C)Oc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3N4C[C@H](C)[C@@H]([C@H](N)C4)n5ccnn5	CHEMBL3691931	pIC50=8.77
CCO[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3nc(sc3N)c4c(F)cccc4F	CHEMBL3687481	pIC50=8.77
C[C@H]1C[C@H](C[C@@H](N)[C@H]1n2ccnn2)c3ccncc3NC(=O)c4ccc(F)c(n4)c5c(F)cc(cc5F)C6(O)CCC6	CHEMBL3691956	pIC50=8.77
Fc1ccccc1c2n[nH]c3cnc(cc23)c4cnccc4O[C@@H]5CCCNC5	CHEMBL3634777	pKi=8.77
CCOCc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3N4C[C@H](C)[C@H](NC(=O)OC)[C@H](N)C4	CHEMBL3691986	pIC50=8.78
COC(=O)N[C@H]1[C@@H](C)CN(C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5COC5	CHEMBL3691946	pIC50=8.78
Cn1ncc(NC(=O)c2nc(ccc2N)c3ccccc3F)c1N4CCCC(N)CC4	CHEMBL3652627	pKi=8.78
CC(C)NC(=O)c1ccc(F)c(c1)c2ccc(N)c(n2)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@@H]([C@H](N)C4)S(=O)(=O)C	CHEMBL3687519	pIC50=8.79
C[C@H]1CN(C[C@@H](N)[C@H]1n2ccnn2)c3ccncc3NC(=O)c4nc(c(F)cc4N)c5c(F)cccc5F	CHEMBL3691978	pIC50=8.81
COC(=O)N(C)[C@H]1[C@@H](C)CN(C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(C)cc4F	CHEMBL3687468	pIC50=8.82
CO[C@@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5(O)CCOCC5	CHEMBL3639863	pIC50=8.82
CS(=O)(=O)c1ccc(c(F)c1)c2ccc3[nH]nc(c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2	CHEMBL3393719	pIC50=8.82
C[C@H]1CN(C[C@@H](N)[C@H]1n2cncn2)c3ccncc3NC(=O)c4ccc(F)c(n4)c5c(F)cccc5F	CHEMBL3687466	pIC50=8.82
C[C@H]1C[C@H](C[C@@H](N)[C@H]1Oc2ccccn2)c3ccncc3NC(=O)c4ccc(F)c(n4)c5c(F)cccc5F	CHEMBL3687532	pIC50=8.82
CCOCc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@@H](OC)[C@H](N)C4	CHEMBL3691920	pIC50=8.83
COCCOc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3C4C[C@H](C)[C@@H]([C@H](N)C4)n5ccnn5	CHEMBL3691916	pIC50=8.84
C[C@H]1C[C@H](C[C@@H](N)[C@H]1OCCS(=O)(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687487	pIC50=8.84
CO[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C(C)C	CHEMBL3687505	pIC50=8.86
C[C@H]1CN(C[C@@H](N)[C@H]1n2cc(C)nn2)c3ccncc3NC(=O)c4ccc(F)c(n4)c5c(F)cccc5F	CHEMBL3687420	pIC50=8.86
C[C@H]1C[C@H](C[C@@H](N)[C@H]1OCCS(=O)(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(C)cc4F	CHEMBL3687483	pIC50=8.86
CO[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C(C)(C)O	CHEMBL3687507	pIC50=8.88
Fc1cccc(F)c1c2ccc3[nH]cc(NC(=O)c4cnn5ccc(NCC6CCNCC6)nc45)c3c2	CHEMBL2387472	pKi=8.89
Fc1ccccc1c2ccc3[nH]nc(c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2	CHEMBL3393708	pIC50=8.89
Cn1cc(cn1)c2cc3c(n[nH]c3cn2)c4cccc(c4)N5CCC[C@@H](N)C5	CHEMBL3634759	pKi=8.9
CO[C@@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5(O)CCC5	CHEMBL3691922	pIC50=8.91
C[C@H]1CN(C[C@@H](N)[C@H]1n2ccnn2)c3ccncc3NC(=O)c4ccc(F)c(n4)c5c(F)cccc5F	CHEMBL3687418	pIC50=8.91
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1OCCS(=O)(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5(O)CCC5	CHEMBL3691923	pIC50=8.91
C[C@H]1C[C@H](C[C@@H](N)[C@H]1OCCS(=O)(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5(O)CCOCC5	CHEMBL3687527	pIC50=8.91
CC(C)NC(=O)c1ccc(F)c(c1)c2ccc(N)c(n2)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@H](OCCS(=O)(=O)C)[C@H](N)C4	CHEMBL3687537	pIC50=8.92
CCOCc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3N4C[C@H](C)[C@@H]([C@H](N)C4)n5ccnn5	CHEMBL3691941	pIC50=8.92
C[C@H]1C[C@H](C[C@@H](N)[C@H]1n2cncn2)c3ccncc3NC(=O)c4ccc(F)c(n4)c5c(F)cccc5F	CHEMBL3687459	pIC50=8.92
CC(C)Oc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@H](OCCS(=O)(=O)C)[C@H](N)C4	CHEMBL3691925	pIC50=8.93
CO[C@@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3nc(sc3N)c4c(F)cccc4F	CHEMBL3687479	pIC50=8.93
C[C@H]1CN(C[C@@H](N)[C@H]1n2cc(CO)nn2)c3ccncc3NC(=O)c4ccc(F)c(n4)c5c(F)cccc5F	CHEMBL3687476	pIC50=8.93
COc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@H](OCCC#N)[C@H](N)C4	CHEMBL3691949	pIC50=8.95
C[C@H]1C[C@H](C[C@@H](N)[C@H]1OCCC#N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687495	pIC50=8.95
COC(=O)N[C@H]1[C@@H](C)CN(C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(OC5CCOCC5)cc4F	CHEMBL3691943	pIC50=8.96
Fc1cccc(F)c1c2ccc3[nH]nc(c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2	CHEMBL3393706	pIC50=8.96
NC(=O)Nc1cc2c(n[nH]c2cn1)c3cccc(n3)N4CCNCC4	CHEMBL3634775	pKi=8.96
COC(=O)N(C)[C@H]1[C@@H](C)CN(C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687471	pIC50=8.97
CO[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5CCOCC5	CHEMBL3687509	pIC50=8.97
C[C@H]1C[C@H](C[C@@H](N)[C@H]1n2ccnn2)c3ccncc3NC(=O)c4nc(sc4N)c5c(F)cccc5F	CHEMBL3691938	pIC50=8.98
CO[C@@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(OC5CCOCC5)cc4F	CHEMBL3691921	pIC50=8.99
COc1cccc(Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5)c1Cl	CHEMBL1915633	pIC50=9.0
CSc1ncc2ccc3c(cn([C@@H]4CC[C@H](N)CC4)c3c2n1)C(=O)N	CHEMBL3703184	pIC50=9.0
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(O)cc4F	CHEMBL3652022	pIC50=9.0
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)ccc(O)c4F	CHEMBL3652019	pIC50=9.0
C[C@H]1CN(C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(O)cc4F	CHEMBL3651899	pIC50=9.0
C[C@H]1CN(C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3105022	pIC50=9.0
C[C@H]1CN(C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3nc(c(F)cc3N)c4c(F)cccc4F	CHEMBL3105021	pIC50=9.0
C[C@H]1CN(C[C@@H](O)[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3652010	pIC50=9.0
C[C@H]1C[C@H](C[C@@H](N)[C@H]1OCCC#N)c2ccncc2NC(=O)c3nc(sc3N)c4c(F)cccc4F	CHEMBL3687474	pIC50=9.0
C[C@H]1C[C@H](C[C@@H](O)[C@@H]1O)c2ccncc2NC(=O)c3nc(c(F)cc3N)c4c(F)cccc4F	CHEMBL3652015	pIC50=9.0
Cc1nc2cccc3c4cc5C(=O)NC[C@@H](C\C=C/CNc1nc23)c5[nH]4	CHEMBL3808445	pIC50=9.0
Cc1nc2cccc3c4cc5C(=O)NC[C@@H](C\C=C\CNc1nc23)c5[nH]4	CHEMBL3809044	pIC50=9.0
Fc1cccc(F)c1Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5	CHEMBL1915636	pIC50=9.0
N[C@@H]1C[C@@H](C[C@@H](C1)C(F)(F)F)c2ccncc2NC(=O)c3nc(c(F)cc3N)c4c(F)cccc4F	CHEMBL3652004	pIC50=9.0
N[C@@H]1C[C@@H](C[C@@H](C1)C(F)(F)F)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3652006	pIC50=9.0
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3nc(c(F)cc3N)c4c(F)cccc4F	CHEMBL3651994	pIC50=9.0
Nc1sc(nc1C(=O)Nc2cnccc2O[C@H]3CCNC3)c4c(F)cccc4F	CHEMBL3354518	pIC50=9.0
COC(=O)N[C@H]1[C@@H](C)CN(C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687491	pIC50=9.05
CO[C@@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3nc(c(F)cc3N)c4c(F)cccc4F	CHEMBL3691929	pIC50=9.05
O[C@H]1CCN(CC2=Nc3c(sc4ccc(\C=C\C5CC5)cc34)C(=O)N2)C1	CHEMBL573463	pKi=9.05
C[C@H]1CN(C[C@@H](N)[C@H]1n2ccnn2)c3ccncc3NC(=O)c4ccc(F)c(n4)c5c(F)cc(C)cc5F	CHEMBL3691945	pIC50=9.06
C[C@H]1CN(C[C@@H](N)[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687430	pIC50=9.07
COC(=O)N[C@H]1[C@@H](C)CN(C[C@H]1N)c2ccncc2NC(=O)c3nc(sc3N)c4c(F)cccc4F	CHEMBL3687482	pIC50=9.08
COC(=O)N[C@H]1[C@@H](C)CN(C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(C)cc4F	CHEMBL3687490	pIC50=9.09
COC(=O)N[C@H]1[C@@H](C)CN(C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5(O)CCC5	CHEMBL3691942	pIC50=9.09
COC(=O)N[C@H]1[C@@H](C)CN(C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(OC(C)C)cc4F	CHEMBL3691932	pIC50=9.1
CO[C@@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(OC(C)C)cc4F	CHEMBL3691926	pIC50=9.1
C[C@H]1CN(C[C@@H](N)[C@H]1n2ccnn2)c3ccncc3NC(=O)c4nc(sc4N)c5c(F)cccc5F	CHEMBL3691940	pIC50=9.11
C[C@H]1C[C@H](C[C@@H](N)[C@H]1OCCS(=O)(=O)C)c2ccncc2NC(=O)c3nc(sc3N)c4c(F)cccc4F	CHEMBL3691919	pIC50=9.11
C[C@H]1C[C@H](C[C@@H](N)[C@H]1n2ccnn2)c3ccncc3NC(=O)c4nc(c(F)cc4N)c5c(F)cccc5F	CHEMBL3691960	pIC50=9.11
CC(C)NC(=O)c1ccc(F)c(c1)c2ccc(N)c(n2)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@H](OCCC#N)[C@H](N)C4	CHEMBL3687521	pIC50=9.13
C[C@H]1CN(C[C@@H](N)[C@H]1N=[N+]=[N-])c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687497	pIC50=9.13
C[C@H]1C[C@H](C[C@@H](N)[C@H]1OCCC#N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5(F)CCOCC5	CHEMBL3691937	pIC50=9.13
Cn1cc(cn1)c2cc3c(n[nH]c3cn2)c4cccc(n4)N5CCC[C@@H](N)C5	CHEMBL3634756	pKi=9.14
Oc1ccc(c(F)c1)c2ccc3[nH]nc(c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2	CHEMBL3393717	pIC50=9.16
CS[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687443	pIC50=9.17
COC(=O)N[C@H]1[C@@H](C)CN(C[C@H]1N)c2ccncc2NC(=O)c3nc(c(F)cc3N)c4c(F)cccc4F	CHEMBL3691958	pIC50=9.19
Fc1cccc(F)c1c2cnc3[nH]cc(NC(=O)c4cnn5ccc(OCC6CCNCC6)nc45)c3c2	CHEMBL2387475	pKi=9.19
C[C@H]1C[C@H](C[C@@H](N)[C@H]1OCCC#N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(C)cc4F	CHEMBL3687493	pIC50=9.2
CO[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3nc(sc3N)c4c(F)cccc4F	CHEMBL3687492	pIC50=9.21
CS(=O)(=O)Nc1ccc(c(F)c1)c2ccc3[nH]nc(c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2	CHEMBL3393720	pIC50=9.22
NC(=O)c1ccc(c(F)c1)c2ccc3[nH]nc(c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2	CHEMBL3393718	pIC50=9.22
