CCOC1=CC2=C(C=C1)N=C(S2)S(N)(=O)=O	ethoxzolamide	pKi=8.6	pKi=8.6	pKi=8.6	pKi=7.6
NCCCCNCCCN	CHEMBL19612	pKi=6.0
NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccc(NC(=O)CCC(=O)O)cc2)s1	CHEMBL3823618	pKi=8.36
COc1ccc(CCNC(=O)c2ccc(cc2)S(=O)(=O)N)cc1OC	CHEMBL2048917	pKi=8.37
Cc1ccc(cc1)S(=O)(=O)NC(=O)Nc2ccc(cc2)S(=O)(=O)N	CHEMBL78755	pKi=8.39
NS(=O)(=O)c1ccc(cc1)c2ccc(cc2)C(O)c3ccc(cc3)C(=O)O	CHEMBL3632839	pKi=8.4
NS(=O)(=O)c1nnc(NC(=O)CCC(=O)O)s1	CHEMBL88115	pKi=8.4
NS(=O)(=O)c1ccc(Nc2nc(Cl)nc(NCCO)n2)cc1	CHEMBL1738787	pKi=8.42
NS(=O)(=O)c1ccc(cc1)c2ccc(Cc3ccc(cc3)[N+](=O)[O-])cc2	CHEMBL3632843	pKi=8.43
Nc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N	CHEMBL3632831	pKi=8.43
NS(=O)(=O)c1ccc(cc1)c2ccc(cc2)C(=O)c3ccc(cc3)[N+](=O)[O-]	CHEMBL3632841	pKi=8.44
NS(=O)(=O)c1ccc2CC(Cc2c1)NC(=O)c3ccc(Cl)cc3	CHEMBL364127	pKi=8.57
CCCCCCCCCC(=O)NC1Cc2ccc(cc2C1)S(=O)(=O)N	CHEMBL208532	pKi=8.66
NS(=O)(=O)c1c(F)c(F)c(SCCO)c(F)c1F	CHEMBL2333416	pKd=8.89
NS(=O)(=O)c1ccc(cc1)c2ccc(cc2)C(=O)c3ccc(cc3)C(=O)O	CHEMBL3632838	pKi=9.03
NS(=O)(=O)c1ccc(Nc2nc(NCCC(=O)O)nc(NCCC(=O)O)n2)cc1	CHEMBL1813208	pKi=9.04
Nc1c(F)cc(cc1Cl)S(=O)(=O)Nc2nnc(s2)S(=O)(=O)N	CHEMBL71611	pKi=9.05
NS(=O)(=O)c1ccc(cc1)c2ccc(Cc3ccc(cc3)C(=O)O)cc2	CHEMBL3632840	pKi=9.08
NS(=O)(=O)c1ccc(cc1)c2ccc(cc2)C(=O)c3ccccc3	CHEMBL3632832	pKi=9.08
NS(=O)(=O)c1ccc(cc1)c2ccc(cc2)C(O)c3ccccc3	CHEMBL3632833	pKi=9.11
NS(=O)(=O)c1ccc(cc1)c2ccc(cc2)C(=O)O	CHEMBL3632827	pKi=9.13
NS(=O)(=O)c1ccc(cc1)c2ccc(cc2)C(=O)NCCO	CHEMBL3632829	pKi=9.16
COC(=O)c1ccc(cc1)c2ccc(cc2)S(=O)(=O)N	CHEMBL3632825	pKi=9.17
Nc1ccc(Cc2ccc(cc2)c3ccc(cc3)S(=O)(=O)N)cc1	CHEMBL3632845	pKi=9.17
NS(=O)(=O)c1ccc2CC(Cc2c1)NC(=O)c3c(F)c(F)cc(F)c3F	CHEMBL186963	pKi=9.33
COC(=O)c1ccc(cc1)C(O)c2ccc(cc2)c3ccc(cc3)S(=O)(=O)N	CHEMBL3632836	pKi=9.38
NS(=O)(=O)c1ccc(cc1)c2ccc(cc2)[N+](=O)[O-]	CHEMBL3632830	pKi=9.39
CC(C)(C)OC(=O)c1ccc(cc1)c2ccc(cc2)S(=O)(=O)N	CHEMBL3632826	pKi=9.47
Nc1ccc(cc1)C(=O)c2ccc(cc2)c3ccc(cc3)S(=O)(=O)N	CHEMBL3632844	pKi=9.59
NS(=O)(=O)c1c(F)c(F)c(c(NC2CCCCCCC2)c1F)S(=O)(=O)CCO	CHEMBL3359181	pKd=9.8
