NS(=O)(=O)C1=CC(Cl)=C(Cl)C(=C1)S(N)(=O)=O	dichlorphenamide	pKi=7.301	pKi=7.301	pKi=7.301	pKi=7.25
CC(=O)Nc1nnc(s1)S(=O)(=O)N	acetazolamide	pKi=8.6	pKi=8.6	pKi=8.6	pKd=6.48
CCOC1=CC2=C(C=C1)N=C(S2)S(N)(=O)=O	ethoxzolamide	pKi=7.66	pKi=7.66	pKi=7.66	pKi=7.25
CC(C)CSc1cc2NCNS(=O)(=O)c2cc1S(=O)(=O)N	CHEMBL385451	pKi=6.0
NS(=O)(=O)OC1CCN(CC1)S(=O)(=O)[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O	CHEMBL3342256	pKi=7.07
NS(=O)(=O)Oc1ccc(NC(=O)N2CCN(CC2)c3ccc(Cl)cc3)cc1	CHEMBL3601533	pKi=7.07
NS(=O)(=O)c1ccc(CCNCc2cc(Br)cc(Br)c2O)cc1	CHEMBL3423260	pKi=7.07
NS(=O)(=O)c1cccc(c1)c2cn(nn2)[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O	CHEMBL3092939	pKi=7.07
Nc1ccc(cc1)S(=O)(=O)Nc2nnc(s2)S(=O)(=O)N	CHEMBL268439	pKi=7.07
Nc1ccccc1S(=O)(=O)N	CHEMBL6705	pKi=7.07
O=C1N=C(Nc2ccc(cc2)S(=O)(=O)Nc3ncccn3)S/C/1=C/C4=COc5ccccc5C4=O	CHEMBL3416237	pKi=7.07
CCOc1ccc(cc1c2nnc3c(n2)c(C)nn3c4ccc(C)cc4)S(=O)(=O)NC[C@H](C)O	CHEMBL3585752	pKi=7.08
COc1ccc2NC(=O)\C(=N/NC(=O)c3cnn(c3N)c4ccc(cc4)S(=O)(=O)N)\c2c1	CHEMBL3633552	pKi=7.08
COc1cccc(\C=C\C(=O)C[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c1	CHEMBL3329929	pKi=7.08
Cc1cc(c(SCc2ccc(cc2)C(F)(F)F)cc1Cl)S(=O)(=O)NC(=N)Nc3ccccc3S(=O)(=O)N	CHEMBL3104057	pKi=7.08
NS(=O)(=O)c1ccc(CNS(=O)(=O)c2ccccc2)cc1	CHEMBL23238	pKi=7.08
NS(=O)(=O)c1ccc(OCCCO[N+](=O)[O-])cc1	CHEMBL1777820	pKi=7.08
NS(=O)(=O)c1ccc(cc1)n2nc(cc2c3ccccc3)C(=O)N\N=C\4/C(=O)Nc5ccc(Br)cc45	CHEMBL3633381	pKi=7.08
NS(=O)(=O)c1ccc2nc(sc2c1)n3cc(\C=N\O)c(n3)c4ccc(F)cc4	CHEMBL3356277	pKi=7.08
CC(=O)O[C@H]1COC(NS(=O)(=O)NO)C=C1	CHEMBL3343180	pKi=7.09
CCB(CC)OC(=O)[C@@H](N)CCCCNC(=S)Nc1ccc(cc1Br)S(=O)(=O)N	CHEMBL1797789	pKi=7.09
CCOc1ccc(cc1c2nnc3c(n2)c(C)nn3c4ccc(Cl)cc4)S(=O)(=O)N5CCN(C)CC5	CHEMBL3585757	pKi=7.09
COc1ccc(\C=C\C(=O)C[C@@H]2O[C@H](COC(=O)C)[C@H](OC(=O)C)[C@H](OC(=O)C)[C@H]2OC(=O)C)cc1OC	CHEMBL3329925	pKi=7.09
Cc1cc(ccc1F)c2cn(nn2)c3ccc4C(=O)NS(=O)(=O)c4c3	CHEMBL3233392	pKi=7.09
NS(=O)(=O)C1=CN(CC(=O)NS(=O)(=O)c2ccc(cc2)[N+](=O)[O-])C=CC1=O	CHEMBL2203348	pKi=7.09
NS(=O)(=O)C1=CN(CC2=Nc3ccccc3C(=O)N2c4ccccc4)C=CC1=O	CHEMBL2203352	pKi=7.09
NS(=O)(=O)C1=CN(CC2CC2)C=CC1=O	CHEMBL2208442	pKi=7.09
NS(=O)(=O)c1ccc(CCNc2nc(Cl)nc(NC(Cc3ccc(O)c(O)c3)C(=O)O)n2)cc1	CHEMBL1813217	pKi=7.09
NS(=O)(=O)c1ccc(NC(=S)N[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)cc1	CHEMBL1956771	pKi=7.09
NS(=O)(=O)c1ccc(cc1)c2c(no[n+]2[O-])[N+](=O)[O-]	CHEMBL3309366	pKi=7.09
NS(=O)(=O)c1ccc(cc1)c2ccc(cc2)C(O)c3ccccc3	CHEMBL3632833	pKi=7.09
NS(=O)(=O)c1ccc2NCCCc2c1	CHEMBL2333965	pKi=7.09
CC(=O)Cc1nc2c3c(cn(c4ccc(cc4)S(=O)(=O)N)c3ncn2n1)c5ccc(Br)cc5	CHEMBL3298349	pKi=7.1
CC(F)(F)CNS(=O)(=O)c1ccc(N)cc1	CHEMBL2333973	pKi=7.1
CCB(CC)OC(=O)[C@@H](N)CCCCNC(=S)Nc1ccc(cc1F)S(=O)(=O)N	CHEMBL1797788	pKi=7.1
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)N[C@@H](CS)C(=O)N	CHEMBL3604514	pKi=7.1
CCOC1Oc2ccccc2C(=O)/C/1=C/Nc3ccc(cc3)S(=O)(=O)Nc4nc(C)cc(C)n4	CHEMBL3416228	pKi=7.1
CCOc1ccc(cc1c2nnc3c(n2)c(C)nn3c4ccc(c(Cl)c4)S(=O)(=O)N5CCN(C)CC5)S(=O)(=O)N6CCN(C)CC6	CHEMBL3585756	pKi=7.1
COc1ccc2cc(\C=C\C(=O)C[C@@H]3O[C@H](COC(=O)C)[C@H](OC(=O)C)[C@H](OC(=O)C)[C@H]3OC(=O)C)ccc2c1	CHEMBL3329926	pKi=7.1
Cc1ccc(cc1)S(=O)(=O)NNC(=O)CN2C=CC(=O)C(=C2)S(=O)(=O)N	CHEMBL2203349	pKi=7.1
Cc1ccc(cc1)S(=O)(=O)Nc2c(C#N)c(cn2c3ccc(cc3)S(=O)(=O)N)c4ccc(Br)cc4	CHEMBL3342495	pKi=7.1
Cc1ccc2C(=O)N(C(=O)c2c1)c3ccc(cc3)C(=O)O	CHEMBL2377789	pKi=7.1
NOS(=O)(=O)NC1O[C@H](CO)[C@H](O)C=C1	CHEMBL3609437	pKi=7.1
NS(=O)(=O)Nc1ccc(cc1)S(=O)(=O)Nc2nnc(s2)S(=O)(=O)N	CHEMBL2164735	pKi=7.1
NS(=O)(=O)c1ccc(CC\N=C(\S)/Nc2ccc(cc2)S(=O)(=O)N)cc1	CHEMBL365558	pKi=7.1
NS(=O)(=O)c1ccc(CNc2nc(Cl)nc(NC(Cc3ccc(O)c(O)c3)C(=O)O)n2)cc1	CHEMBL1813216	pKi=7.1
Nc1ccc(cc1)S(=O)(=O)N(CC(=C)Cl)CC(=C)Cl	CHEMBL2333977	pKi=7.1
CCB(CC)OC(=O)[C@@H](N)CCCCNC(=S)Nc1ccc(cc1Cl)S(=O)(=O)N	CHEMBL1797787	pKi=7.11
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)N[C@@H](CO)C(=O)N	CHEMBL3604509	pKi=7.11
CCC[C@H](C(=O)Nc1ccc(cc1)S(=O)(=O)N)C(C)(C)C	CHEMBL2430111	pKi=7.11
CCOc1ccc(cc1c2nnc3c(n2)c(C)nn3c4ccc(C)cc4)S(=O)(=O)N	CHEMBL3585749	pKi=7.11
CCOc1ccc(cc1c2nnc3c(n2)c(C)nn3c4ccc(C)cc4)S(=O)(=O)N5CCN(C)CC5	CHEMBL3585750	pKi=7.11
CCOc1ccc(cc1c2nnc3c(n2)c(C)nn3c4ccc(C)cc4)S(=O)(=O)NC[C@@H](C)O	CHEMBL3585753	pKi=7.11
CCOc1ccc(cc1c2nnc3c(n2)c(C)nn3c4ccc(C)cc4)S(=O)(=O)N[C@@H](C)CC	CHEMBL3585754	pKi=7.11
COc1ccc2C(=CC(=O)Oc2c1)CC(=O)NNc3ccc(cc3)S(=O)(=O)N	CHEMBL478669	pKi=7.11
NS(=O)(=O)Oc1ccc(NC(=O)Nc2cccc(Oc3ccccc3)c2)cc1	CHEMBL2047823	pKi=7.11
NS(=O)(=O)c1c(F)c(F)c(c(F)c1F)S(=O)(=O)CCc2ccccc2	CHEMBL2333407	pKd=7.11
NS(=O)(=O)c1ccc(cc1)c2ccc(Cc3ccccc3)cc2	CHEMBL3632834	pKi=7.11
NS(=O)(=O)c1ccc(cc1)c2nonc2[N+](=O)[O-]	CHEMBL3309365	pKi=7.11
Oc1ccc(NC(P(=O)(O)O)P(=O)(O)O)cc1	CHEMBL2440438	pIC50=7.11
CC(=O)Nc1ccc(Nc2ccc(cc2)S(=O)(=O)N)cc1	CHEMBL193825	pKi=7.12
CC(=O)OC[C@H]1OC(NS(=O)(=O)NO)C=C[C@@H]1OC(=O)C	CHEMBL3343177	pKi=7.12
CC(=O)O[C@@H]1[C@@H](COP(=O)(OCCSC(=O)C(C)(C)C)OCCSC(=O)C(C)(C)C)O[C@H]([C@H](OC(=O)C)[C@H]1OC(=O)C)n2cc(nn2)c3ccc(cc3)S(=O)(=O)N	CHEMBL3613284	pKi=7.12
CCOC(=O)CN1C(=O)c2ccccc2S1(=O)=O	CHEMBL3125563	pKi=7.12
COc1ccc(cc1)c2ccc(cc2)S(=O)(=O)NC(P(=O)(O)O)P(=O)(O)O	CHEMBL3291012	pIC50=7.12
NS(=O)(=O)C1=CN(CC(=O)NNC(=O)c2occc2)C=CC1=O	CHEMBL2203350	pKi=7.12
NS(=O)(=O)c1ccc(Nc2ncc3CSc4ccccc4c3n2)cc1	CHEMBL3753359	pKi=7.12
NS(=O)(=O)c1ccc(cc1)C#Cc2cccc(F)c2	CHEMBL1836403	pKi=7.12
NS(=O)(=O)c1ccc(cc1)c2cn(nn2)[C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@H]3O	CHEMBL3613286	pKi=7.12
NS(=O)(=O)c1cnccc1N2CCN(Cc3ccc4OCOc4c3)CC2	CHEMBL2436868	pKi=7.12
[K+].[S-]C(=S)OC1CCCCC1	CHEMBL2380744	pKi=7.12
CC(F)CNc1ccc(cc1)S(=O)(=O)N	CHEMBL2333966	pKi=7.13
CCN(c1ccccc1)c2nc(N)nc(CN3C=CC(=O)C(=C3)S(=O)(=O)N)n2	CHEMBL2208445	pKi=7.13
COC(=O)CCNS(=O)(=O)NCc1ccc(F)cc1	CHEMBL3752196	pKi=7.13
COc1ccc2NC(=O)\C(=N/NC(=O)c3cnn(c4ccc(cc4)S(=O)(=O)N)c3c5ccccc5)\c2c1	CHEMBL3633386	pKi=7.13
NS(=O)(=O)C1=CN(C=CC1=O)c2ccc(c3nonc23)[N+](=O)[O-]	CHEMBL1242891	pKi=7.13
NS(=O)(=O)C1=CN(CC(=O)NS(=O)(=O)c2ccc(Cl)cc2)C=CC1=O	CHEMBL2203347	pKi=7.13
NS(=O)(=O)c1ccc(cc1)n2ncc(C(=O)N\N=C\3/C(=O)Nc4ccccc34)c2c5ccccc5	CHEMBL3633383	pKi=7.13
NS(=O)(=O)c1ccc2nc(sc2c1)n3cc(C=O)c(n3)c4ccc(cc4)[N+](=O)[O-]	CHEMBL3356262	pKi=7.13
[K+].[S-]C(=S)OC1CCCC1	CHEMBL2380743	pKi=7.13
Brc1ccc(cc1)c2nn(cc2c3nc4ccccc4[nH]3)c5ccccc5	CHEMBL3809848	pKi=7.14
CC1=NN(c2nc(N)nc(CN3C=CC(=O)C(=C3)S(=O)(=O)N)n2)C(C)(C)C1	CHEMBL2203351	pKi=7.14
CCC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)CC)[C@@H](OC(=O)CC)[C@@H]1OC(=O)CC)n2cc(nn2)c3cccc(c3)S(=O)(=O)N	CHEMBL3092938	pKi=7.14
CCCC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)CCC)[C@@H](OC(=O)CCC)[C@@H]1OC(=O)CCC)n2cc(nn2)c3cccc(c3)S(=O)(=O)N	CHEMBL3092936	pKi=7.14
COc1ccc(\C=C\C(=O)C[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1OC	CHEMBL562109	pKi=7.14
NS(=O)(=O)c1ccc(NC(=O)Cc2ccc(Cl)cc2)cc1	CHEMBL2402766	pKi=7.14
NS(=O)(=O)c1ccc(OCc2no[n+]([O-])c2c3ccccc3)cc1	CHEMBL3309374	pKi=7.14
Nc1nc(CN2C=CC(=O)C(=C2)S(=O)(=O)N)nc(n1)N3CCOCC3	CHEMBL2203339	pKi=7.14
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)NCc2ccccc2	CHEMBL3586217	pKi=7.15
CCOC(=O)CN1C=CC(=O)C(=C1)S(=O)(=O)N	CHEMBL2208441	pKi=7.15
CCOc1ccc(cc1c2nnc3c(n2)c(C)nn3c4ccc(C)cc4)S(=O)(=O)N[C@H](C)CC	CHEMBL3585755	pKi=7.15
Cc1ccc(cc1)N2C(=Nc3ccccc3C2=O)CN4C=CC(=O)C(=C4)S(=O)(=O)N	CHEMBL2203353	pKi=7.15
NS(=O)(=O)c1ccc(NC(=O)Cc2ccccc2)cc1	CHEMBL574782	pKi=7.15
NS(=O)(=O)c1ccc(OCc2nonc2c3ccccc3)cc1	CHEMBL3309373	pKi=7.15
NS(=O)(=O)c1ccc(cc1)c2ccc(cc2)C(=O)c3ccc(cc3)[N+](=O)[O-]	CHEMBL3632841	pKi=7.15
NS(=O)(=O)c1cccc(c1)N2S(=O)(=O)c3ccccc3S2(=O)=O	CHEMBL2332771	pKi=7.15
Nc1nn2cnc3c(c(cn3c4ccc(cc4)S(=O)(=O)N)c5ccc(Br)cc5)c2c1C#N	CHEMBL3298346	pKi=7.15
CC1=CC(=O)Oc2cc(NC(=O)NS(=O)(=O)c3ccccc3)ccc12	CHEMBL3354137	pKi=7.16
CNc1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)N	CHEMBL571371	pKi=7.16
NS(=O)(=O)Oc1ccc(NC(=O)Nc2ccccc2Oc3ccccc3)cc1	CHEMBL2047822	pKi=7.16
NS(=O)(=O)c1ccc(cc1)n2cc3CSc4cc(Cl)ccc4c3n2	CHEMBL3752378	pKi=7.16
CC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1OC(=O)C)n2cc(nn2)c3ccc(cc3)S(=O)(=O)N	CHEMBL269852	pKi=7.17
Cc1cc(c(SCc2cccc(c2)C(F)(F)F)cc1Cl)S(=O)(=O)NC(=N)Nc3ccc(cc3)S(=O)(=O)N	CHEMBL3104049	pKi=7.17
NS(=O)(=O)C1=CN(CC2=Nc3ccccc3C(=O)N2c4ccc(Cl)cc4)C=CC1=O	CHEMBL2203354	pKi=7.17
NS(=O)(=O)c1ccc(NC(=O)Nc2ccccc2)cc1	CHEMBL25600	pKi=7.17
NS(=O)(=O)c1ccc(NS(=O)(=O)c2ccccc2)cc1	CHEMBL23796	pKi=7.17
OC[C@H]1OC(NS(=O)(=O)NO)C=C[C@H]1O	CHEMBL3343323	pKi=7.17
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)NCCN2CCCCC2	CHEMBL3586215	pKi=7.18
NS(=O)(=O)C1=CN(CCCC#N)C=CC1=O	CHEMBL2208440	pKi=7.18
NS(=O)(=O)c1ccc(cc1)n2cc3CNc4ccccc4c3n2	CHEMBL3753927	pKi=7.18
NS(=O)(=O)c1ccc(cc1)n2nc(cc2c3ccccc3)C(=O)N\N=C\4/C(=O)Nc5ccc(Cl)cc45	CHEMBL3633380	pKi=7.18
[Na+].[Na+].[O-]C(=O)[C@@H]1CCCN(C1)C(=S)[S-]	CHEMBL3400807	pKi=7.18
CC1=CC(=C\C(=N/O)\O1)C	CHEMBL1956578	pKi=7.19
COC(=O)CCNS(=O)(=O)NCCc1ccccc1	CHEMBL3752390	pKi=7.19
COc1ccc(cc1)c2nn(cc2C(=O)O)c3nc4ccc(cc4s3)S(=O)(=O)N	CHEMBL3356264	pKi=7.19
NCCCN1CCN(CCCN\N=C(/S)\NCCc2ccc(cc2)S(=O)(=O)N)CC1	CHEMBL180675	pKi=7.19
NS(=O)(=O)Oc1ccc(NC(=O)N2CCN(CC2)c3ccc(F)cc3)cc1	CHEMBL3601532	pKi=7.19
NS(=O)(=O)c1cc(cs1)c2oc(nc2)C(=O)N3CCCC3	CHEMBL3608893	pKi=7.19
NS(=O)(=O)c1ccc(NC(=O)Cn2ccnc2[N+](=O)[O-])cc1	CHEMBL3087315	pKi=7.19
NS(=O)(=O)c1ccc(NC(=O)NC(c2ccccc2)c3ccccc3)cc1	CHEMBL1643290	pKi=7.19
NS(=O)(=O)c1ccc(NC(=O)Nc2ccccc2c3ccccc3)cc1	CHEMBL1643303	pKi=7.19
NS(=O)(=O)c1ccc(cc1)c2ccc3[nH]ccc3c2	CHEMBL3764718	pKi=7.19
OP(=O)(O)C(NS(=O)(=O)c1ccc(cc1)c2ccc(cc2)[N+](=O)[O-])P(=O)(O)O	CHEMBL3291013	pIC50=7.19
COC(=O)c1ccccc1NC(=O)CN2C=CC(=O)C(=C2)S(=O)(=O)N	CHEMBL2203344	pKi=7.2
COC(=O)c1cn(nn1)c2ccc(cc2)S(=O)(=O)N	CHEMBL3326406	pKi=7.2
COc1ccc(cc1S(=O)(=O)N)c2oc(nc2)C3CCC3	CHEMBL3608880	pKi=7.2
COc1ccc2C(=CC(=O)Oc2c1)CC(=O)Nc3ccc(cc3)S(=O)(=O)N	CHEMBL477822	pKi=7.2
Cc1cc(c(SCc2ccccc2)cc1Cl)S(=O)(=O)NC(=N)Nc3ccccc3S(=O)(=O)N	CHEMBL3104366	pKi=7.2
Cc1ccc2c(NCc3cn(nc23)c4ccc(cc4)S(=O)(=O)N)c1	CHEMBL3752602	pKi=7.2
NS(=O)(=O)c1ccc(NC(=O)N2CCN(CCO)CC2)cc1	CHEMBL3609195	pKi=7.2
NS(=O)(=O)c1ccc(cc1)c2nnc3SCC(=Nn23)c4ccc(cc4)[N+](=O)[O-]	CHEMBL3121759	pKi=7.2
[K+].[S-]C(=S)OCC(c1ccccc1)c2ccccc2	CHEMBL2380750	pKi=7.2
CC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)C)[C@@H](OC(=O)C)[C@H]1OC(=O)C)n2cc(nn2)c3cccc(c3)S(=O)(=O)N	CHEMBL3092814	pKi=7.21
CC(C)CC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)CC(C)C)[C@@H](OC(=O)CC(C)C)[C@@H]1OC(=O)CC(C)C)n2cc(nn2)c3cccc(c3)S(=O)(=O)N	CHEMBL3092934	pKi=7.21
CCCC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)CCC)[C@@H](OC(=O)CCC)[C@H]1OC(=O)CCC)n2cc(nn2)c3cccc(c3)S(=O)(=O)N	CHEMBL3092812	pKi=7.21
CCOC1Oc2ccccc2C(=O)/C/1=C/Nc3ccc(cc3)S(=O)(=O)Nc4ccccn4	CHEMBL2408560	pKi=7.21
COc1ccccc1NC(=O)Nc2ccc(cc2)S(=O)(=O)N	CHEMBL1643294	pKi=7.21
NS(=O)(=O)C1=CN(CC(=O)Nc2cccc(c2)[N+](=O)[O-])C=CC1=O	CHEMBL2203372	pKi=7.21
NS(=O)(=O)Nc1ccc(cc1)S(=O)(=O)Nc2ccc(cc2)S(=O)(=O)N	CHEMBL2164732	pKi=7.21
OP(=O)(O)C(NS(=O)(=O)c1ccc(Br)cc1)P(=O)(O)O	CHEMBL3291002	pIC50=7.21
CC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1OC(=O)C)S(=O)(=O)N2CCC(CC2)OS(=O)(=O)N	CHEMBL3342250	pKi=7.22
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)O	CHEMBL3604407	pKi=7.22
COC(=O)CCNS(=O)(=O)NC12CC3CC(CC(C3)C1)C2	CHEMBL3754723	pKi=7.22
Cc1cccc(c1)n2nnnc2c3ccc4OS(=O)(=O)C=Cc4c3	CHEMBL3114097	pKi=7.22
NS(=O)(=O)c1ccc(cc1)n2cc(c3ccc(Br)cc3)c4C(=S)NC(=S)Nc24	CHEMBL3342498	pKi=7.22
Oc1cc(O)c2C(=O)C=C(Oc2c1)c3ccc(O)c(O)c3	CHEMBL151	pKi=7.22
CC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1O[C@H]2O[C@H](COC(=O)C)[C@@H](OC(=O)C)[C@H](OC(=O)C)[C@H]2OC(=O)C)S(=O)(=O)Cc3nnn(c3I)c4ccc(cc4)S(=O)(=O)N	CHEMBL1836627	pKi=7.23
CC(C)(C)Nc1c(F)c(c(F)c(F)c1S(=O)(=O)CCc2ccccc2)S(=O)(=O)N	CHEMBL3798473	pKd=7.23
CCOc1ccc(cc1c2nnc3c(n2)c(C)nn3C)S(=O)(=O)NCCN4CCOCC4	CHEMBL3261394	pKi=7.23
COC(=O)c1cn(nn1)c2c(F)c(F)c(c(F)c2F)S(=O)(=O)N	CHEMBL3326416	pKi=7.23
COc1ccc(cc1Cl)n2cc(nn2)c3ccc(s3)S(=O)(=O)N	CHEMBL2414073	pKi=7.23
NS(=O)(=O)Oc1ccc(NC(=O)NC(c2ccccc2)c3ccccc3)cc1	CHEMBL2047830	pKi=7.23
NS(=O)(=O)c1ccc(CNC(=O)CCCNC(=O)NCc2ccccc2)cc1	CHEMBL3360588	pKi=7.23
NS(=O)(=O)c1ccc(cc1)C#Cc2cccc(O)c2	CHEMBL1836402	pKi=7.23
NS(=O)(=O)c1ccc(cc1)\N=C\c2ccc(Br)cc2O	CHEMBL3343261	pKi=7.23
CCOc1ccc(cc1c2nnc3c(n2)c(C)nn3C)S(=O)(=O)NCCN	CHEMBL3261393	pKi=7.24
Cc1cccc(c1)c2cn(nn2)c3ccc4C(=O)NS(=O)(=O)c4c3	CHEMBL3233389	pKi=7.24
NC(=O)c1cn(nc1c2ccc(cc2)[N+](=O)[O-])c3ccc(cc3)S(=O)(=O)N	CHEMBL3126812	pKi=7.24
NNc1ccccc1S(=O)(=O)N	CHEMBL176495	pKi=7.24
NOS(=O)(=O)NC1O[C@H](CO)[C@@H](O)C=C1	CHEMBL3608320	pKi=7.24
NS(=O)(=O)C1=CN(CCO)C=CC1=O	CHEMBL2208439	pKi=7.24
NS(=O)(=O)Nc1ccc(cc1)S(=O)(=O)N	CHEMBL2164729	pKi=7.24
NS(=O)(=O)c1ccc(\N=C\c2ccccc2)c(F)c1	CHEMBL3343264	pKi=7.24
NS(=O)(=O)c1cccc(c1)C#Cc2cccc(F)c2	CHEMBL1836407	pKi=7.24
OC(=O)c1cc(I)ccc1NC(=O)c2ccc3C(=O)OC(=O)c3c2	CHEMBL3740937	pKi=7.24
CCC(=O)Nc1ccc(cc1)S(=O)(=O)N	CHEMBL278395	pKi=7.25
C[C@@H]1OC(NS(=O)(=O)ON)C=C[C@H]1O	CHEMBL3609440	pKi=7.25
Cc1nn(c(Cl)c1C2CC(=NN2c3ccc(cc3)S(=O)(=O)N)c4ccc(Cl)cc4)c5ccc(cc5)S(=O)(=O)N	CHEMBL3601394	pKi=7.25
NS(=O)(=O)c1ccc(CNc2nc(Cl)nc(Cl)n2)cc1	CHEMBL187901	pKi=7.25
NS(=O)(=O)c1ccc(cc1)c2nnc3sc(nn23)c4ccc(Br)cc4	CHEMBL3121765	pKi=7.25
NS(=O)(=O)c1ccc(cc1)n2cc(CS(=O)(=O)[C@@H]3O[C@H](CO)[C@@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)nn2	CHEMBL1836633	pKi=7.25
Nc1c(cnn1c2ccc(cc2)S(=O)(=O)N)C(=O)N\N=C\3/C(=O)Nc4ccc(Br)cc34	CHEMBL3633551	pKi=7.25
OC(=O)c1ccc(cc1)N2C(=O)c3ccc(cc3C2=O)C(=O)Nc4ccccc4C(=O)O	CHEMBL3740170	pKi=7.25
Oc1ccc(cc1)C2=COc3cc(O)ccc3C2=O	CHEMBL8145	pKi=7.25
CC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1OC(=O)C)n2cc(nn2)c3cccc(c3)S(=O)(=O)N	CHEMBL3092937	pKi=7.26
COc1ccc2C(=CC(=O)Oc2c1)CC(=O)Nc3cccc(c3)S(=O)(=O)N	CHEMBL492022	pKi=7.26
CSc1nc(N)n(n1)c2ccncc2S(=O)(=O)N	CHEMBL2436875	pKi=7.26
Cc1ccc(cc1)c2nn(cc2\C=N/Nc3nc(cs3)C4=Cc5ccccc5OC4=O)c6ccc(cc6)S(=O)(=O)N	CHEMBL3805080	pKi=7.26
NS(=O)(=O)c1ccc(CCO)cc1	CHEMBL6784	pKi=7.26
NS(=O)(=O)c1ccc(CC\N=C\c2c[nH]c3ccc(Br)cc23)cc1	CHEMBL3343276	pKi=7.26
NS(=O)(=O)c1ccc(NC(=O)Nc2ccc3c(Cc4ccccc34)c2)cc1	CHEMBL1643305	pKi=7.26
NS(=O)(=O)c1ccc(cc1)c2cccc(c2)c3ccc(cc3)S(=O)(=O)N	CHEMBL3763625	pKi=7.26
[Na+].NS(=O)(=O)c1ccc(CC\N=C\c2oc(cc2)S(=O)(=O)[O-])cc1	CHEMBL3343268	pKi=7.26
CC1=CC(=O)Oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc12	CHEMBL1441570	pKi=7.27
CCC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)CC)[C@@H](OC(=O)CC)[C@H]1OC(=O)CC)n2cc(nn2)c3cccc(c3)S(=O)(=O)N	CHEMBL3092813	pKi=7.27
Cc1cc(c(SCc2cccc(c2)C(F)(F)F)cc1Cl)S(=O)(=O)NC(=N)Nc3cccc(c3)S(=O)(=O)N	CHEMBL3104050	pKi=7.27
Cc1ccc(cc1)c2nn(cc2C(=O)O)c3nc4ccc(cc4s3)S(=O)(=O)N	CHEMBL3352855	pKi=7.27
NS(=O)(=O)NCc1ccc(cc1)S(=O)(=O)N	CHEMBL2164730	pKi=7.27
NS(=O)(=O)c1ccc(cc1)c2ccc(cc2)c3ccc(Br)cc3	CHEMBL3764147	pKi=7.27
O\N=C\1/Oc2ccccc2C=C1	CHEMBL1956579	pKi=7.27
CC(=O)OC[C@H]1O[C@H](O[C@@H]2[C@@H](COC(=O)C)O[C@H]([C@H](OC(=O)C)[C@H]2OC(=O)C)S(=O)(=O)Cc3cn(nn3)c4ccc(cc4)S(=O)(=O)N)[C@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1OC(=O)C	CHEMBL1836628	pKi=7.28
CC(C)CC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)CC(C)C)[C@@H](OC(=O)CC(C)C)[C@@H]1OC(=O)CC(C)C)n2cc(nn2)c3ccc(cc3)S(=O)(=O)N	CHEMBL3092940	pKi=7.28
CC1=CC(=O)Oc2cc(O[C@@H]3OC[C@@H](O)[C@@H](O)[C@H]3O)ccc12	CHEMBL1938470	pKi=7.28
CCCCC(=O)NC1Cc2ccc(cc2C1)S(=O)(=O)N	CHEMBL208531	pKi=7.28
CCCCC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)CCCC)[C@@H](OC(=O)CCCC)[C@@H]1OC(=O)CCCC)n2cc(nn2)c3ccc(cc3)S(=O)(=O)N	CHEMBL3092941	pKi=7.28
CCCCCCCCc1ccc(NC(=O)Nc2ccc(cc2)S(=O)(=O)N)cc1	CHEMBL1643299	pKi=7.28
