CCOC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC	icosapent ethyl
OC(=O)Cc1cccc(c1)c2ccc(NC(=O)c3oc(Nc4ccccc4F)nn3)cc2	CHEMBL2036742	pIC50=7.16
CCOC(=O)c1c(C(=O)OCC)c2c(cc(nn2c1c3ccc(Cl)cc3)N4CCOCC4)c5ccccc5	CHEMBL1258708	pIC50=7.17
CCc1ccccc1NC(=O)N2CCOc3cc(ccc23)c4ccc(OC5CCC(CC5)C(=O)O)nc4	CHEMBL3670338	pIC50=7.17
FC(F)(F)c1nc(oc1C(=O)Nc2ccc(nc2)N3CCN(CC3)c4ncccc4Cl)N5CCCCC5	CHEMBL2441212	pIC50=7.17
CCOC(=O)C1CCN(CC1)c2ccc(NC(=O)c3oc(nc3C(F)(F)F)N4CCCCC4)cn2	CHEMBL2441019	pIC50=7.18
COC1CCN(CC1)C(=O)C[C@@H]2CC[C@H](CC2)c3ccc(cc3)N4CCOc5ncnc(N)c5C4=O	CHEMBL2414656	pIC50=7.18
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(COC4CCCC4)s3	CHEMBL3740753	pIC50=7.18
CC(C)[C@H](NC(=O)c1ccc(cc1)c2ccc(NC(=O)Nc3ccccc3OC(F)(F)F)cn2)C(=O)O	CHEMBL1834202	pIC50=7.19
CCCc1noc(n1)c2c(CCC)n3nc(cc(c4ccccc4)c3c2C(=O)OCC)N5CCOCC5	CHEMBL1258147	pIC50=7.19
CCc1ccccc1NC(=O)N2C[C@@H](C)Oc3cc(ccc23)c4ccc(cc4)[C@@H]5CC[C@@H](CC(=O)O)CC5	CHEMBL3287898	pIC50=7.19
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)[C@@H]4CC[C@@H](CC#N)CC4	CHEMBL2414667	pIC50=7.19
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)NC5CCCC5)CC4	CHEMBL2414751	pIC50=7.19
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)c3ccc4N(CCOc4c3)C(=O)Nc5ccccc5	CHEMBL3233884	pIC50=7.19
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)c4ccc(CN5CC[C@H](O)C5=O)cc4Cl	CHEMBL3222241	pIC50=7.2
Cc1cc(F)ccc1n2nc(NC(=O)C(C)(C)NC(=O)C3(CC3)C(F)(F)F)nc2c4ccc(F)cc4	CHEMBL3759471	pIC50=7.21
CC(C)(C)c1ccc(cc1)C2=Nc3c(N)ncnc3OC2(C)C	CHEMBL3235302	pIC50=7.22
CC1(C)Oc2nc(nc(N)c2N=C1c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)O)CC4)C(F)(F)F	CHEMBL3235317	pIC50=7.22
CCCCOc1ccc(NC(=O)c2oc(Nc3ccccc3F)nn2)cn1	CHEMBL2036582	pIC50=7.22
CCCN1NC(=O)c2cc(NC(=O)c3nc(oc3C(F)(F)F)c4ccccc4)ccc12	CHEMBL1922582	pIC50=7.22
CCOC(=O)c1c(C(=O)OCC)c2c(cc(nn2c1c3ccc(OCc4ccccc4)cc3)N5CCOCC5)c6ccccc6	CHEMBL1256010	pIC50=7.22
Cc1nc(C)c(nc1C(=O)N)c2ccc([C@@H]3CC[C@@H](CC(=O)O)CC3)c(F)c2	CHEMBL2178942	pIC50=7.22
Cc1nc(C)c(nc1C(=O)N)c2ccc(cc2)[C@@H]3CC[C@@H](Cc4nnn[nH]4)CC3	CHEMBL2178940	pIC50=7.22
Cc1noc(C[C@@H]2CC[C@H](CC2)c3ccc(cc3)N4CCOc5ncnc(N)c5C4=O)n1	CHEMBL2414670	pIC50=7.22
FCc1c(oc2ccccc12)C(=O)Nc3ccc(nc3)N4CCN(CC4)C(=O)Nc5ccccc5F	CHEMBL2334091	pIC50=7.22
Fc1ccccc1Nc2oc(nn2)C(=O)Nc3ccc(Nc4ccccc4)nc3	CHEMBL2036585	pIC50=7.22
OC(=O)C1CCC(CC1)Oc2ccc(cn2)c3ccc4N(CCOc4c3)C(=O)Nc5ccccc5	CHEMBL3670335	pIC50=7.22
Cc1nc(N)c2C(=O)N(CCOc2n1)c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)O)CC4	CHEMBL2414678	pIC50=7.23
CC(C)[C@H](NC(=O)c1ccc(cc1)c2ccc(NC(=O)Nc3ccc(F)cc3F)nc2)C(=O)O	CHEMBL1834438	pIC50=7.24
CC(C)[C@H](NC(=O)c1ncc(s1)c2ccc(NC(=O)Nc3ccc(Cl)cc3Oc4ccccc4)cc2)C(=O)O	CHEMBL2403623	pIC50=7.24
CC(C)c1cccc(NC(=O)c2ccnc3cc(ccc23)c4ccc(cc4)[C@@H]5CC[C@@H](CC(=O)O)CC5)c1	CHEMBL3233887	pIC50=7.24
CCCc1c(c2onc(n2)C(C)C)c(C(=O)OCC)c3c(cc(nn13)N4CCOCC4)c5ccccc5	CHEMBL1258148	pIC50=7.24
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(Cc4cccc(Cl)c4)s3	CHEMBL2012631	pIC50=7.24
OC(=O)[C@@H]1CC[C@@H](CC1)Oc2ccc(cc2)C(=O)Nc3onc(Cc4ccccc4)n3	CHEMBL3740607	pIC50=7.24
CCCc1c(c2onc(n2)C3CCCCC3)c(C(=O)OCC)c4c(cc(nn14)N5CCOCC5)c6ccccc6	CHEMBL1258944	pIC50=7.25
Cc1ccc(NC(=O)c2ccc3nc([nH]c3c2)c4c(C)cc(NCC(=O)O)cc4C)cc1C	CHEMBL2063282	pIC50=7.25
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)c3ccc4N(CCc4c3)C(=O)Nc5ccccc5	CHEMBL3233883	pIC50=7.25
Cc1c(sc2ccccc12)C(=O)Nc3ccc(nc3)N4CCN(CC4)C(=O)Nc5ccccc5F	CHEMBL2334089	pIC50=7.26
OC(=O)[C@@H]1CC[C@H](CC1)NC(=O)c2ncc(s2)c3ccc(NC(=O)Nc4ccccc4)cc3	CHEMBL3235431	pIC50=7.26
CC(C)(O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)N3CCOc4ncnc(N)c4C3=O	CHEMBL2414668	pIC50=7.27
CCC1CN(C(=O)Nc2ccccc2)c3ccc(cc3O1)c4ccc(OC5CCC(CC5)C(=O)O)nc4	CHEMBL3670337	pIC50=7.27
Cc1ccc2[nH]c(nc2n1)c3ccc(nc3)c4ccc(O[C@@H]5CC[C@H](CC5)C(=O)O)nc4	CHEMBL2408627	pIC50=7.27
OC(=O)c1cccc(OCC2CCN(CC2)c3ccc(NC(=O)c4ccc(Oc5ccccc5)cc4)cn3)c1	CHEMBL2334081	pIC50=7.27
CCOC(=O)c1c(C(=O)OCC)c2c(cc(nn2c1c3ccc(OC)cc3)N4CCOCC4)c5ccccc5	CHEMBL1258943	pIC50=7.28
CN(C)CCNC(=O)C(C)(C)COc1nnc(c2ccc(NC(=O)c3ccc4ccccc4c3)cc2)n1C	CHEMBL1939624	pIC50=7.28
Cc1c(oc2ccc(cc12)c3ccccc3)C(=O)Nc4ccc(nc4)N5CCC(COc6cccc(c6)C(=O)O)CC5	CHEMBL2334100	pIC50=7.28
OC(=O)C[C@@H]1CC[C@@H](CC1)c2ccc(cc2)c3ccc4N(CCOc4c3)C(=O)Nc5ccccc5	CHEMBL3287890	pIC50=7.28
CC(C)[C@@H](NC(=O)c1ccc(cc1)c2ccc(NC(=O)Nc3ccccc3)nc2)C(=O)O	CHEMBL1834435	pIC50=7.29
COc1ccc2oc(C(=O)Nc3ccc(nc3)N4CCN(CC4)C(=O)Nc5ccccc5F)c(C)c2c1	CHEMBL2334094	pIC50=7.29
CC(=O)NCc1ccc(c(Cl)c1)c2ccc(cc2)N3CCOc4ncnc(N)c4C3=O	CHEMBL3222237	pIC50=7.3
CC(C)(C(=O)O)c1ccc(cc1)C2=Nc3c(N)ncnc3OC2(C)C	CHEMBL3235309	pIC50=7.3
CC1(C)Oc2ncnc(N)c2C=C1c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)O)CC4	CHEMBL3235322	pIC50=7.3
CN(Cc1ccc(c(Cl)c1)c2ccc(cc2)N3CCOc4ncnc(N)c4C3=O)C(=O)C	CHEMBL3222236	pIC50=7.3
CN(Cc1ccc(c(Cl)c1)c2ccc(cc2)N3CCOc4ncnc(N)c4C3=O)C(=O)CCCN	CHEMBL3222244	pIC50=7.3
CN(Cc1ccc(c(Cl)c1)c2ccc(cc2)N3CCOc4ncnc(N)c4C3=O)C(=O)CCN	CHEMBL3222243	pIC50=7.3
Cc1nc(N)c2C=C(c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)O)CC4)C(C)(C)Oc2n1	CHEMBL3235324	pIC50=7.3
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)c4ccc(CC(=O)N5CCNC(=O)C5)cc4Cl	CHEMBL3222234	pIC50=7.3
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)c4ccc(cc4Cl)C#N	CHEMBL3222246	pIC50=7.3
CC(C)(COc1ccc(cn1)c2ccc(NC(=O)c3ccc4ccccc4c3)cc2)C(=O)O	CHEMBL1939631	pIC50=7.31
CCCCc1ccc(nc1)C(=O)Nc2ccc(cc2)c3cnc(s3)C(=O)N[C@@H](C(C)C)C(=O)O	CHEMBL2403627	pIC50=7.31
FC(F)(F)c1nn(cc1C(=O)NCCNC(=O)c2ccc(Cl)nc2)c3ccccc3	CHEMBL1089169	pIC50=7.31
OC(=O)CC1CCC(CC1)c2ccc(cc2)c3nc4cc(NC(=O)c5cn(nc5C(F)(F)F)c6ccccc6)ccc4[nH]3	CHEMBL2409565	pIC50=7.31
CCCc1c(c2onc(n2)C(C)(C)C)c(C(=O)OCC)c3c(cc(nn13)N4CCOCC4)c5ccccc5	CHEMBL1258375	pIC50=7.32
CCCc1c(c2onc(n2)C3CCCC3)c(C(=O)OCC)c4c(cc(nn14)N5CCOCC5)c6ccccc6	CHEMBL1258829	pIC50=7.32
NC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(Cc4ccccc4)s3	CHEMBL3742009	pIC50=7.32
OC(=O)[C@@]12CC3CC(C1)[C@@H](Oc4ccc(cc4)C(=O)NCCNC(=O)c5ccc6ccccc6c5)C(C3)C2	CHEMBL3613348	pIC50=7.32
FC(F)(F)c1nc(oc1C(=O)Nc2ccc(nc2)N3CCCN(CC3)C(=O)Nc4ccccc4Cl)N5CCCCC5	CHEMBL2441209	pIC50=7.34
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(Cc4cccc(F)c4)s3	CHEMBL2012628	pIC50=7.34
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(Cc4ccccc4F)s3	CHEMBL2012629	pIC50=7.35
CC(C)(C)c1ccc(cc1)c2cnc3ccnn3c2N	CHEMBL2165810	pIC50=7.36
CCOc1ccc(cc1)C(=O)NCCNC(=O)c2cn(nc2C(F)(F)F)c3cccc(OCC)c3	CHEMBL1089832	pIC50=7.36
FC(F)(F)COc1ccc(cn1)C(=O)NCCNC(=O)c2nc([nH]c2C(F)(F)F)c3ccccc3	CHEMBL1766894	pIC50=7.36
OC(=O)[C@@]12CC3CC(C1)[C@H](Oc4ccc(cc4)C(=O)NCCNC(=O)c5ccc6ccccc6c5)C(C3)C2	CHEMBL3613347	pIC50=7.36
C[C@@H]1CN(C(=O)Nc2ccccc2)c3ccc(cc3O1)c4ccc(cc4)[C@@H]5CC[C@@H](CC(=O)O)CC5	CHEMBL3287865	pIC50=7.37
Cc1ccc2oc(C(=O)Nc3ccc(nc3)N4CCN(CC4)C(=O)Nc5ccccc5F)c(C)c2c1	CHEMBL2334095	pIC50=7.38
CC(C)OC(=O)N1CCN(CC1)c2ccc(NC(=O)c3oc(nc3C(F)(F)F)N4CCCCC4)cn2	CHEMBL2441200	pIC50=7.39
CCCCOc1cccc(c1)C(=O)Nc2ccc(nc2)N3CCC(COc4cccc(c4)C(=O)O)CC3	CHEMBL2334085	pIC50=7.39
FC(F)(F)c1nc(oc1C(=O)Nc2ccc(nc2)N3CCN(CC3)C(=O)Nc4ccccc4Cl)N5CCCCC5	CHEMBL2441208	pIC50=7.39
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)c3ccc4c(ccnc4c3)C(=O)Nc5ccccc5	CHEMBL3233886	pIC50=7.39
CN(Cc1ccc(c(Cl)c1)c2ccc(cc2)N3CCOc4ncnc(N)c4C3=O)C(=O)CN	CHEMBL3222242	pIC50=7.4
CS(=O)(=O)Cc1ccc(c(Cl)c1)c2ccc(cc2)N3CCOc4ncnc(N)c4C3=O	CHEMBL3222235	pIC50=7.4
Cc1ccccc1c2ccc(cc2)N3CCOc4ncnc(N)c4C3=O	CHEMBL3222255	pIC50=7.4
Cc1nc(C)c(nc1C(=O)N)c2ccc(cc2)C34CCC(Cc5nnn[nH]5)(CC3)CC4	CHEMBL2178373	pIC50=7.4
FC(F)c1c(oc2ccccc12)C(=O)Nc3ccc(nc3)N4CCN(CC4)C(=O)Nc5ccccc5F	CHEMBL2334092	pIC50=7.4
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)c4ccc(CC(=O)N5CC(O)C5)cc4Cl	CHEMBL3222233	pIC50=7.4
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(CCC4CCCCC4)s3	CHEMBL2012611	pIC50=7.4
CC(C)NC(=O)C(C)(C)COc1nnc(c2ccc(NC(=O)c3ccc4ccccc4c3)cc2)n1C	CHEMBL1939622	pIC50=7.41
Cc1c(oc2ccc(F)cc12)C(=O)Nc3ccc(nc3)N4CCN(CC4)C(=O)Nc5ccccc5F	CHEMBL2334093	pIC50=7.41
Cc1cc(CCC(=O)O)cc(C)c1c2nc3ccc(cc3[nH]2)C(=O)Nc4ccc(cc4)C(C)(C)C	CHEMBL2063284	pIC50=7.41
OC(=O)[C@@H]1CC[C@H](CC1)NC(=O)c2ncc(s2)c3ccc(NC(=O)Nc4ccc(F)cc4F)cc3	CHEMBL3235429	pIC50=7.41
CC(Sc1nnc(c2ccc(NC(=O)Cc3ccc(Cl)c(Cl)c3)cc2)n1C)C(=O)O	CHEMBL1939478	pIC50=7.42
CC(C)[C@H](NC(=O)c1ncc(s1)c2ccc(NC(=O)CCC3CCCCC3)cc2)C(=O)O	CHEMBL2403625	pIC50=7.43
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)c3ccc4c(ccn4C(=O)Nc5ccccc5)c3	CHEMBL3233872	pIC50=7.43
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(NC(=O)c3oc(Nc4ccc(F)c(F)c4)nn3)cc2	CHEMBL2036730	pIC50=7.44
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(Cc4ccccc4)s3	CHEMBL2012625	pIC50=7.44
OC(=O)[C@@H]1CCC[C@H]1C(=O)c2ccc(cc2)c3ccc(NC(=O)Nc4ccc(OC(F)(F)F)cc4)c(F)c3	CHEMBL3233871	pIC50=7.44
CC(C)[C@H](NC(=O)c1ccc(cc1)c2ccc(Nc3nc4ccc(F)cc4s3)cc2)C(=O)O	CHEMBL2042351	pIC50=7.46
OC(=O)C1CCC(CC1)c2ccc(NC(=O)c3oc(Nc4ccccc4F)nn3)cc2	CHEMBL2036729	pIC50=7.46
OC(=O)[C@@H]1CCC[C@H]1C(=O)c2ccc(cc2)c3ccc(NC(=O)Nc4ccc(cc4)C#N)cc3	CHEMBL254871	pIC50=7.46
OC(=O)[C@@H]1CC[C@H](CC1)C(=O)N2CCN(CC2)c3ccc(NC(=O)c4nc(oc4C(F)(F)F)c5ccccc5)cn3	CHEMBL1766807	pIC50=7.46
COC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)N3CCOc4ncnc(N)c4C3=O	CHEMBL2414699	pIC50=7.47
NC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)N3CCOc4ncnc(N)c4C3=O	CHEMBL2414700	pIC50=7.47
Nc1ncnc2OC[C@@H](Oc12)c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)O)CC4	CHEMBL1834554	pIC50=7.47
OC(=O)C12CC3CC(C1)C(Oc4ccc(cc4)C(=O)NCCNC(=O)c5ccc6ccccc6c5)C(C3)C2	CHEMBL3613339	pIC50=7.47
OC(=O)[C@@H]1CC[C@H](CC1)NC(=O)c2ncc(s2)c3ccc(NC(=O)Nc4cc(F)cc(F)c4)cc3	CHEMBL3235425	pIC50=7.47
CCOc1ccc(cc1)C(=O)NCCNC(=O)c2cn(nc2C(F)(F)F)c3ccccc3	CHEMBL1089874	pIC50=7.48
CCc1ccccc1NC(=O)N2CCOc3cc(ccc23)c4ccc(cc4)[C@@H]5CC[C@@H](CC(=O)O)CC5	CHEMBL3287875	pIC50=7.48
Cc1c(sc2ccc(cc12)c3ccccc3)C(=O)Nc4ccc(nc4)N5CCC(COc6cccc(c6)C(=O)O)CC5	CHEMBL2334075	pIC50=7.48
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(CC4CCCC4)s3	CHEMBL2012614	pIC50=7.48
CC(C)C[C@H](NC(=O)c1ccc(cc1)c2ccc(NC(=O)Nc3ccccc3)nc2)C(=O)O	CHEMBL1834436	pIC50=7.5
CCCCCCCNC(=O)N1CCOc2cc(ccc12)c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)O)CC4	CHEMBL3287884	pIC50=7.5
CCOc1cccc(Nc2oc(nn2)C(=O)Nc3ccc(nc3)N4CCOCC4)c1	CHEMBL2036595	pIC50=7.5
CN(Cc1ccc(c(Cl)c1)c2ccc(cc2)N3CCOc4ncnc(N)c4C3=O)S(=O)(=O)C	CHEMBL3222238	pIC50=7.5
CS(=O)(=O)NCc1ccc(c(Cl)c1)c2ccc(cc2)N3CCOc4ncnc(N)c4C3=O	CHEMBL3222239	pIC50=7.5
Cc1ccc2[nH]c(nc2n1)c3ccc(nc3)c4ccc(O[C@@H]5CC[C@@H](CC5)C(=O)O)nc4	CHEMBL2408626	pIC50=7.5
Cc1ccccc1c2ccc(cc2)C(=O)NCCNC(=O)c3ccc(O[C@@H]4C5CC6CC4C[C@@](C6)(C5)C(=O)O)cc3	CHEMBL3613351	pIC50=7.5
NC(=O)Cc1ccc(c(Cl)c1)c2ccc(cc2)N3CCOc4ncnc(N)c4C3=O	CHEMBL3222231	pIC50=7.5
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)c4c(Cl)cccc4C#N	CHEMBL3222261	pIC50=7.5
Cc1nc(C)c(nc1C(=O)N)c2ccc([C@@H]3CC[C@@H](CC(=O)O)CC3)c(Cl)c2	CHEMBL2178943	pIC50=7.52
Cc1nc(C)c(nc1C(=O)N)c2ccc3c(CC[C@@]34CC[C@H](CC(=O)O)CC4)c2	CHEMBL2178947	pIC50=7.52
Cc1nc(C)c(nc1C(=O)N)c2ccc3c(CC[C@@]34CC[C@H](Cc5nnn[nH]5)CC4)c2	CHEMBL2178369	pIC50=7.52
Cc1nc(N)c2N=C(c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)O)CC4)C(C)(C)Oc2n1	CHEMBL3235316	pIC50=7.52
OC(=O)CNC(=O)c1ccc(cc1)c2ccc(NC(=O)Nc3ccccc3)nc2	CHEMBL1834431	pIC50=7.52
CN(C)C(=O)C(C)(C)COc1nnc(c2ccc(NC(=O)c3ccc4ccccc4c3)cc2)n1C	CHEMBL1939621	pIC50=7.54
OC(=O)c1cccc(OCC2CCN(CC2)c3ccc(NC(=O)c4cccc(Oc5ccccc5)c4)cn3)c1	CHEMBL2334082	pIC50=7.54
CC(C(=O)O)C12CCC(CC1)(CC2)c3ccc(cc3)C4=Nc5c(N)ncnc5OC4(C)C	CHEMBL513992	pIC50=7.55
CC1(C)Oc2ncnc(N)c2N=C1c3ccc(cc3)C45CCC(CC4)(CC5)C(=O)O	CHEMBL515415	pIC50=7.55
CCOc1ccc(cc1)C(=O)NCCNC(=O)c2cn(nc2C(F)(F)F)c3ccccn3	CHEMBL1089182	pIC50=7.55
Cc1cc(C(=O)Nc2ccccc2)c3ccc(cc3n1)c4ccc(cc4)[C@@H]5CC[C@@H](CC(=O)O)CC5	CHEMBL3233888	pIC50=7.55
Cc1ccc(NC(=O)c2ccc3nc([nH]c3c2)c4c(C)cc(CCC(=O)O)cc4C)cc1C	CHEMBL2063283	pIC50=7.55
Cc1ccc(NC(=O)c2ccc3nc([nH]c3c2)c4c(C)cc(OCC(=O)O)cc4C)cc1C	CHEMBL2063281	pIC50=7.55
Cn1c(OCC(C)(C)C(=O)N)nnc1c2ccc(NC(=O)c3ccc4ccccc4c3)cc2	CHEMBL1939620	pIC50=7.55
OC(=O)[C@@H]1CC[C@@H](CC1)Oc2ccc(cc2)C(=O)Nc3nnc(Cc4ccccc4)s3	CHEMBL3741569	pIC50=7.55
OC[C@H](NC(=O)c1ccc(cc1)c2ccc(NC(=O)Nc3ccccc3)nc2)C(=O)O	CHEMBL1834433	pIC50=7.55
CCOC[C@H](CCc1ccccc1)NC(=O)C2(CCCC2)NC(=O)CC3C4CC5CC(CC3C5)C4	CHEMBL3759790	pIC50=7.57
OC(=O)[C@@H]1CC[C@H](CC1)NC(=O)c2ncc(s2)c3ccc(NC(=O)Nc4cc(F)c(F)cc4F)cc3	CHEMBL3235430	pIC50=7.58
CCOc1ccc(cn1)C(=O)NCCNC(=O)c2cn(nc2C(F)(F)F)c3ccccc3	CHEMBL1089498	pIC50=7.6
COc1ccc(NC(=O)Nc2ccc(nc2)c3ccc(cc3)C(=O)N[C@@H](C(C)C)C(=O)O)cc1	CHEMBL1834203	pIC50=7.6
Cc1c(oc2ccccc12)C(=O)Nc3ccc(nc3)N4CCN(CC4)C(=O)Nc5ccccc5F	CHEMBL2334088	pIC50=7.6
Cc1nc(C)c(nc1C(=O)N)c2ccc(cc2)c3ccc(CC(=O)O)cc3F	CHEMBL3133088	pIC50=7.6
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)c4ccc(CC(=O)O)cc4Cl	CHEMBL3222230	pIC50=7.6
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)c4ccc(CO)cc4Cl	CHEMBL3222248	pIC50=7.6
OC(=O)[C@@]12CC3CC(C1)[C@@H](Oc4ccc(cc4)C(=O)NCCNC(=O)c5ccc(cc5)c6ccccc6)C(C3)C2	CHEMBL3613350	pIC50=7.6
Cc1ccc2c(C)c(oc2c1C)C(=O)Nc3ccc(nc3)N4CCN(CC4)C(=O)Nc5ccccc5F	CHEMBL2334097	pIC50=7.62
CC(C)[C@H](NC(=O)c1ncc(s1)c2ccc(NC(=O)Nc3ccccc3Oc4ccccc4)cc2)C(=O)O	CHEMBL2403622	pIC50=7.64
CC(C)[C@H](NC(=O)c1ncc(s1)c2ccc(NC(=O)c3ccc(cc3)C(C)(C)C)cc2)C(=O)O	CHEMBL2403624	pIC50=7.64
Fc1ccccc1Nc2oc(nn2)C(=O)Nc3ccc(nc3)N4CCSCC4	CHEMBL2036574	pIC50=7.64
CC(C)[C@H](NC(=O)c1ncc(s1)c2ccc(NC(=O)Nc3cccc(c3)C(F)(F)F)cc2)C(=O)O	CHEMBL2403619	pIC50=7.66
FC(F)(F)COc1ccc(cn1)C(=O)NCCNC(=O)c2cn(nc2C(F)(F)F)c3ccccc3	CHEMBL1092385	pIC50=7.66
OC(=O)[C@@H]1CC[C@@H](CC1)Oc2ccc(cc2)C(=O)Nc3nnc(NC4CCCC4)s3	CHEMBL3739742	pIC50=7.66
OC(=O)[C@@H]1CC[C@H](CC1)NC(=O)c2ncc(s2)c3ccc(NC(=O)Nc4ccccc4Cl)cc3	CHEMBL3235428	pIC50=7.69
CC(C)[C@H](NC(=O)c1ncc(s1)c2ccc(NC(=O)Nc3ccc(C)c(C)c3)cc2)C(=O)O	CHEMBL2403621	pIC50=7.7
CC(Sc1nnc(c2ccc(NC(=O)c3ccc4ccccc4c3)cc2)n1C)C(=O)O	CHEMBL1939475	pIC50=7.7
Cc1cc(CC(=O)O)ccc1c2ccc(cc2)c3nc(C(=O)N)c(C)nc3C	CHEMBL3133087	pIC50=7.7
Cc1cccc(Cl)c1c2ccc(cc2)N3CCOc4ncnc(N)c4C3=O	CHEMBL3222258	pIC50=7.7
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)c4ccc(CC(=O)N5CC[C@@H](O)C5)cc4Cl	CHEMBL3222232	pIC50=7.7
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)c4ccc(cc4Cl)C(F)F	CHEMBL3222249	pIC50=7.7
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)c3ccc4N(CCOc4c3)C(=O)Nc5ccc(F)cc5C(F)(F)F	CHEMBL3287878	pIC50=7.7
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)c3ccc4N(CCOc4c3)C(=O)Nc5ccccc5C(F)(F)F	CHEMBL3287876	pIC50=7.7
OC(=O)[C@@H]1CCC[C@H]1C(=O)c2ccc(cc2)c3ccc(NC(=O)Nc4ccccc4)cc3	CHEMBL430405	pIC50=7.7
C[C@@H]1CN(C(=O)c2c(N)ncnc2O1)c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)O)CC4	CHEMBL2414687	pIC50=7.72
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(CCC4CCCC4)s3	CHEMBL2012612	pIC50=7.72
CC(C)[C@H](NC(=O)c1ccc(cc1)c2ccc(NC(=O)Nc3cccc(F)c3)cn2)C(=O)O	CHEMBL1834200	pIC50=7.75
OC(=O)[C@@H]1CC[C@@H](CC1)Oc2ccc(NC(=O)c3oc(Nc4ccc(cc4)C#N)nn3)cc2	CHEMBL3132863	pIC50=7.75
CC(C)[C@H](NC(=O)c1ccc(cc1)c2ccc(NC(=O)Nc3ccc(F)cc3)cn2)C(=O)O	CHEMBL1834201	pIC50=7.77
OC(=O)[C@@H]1CC[C@@H](CC1)Oc2ccc(cc2)C(=O)Nc3nnc(COC4CCCC4)s3	CHEMBL3741333	pIC50=7.77
CC(C)[C@H](NC(=O)c1ncc(s1)c2ccc(NC(=O)Nc3ccccc3Cl)cc2)C(=O)O	CHEMBL2403620	pIC50=7.8
CCCCSc1ccc(NC(=O)c2oc(Nc3ccccc3F)nn2)cc1	CHEMBL2036586	pIC50=7.8
FC(F)(F)c1oc(nc1C(=O)Nc2ccc(nc2)N3CC(F)(F)C3)c4ccccc4	CHEMBL1766884	pIC50=7.8
Nc1ncnc2OCCN(C(=O)c12)c3ccc(c(F)c3)c4c(F)cccc4F	CHEMBL3222259	pIC50=7.8
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)c4c(F)cccc4F	CHEMBL3222256	pIC50=7.8
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)c4cc(Cl)ccc4Cl	CHEMBL3222253	pIC50=7.8
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)c4ccccc4Cl	CHEMBL3222245	pIC50=7.8
CC1(C)Oc2ncnc(N)c2N=C1c3ccc(cc3)C45CCC(CC(=O)O)(CC4)CC5	CHEMBL473384	pIC50=7.82
OC(=O)[C@@H]1CC[C@H](CC1)OC2CCN(CC2)c3ccc(cn3)c4nc5cc(F)ccc5[nH]4	CHEMBL3342771	pIC50=7.82
