CC(C)(C)C1=NC(=C(S1)C1=NC(N)=NC=C1)C1=C(F)C(NS(=O)(=O)C2=C(F)C=CC=C2F)=CC=C1	dabrafenib	pIC50=9.1549015	pIC50=9.1549015	pIC50=9.1549015	pIC50=7.96
CNC(=O)C1=CC(OC2=CC=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1	sorafenib	pKi=7.66	pKi=7.66	pKi=7.66	pIC50=7.58
CCCS(=O)(=O)NC1=CC=C(F)C(C(=O)C2=CNC3=NC=C(C=C23)C2=CC=C(Cl)C=C2)=C1F	vemurafenib	pIC50=7.68	pIC50=7.68	pIC50=7.68	pIC50=7.64
CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=CC=N1	regorafenib	pIC50=7.55	pIC50=7.55	pIC50=7.55	pIC50=7.55
Cc1ccc(cc1Nc2ncccc2c3ncnc4[nH]cnc34)C(=O)Nc5cccc(c5)C#N	CHEMBL3352837	pIC50=7.53
CN(C)C1CCN(C1)c2ncc3ncnc(Nc4cc(Cl)cc(c4)C(=O)Nc5cc(nn5C)C(C)(C)C)c3n2	CHEMBL3697920	pIC50=8.22
CN(C)CCN(C)c1cc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CC[C@H](F)C5)c2)cc(c1)C(F)(F)F	CHEMBL3641064	pIC50=8.22
CN(C)CCN(C)c1cc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CC[S+]([O-])CC5)c2)cc(c1)C(F)(F)F	CHEMBL3694223	pIC50=8.22
CN(C)CCN(C)c1ncc2ncnc(Nc3cc(ccc3C)C(=O)Nc4cc(ccn4)C(F)(F)F)c2n1	CHEMBL3697824	pIC50=8.22
CN(C)CCN(C)c1ncc2ncnc(Nc3cc(ccc3C)C(=O)Nc4cccc(c4)C(C)(C)C)c2n1	CHEMBL3697785	pIC50=8.22
CN(C)c1ncc2ncnc(Nc3cc(ccc3Cl)C(=O)Nc4cc(on4)C(C)(C)C)c2n1	CHEMBL3694132	pIC50=8.22
CN1CCCN(CC1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(n[nH]5)C(C)(C)C)c3n2	CHEMBL3641072	pIC50=8.22
CNS(=O)(=O)c1ccc(N(C)C)c(Nc2ncnc3[nH]ccc23)c1	CHEMBL3613195	pIC50=8.22
CNS(=O)(=O)c1cccc(Nc2ncnc3[nH]c(cc23)c4cccc(c4)C(F)(F)F)c1	CHEMBL3613188	pIC50=8.22
CNS(=O)(=O)c1cccc(Nc2ncnc3[nH]c(cc23)c4ccccc4C)c1	CHEMBL3613185	pIC50=8.22
CNS(=O)(=O)c1cccc(Nc2ncnc3[nH]cc(c4ccc(CN)cc4)c23)c1	CHEMBL3613181	pIC50=8.22
CNc1ncc2ncnc(Nc3cc(ccc3F)C(=O)Nc4cc(on4)C(C)(C)C)c2n1	CHEMBL3694157	pIC50=8.22
COCCN(C)c1ncc2ncnc(Nc3cc(ccc3OC)C(=O)Nc4cc(on4)C(C)(C)C)c2n1	CHEMBL3694143	pIC50=8.22
COCCN1CCN(CC1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(ccc5Cl)C(F)(F)F)c3n2	CHEMBL3641148	pIC50=8.22
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCN(CC6CCOC6)CC5)c2)cc1C(F)(F)F	CHEMBL3641059	pIC50=8.22
COc1ccc(NC(=O)c2ccc(Cl)c(Nc3ncnc4cnc(nc34)N5CCCCC5)c2)cc1C(F)(F)F	CHEMBL3694073	pIC50=8.22
COc1ccc(NC(=O)c2ccc(F)c(Nc3ncnc4cnc(nc34)N5CCN(CC6CC6)CC5)c2)cc1C(F)(F)F	CHEMBL3641031	pIC50=8.22
COc1ccc(cc1NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCN(C)CC5)c2)C(C)(C)C	CHEMBL3697776	pIC50=8.22
COc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCN(C)CC4)C(=O)Nc5ccc(OC)c(c5)C(F)(F)F	CHEMBL3694085	pIC50=8.22
C[C@@H]1CN(C[C@H](C)O1)C2CCN(CC2)c3ncc4ncnc(Nc5cc(ccc5C)C(=O)Nc6cc(on6)C(C)(C)C)c4n3	CHEMBL3641104	pIC50=8.22
Cc1ccc(cc1Nc2ncnc3c(N)nc(nc23)N4CCN(CC5CCCO5)CC4)C(=O)Nc6cc(n[nH]6)C(C)(C)C	CHEMBL3689937	pIC50=8.22
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CC(F)(F)C4)C(=O)Nc5cc(on5)C(C)(C)C	CHEMBL3697908	pIC50=8.22
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCCC4)C(=O)Nc5cccc(c5)C(C)(C)C#N	CHEMBL3697822	pIC50=8.22
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCCCC4)C(=O)Nc5cccc(c5)C(F)(F)F	CHEMBL3697874	pIC50=8.22
Cc1cn(cn1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(n[nH]5)C(C)(C)C)c3n2	CHEMBL3641209	pIC50=8.22
FC(F)(F)Oc1cccc(c1)C(=O)Nc2cccc(Nc3cc4C(=O)NC(=O)c4cc3Cl)c2	CHEMBL1922591	pIC50=8.22
Fc1ccc(NS(=O)(=O)c2cn[nH]c2)c(F)c1Nc3ncccc3c4ncnc5[nH]cnc45	CHEMBL3797403	pIC50=8.22
OC[C@@H](O)CONC(=O)c1ccc(F)c(F)c1Nc2ccc(I)cc2F	CHEMBL507361	pIC50=8.22
O\N=C\c1ccc(cc1Cl)c2[nH]c(nc2c3ccncc3)c4ccccc4	CHEMBL200412	pKd=8.22
Oc1cc(ccc1Cl)c2[nH]c(nc2c3ccncc3)c4cccnc4	CHEMBL381250	pIC50=8.22
CSc1cccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)c1	CHEMBL386051	pKd=8.24
Nc1nccc(n1)c2[nH]c(nc2c3ccc(Cl)c(O)c3)c4ccccc4	CHEMBL200258	pKd=8.24
CCn1cc(c2ccnc3[nH]ccc23)c(n1)c4cccc(NC(=O)Nc5ccc(Cl)c(c5)C(F)(F)F)c4	CHEMBL456983	pIC50=8.27
CCn1cc(c2ccnc3[nH]ccc23)c(n1)c4cccc(NC(=O)Nc5ccccc5Cl)c4	CHEMBL525896	pIC50=8.28
Nc1ncc(c2cccnc2)c3scc(c4cccc(NC(=O)c5cccc(c5)C(F)(F)F)c4)c13	CHEMBL2315069	pIC50=8.29
C1OCC2CC(CC1N2)n3cc(c4ccc5c(Cc6c[nH]nc56)c4)c(n3)c7ccncc7	CHEMBL1780176	pIC50=8.3
CC(=O)Nc1cc(CNc2ccccc2C(=O)Nc3ccc4OC(F)(F)Oc4c3)ccn1	CHEMBL248256	pIC50=8.3
CC(C)(C)c1nc(c2ccnc(N)n2)c([nH]1)c3cc(F)cc(NS(=O)(=O)C)c3Cl	CHEMBL3651666	pIC50=8.3
CC(C)(C)c1onc(NC(=O)c2ccc(F)c(Nc3ncnc4cnc(nc34)N5CCCC5)c2)c1	CHEMBL3694153	pIC50=8.3
CC(C)(C)c1onc(NC(=O)c2ccc(F)c(Nc3ncnc4cnc(nc34)N5CCCCC5)c2)c1	CHEMBL3694151	pIC50=8.3
CC(C)CNc1nccc(n1)c2nc([nH]c2c3cc(F)cc(NS(=O)(=O)C)c3Cl)C4CC4	CHEMBL3651648	pIC50=8.3
CCCNc1nccc(n1)c2nc([nH]c2c3cc(F)cc(NS(=O)(=O)C)c3Cl)C4CC4	CHEMBL3651646	pIC50=8.3
CCCS(=O)(=O)Nc1cc(F)cc(c1Cl)c2[nH]c(nc2c3ccnc(NC(C)C)n3)C4CC4	CHEMBL3651651	pIC50=8.3
CCN1CCN(CC1)c2ncc3ncnc(Nc4cc(ccc4F)C(=O)Nc5ccc(OC)c(c5)C(F)(F)F)c3n2	CHEMBL3641032	pIC50=8.3
CN(C)CCN(C)c1cc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCCCC5)c2)cc(c1)C(F)(F)F	CHEMBL3694229	pIC50=8.3
CN(C)CCN(C)c1cc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCSCC5)c2)cc(c1)C(F)(F)F	CHEMBL3694221	pIC50=8.3
CN(C)CCN(C)c1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(NCCc5ccccc5)nc34)c2)cc1C(F)(F)F	CHEMBL3694202	pIC50=8.3
CN(C)CCN(C)c1ncc2ncnc(Nc3cc(ccc3C)C(=O)Nc4ccc(C#N)c(c4)C(F)(F)F)c2n1	CHEMBL3697826	pIC50=8.3
CN(C)c1cccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCN(C)CC5)c2)c1	CHEMBL3697774	pIC50=8.3
CN(C1CC(C1)N2CCN(C)CC2)c3ncc4ncnc(Nc5cc(ccc5C)C(=O)Nc6ccnc(c6)C(C)(C)C)c4n3	CHEMBL3641201	pIC50=8.3
CN(C1CCOCC1)c2ncc3ncnc(Nc4cc(NC(=O)c5cccc(c5)C(C)(C)C#N)ccc4C)c3n2	CHEMBL3641232	pIC50=8.3
CN1CCC(CN2CCN(CC2)c3ncc4ncnc(Nc5cc(ccc5C)C(=O)Nc6cc(N7CCN(C)CC7)c(F)c(c6)C(F)(F)F)c4n3)CC1	CHEMBL3641124	pIC50=8.3
CN1CCCN(CC1)c2cc(NC(=O)c3ccc(C)c(Nc4ncnc5ccc(nc45)N6CCOCC6)c3)cc(c2)C(F)(F)F	CHEMBL3659915	pIC50=8.3
CN1CCCN(CC1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5ccc(Cl)c(c5)C(F)(F)F)c3n2	CHEMBL3697766	pIC50=8.3
CN1CCN(CC1)c2nc(N)c3ncnc(Nc4cc(ccc4C)C(=O)Nc5ccc(cc5)C(F)(F)F)c3n2	CHEMBL3689904	pIC50=8.3
CNS(=O)(=O)c1cccc(Nc2ncnc3[nH]cc(Br)c23)c1	CHEMBL3612666	pIC50=8.3
COC(=O)N[C@@H](C)CNc1nccc(n1)c2nc([nH]c2c3c(F)ccc(NS(=O)(=O)C)c3Cl)C4CC4	CHEMBL3651688	pIC50=8.3
COCCN(C)c1ncc2ncnc(Nc3cc(ccc3Cl)C(=O)Nc4cc(on4)C(C)(C)C)c2n1	CHEMBL3694130	pIC50=8.3
COCCN1CCN(CC1)c2nc(N)c3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(n[nH]5)C(C)(C)C)c3n2	CHEMBL3689940	pIC50=8.3
COCCN1CCN(CC1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(ccc5OC)C(C)(C)C)c3n2	CHEMBL3641049	pIC50=8.3
COc1c(CNC(C)C)cc(cc1NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCOCC5)c2)C(F)(F)F	CHEMBL3641155	pIC50=8.3
COc1cc(NC(=O)c2ccc(C)c(Nc3ncnc4c(N)nc(nc34)N5CCN(C)CC5)c2)cc(c1)C(F)(F)F	CHEMBL3694011	pIC50=8.3
COc1ccc(NC(=O)c2ccc(Cl)c(Nc3ncnc4cnc(NCCN5CCOCC5)nc34)c2)cc1C(F)(F)F	CHEMBL3694078	pIC50=8.3
COc1ccc(NC(=O)c2ccc(F)c(Nc3ncnc4cnc(nc34)N5CCCC5)c2)cc1C(F)(F)F	CHEMBL3694101	pIC50=8.3
COc1ccc(NC(=O)c2ccc(F)c(Nc3ncnc4cnc(nc34)N5CCCCC5)c2)cc1C(F)(F)F	CHEMBL3694098	pIC50=8.3
COc1ccc(NC(=O)c2ccc(c(Nc3ncnc4cnc(nc34)N5CCOCC5)c2)C(F)(F)F)cc1C(F)(F)F	CHEMBL3694113	pIC50=8.3
COc1ccc(cc1NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCN(C)CC5)c2)C(F)(F)F	CHEMBL3697844	pIC50=8.3
COc1ccc(cc1Nc2ncnc3cnc(NCCCN4CCOCC4)nc23)C(=O)Nc5ccc(OC)c(c5)C(F)(F)F	CHEMBL3694087	pIC50=8.3
Cc1cc(cc(Nc2ncnc3cnc(nc23)N4CCOCC4)c1C)C(=O)Nc5cc(nn5C)C(C)(C)C	CHEMBL3697913	pIC50=8.3
Cc1ccc(NC(=O)c2cccc(c2)C(C)(C)C#N)cc1Nc3ncnc4ccc(N[C@H]5CCOC5)nc34	CHEMBL3659967	pIC50=8.3
Cc1ccc(cc1Nc2ncnc3c(N)nc(nc23)N4CCN(CC4)C5CCCC5)C(=O)Nc6cc(n[nH]6)C(C)(C)C	CHEMBL3689938	pIC50=8.3
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCN(CC4)C5CC5)C(=O)Nc6cc(on6)C(C)(C)C	CHEMBL3641109	pIC50=8.3
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCSCC4)C(=O)Nc5cc(CN6CCCC6)cc(c5)C(F)(F)F	CHEMBL3694161	pIC50=8.3
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CC[C@H](F)C4)C(=O)Nc5cc(on5)C(C)(C)C	CHEMBL3641039	pIC50=8.3
Cc1ccc(cc1Nc2ncnc3cncnc23)C(=O)Nc4cc(n[nH]4)C(C)(C)C	CHEMBL3643297	pIC50=8.3
O\N=C\c1ccc(cc1)c2[nH]c(nc2c3ccncc3)c4ccccc4	CHEMBL200783	pKd=8.3
CC(C)(CN)c1nc(c2ccc3\C(=N\O)\CCc3c2)c([nH]1)c4ccncc4	CHEMBL478823	pKd=8.31
CS(=O)(=O)N1C2CCC1CC(C2)c3ccnc4c(c5cccc6[nH]ncc56)c(nn34)c7ccncc7	CHEMBL570453	pIC50=8.31
O[C@@H]1CNCC[C@H]1n2cc(c3ccc4c(Cc5c[nH]nc45)c3)c(n2)c6ccncc6	CHEMBL1780175	pIC50=8.31
Fc1ccc(cc1Nc2ncccc2c3ncnc4[nH]cnc34)C(=O)Nc5ccc(Cl)c(c5)C(F)(F)F	CHEMBL3354392	pIC50=8.32
CN(C)Cc1cc(cc(c1)C(F)(F)F)C(=O)N[C@@H]2CCc3ccc(Oc4ccnc5NC(=O)CCc45)cc3C2	CHEMBL1688860	pIC50=8.33
C1c2cc(ccc2c3n[nH]cc13)c4cn(nc4c5ccncc5)c6ccccc6	CHEMBL1780174	pIC50=8.34
COc1cc(ccc1O)c2ccc3ncnc(Nc4ccc(F)c(O)c4F)c3c2	CHEMBL3665863	pIC50=8.35
Oc1c(F)ccc(Nc2ncnc3ccc(cc23)c4ccc5[nH]ncc5c4)c1F	CHEMBL3665864	pIC50=8.35
CCN1C2CCC1CC(C2)c3ccnc4c(c5ccc(Cl)c6[nH]ncc56)c(nn34)c7ccncc7	CHEMBL583245	pIC50=8.36
CCOC(=O)N1C2CCC1CC(C2)c3ccnc4c(c5ccc(c6[nH]ncc56)C(F)(F)F)c(nn34)c7ccncc7	CHEMBL571744	pIC50=8.36
CC(C)(N)c1cc(cc(c1)C(F)(F)F)C(=O)N[C@@H]2CCc3ccc(Oc4ccnc5NC(=O)CCc45)cc3C2	CHEMBL1688861	pIC50=8.38
Cc1ccc(NC(=O)Nc2ccc(Cl)c(c2)C(F)(F)F)cc1Nc3ncccc3c4ncnc5[nH]cnc45	CHEMBL3354378	pIC50=8.38
Cn1cc(c2ccc3\C(=N\O)\CCc3c2)c(n1)c4ocnc4	CHEMBL496478	pIC50=8.39
CC(=O)N1CCN(CC1)c2ncc3ncnc(Nc4cc(NC(=O)c5cccc(c5)C(C)(C)C#N)ccc4C)c3n2	CHEMBL3641236	pIC50=8.4
CC(=O)Nc1cc(Oc2ccc3c(c2)nc(Nc4ccc(cc4)C(F)(F)F)n3C)ccn1	CHEMBL3335380	pIC50=8.4
CC(C)(C#N)c1cccc(NC(=O)c2ccc(F)c(Nc3ncnc4cnc(nc34)N5CCOCC5)c2)c1	CHEMBL3697923	pIC50=8.4
CC(C)(C)c1onc(NC(=O)c2ccc(Cl)c(Nc3ncnc4cnc(nc34)N5CCCCC5)c2)c1	CHEMBL3694136	pIC50=8.4
CC(C)(C)c1onc(NC(=O)c2ccc(F)c(Nc3ncnc4cnc(nc34)N5CCN(CC6CC6)CC5)c2)c1	CHEMBL3697937	pIC50=8.4
CC(C)(C)c1onc(NC(=O)c2ccc(F)c(Nc3ncnc4cnc(nc34)N5CCOCC5)c2)c1	CHEMBL3694152	pIC50=8.4
CC(C)CN1CCN(CC1)c2cc(NC(=O)c3ccc(C)c(Nc4ncnc5cnc(nc45)N6CCOCC6)c3)cc(c2)C(F)(F)F	CHEMBL3641083	pIC50=8.4
CC(C)CN1CCN(CC1)c2nc(N)c3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(n[nH]5)C(C)(C)C)c3n2	CHEMBL3689936	pIC50=8.4
CC(C)CN1CCN(CC1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(on5)C(C)(C)C)c3n2	CHEMBL3641110	pIC50=8.4
CC(C)c1ccc(Nc2nc3cc(Oc4ccnc(NC(=O)C)c4)ccc3n2C)cc1	CHEMBL3335378	pIC50=8.4
CCCS(=O)(=O)Nc1cc(F)cc(c1Cl)c2[nH]c(nc2c3ccncn3)C4CC4	CHEMBL3651692	pIC50=8.4
CCCS(=O)(=O)Nc1ccc(F)c(c1F)n2cc(c3cncnc3)c4nc(ncc24)N(C)C5CCN(C)CC5	CHEMBL3702561	pIC50=8.4
CCN(CC)c1ncc2ncnc(Nc3cc(ccc3C)C(=O)Nc4cc(cc(c4)C(F)(F)F)N(C)CCN(C)C)c2n1	CHEMBL3697723	pIC50=8.4
CCN1CCN(CC1)c2cc(NC(=O)c3ccc(C)c(Nc4ncnc5cnc(nc45)N6CC[C@H](F)C6)c3)cc(c2)C(F)(F)F	CHEMBL3641065	pIC50=8.4
CN(C)CCCN(C)c1ncc2ncnc(Nc3cc(NC(=O)c4cc(cc(c4)C(F)(F)F)N5CCN(C)CC5)ccc3C)c2n1	CHEMBL3641225	pIC50=8.4
CN(C)CCN(C)c1cc(NC(=O)c2ccc(C)c(Nc3ncnc4c(N)nc(nc34)N5CC[C@H](F)C5)c2)cc(c1)C(F)(F)F	CHEMBL3694043	pIC50=8.4
CN(C)CCN(C)c1cc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(NCCc5ccccc5)nc34)c2)cc(c1)C(F)(F)F	CHEMBL3639965	pIC50=8.4
CN(C)CCN(C)c1cc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(NCc5ccccc5)nc34)c2)cc(c1)C(F)(F)F	CHEMBL3694228	pIC50=8.4
CN(C)CCN(C)c1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(NCc5ccccn5)nc34)c2)cc1C(F)(F)F	CHEMBL3694197	pIC50=8.4
CN(C)CCN(C)c1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCC(F)CC5)c2)cc1C(F)(F)F	CHEMBL3694187	pIC50=8.4
CN(C)CCN(C)c1ncc2ncnc(Nc3cc(ccc3C)C(=O)Nc4cccc(c4)C(F)(F)F)c2n1	CHEMBL3697778	pIC50=8.4
CN(C)CCOc1cc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(NCc5ccccn5)nc34)c2)cc(c1)C(F)(F)F	CHEMBL3694216	pIC50=8.4
CN(C)CCn1cc(c2ccc3\C(=N\O)\CCc3c2)c(n1)c4ccncc4	CHEMBL498327	pIC50=8.4
CN(C)c1cccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCOCC5)c2)c1	CHEMBL3697854	pIC50=8.4
CN(C1CCN(C)C1)c2ncc3ncnc(Nc4cc(ccc4F)C(=O)Nc5cc(on5)C(C)(C)C)c3n2	CHEMBL3641027	pIC50=8.4
CN(CC1CCCCO1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(on5)C(C)(C)C)c3n2	CHEMBL3641096	pIC50=8.4
CN(CC1CCOCC1)c2ncc3ncnc(Nc4cc(NC(=O)c5cccc(c5)C(C)(C)C#N)ccc4C)c3n2	CHEMBL3641239	pIC50=8.4
CN1CCC(CC1)N2CCN(CC2)c3ncc4ncnc(Nc5cc(ccc5C)C(=O)Nc6cc(on6)C(C)(C)C)c4n3	CHEMBL3641102	pIC50=8.4
CN1CCC(CN2CCN(CC2)c3nc(N)c4ncnc(Nc5cc(NC(=O)c6cccc(c6)C(F)(F)F)ccc5C)c4n3)CC1	CHEMBL3694059	pIC50=8.4
CN1CCC(CN2CCN(CC2)c3nc(N)c4ncnc(Nc5cc(ccc5C)C(=O)Nc6cc(n[nH]6)C(C)(C)C)c4n3)CC1	CHEMBL3689912	pIC50=8.4
CN1CCCN(CC1)c2ncc3ncnc(Nc4cc(ccc4Cl)C(=O)Nc5cc(on5)C(C)(C)C)c3n2	CHEMBL3694133	pIC50=8.4
CN1CCN(CC1)c2cc(NC(=O)c3ccc(C)c(Nc4ncnc5ccc(nc45)N6CCOCC6)c3)cc(c2)C(F)(F)F	CHEMBL3659914	pIC50=8.4
CN1CCN(CC1)c2cc(NC(=O)c3ccc(C)c(Nc4ncnc5cnc(NC6CCOC6)nc45)c3)cc(c2F)C(F)(F)F	CHEMBL3641121	pIC50=8.4
CN1CCN(CC1)c2cc(NC(=O)c3ccc(C)c(Nc4ncnc5cnc(nc45)N6CC[C@H](F)C6)c3)cc(c2)C(F)(F)F	CHEMBL3641080	pIC50=8.4
CN1CCN(CC1)c2cc(NC(=O)c3ccc(C)c(Nc4ncnc5cnc(nc45)N6CC[C@H](F)C6)c3)cc(c2F)C(F)(F)F	CHEMBL3641126	pIC50=8.4
CN1CCN(CC1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5ccc(Cl)c(c5)C(F)(F)F)c3n2	CHEMBL3697845	pIC50=8.4
CN1CCN(CC1)c2ncc3ncnc(Nc4cc(ccc4Cl)C(=O)Nc5cc(on5)C(C)(C)C)c3n2	CHEMBL3694135	pIC50=8.4
CN1C[C@H]2C[C@@H]1CN2c3nc(N)c4ncnc(Nc5cc(ccc5C)C(=O)Nc6cc(n[nH]6)C(C)(C)C)c4n3	CHEMBL3689935	pIC50=8.4
CNS(=O)(=O)c1cccc(Nc2ncnc3[nH]cc(c4ccc(Cl)cc4)c23)c1	CHEMBL3613178	pIC50=8.4
CNS(=O)(=O)c1cccc(Nc2ncnc3[nH]cc(c4ccc(OC)cc4)c23)c1	CHEMBL3613179	pIC50=8.4
CNS(=O)(=O)c1cccc(Nc2ncnc3[nH]cc(c4ccccc4)c23)c1	CHEMBL3612667	pIC50=8.4
COCCN(C)c1ncc2ncnc(Nc3cc(ccc3C)C(=O)Nc4cc(n[nH]4)C(C)(C)C)c2n1	CHEMBL3641092	pIC50=8.4
COCCN1CCN(CC1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(OC)cc(c5)C(F)(F)F)c3n2	CHEMBL3641150	pIC50=8.4
COCCN1CCN(CC1)c2ncc3ncnc(Nc4cc(ccc4F)C(=O)Nc5cc(on5)C(C)(C)C)c3n2	CHEMBL3697935	pIC50=8.4
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCC[C@H]5CO)c2)cc1C(F)(F)F	CHEMBL3641161	pIC50=8.4
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCN(CC(C)C)CC5)c2)cc1C(F)(F)F	CHEMBL3641070	pIC50=8.4
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCN(CC5)C6CCN(C)CC6)c2)cc1C(F)(F)F	CHEMBL3641172	pIC50=8.4
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5C[C@@H](C)O[C@@H](C)C5)c2)cc1C(F)(F)F	CHEMBL3641165	pIC50=8.4
COc1ccc(NC(=O)c2ccc(Cl)c(Nc3ncnc4cnc(NCCCN5CCOCC5)nc34)c2)cc1C(F)(F)F	CHEMBL3694074	pIC50=8.4
COc1ccc(NC(=O)c2ccc(F)c(Nc3ncnc4cnc(nc34)N5CCOCC5)c2)cc1C(F)(F)F	CHEMBL3694100	pIC50=8.4
COc1ccc(cc1NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N(C)CCN(C)C)c2)C(C)(C)C	CHEMBL3697786	pIC50=8.4
COc1ccc(cc1NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCOCC5)c2)C(C)(C)C	CHEMBL3697851	pIC50=8.4
COc1ccc(cc1Nc2ncnc3cnc(nc23)N(C)CCN(C)C)C(=O)Nc4ccc(OC)c(c4)C(F)(F)F	CHEMBL3694081	pIC50=8.4
COc1ccc(cc1Nc2ncnc3cnc(nc23)N(C)CCN4CCCC4)C(=O)Nc5cc(on5)C(C)(C)C	CHEMBL3639930	pIC50=8.4
CS(=O)(=O)Nc1cc(Cl)cc(c1F)c2[nH]c(nc2c3ccnc(N)n3)C4CC4	CHEMBL3651663	pIC50=8.4
CS(=O)(=O)Nc1cccc(c1F)c2[nH]c(nc2c3ccnc(NCCC#N)n3)C4CC4	CHEMBL3651687	pIC50=8.4
Cc1ccc(NC(=O)c2cccc(c2)C(C)(C)C#N)cc1Nc3ncnc4ccc(nc34)N5CCOCC5	CHEMBL3659963	pIC50=8.4
Cc1ccc(cc1Nc2ncnc3c(N)nc(nc23)N4CCN5CCCCC5C4)C(=O)Nc6cc(n[nH]6)C(C)(C)C	CHEMBL3689942	pIC50=8.4
Cc1ccc(cc1Nc2ncnc3ccc(nc23)N4CCOCC4)C(=O)Nc5cc(CN6CCCC6)cc(c5)C(F)(F)F	CHEMBL3659916	pIC50=8.4
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCC(F)(F)CC4)C(=O)Nc5cc(CN6CCCC6)cc(c5)C(F)(F)F	CHEMBL3694164	pIC50=8.4
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCC4)C(=O)Nc5cc(CN6CCCC6)cc(c5)C(F)(F)F	CHEMBL3694162	pIC50=8.4
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCCC4)C(=O)Nc5ccc(F)c(c5)C(F)(F)F	CHEMBL3697811	pIC50=8.4
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCCCC4)C(=O)Nc5ccc6N(CCN7CCCC7)C(=O)C(C)(C)c6c5	CHEMBL3697757	pIC50=8.4
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCCCC4)C(=O)Nc5cccc(OC(F)(F)F)c5	CHEMBL3697876	pIC50=8.4
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCN(CC5CCOC5)CC4)C(=O)Nc6cc(on6)C(C)(C)C	CHEMBL3641098	pIC50=8.4
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCOCC4)C(=O)Nc5cc(cc(c5)C(F)(F)F)N6CCN(CCO)CC6	CHEMBL3641141	pIC50=8.4
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCOCC4)C(=O)Nc5ccc(C#N)c(c5)C(F)(F)F	CHEMBL3697884	pIC50=8.4
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CC[C@@H](F)C4)C(=O)Nc5ccc6N(CCN7CCCC7)C(=O)C(C)(C)c6c5	CHEMBL3697750	pIC50=8.4
