NC1=C2C(=NC=N1)N(N=C2C1=CC=C(OC2=CC=CC=C2)C=C1)[C@@H]1CCCN(C1)C(=O)C=C	ibrutinib	pKi=9.14266777	pKi=9.14266777	pKi=9.14266777	pIC50=7.85
COc1ccc(cc1)c2ccc(C(=O)N)c3[nH]c4ccc(cc4c23)C(=O)N5CCN(C)CC5	CHEMBL3621460	pIC50=7.54
Nc1n[nH]c2cc(nc(c3ccc(Oc4ccccc4)cc3)c12)c5ccc(cc5)C(=O)O	CHEMBL2057923	pIC50=9.0
Nc1ncnc2c1c(nn2C3CC4(C3)CN(C4)C(=O)C=C)c5ccc(Oc6ccccc6)cc5	CHEMBL3647514	pIC50=9.0
CC(C)(C)c1ccc2C(=O)N(N=Cc2c1)c3cccc(c3CO)n4cc(C(=O)N)c(Nc5ccccn5)n4	CHEMBL3652681	pIC50=9.02
C[S+]([O-])c1cnc(Nc2ccc(cc2)N3CCOCC3)nc1Nc4cccc(NC(=O)C=C)c4	CHEMBL3785165	pIC50=9.04
CC(C)(\C=C(/C#N)\C(=O)N1CCC[C@H](C1)n2nc(c3ccc(Oc4ccccc4)cc3F)c5c(N)ncnc25)N6CC(O)C6	CHEMBL3702833	pIC50=9.05
CCN(C1COC1)C(C)(C)\C=C(/C#N)\C(=O)N2CCC[C@H](C2)n3nc(c4ccc(Oc5ccccc5)cc4F)c6c(N)ncnc36	CHEMBL3702840	pIC50=9.05
CCN1CCN(CC1)C(C)(C)\C=C(/C#N)\C(=O)N2CCC[C@H](C2)n3nc(c4ccc(Oc5ccccc5)cc4F)c6c(N)ncnc36	CHEMBL3702847	pIC50=9.05
CCN1CCN(CC1)C(C)(C)\C=C(/C#N)\C(=O)N2CCC[C@H]2Cn3nc(c4ccc(Oc5ccccc5)cc4F)c6c(N)ncnc36	CHEMBL3702859	pIC50=9.05
COc1cc2nc(Nc3ccccc3C)c4cncn4c2cc1NC(=O)\C=C\CN(C)C	CHEMBL1916715	pIC50=9.05
CN1C=C(C=C(Nc2ccncn2)C1=O)c3cccc(N4CCc5c6CCCCc6sc5C4=O)c3CO	CHEMBL3670081	pIC50=9.06
Nc1ncnc2c1c(nn2C3CC4(CCN(C4)C(=O)C=C)C3)c5ccc(Oc6ccccc6)cc5	CHEMBL3647518	pIC50=9.06
CN1C(=NC=C(C1=O)c2ccc(c(F)c2)c3nn(C4CC5(C4)CN(C5)C(=O)C=C)c6ncnc(N)c36)Cc7ccccc7	CHEMBL3647519	pIC50=9.07
COc1cc2nc(Nc3ccccc3C)c4cncn4c2cc1NC(=O)C#CCN5CCCCC5	CHEMBL1916713	pIC50=9.07
COc1cc2nc(Nc3ccccc3C)c4cncn4c2cc1NC(=O)C#CCN5CCOCC5	CHEMBL1916712	pIC50=9.07
CC#CC(=O)N1CC2(CC(C2)n3nc(c4ccc(Oc5ccccc5)cc4)c6c(N)ncnc36)C1	CHEMBL3647516	pIC50=9.08
CC(C)(C)c1ccc2C(=O)N(N=Cc2c1)c3cccc(c3CO)n4cc(C(=O)N)c(Nc5cnccn5)n4	CHEMBL3652665	pIC50=9.08
CC#CC(=O)N1CC[C@@]2(C[C@H](C2)n3nc(c4ccc(Oc5ccccc5)cn4)c6c(N)ncnc36)C1	CHEMBL3647526	pIC50=9.13
Nc1ncnc2c1c(nn2C3CCCN(C3)C(=O)C#C)c4ccc(Oc5ccccc5)cc4	CHEMBL3647969	pIC50=9.14
Nc1ncnc2c1c(nn2C3CCCN(C3)C(=O)C=C)c4ccc(Oc5ccccc5)cc4	CHEMBL3182647	pIC50=9.14
CC(C)(\C=C(/C#N)\C(=O)N1CCC[C@H](C1)n2nc(c3ccc(Oc4ccccc4)cc3F)c5c(N)ncnc25)N6CCC(O)CC6	CHEMBL3702844	pIC50=9.16
CC(C)N1CCN(CC1)C(C)(C)\C=C(/C#N)\C(=O)N2CCC[C@H](C2)n3nc(c4ccc(Oc5ccccc5)cc4F)c6c(N)ncnc36	CHEMBL3702848	pIC50=9.16
Nc1n[nH]c2cc(nc(c3ccc(Oc4ccccc4)cc3)c12)c5ccc(cc5)C(=O)Nc6nnn[nH]6	CHEMBL3639560	pIC50=9.16
CC(C)(C)N1CCN(CC1)C(C)(C)\C=C(/C#N)\C(=O)N2CCC[C@H](C2)n3nc(c4ccc(Oc5ccccc5)cc4F)c6c(N)ncnc36	CHEMBL3702849	pIC50=9.22
CN(C1COC1)C(C)(C)\C=C(/C#N)\C(=O)N2CCC[C@H](C2)n3nc(c4ccc(Oc5ccccc5)cc4F)c6c(N)ncnc36	CHEMBL3702839	pIC50=9.22
CC(C)(C)c1cc(F)c2C(=O)N(N=Cc2c1)c3cccc(c3CO)n4cc(C(=O)N)c(Nc5ccc(cn5)C(F)(F)F)n4	CHEMBL3652661	pIC50=9.24
Nc1ncnc2c1c(nn2C3CCCN(C3)C(=O)CCl)c4ccc(Oc5ccccc5)cc4	CHEMBL3647972	pIC50=9.24
Nc1ncnc2c1c(nn2[C@@H]3CC[C@@H](CC3)NC(=O)C=C)c4ccc(Oc5ccccc5)cc4	CHEMBL3647967	pIC50=9.24
CC(C)(C)c1ccc2C(=O)N(N=Cc2c1)c3cccc(c3CO)n4cc(C(=O)N)c(Nc5ccc(F)cn5)n4	CHEMBL3652664	pIC50=9.25
Nc1ncnc2c1c(nn2C3CCCN(C3)S(=O)(=O)C=C)c4ccc(Oc5ccccc5)cc4	CHEMBL3647968	pIC50=9.28
Cc1cc(Nc2nn(cc2C(=O)N)c3cccc(N4N=Cc5cc(ccc5C4=O)C(C)(C)C)c3CO)nn1C	CHEMBL3652663	pIC50=9.29
CN(CCCOc1cccc(Nc2ncc(C)c(n2)N(C)c3cccc(NC(=O)C=C)c3)c1)C(=O)CCCC(=O)NCCCOCCOCCOCCCNC(=O)CCCC[C@H]4SC[C@H]5NC(=O)N[C@@H]45	CHEMBL3397911	pIC50=9.3
CC(C)(C)c1cc(F)c2C(=O)N(N=Cc2c1)c3cccc(c3CO)n4cc(C(=O)N)c(Nc5cnccn5)n4	CHEMBL3652658	pIC50=9.37
CC(C)(\C=C(/[N+]#[C-])\C(=O)N1CCC[C@H](C1)n2nc(c3ccc(Oc4ccccc4)cc3F)c5c(N)ncnc25)N6CCNCC6	CHEMBL3702832	pIC50=9.4
CCN(CC)C\C=C\c1nc(O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c23)c1C	CHEMBL281957	pIC50=9.4
CN(C)Cc1ccc(Nc2nn(cc2C(=O)N)c3cccc(N4N=Cc5cc(ccc5C4=O)C(C)(C)C)c3CO)nc1	CHEMBL3652682	pIC50=9.41
CC(C)(C)c1cc(F)c2C(=O)N(N=Cc2c1)c3cccc(c3CO)n4cc(C(=O)N)c(Nc5ccccn5)n4	CHEMBL3652655	pIC50=9.44
CN1CCN(CC1)C(C)(C)\C=C(/[N+]#[C-])\C(=O)N2CCC[C@H](C2)n3nc(c4ccc(Oc5ccccc5)cc4F)c6c(N)ncnc36	CHEMBL3702830	pIC50=9.52
CC(C)(C)c1cc(F)c2C(=O)N(N=Cc2c1)c3cccc(c3CO)n4cc(C(=O)N)c(Nc5ccc(Cl)cn5)n4	CHEMBL3652652	pIC50=9.54
Cc1cc(Nc2nn(cc2C(=O)N)c3cccc(N4N=Cc5cc(cc(F)c5C4=O)C(C)(C)C)c3CO)nn1C	CHEMBL3652660	pIC50=9.54
COC(C)(C)CCn1nc(Nc2c(C)cccc2C)c3cnc(Nc4ccc(OCCN5CCCC5)cc4)nc13	CHEMBL458333	pKi=9.6
CC(C)(C)c1cc(F)c2C(=O)N(N=Cc2c1)c3cccc(c3CO)n4cc(C(=O)N)c(Nc5ccc(F)cn5)n4	CHEMBL3652659	pIC50=9.62
Cc1ccc(Nc2nn(cc2C(=O)N)c3cccc(N4N=Cc5cc(cc(F)c5C4=O)C(C)(C)C)c3CO)nc1	CHEMBL3652662	pIC50=9.62
Cn1ccc(Nc2nn(cc2C(=O)N)c3cccc(N4N=Cc5cc(cc(F)c5C4=O)C(C)(C)C)c3CO)n1	CHEMBL3652657	pIC50=9.66
CC(C)(C)c1cc(F)c2C(=O)N(N=Cc2c1)c3cccc(c3CO)n4cc(C(=O)N)c(Nc5ccc(cn5)C#N)n4	CHEMBL3652668	pIC50=9.75
CC(C)(CN1CCC1)Oc2ccc(Nc3nn(cc3C(=O)N)c4cccc(N5N=Cc6cc(cc(F)c6C5=O)C(C)(C)C)c4CO)nc2	CHEMBL3652653	pIC50=9.75
CC(C)(C)c1cc(F)c2C(=O)N(N=Cc2c1)c3cccc(c3CO)n4cc(C(=O)N)c(Nc5ccc(cn5)S(=O)(=O)C)n4	CHEMBL3652667	pIC50=9.77
CC(=O)c1ccc(Nc2nn(cc2C(=O)N)c3cccc(N4N=Cc5cc(ccc5C4=O)C(C)(C)C)c3CO)cc1	CHEMBL3652680	pIC50=9.92
CC(C)(C)c1cc(F)c2C(=O)N(N=Cc2c1)c3cccc(c3CO)n4cc(C(=O)N)c(Nc5ccc(cc5)S(=O)(=O)C)n4	CHEMBL3652656	pIC50=10.05
CN1CCn2nc(Nc3nn(cc3C(=O)N)c4cccc(N5N=Cc6cc(cc(F)c6C5=O)C(C)(C)C)c4CO)cc2C1	CHEMBL3652654	pIC50=10.05
