O=S(=O)(N1CCCNCC1)C1=CC=CC2=C1C=CN=C2	fasudil	pKd=7.11	pKd=7.11	pKd=7.11
[H][C@]1(C)CNCCCN1S(=O)(=O)C1=CC=CC2=C1C(F)=CN=C2	ripasudil	pIC50=7.72124624	pIC50=7.72124624	pIC50=7.72124624
Nc1cc(CN2CCCC(C2)Nc3ccc4[nH]ncc4c3)ccc1Cl	CHEMBL3689429	pIC50=7.53
CC[C@@H](NC(=O)c1ccc(OC)c(Cl)c1)c2cccc(c2)C(=O)Nc3nc4CCN(C)Cc4s3	CHEMBL3700912	pIC50=8.42
CN(C)[C@H]1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)c5ccc(cc5)c6ccncc6)sc2C1	CHEMBL3700963	pIC50=8.42
NCCCC[C@@H](NC(=O)CCCCCNC(=O)c1cccc(c1)c2ccncc2)C(=O)NCCCCCC(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N	CHEMBL1077370	pKd=8.42
CN1CCc2nc(NC(=O)c3cccc(CNC(=O)c4cn5cc(ccc5n4)C(=O)N)c3)sc2C1	CHEMBL3680806	pIC50=8.43
CN(C)[C@H]1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)c5ccc(cc5)n6ccnc6)sc2C1	CHEMBL3700974	pIC50=8.44
CN(C)[C@H]1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)c5ccc6NC(=O)C=Cc6c5)sc2C1	CHEMBL3700978	pIC50=8.44
COCCOC(=O)c1cccc(c1)c2cc(ccc2CN)C(=O)Nc3ccncc3	CHEMBL2440732	pIC50=8.44
NCc1ccc(cc1c2cccc(c2)C(=O)Nc3cccc(C(=O)O)c3F)C(=O)Nc4ccncc4F	CHEMBL3426646	pIC50=8.46
CC[C@@H](C)OC(=O)c1ccc(F)c(NC(=O)c2cccc(c2)c3cc(ccc3CN)C(=O)Nc4ccncc4F)c1	CHEMBL3426636	pIC50=8.48
COc1cc(ccc1NC(=O)C2COc3ccccc3O2)c4cn[nH]c4	CHEMBL485215	pIC50=8.48
Cc1cccc(c1)C(CN)C(=O)Nc2ccc3cnccc3c2	CHEMBL3794198	pKi=8.48
NCc1ccc(cc1c2cccc(c2)C(=O)Nc3ccc(cc3)C(=O)O)C(=O)Nc4ccncc4F	CHEMBL3426628	pIC50=8.48
CC(C)C(=O)OCc1ccc(cc1)C(CN)C(=O)Nc2ccc3cnccc3c2	CHEMBL3794444	pKi=8.5
CN(C)CCOc1cc(ccc1NC(=O)C2COc3ccccc3O2)c4cn[nH]c4	CHEMBL521179	pIC50=8.5
COC(=O)c1ccc(cc1)C(=O)Nc2cccc(c2)c3cc(ccc3CN)C(=O)Nc4ccncc4F	CHEMBL3426731	pIC50=8.51
CCN(Cc1cccc(OC)c1)C(=O)Nc2ccc(cc2OCCN(C)C)c3cn[nH]c3	CHEMBL3402462	pIC50=8.52
CN(C)CCSc1nc(nc2ccc(cc12)c3cn[nH]c3)C4COc5ccc(cc5C4)C(=O)NCCN6CCOCC6	CHEMBL1684220	pIC50=8.52
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4ccc(cc4)n5ccnc5C)c3)cc2C1	CHEMBL3680801	pIC50=8.52
COCCNC(=O)c1ccc2OCC(Cc2c1)c3nc(SCCN(C)C)c4cc(ccc4n3)c5cn[nH]c5	CHEMBL1684219	pIC50=8.52
COc1cc(ccc1NC(=O)C2COc3ccc(Cl)cc3C2)c4cn[nH]c4	CHEMBL519959	pIC50=8.52
COc1cc(ccc1NC(=O)C2COc3ccc(F)cc3C2)c4cn[nH]c4	CHEMBL520103	pIC50=8.52
COc1ccc2CN[C@H](Cc2c1)C(=O)Nc3ccc(cc3OC4CCN(C)CC4)c5cn[nH]c5	CHEMBL1215306	pIC50=8.52
COc1ccc2OCC(Cc2c1)C(=O)Nc3ccc(c(OC)c3)c4cn[nH]c4	CHEMBL519304	pIC50=8.52
COc1ccc2OCC(Cc2c1)C(=O)Nc3ccc(cc3)c4cn[nH]c4	CHEMBL475601	pIC50=8.52
COc1ccc2OCC(Cc2c1)C(=O)Nc3ccc(cc3OC)c4cn[nH]c4	CHEMBL482351	pIC50=8.52
COc1cccc(CN(C(C)C)C(=O)Nc2ccc(cc2)c3cn[nH]c3)c1	CHEMBL2332064	pIC50=8.52
COc1cccc(CN(C)C(=O)c2cc3ccc(cc3[nH]2)c4cn[nH]c4)c1	CHEMBL1922029	pIC50=8.52
COc1cccc(CN(CCN2CCCC2)C(=O)Nc3ccc(cc3)c4cn[nH]c4)c1	CHEMBL2332069	pIC50=8.52
COc1cccc(CNC(=O)c2[nH]c3cc(ccc3c2CN4CCOCC4)c5cn[nH]c5)c1	CHEMBL1922139	pIC50=8.52
Cc1nnnn1c2ccc(cc2)C(=O)NCc3cccc(c3)C(=O)Nc4nc5CC[C@@H](N)Cc5s4	CHEMBL3680714	pIC50=8.52
Fc1ccc2OCC(Cc2c1)C3=Nc4ccc(cc4C(=O)N3)c5cn[nH]c5	CHEMBL1684204	pIC50=8.52
Fc1cccc(CNC(=O)Nc2ccc(cc2)c3cn[nH]c3)c1	CHEMBL3402446	pIC50=8.52
NCC(C(=O)Nc1ccc2cnccc2c1)c3cccc(CO)c3	CHEMBL3792689	pKi=8.52
Nc1cccc(CNC(=O)Nc2ccc(cc2)c3cn[nH]c3)c1	CHEMBL3402444	pIC50=8.52
O=C(NCCc1cccs1)c2c[nH]c3cc(ccc23)c4cn[nH]c4	CHEMBL1923177	pIC50=8.52
COC(=O)c1cccc(c1)c2cc(ccc2CN)C(=O)Nc3ccncc3	CHEMBL2440743	pIC50=8.54
O=C(Nc1nc2CC[C@@H](Cc2s1)N3CCOCC3)c4cccc(c4)[C@H]5CCCN5C(=O)N6CCc7c(cccc67)C#N	CHEMBL3700980	pIC50=8.54
COc1ccc(cc1Cl)C(=O)N[C@H](C2CC2)c3cccc(c3)C(=O)Nc4nc5CCN(C)Cc5s4	CHEMBL3700903	pIC50=8.55
NCCCC[C@@H](NC(=O)CCCCCNC(=O)c1ccc(s1)c2ccnc(N)n2)C(=O)NCCCCCC(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N	CHEMBL1077375	pIC50=8.56
NCC(C(=O)Nc1ccc2cnccc2c1)c3cccc(c3)C(F)(F)F	CHEMBL3793203	pKi=8.57
NCc1ccc(cc1c2cccc(c2)C(=O)OCC3CC3)C(=O)Nc4ccncc4F	CHEMBL2440730	pIC50=8.57
Nc1nonc1n2nnc(C(=O)N3CCC[C@@H]3c4cccc(c4)C(=O)Nc5nc6CC[C@@H](Cc6s5)N7CCOCC7)c2c8ccccc8	CHEMBL3704380	pIC50=8.57
Nc1nonc1n2nnc(C(=O)NCc3cccc(c3)C(=O)Nc4nc5CC[C@@H](Cc5s4)N6CCOCC6)c2c7ccccc7	CHEMBL3680780	pIC50=8.58
CCC(C)OC(=O)c1cccc(NC(=O)c2cccc(c2)c3cc(ccc3CN)C(=O)Nc4ccncc4F)c1	CHEMBL3426632	pIC50=8.59
CN(C)[C@H]1CCc2nc(NC(=O)c3cccc(CNC(=O)c4cn5cc(ccc5n4)C#N)c3)sc2C1	CHEMBL3680749	pIC50=8.59
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4ccc5cc(O)ccc5c4)c3)cc2C1	CHEMBL3680708	pIC50=8.59
N[C@@H]1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)Nc5cccc(c5)C#N)sc2C1	CHEMBL3700919	pIC50=8.59
CN(C)c1nc(nc2ccc(cc12)c3cn[nH]c3)[C@@H]4CNC[C@H]4c5ccccc5	CHEMBL2333879	pIC50=8.6
COC(=O)c1cccc(NC(=O)C2(CN(C)C)CCN(CC2)c3ncnc4[nH]cc(C#N)c34)c1	CHEMBL3613620	pIC50=8.6
NCc1ccc(cc1c2cccc(c2)C(=O)OCC3CCCO3)C(=O)Nc4ccncc4F	CHEMBL2440737	pIC50=8.6
NC(=N)NCCC[C@@H](NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)CCCCCNCCNS(=O)(=O)c1cccc2cnccc12)C(=O)N	CHEMBL2023714	pIC50=8.61
Cl.C[C@@H](N)c1ccc(cc1)C(=O)Nc2ccnc3[nH]ccc23	CHEMBL3794409	pKi=8.64
CN(C)[C@H]1CCc2nc(NC(=O)c3cccc(OCC(=O)Nc4ccc(cc4)C#N)c3)sc2C1	CHEMBL3700907	pIC50=8.66
COCCOC(=O)c1ccc(F)c(c1)C(=O)Nc2cccc(c2)c3cc(ccc3CN)C(=O)Nc4ccncc4F	CHEMBL3426640	pIC50=8.66
NCC(C(=O)Nc1ccc2c(O)nccc2c1)c3ccccc3	CHEMBL3792781	pKi=8.66
CCCOC(=O)c1ccc(F)c(NC(=O)c2cccc(c2)c3cc(ccc3CN)C(=O)Nc4ccncc4F)c1	CHEMBL3426634	pIC50=8.68
CN(C)[C@H]1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)c5ccc(cc5)c6ocnc6)sc2C1	CHEMBL3700965	pIC50=8.68
CN1CCc2nc(NC(=O)c3cccc(CNC(=O)c4nc(sc4C)c5ccncc5)c3)sc2C1	CHEMBL3680729	pIC50=8.68
CN1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)c5cccc(c5)c6cn[nH]c6)sc2C1	CHEMBL3700956	pIC50=8.68
COC(=O)c1cccc(c1)C(=O)Nc2cccc(c2)c3cc(ccc3CN)C(=O)Nc4ccncc4F	CHEMBL3426637	pIC50=8.68
C1Oc2ccccc2CC1c3nc4ccc(cc4[nH]3)c5ccncc5	CHEMBL452734	pIC50=8.7
CN(C)CCC(NC(=O)Nc1ccc(cc1)c2cn[nH]c2)c3ccccc3	CHEMBL2332059	pIC50=8.7
CN(C)[C@H]1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)c5ccc6cc(O)ccc6c5)sc2C1	CHEMBL3700972	pIC50=8.7
CN(C)[C@H]1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)c5csc(n5)c6ccncc6)sc2C1	CHEMBL3700968	pIC50=8.7
CN1CCc2nc(NC(=O)c3cccc(CNC(=O)c4cccc(c4)c5cn[nH]c5)c3)sc2C1	CHEMBL3680696	pIC50=8.7
COc1cc(NC(=O)C2COc3ccc(Cl)cc3C2)ccc1c4cn[nH]c4	CHEMBL482363	pIC50=8.7
COc1cc(cc2C(=O)NC(=Nc12)C3COc4ccccc4O3)c5cn[nH]c5	CHEMBL1684228	pIC50=8.7
COc1ccc2OCC(Cc2c1)C3=Nc4c(OC)cc(cc4C(=O)N3)c5cn[nH]c5	CHEMBL1684221	pIC50=8.7
COc1ccc2OCC(Cc2c1)C3=Nc4ccc(cc4C(=O)N3)c5cn[nH]c5	CHEMBL1684200	pIC50=8.7
COc1ccc2OCC(Cc2c1)c3nc4ccc(cc4[nH]3)c5ccnc(N)n5	CHEMBL454638	pIC50=8.7
COc1ccc2OCC(Cc2c1)c3oc4cc(ccc4n3)c5ccnc(N)n5	CHEMBL461338	pIC50=8.7
COc1cccc(CN(C)C(=O)c2c[nH]c3cc(ccc23)c4cn[nH]c4)c1	CHEMBL1922046	pIC50=8.7
COc1cccc(CN(CCN(C)C)C(=O)Nc2ccc(cn2)c3cn[nH]c3)c1	CHEMBL2332063	pIC50=8.7
COc1cccc(CNC(=O)Nc2ccc(cc2)c3c[nH]nc3C)c1	CHEMBL3402447	pIC50=8.7
COc1cccc(CNC(=O)Nc2ccc(cc2)c3cn[nH]c3)c1	CHEMBL3402466	pIC50=8.7
COc1cccc(CNC(=O)c2c[nH]c3cc(ccc23)c4ccncc4)c1	CHEMBL1923167	pIC50=8.7
COc1cccc(CNC(=O)c2c[nH]c3nc(ccc23)c4cn[nH]c4)c1	CHEMBL1922132	pIC50=8.7
COc1cccc(CNC(=O)c2cc3ccc(cc3[nH]2)c4cn[nH]c4)c1	CHEMBL1922026	pIC50=8.7
COc1cccc(CNC(=O)c2cc3ccc(nc3[nH]2)c4cn[nH]c4)c1	CHEMBL1922034	pIC50=8.7
COc1cccc(c1)C(CCO)NC(=O)Nc2ccc(cc2)c3cn[nH]c3	CHEMBL2332076	pIC50=8.7
COc1cccc(c1)C(CN)C(=O)Nc2ccc3cnccc3c2	CHEMBL3793153	pKi=8.7
Clc1cc2C(=O)NC=Cc2cc1NC(=O)C3CNCC3c4cccc(Br)c4	CHEMBL1083747	pIC50=8.7
FC(F)(F)c1ccc(cc1)[C@@H]2CNC[C@H]2C3=Nc4ccc(cc4C(=O)N3)c5cn[nH]c5	CHEMBL2333899	pIC50=8.7
Fc1ccc(cc1)[C@@H]2CNC[C@H]2C3=Nc4ccc(cc4C(=O)N3)c5cn[nH]c5	CHEMBL2333897	pIC50=8.7
NCC(C(=O)Nc1ccc2c(O)nccc2c1)c3ccc(F)cc3	CHEMBL3792581	pKi=8.7
NCC(C(=O)Nc1ccc2cnccc2c1)c3ccc(OCc4ccccc4)cc3	CHEMBL3792593	pKi=8.7
NCc1ccc(cc1c2cccc(c2)C(=O)Nc3cc(ccc3F)C(=O)O)C(=O)Nc4ccncc4F	CHEMBL3426643	pIC50=8.7
N[C@H]1CCc2nc(NC(=O)c3cccc(CNC(=O)c4cccc(c4)c5cccnc5)c3)sc2C1	CHEMBL3680719	pIC50=8.7
O=C(Nc1ccc(cc1)c2cn[nH]c2)C3COc4ccccc4O3	CHEMBL519123	pIC50=8.7
O=C1NC(=Nc2ccc(cc12)c3cn[nH]c3)C4CCc5ccccc5O4	CHEMBL1684196	pIC50=8.7
OCC(NC(=O)Nc1ccc(cc1)c2cn[nH]c2)c3ccccc3	CHEMBL2332058	pIC50=8.7
OCCC(NC(=O)Nc1ccc(cc1)c2cn[nH]c2)c3cccc(F)c3	CHEMBL2332056	pIC50=8.7
CN(C)[C@H]1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)c5cccc(c5)c6cn[nH]c6)sc2C1	CHEMBL3700977	pIC50=8.72
CN1CCc2nc(NC(=O)c3cccc(CNC(=O)c4ccc(cc4)n5ccnc5)c3)sc2C1	CHEMBL3680694	pIC50=8.72
Cc1c(nnn1c2nonc2N)C(=O)NCc3cccc(c3)C(=O)Nc4nc5CC[C@@H](Cc5s4)N6CCOCC6	CHEMBL3680781	pIC50=8.72
CCCOC(=O)c1cccc(c1)C(=O)Nc2cccc(c2)c3cc(ccc3CN)C(=O)Nc4ccncc4F	CHEMBL3426638	pIC50=8.75
COC(=O)c1cccc(NC(=O)C2(CN(C)C)CCN(CC2)c3ncnc4[nH]ccc34)c1	CHEMBL3613610	pIC50=8.75
NCC(C(=O)Nc1ccc2cnccc2c1)c3ccc(OC(=O)Cc4ccccc4)cc3	CHEMBL3792599	pKi=8.75
NCC(C(=O)Nc1ccc2cnccc2c1)c3ccc(cc3)C(F)(F)F	CHEMBL3793235	pKi=8.75
NCc1ccc(cc1c2cccc(c2)C(=O)Nc3ccc(CC(=O)O)cc3)C(=O)Nc4ccncc4F	CHEMBL3426629	pIC50=8.75
CN(C)[C@H]1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)c5cn6cc(ccc6n5)C(=O)N)sc2C1	CHEMBL3700975	pIC50=8.77
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4cc5cc(ccc5[nH]4)C(=O)N)c3)cc2C1	CHEMBL3680741	pIC50=8.77
NCC(C(=O)Nc1ccc2cnccc2c1)c3ccc(COC(=O)c4ccccc4)cc3	CHEMBL3792969	pKi=8.77
N[C@H]1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)Nc5cccc(c5)C#N)sc2C1	CHEMBL3700917	pIC50=8.77
O=C(Nc1nc2CC[C@@H](Cc2s1)N3CCOCC3)c4cccc(c4)[C@H]5CCCN5C(=O)c6cn7ccc(cc7n6)C#N	CHEMBL3700958	pIC50=8.77
CCCCC(=O)OCc1ccc(cc1)C(CN)C(=O)Nc2ccc3cnccc3c2	CHEMBL3793688	pKi=8.8
CCCN[C@H]1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)Nc5cccc(c5)C#N)sc2C1	CHEMBL3700924	pIC50=8.8
COC(=O)c1ccc(F)c(NC(=O)c2cccc(c2)c3cc(ccc3CN)C(=O)Nc4ccncc4F)c1	CHEMBL3426633	pIC50=8.8
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4cc5cc(ccc5[nH]4)C#N)c3)cc2C1	CHEMBL3680739	pIC50=8.82
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4ccc(s4)c5ocnc5)c3)cc2C1	CHEMBL3680731	pIC50=8.82
COCCCOC(=O)c1cccc(c1)c2cc(ccc2CN)C(=O)Nc3ccncc3	CHEMBL2440733	pIC50=8.82
NC(=N)NCCC[C@@H](NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)CCCCCNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23)C(=O)N	CHEMBL279185	pKd=8.82
NC(C(=O)Nc1ccc2cnccc2c1)c3ccccc3	CHEMBL3770730	pIC50=8.82
NCCC(C(=O)Nc1ccc2cnccc2c1)c3ccccc3	CHEMBL3793538	pKi=8.82
NCCCC[C@@H](NC(=O)CNCC(=O)NCCNS(=O)(=O)c1cccc2cnccc12)C(=O)NCCCCCC(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N	CHEMBL2023838	pKd=8.82
NCc1ccc(cc1c2cccc(c2)C(=O)Nc3cccc(CC(=O)O)c3)C(=O)Nc4ccncc4F	CHEMBL3426627	pIC50=8.82
O=C(Nc1ccc(cc1)c2c[nH]cn2)C3COc4ccccc4O3	CHEMBL485214	pIC50=8.82
CCCOC(=O)c1cccc(c1)c2cc(ccc2CN)C(=O)Nc3ccncc3	CHEMBL2440745	pIC50=8.85
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4sc(nc4C)c5ccncc5)c3)cc2C1	CHEMBL3680746	pIC50=8.85
CN1CCc2nc(NC(=O)c3cccc(CNC(=O)c4sc(nc4C)c5ccncc5)c3)sc2C1	CHEMBL3680737	pIC50=8.85
CN1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)Nc5ccc(cc5)C(=O)N)sc2C1	CHEMBL3700937	pIC50=8.85
COC(=O)c1ccc(F)c(c1)C(=O)Nc2cccc(c2)c3cc(ccc3CN)C(=O)Nc4ccncc4F	CHEMBL3426639	pIC50=8.85
NCc1ccc(cc1c2cccc(c2)C(=O)Nc3ccc(CC(=O)OC4CCC4)cc3)C(=O)Nc5ccncc5F	CHEMBL3426726	pIC50=8.85
NCc1ccc(cc1c2cccc(c2)C(=O)Nc3cccc(C(=O)OC4CCCC4)c3F)C(=O)Nc5ccncc5F	CHEMBL3426642	pIC50=8.85
NCc1ccc(cc1c2cccc(c2)C(=O)OCCO)C(=O)Nc3ccncc3F	CHEMBL2440735	pIC50=8.85
CN(C)[C@H]1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)c5csc(n5)c6cccnc6)sc2C1	CHEMBL3700966	pIC50=8.89
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4cc(n[nH]4)c5ccncc5)c3)cc2C1	CHEMBL3680759	pIC50=8.89
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4cc5ccc(cc5[nH]4)C(=O)N)c3)cc2C1	CHEMBL3680727	pIC50=8.89
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4ccc(cc4)c5ccncc5)c3)cc2C1	CHEMBL3680767	pIC50=8.89
CN1CCc2nc(NC(=O)c3cccc(CNC(=O)c4cc(n[nH]4)c5ccncc5)c3)sc2C1	CHEMBL3680736	pIC50=8.89
COc1ccc(cc1)C(CN)C(=O)Nc2ccc3cnccc3c2	CHEMBL3793516	pKi=8.89
NCC(C(=O)Nc1ccc2cnccc2c1)c3cccc(O)c3	CHEMBL3792734	pKi=8.89
NCC(C(=O)Nc1ccc2cnccc2c1)c3ccccc3Cl	CHEMBL3792549	pKi=8.89
NCc1ccc(cc1c2cccc(c2)C(=O)Nc3ccc(CC(=O)OC4CCCC4)cc3)C(=O)Nc5ccncc5F	CHEMBL3426727	pIC50=8.89
CC(N)c1ccc(cc1c2ccc(F)cc2)C(=O)Nc3ccncc3	CHEMBL2440742	pIC50=8.92
CCCN[C@H]1CCc2nc(NC(=O)c3cccc(c3)[C@@H](C)NC(=O)c4ccc(OC)c(Cl)c4)sc2C1	CHEMBL3700928	pIC50=8.92
NCC(C(=O)Nc1ccc2cnccc2c1)c3ccc(F)c(F)c3	CHEMBL3793969	pKi=8.92
CCn1c2cnccc2c3ccc(cc13)C(=O)N[C@H](C)c4cccc(OC)c4	CHEMBL3578253	pIC50=8.94
COC(=O)Cc1cccc(NC(=O)c2cccc(c2)c3cc(ccc3CN)C(=O)Nc4ccncc4F)c1	CHEMBL3426623	pIC50=8.96
COC(=O)c1cccc(NC(=O)c2cccc(c2)c3cc(ccc3CN)C(=O)Nc4ccncc4F)c1	CHEMBL3426622	pIC50=8.96
Cc1nnnn1c2ccc(cc2)C(=O)NCc3cccc(c3)C(=O)Nc4nc5CC[C@H](N)Cc5s4	CHEMBL3680716	pIC50=8.96
NCC(C(=O)Nc1ccc2cnccc2c1)c3ccccc3	CHEMBL3770836	pIC50=8.96
N[C@@H]1CCc2nc(NC(=O)c3cccc(CNC(=O)c4cccc(c4)c5cn[nH]c5)c3)sc2C1	CHEMBL3680707	pIC50=8.96
N[C@H]1CCc2nc(NC(=O)c3cccc(CNC(=O)c4csc(n4)c5ccncc5)c3)sc2C1	CHEMBL3680713	pIC50=8.96
CCCN[C@H]1CCc2nc(NC(=O)c3cccc(c3)[C@@H](C)NC(=O)c4ccc(OC)c(OC)c4)sc2C1	CHEMBL3700926	pIC50=9.0
CCN(Cc1cccc(OC)c1)C(=O)Nc2ccc(cc2)c3cn[nH]c3	CHEMBL2332098	pIC50=9.0
CCN(Cc1cccc(OC)c1)C(=O)Nc2ccc(cc2O[C@H]3CCN(C)C3)c4cn[nH]c4	CHEMBL2332060	pIC50=9.0
COc1cc(cc2C(=O)NC(=Nc12)C3COc4ccc(F)cc4C3)c5cn[nH]c5	CHEMBL1684225	pIC50=9.0
COc1cccc(CN(C)C(=O)Nc2ccc(cc2)c3cn[nH]c3)c1	CHEMBL2332097	pIC50=9.0
COc1cccc(CN(C2CC2)C(=O)Nc3ccc(cc3)c4cn[nH]c4)c1	CHEMBL2332099	pIC50=9.0
COc1cccc(CN(CCCN(C)C)C(=O)c2cn(C)c3cc(ccc23)c4cn[nH]c4)c1	CHEMBL1922126	pIC50=9.0
COc1cccc(CN(CCN(C)C)C(=O)Nc2ccc(cc2)c3cn[nH]c3)c1	CHEMBL2332068	pIC50=9.0
COc1cccc(CN(CCN(C)C)C(=O)c2cn(C)c3cc(ccc23)c4cn[nH]c4)c1	CHEMBL1922127	pIC50=9.0
COc1cccc(CN(CCO)C(=O)Nc2ccc(cc2)c3cn[nH]c3)c1	CHEMBL2332065	pIC50=9.0
COc1cccc(CNC(=O)c2cn(CCCO)c3cc(ccc23)c4cn[nH]c4)c1	CHEMBL1922128	pIC50=9.0
COc1cccc(OCC2=Nc3c(OC)cc(cc3C(=O)N2)c4cn[nH]c4)c1	CHEMBL1684229	pIC50=9.0
COc1cccc(c1)[C@@H](C)NC(=O)c2cc3ccc(nc3[nH]2)c4cn[nH]c4	CHEMBL1923181	pIC50=9.0
Cc1cc(ccc1O)C(CN)C(=O)Nc2ccc3cnccc3c2	CHEMBL3794298	pKi=9.0
Cc1ccccc1C(CN)C(=O)Nc2ccc3cnccc3c2	CHEMBL3793489	pKi=9.0
NCC(C(=O)Nc1ccc2cnccc2c1)c3ccc(F)cc3	CHEMBL3792921	pKi=9.0
NCC(C(=O)Nc1ccc2cnccc2c1)c3ccc(OC(=O)CN)cc3	CHEMBL3792435	pKi=9.0
NCC(C(=O)Nc1ccc2cnccc2c1)c3cccc(F)c3	CHEMBL3792666	pKi=9.0
NCC(C(=O)Nc1ccc2cnccc2c1)c3cccc4ccccc34	CHEMBL3793296	pKi=9.0
NCC(C(=O)Nc1ccc2cnccc2c1)c3ccccc3F	CHEMBL3794270	pKi=9.0
NCc1ccc(cc1c2cccc(NC(=O)c3ccc(cc3)C(=O)O)c2)C(=O)Nc4ccncc4F	CHEMBL3426732	pIC50=9.0
O=C(NC1CC1)c2ccc3OCC(Cc3c2)C4=Nc5ccc(cc5C(=O)N4)c6cn[nH]c6	CHEMBL1684208	pIC50=9.0
O=C1NC(=Nc2ccc(cc12)c3cn[nH]c3)[C@@H]4CNC[C@H]4c5ccccc5	CHEMBL2334292	pIC50=9.0
OCCC(NC(=O)Nc1ccc(cc1)c2cn[nH]c2)c3ccccc3	CHEMBL2332057	pIC50=9.0
O=C(NCc1cccc(c1)C(=O)Nc2nc3CC[C@@H](Cc3s2)N4CCOCC4)c5csc(n5)c6ccncc6	CHEMBL3680785	pIC50=9.03
CCCN[C@H]1CCc2nc(NC(=O)c3cccc(c3)[C@@H](C)NC(=O)c4ccc(OC)c(C)c4)sc2C1	CHEMBL3700930	pIC50=9.05
CN(C)CCCNC(=O)c1ccc2OCC(Cc2c1)c3nc4ccc(cc4s3)c5cn[nH]c5	CHEMBL1079921	pIC50=9.05
Cc1cc(C)cc(c1)C(=O)OCc2ccc(cc2)C(CN)C(=O)Nc3ccc4cnccc4c3	CHEMBL3792412	pKi=9.05
NCC(C(=O)Nc1ccc2cnccc2c1)c3cccc(Cl)c3	CHEMBL3793505	pKi=9.05
CN(C)[C@H]1CCc2nc(NC(=O)c3cccc(CNC(=O)c4csc(n4)c5ccncc5)c3)sc2C1	CHEMBL3680774	pIC50=9.06
O=C(NCc1cccc(c1)C(=O)Nc2nc3CC[C@@H](Cc3s2)N4CCOCC4)c5cc6ccc(cc6[nH]5)C#N	CHEMBL3680792	pIC50=9.06
CN(C)[C@H]1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)c5cc([nH]n5)c6ccncc6)sc2C1	CHEMBL3700969	pIC50=9.1
CN1CCc2nc(NC(=O)c3cccc(OCC(=O)Nc4ccc5[nH]ncc5c4)c3)sc2C1	CHEMBL3700920	pIC50=9.1
NCC(C(=O)Nc1ccc2cnccc2c1)c3ccc(COC(=O)Cc4ccccc4)cc3	CHEMBL3793029	pKi=9.1
NCC(C(=O)Nc1ccc2cnccc2c1)c3ccc(Cl)cc3Cl	CHEMBL3793404	pKi=9.1
CN1CCc2nc(NC(=O)c3cccc(CNC(=O)c4ccc(s4)c5cn[nH]c5)c3)sc2C1	CHEMBL3680760	pIC50=9.11
N[C@H]1CCc2nc(NC(=O)c3cccc(CNC(=O)c4cccc(c4)c5cn[nH]c5)c3)sc2C1	CHEMBL3680709	pIC50=9.14
