COC1=CC=C(CN([C@@H](C)C2=NC(=CN2)C2=CC=CC=C2)C(=O)[C@@H](N)CC2=C(C)C=C(C=C2C)C(N)=O)C=C1C(O)=O	eluxadoline	pKi=8.76955128	pKi=8.76955128	pKi=8.76955128	pEC50=9.0
CC[C@H]([C@@H](C)CN(C)C)C1=CC(O)=CC=C1	tapentadol	pKi=7.01772881	pKi=7.01772881	pKi=7.01772881
[H][C@@]12CC3=CC=C(O)C=C3[C@@](C)(CCCCC1)[C@H]2N	dezocine	pEC50=7.42	pEC50=7.42	pEC50=7.42
CCOC(=O)C1(CCN(C)CC1)c2ccccc2	pethidine	pKi=6.04	pKi=6.04	pKi=6.04
[H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13[H])CCN2C	levorphanol	pKi=9.68	pKi=9.68	pKi=9.68	pKi=9.68
COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C	tramadol	pKi=5.8	pKi=5.8	pKi=5.8
[H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13[H])CCN2CC=C	levallorphan	pKi=9.32	pKi=9.32	pKi=9.32	pKi=8.77
[H][C@@]12OC3=C4C(C[C@@]5([H])N(C)CC[C@@]14[C@@]5([H])CCC2=O)=CC=C3O	hydromorphone	pKi=9.55	pKi=9.55	pKi=9.55	pKi=9.55
[H][C@@]12OC3=C4C(C[C@@]5([H])N(C)CC[C@@]14[C@@]5([H])CCC2=O)=CC=C3OC	hydrocodone	pKi=8.02	pKi=8.02	pKi=8.02	pKi=8.02
[H][C@@]12OC3=C4C(C[C@@]5([H])N(C)CC[C@@]14[C@@]5([H])C=C[C@@H]2O)=CC=C3OC	codeine	pKi=6.14	pKi=6.14	pKi=6.14
[H][C@@]12OC3=C4C(C[C@@]5([H])N(C)CC[C@@]14[C@@]5([H])CC[C@@H]2O)=CC=C3OC	dihydrocodeine
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CC[N+](C)(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O	methylnaltrexone	pKi=7.55	pKi=7.55	pKi=7.55
CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCC2=CC=CS2)CC1	sufentanil	pEC50=8.13	pEC50=8.13	pEC50=8.13
CCC(=O)N(C1=CC=CC=C1)C1(CCN(CCC(=O)OC)CC1)C(=O)OC	remifentanil
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1(O)CCC2=O	oxymorphone	pKi=9.4437	pKi=9.4437	pKi=9.4437
[H][C@@]12OC3=C4C(C[C@@]5([H])N(C)CC[C@@]14[C@@]5(O)CCC2=O)=CC=C3OC	oxycodone	pKi=7.7959	pKi=7.7959	pKi=7.7959
[H][C@@]12OC3=C4C(C[C@@]5([H])N(CC=C)CC[C@@]14[C@@]5(O)CCC2=O)=CC=C3O	naloxone	pKi=8.81	pKi=8.81	pKi=8.81	pIC50=7.7
[H][C@@]12OC3=C4C(C[C@@]5([H])N(CC6CCC6)CC[C@@]14[C@@]5(O)CC[C@@H]2O)=CC=C3O	nalbuphine	pKi=8.8	pKi=8.8	pKi=8.8	pIC50=7.62
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O	morphine	pEC50=7.86	pEC50=7.86	pEC50=7.86	pKi=7.42
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O	naltrexone	pKi=9.38	pKi=9.38	pKi=9.38	pIC50=7.81
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2	methadone	pKi=8.78	pKi=8.78	pKi=8.78	pIC50=8.39
CN(C)C(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4	loperamide	pKi=8.8239	pKi=8.8239	pKi=8.8239	pIC50=8.84
CC[C@H](OC(=O)C)C(C[C@H](C)N(C)C)(c1ccccc1)c2ccccc2	levomethadyl acetate
CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1	fentanyl	pEC50=9.0014	pEC50=9.0014	pEC50=9.0014
CCOC(=O)C1(CCN(CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)C1=CC=CC=C1	diphenoxylate	pIC50=7.1674	pIC50=7.1674	pIC50=7.1674
[H][C@@](C)(CN(C)C)[C@](CC1=CC=CC=C1)(OC(=O)CC)C1=CC=CC=C1	dextropropoxyphene
CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]4Cc5ccc(O)c6O[C@@H]2[C@]3(CCN4CC7CC7)c56	buprenorphine	pKi=8.29	pKi=8.29	pKi=8.29	pKi=8.82
CCOC(=O)C1(CCN(CCC2=CC=C(N)C=C2)CC1)C1=CC=CC=C1	anileridine
C[C@H]1CN(C[C@H](CC2=CC=CC=C2)C(=O)NCC(O)=O)CC[C@@]1(C)C1=CC(O)=CC=C1	alvimopan	pKi=9.3979	pKi=9.3979	pKi=9.3979	pKi=9.33
CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O	alfentanil	pEC50=8.5	pEC50=8.5	pEC50=8.5
[H]C1(C=CCCC1(C(=O)OCC)C1=CC=CC=C1)N(C)C	tilidine	pEC50=5.1	pEC50=5.1	pEC50=5.1
CCC(=O)N(C(C)CN1CCCCC1)C1=CC=CC=N1	propiram
CCC1(CCCCN(C)C1)C1=CC(O)=CC=C1	meptazinol	pEC50=8.06	pEC50=8.06	pEC50=8.06
[H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13O)CCN2CC1CCC1	butorphanol	pKi=9.92	pKi=9.92	pKi=9.92	pKi=9.66
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=C	nalmefene	pKd=9.53	pKd=9.53	pKd=9.53	pKi=9.04
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC=C)[C@]([H])(C4)[C@]1(O)CC[C@@H]2OCCOCCOCCOCCOCCOCCOCCOC	naloxegol
OC(=O)C1(CCN(CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)C1=CC=CC=C1	difenoxin
[H][C@@]1(CCCC[C@H]1O)[C@@H](N(C)C)C1=CC(O)=CC=C1	ciramadol
CCC(OC(C)=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1	acetylmethadol
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CC(C(=O)NC(C)(C)C1=NC(=NO1)C1=CC=CC=C1)=C2O	naldemedine
CC(=O)N1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@]2(O)Cc6c7C[C@@]8(O)[C@H]9Cc%10ccc(O)c%11O[C@@H](c7[nH]c46)[C@]8(CCN9CC%12CC%12)c%10%11)c35	CHEMBL287752	pKi=7.38
CCC(CC)CN1CCCc2cc(Oc3ccc(cn3)C(=O)N)ccc2C1	CHEMBL238156	pKi=7.38
CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@]2(O)Cc6c7C[C@@]8(O)[C@H]9Cc%10ccc(O)c%11O[C@@H](c7[nH]c46)[C@]8(CCN9C)c%10%11)c35	CHEMBL606959	pKi=7.38
CO[C@]12Cc3cc(cnc3[C@@H]4Oc5c(O)ccc6C[C@H]1N(CC7CC7)CC[C@@]24c56)c8ccc(Cl)cc8	CHEMBL2179649	pKi=7.38
COc1cc(CC(=O)N(C)[C@H](CN2CCCC2)c3ccccc3)c(cc1OC)S(=O)(=O)N(C)C	CHEMBL254959	pKi=7.38
COc1ccc2C[C@H]3N(C)CC[C@@]45C(Oc1c24)C6(CCC35CC6COCC#C)OC	CHEMBL3664540	pKi=7.38
Cl.Cl.CCOc1ccc(Cc2nc3cc(NC(=N)c4cocc4)ccc3n2CCN(CC)CC)cc1	CHEMBL3216560	pKi=7.38
NC(=O)c1ccc(Oc2ccc3CN(CCCC4CCCCC4)CCCc3c2)nc1	CHEMBL238157	pKi=7.38
O=C1Cc2ccccc2N1C3CCN(CC3)[C@H]4CC[C@@H]5CCCc6cccc4c56	CHEMBL3262542	pKi=7.38
OC1(CC2CCC(C1)N2C(c3ccccc3Cl)c4ccccc4Cl)c5cccnc5	CHEMBL511374	pKi=7.38
CCCC(=N)NCCc1ccc2[nH]c3[C@@H]4Oc5c(O)ccc6CC7N(CC8CC8)CC[C@@]4(c56)[C@@]7(O)Cc3c2c1	CHEMBL108938	pKi=7.39
CCOCO[C@H]1C[C@@H](C(=O)OC)[C@]2(C)CC[C@H]3C(=O)O[C@@H](C[C@]3(C)[C@H]2C1=O)c4cocc4	CHEMBL272939	pKi=7.39
Cc1ccc(c(Br)c1)n2nc(C)c3C(=O)CC(C)(C)Cc23	CHEMBL3325716	pEC50=7.39
Cc1nn(c2CC(C)(C)CC(=O)c12)c3ccc(Br)cc3Br	CHEMBL3325714	pEC50=7.39
Fc1ccccc1CN2CCC[C@@H]2C\N=C(/S)\N3Cc4ccccc4C[C@H]3CNC(=O)Nc5ccccc5	CHEMBL40108	pKi=7.39
NC(=O)c1ccc(Oc2ccc(CN3CCCC3c4cccc(F)c4)cc2)c(F)c1	CHEMBL1921844	pKi=7.39
O=C1NCN(c2ccccc2)C13CCN(CC3)[C@@H]4CCCC[C@@H]4c5ccccc5	CHEMBL383539	pIC50=7.39
CCCN1CC[C@]23[C@H]4Oc5c(O)ccc(CC1[C@]2(O)Cc6c(cn(Cc7ccccc7)c46)c8ccccc8)c35	CHEMBL440179	pKi=7.4
CN(C\C=C\c1ccccc1)C2CCc3ccc(O)cc3C2(C)C	CHEMBL365483	pKi=7.4
CN1CC[C@@]23[C@H]4Cc5c6C[C@@]7(O)[C@H]8Cc9ccc(O)c%10O[C@@H](c6[nH]c5[C@@H]2Oc%11c(O)ccc(C[C@@H]14)c3%11)[C@]7(CCN8CC%12CC%12)c9%10	CHEMBL609747	pKi=7.4
CN1CC[C@]23Cc4c(C[C@@]2(C1)Cc5ccc(O)cc35)c6ccccc6n4C	CHEMBL557937	pKi=7.4
COc1cccc(c1)N2CNC(=O)C23CCN(CC3)C4Cc5cccc6cccc4c56	CHEMBL311185	pKi=7.4
NC(=O)c1ccc(Oc2ccc(CN3CCCC3c4cccnc4)cc2)nc1	CHEMBL1921840	pKi=7.4
NC(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3CCc4ccccc4)c5ccccc5	CHEMBL66955	pKi=7.4
Nc1oc2cc3c(C[C@@H]4[C@@H]5CCCC[C@]35CCN4CC6CCC6)cc2n1	CHEMBL242757	pKi=7.4
Oc1cccc(c1)[C@@]23CCN(CCc4ccccc4)[C@@H](CC(=O)C2)C3	CHEMBL2418735	pKi=7.4
CC(C)(C)CCNCc1ccc(cc1)c2cccnc2S(=O)(=O)N3CCCC3	CHEMBL1818232	pKi=7.41
CC(C)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc2ccccc2)N(C)C(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc3c(C)cc(O)cc3C)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)NCc6cc(cc(c6)C(F)(F)F)C(F)(F)F	CHEMBL3736287	pIC50=7.41
CC(C)C[C@H](NC(=O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCC(=O)O)NC(=O)C(C)(C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](N)Cc3ccc(O)cc3)[C@@H](C)O)C(=O)N	CHEMBL3597086	pKi=7.41
CCCCCCN1CC[C@@]2(C)[C@@H](C)C1Cc3ccc(O)cc23	CHEMBL114123	pKi=7.41
COc1ccc(C)c(OC(CCN2CCC(CC2)N3C(=O)N(Cc4ccsc4)c5ccccc35)C(C)C)c1	CHEMBL259511	pKi=7.41
COc1ccc(C)c(OC(CCN2CCC(CC2)N3C(=O)N(Cc4csc(C)n4)c5ccccc35)C(C)C)c1	CHEMBL406926	pKi=7.41
COc1ccc(C)c(OC(CCN2CCC(CC2)N3C(=O)N(Cn4cncn4)c5ccccc35)C(C)C)c1	CHEMBL411643	pKi=7.41
O=C1Cc2ccccc2N1C3CCN(CC3)C4CCc5ccccc5C4	CHEMBL101676	pKi=7.41
Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)C(=O)CC[C@@]36NC(=O)c7ccc8ccccc8n7	CHEMBL2397017	pEC50=7.41
[11CH3]n1c2[C@@H]3Oc4c(O)ccc5C[C@H]6N(CC7CC7)CC[C@@]3(c45)[C@@]6(O)Cc2c8ccccc18	CHEMBL2364732	pKi=7.41
CC(C)C(CCN1CCC(CC1)n2c(O)nc3ccccc23)Oc4ccc(F)cc4C	CHEMBL367367	pKi=7.42
CC(C)c1nnc(C)n1C2CC3CCC(C2)N3CC[C@H](NC(=O)C4CCC(F)(F)CC4)c5cccc(NC(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N[C@@H]6CC[C@@]7(O)[C@H]8Cc9ccc(O)c%10O[C@@H]6[C@]7(CCN8CC%11CC%11)c9%10)c5	CHEMBL3697625	pIC50=7.42
CCCCN1Cc2ccccc2N(C3CCN(CC3)C4CCC(CC4)C(C)C)S1(=O)=O	CHEMBL186773	pKi=7.42
CCNC(=O)NCCc1ccc2[nH]c3[C@@H]4Oc5c(O)ccc6CC7N(CC8CC8)CC[C@@]4(c56)[C@@]7(O)Cc3c2c1	CHEMBL321408	pKi=7.42
CNC(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5O[C@@H]1[C@]2(CCN3CC6CC6)c45	CHEMBL3219778	pIC50=7.42
NC(=O)C1(CC2CCC(C1)N2C(c3ccccc3Cl)c4ccccc4Cl)c5ccccc5	CHEMBL512414	pKi=7.42
N[C@@H](Cc1ccc(O)cc1)C(=O)N2C[C@@H]3C[C@H]2C(=O)N[C@H](Cc4ccccc4)C(=O)N[C@@H](Cc5ccccc5)C(=O)N3.OC(=O)C(F)(F)F	CHEMBL2171847	pKi=7.42
O=C(NC[C@@H]1Cc2ccccc2CN1C(=S)NC[C@H]3CCCN3)Nc4ccccc4	CHEMBL39968	pKi=7.42
Oc1ccc2O[C@H]3CN(CCc4cccc(c4)C(F)(F)F)CC[C@@]3(CCCCc5ccccc5)c2c1	CHEMBL3409117	pKi=7.42
Oc1ccccc1CNc2ccc3C[C@@H]4[C@@H]5CCCC[C@]5(CCN4CC6CCC6)c3c2	CHEMBL2048768	pEC50=7.42
CCC(=O)N(C1CCN(CCN2C(=O)N(C(=C)C)c3ccccc23)CC1)c4cccc(Cl)c4	CHEMBL2313628	pKi=7.43
CCC(=O)N(CCCCCCCCNC(=N)N)C1CCN(CCc2ccccc2)CC1	CHEMBL146997	pKi=7.43
CCCCCC(N1CCC(O)(CC1)c2ccccc2)c3ccccc3	CHEMBL230253	pKi=7.43
CCCCN[C@]12Cc3c([nH]c4ccccc34)[C@@H]5Oc6c(O)ccc7CC1N(C)CC[C@@]25c67	CHEMBL2113377	pKi=7.43
CCNCCN1CN(c2ccccc2)C3(CCN(CC3)C4CCC(C)(C)c5ccccc45)C1=O	CHEMBL474687	pKi=7.43
C[C@H]1[C@H]2CC[C@H](CN2CC[C@@]1(C)c3cccc(O)c3)c4ccccc4	CHEMBL262420	pKi=7.43
Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N2Cc3ccccc3C[C@H]2CNCc4ccccc4	CHEMBL77001	pEC50=7.43
Clc1cccc(Cl)c1CN2CCC3(CC2)N(CN(CCN4CCCC4)C3=O)c5ccccc5	CHEMBL473904	pKi=7.43
Clc1ccccc1CN2CCC3(CC2)N(CNC3=O)c4ccccc4	CHEMBL401451	pKi=7.43
NC(=N)NCc1ccc2[nH]c3[C@@H]4Oc5c(O)ccc6C[C@H]7N(CC8CC8)CC[C@@]4(c56)[C@@]7(O)Cc3c2c1	CHEMBL2112374	pKi=7.43
NCc1ccccc1C2(O)CCN(CC2)C(c3ccccc3F)c4ccccc4F	CHEMBL233955	pKi=7.43
OC1(CCN(CCC(c2ccccc2)c3ccccc3)CC1)c4ccc(Cl)cc4	CHEMBL186426	pKi=7.43
Oc1ccc2CC3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)c7[nH]c8ccc(cc8c7C[C@@]36O)C(=O)NCCCCc9ccccc9	CHEMBL109009	pKi=7.43
[I-].C[N+]1(CC2CC2)CC[C@]34[C@H]5Oc6c(ccc(C[C@@H]1[C@]3(O)CCC5=O)c46)C(=O)N	CHEMBL511461	pKi=7.43
CCC(=O)N(C1CCN(CCC(C(=O)N(C)C)(c2ccccc2)c3ccccc3)CC1)c4ccccc4	CHEMBL3659472	pKi=7.44
CCCCCCCCCC(O)c1cc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC5CCC5)c2cc1O	CHEMBL570428	pKi=7.44
CCCCN(C[C@H](O)CN1CN(c2ccccc2)C3(CCN(CCc4ccccc4c5cccs5)CC3)C1=O)Cc6ccccc6	CHEMBL3394745	pIC50=7.44
CCCCNCCN1CN(c2ccccc2)C3(CCN(Cc4c(Cl)cccc4Cl)CC3)C1=O	CHEMBL473700	pKi=7.44
COc1ccc(C)c(OC(CCN2CCC(CC2)N3C(=O)N(Cc4ncn[nH]4)c5ccccc35)C(C)C)c1	CHEMBL260556	pKi=7.44
COc1ccc2C[C@H]3N(C)CC[C@@]45[C@@H](Oc1c24)[C@@]6(CC[C@@]35C[C@@H]6COCc7ccc(Cl)c(Cl)c7)OC	CHEMBL3664513	pKi=7.44
COc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)[C@@]7(CC[C@@]36C[C@@H]7COCC=C)OC	CHEMBL3664530	pKi=7.44
C[C@H]1CN(CCC(=O)N[C@@H](Cc2ccccc2)C(=O)O)CC[C@@]1(C)c3cccc(O)c3	CHEMBL401716	pKi=7.44
C[C@H]1CN2CCN(CCCc3ccccc3)C[C@H]2C[C@@]1(C)c4cccc(O)c4	CHEMBL375165	pKi=7.44
Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N2Cc3ccccc3C[C@H]2C\N=C(\S)/NC(C)(C)C	CHEMBL421520	pIC50=7.44
O=C1Cc2ccccc2N1C3CCN(CC3)C4CCCC5CCCCC45	CHEMBL320182	pKi=7.44
OCCCCCCCCCCC(O)c1cc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC5CCC5)c2cc1O	CHEMBL572217	pKi=7.44
Oc1cc2c(C[C@@H]3[C@@H]4CCCC[C@]24CCN3CC5CCC5)cc1CNC(=O)CCCCC(=O)NCc6cc7C[C@@H]8[C@@H]9CCCC[C@]9(CCN8CC%10CCC%10)c7cc6O	CHEMBL569009	pKi=7.44
NC(=O)c1ccc(Oc2ccc(CN3CCC[C@H]3c4cccc(F)c4)cc2)c(F)c1	CHEMBL1921845	pKi=7.45
CCN(CC)C(=O)c1ccc(cc1)C2(CCCN(CC3CC3)C2)c4cccc(O)c4	CHEMBL605293	pKi=7.46
CN1CC[C@@]23c4c5C[C@@H]1[C@]2(O)CCC(=O)[C@]3(CO)Oc4c(O)cc5	CHEMBL3758348	pEC50=7.46
CNCCN1CN(c2ccccc2)C3(CCN(CC3)C4CCC(C)(C)c5ccccc45)C1=O	CHEMBL474485	pKi=7.46
COC(=O)N1CCN([C@H](CN2CCCC2)C1)C(=O)Cc3ccc(Cl)c(Cl)c3	CHEMBL277863	pKi=7.46
CO[C@@H](C)[C@@H]1CC23C=C[C@]1(OC)[C@H]4Oc5c(O)ccc6CC2N(C)CCC34c56	CHEMBL1169582	pEC50=7.46
Cl.Cc1ccccc1C(N2CCC(O)(CC2)c3ccccc3)c4ccccc4	CHEMBL535844	pKi=7.46
OC(CCCCCCCCCCC(O)c1cc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC5CCC5)c2cc1O)c6cc7C[C@@H]8[C@@H]9CCCC[C@]9(CCN8CC%10CCC%10)c7cc6O	CHEMBL568758	pKi=7.46
CN(C)S(=O)(=O)c1cc2OCOc2cc1CC(=O)N(C)[C@H](CN3CC[C@H](O)C3)c4ccccc4	CHEMBL257139	pKi=7.47
CNC(=O)CN1C(=O)N(C2CCN(CC2)C3CCCC4(CCCCC4)C3)c5ccccc15	CHEMBL1088171	pKi=7.47
CO[C@]12CC(O)[C@@]3(C[C@@H]1[C@H](C)O)[C@H]4Cc5ccc(O)c6O[C@@H]2[C@]3(CCN4C)c56	CHEMBL392269	pKi=7.47
COc1ccc(C)c(OC(CCN2CCC3(CC2)N(CNC3=O)c4ccccc4)C(C)C)c1	CHEMBL391650	pKi=7.47
COc1ccc2C[C@H]3N(C)CC[C@@]45[C@@H](Oc1c24)[C@@]6(CC[C@@]35C[C@@H]6CNC\C=C\c7ccc(Cl)cc7)OC	CHEMBL2113310	pKi=7.47
COc1cccc(CN2CCC[C@@H]2C\N=C(/S)\N3Cc4ccccc4C[C@H]3CNC(=O)Nc5ccccc5)c1	CHEMBL418241	pKi=7.47
O=C(NC[C@@H]1Cc2ccccc2CN1C(=S)NC[C@H]3CCCN3Cc4ccc(cc4)C#N)Nc5ccccc5	CHEMBL289512	pKi=7.47
CC(=N)NC[C@@H]1Cc2ccccc2CN1C(=O)[C@@H](N)Cc3c(C)cc(O)cc3C	CHEMBL310146	pIC50=7.48
CC(C)[C@@H](CN1CC[C@](C)([C@@H](C)C1)c2cccc(O)c2)NC(=O)[C@H]3Cc4ccccc4CN3	CHEMBL10872	pKi=7.48
CCC(=O)N(CCCCNC(=N)N)C1CCN(CCc2ccccc2)CC1	CHEMBL196071	pKi=7.48
CCC1C(=O)N(C2CCN(C\C=C\c3ccccc3)CC2)c4ccccc14	CHEMBL3262552	pKi=7.48
CCCCCCC(=O)N[C@]12Cc3c([nH]c4ccccc34)[C@@H]5Oc6c(O)ccc7CC1N(C)CC[C@@]25c67	CHEMBL2113372	pKi=7.48
CCN(CC)C(=O)c1ccc(cc1)C(=C2CCN(Cc3ccc(F)cc3)CC2)c4cccc(NC(=O)OC)c4	CHEMBL1946023	pIC50=7.48
CN1[C@H](CCNC(=O)c2cccs2)CN=C(c3ccccc3)c4cc(Cl)ccc14	CHEMBL2448129	pKi=7.48
Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N2Cc3ccccc3C[C@H]2C(=O)NCCN(CCNC(=O)[C@@H]4Cc5ccccc5CN4C(=O)[C@@H](N)Cc6c(C)cc(O)cc6C)CCNC(=O)[C@@H]7Cc8ccccc8CN7C(=O)[C@@H](N)Cc9c(C)cc(O)cc9C	CHEMBL1076725	pKd=7.48
Oc1cccc(c1)[C@@]23CCC[C@@H](N(CCc4ccccc4)CC2)C3=O	CHEMBL243091	pKi=7.48
CCCCC(=O)NCCc1ccc2[nH]c3[C@@H]4Oc5c(O)ccc6CC7N(CC8CC8)CC[C@@]4(c56)[C@@]7(O)Cc3c2c1	CHEMBL324644	pKi=7.5
C[C@H]1C2Cc3ccc(O)c(c3[C@@]1(C)CCN2CC4CC4)[N+](=O)[O-]	CHEMBL509054	pKi=7.5
C[C@H]1CN(CCC(=O)N([C@@H](Cc2ccccc2)C(=O)O)c3ccccc3)CC[C@@]1(C)c4cccc(O)c4	CHEMBL404583	pKi=7.5
Cc1cccc2C(CCCc12)N3CCC4(CC3)N(CNC4=O)c5ccccc5	CHEMBL280827	pKi=7.5
Clc1ccc(cc1)N2CNC(=O)C23CCN(CC3)C4Cc5cccc6cccc4c56	CHEMBL77324	pKi=7.5
NC(=O)c1ccc(Oc2ccc(CN3CCCC3c4cccnc4)cc2)c(Cl)c1	CHEMBL1921841	pKi=7.5
N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H]2CCCCNC(=O)CNC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](Cc4ccncc4)NC2=O	CHEMBL3763985	pIC50=7.5
OCCC1CCN(Cc2ccc(cc2)c3ccccc3S(=O)(=O)N4CCCC[C@H]4CO)CC1	CHEMBL1818236	pKi=7.5
CC(C)[C@@H](CN1CC[C@](C)([C@@H](C)C1)c2cccc(O)c2)NC(=O)[C@H]3Cc4ccc(O)cc4CN3C	CHEMBL575508	pKi=7.51
CCCC(=O)NCCc1ccc2[nH]c3[C@@H]4Oc5c(O)ccc6CC7N(CC8CC8)CC[C@@]4(c56)[C@@]7(O)Cc3c2c1	CHEMBL110487	pKi=7.51
C[C@H]1CN2CCN(C[C@H]2C[C@@]1(C)c3cccc(O)c3)C(=O)Nc4ccccc4	CHEMBL219317	pKi=7.51
O=C(NC[C@@H]1Cc2ccccc2CN1C(=S)NC[C@H]3CCCN3Cc4ccccc4)Nc5ccccc5	CHEMBL288205	pKi=7.51
O=C(NC[C@@H]1Cc2ccccc2CN1C(=S)NC[C@H]3CCCN3Cc4ccccn4)Nc5ccccc5	CHEMBL43682	pKi=7.51
Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)c7[nH]c8ccccc8c7C[C@@]36O	CHEMBL567175	pKi=7.51
CC(C)CCC(N1CCC2(CC1)N(CNC2=O)c3ccccc3)c4ccccc4	CHEMBL428033	pKi=7.52
CN1CC[C@@]23C4CC[C@H](O)C2Oc5c3c(C[C@@H]14)cc6sc(N)nc56	CHEMBL294168	pKi=7.52
CNC(=O)CN1C(=O)N(C2CCN(CC2)[C@@H]3CC[C@H](CC3)C(C)C)c4ccccc14	CHEMBL1080484	pKi=7.52
COC(=O)[C@@H]1C[C@H](OC(=O)c2cccc(OC)c2)C(=O)[C@H]3[C@@]1(C)CC[C@H]4C(=O)O[C@@H](C[C@]34C)c5cocc5	CHEMBL260485	pKi=7.52
COc1ccc2C[C@@H]3C4C5CC5C(CC4(CCN3CC6CC6)c2c1)OCC=C	CHEMBL3695757	pKi=7.52
COc1cccc2c1O[C@H]3CCC[C@H]4CN(CC5CC5)CC[C@]234	CHEMBL583881	pKi=7.52
O=C1Cc2ccccc2N1C3CCN(CC3)C4CCCCCCC4	CHEMBL101454	pKi=7.52
O=C1Cc2ccccc2N1C3CCN(CC3)[C@@H]4CC[C@@H]5CCCc6cccc4c56	CHEMBL3262543	pKi=7.52
CCOc1ccccc1N2CCN(CCC(=O)N3C(Cc4ccccc34)C(=O)N(C)C)CC2	CHEMBL2064132	pKi=7.53
CN1CC[C@]23[C@H]4Oc5c(O)ccc(CC1[C@@]2(Cc6c4[nH]c7ccccc67)NC(=O)Cc8ccccc8)c35	CHEMBL2113379	pKi=7.53
CN1CC[C@]23[C@H]4Oc5cc(O)cc(C[C@@H]1[C@]2(O)CC[C@@H]4NC(=O)COCC(=O)NCCCCCCNC(=O)COCC(=O)NCCOc6cccc(NC(=O)N[C@@H]7N=C(c8ccccc8)c9ccccc9N(C)C7=O)c6)c35	CHEMBL502398	pKi=7.53
COc1ccc2C[C@H]3N(C)CC[C@@]45[C@@H](Oc1c24)[C@@]6(CC[C@@]35C[C@@H]6COCC7CCC7)OC	CHEMBL3664524	pKi=7.53
Clc1cccc(Cl)c1CN2CCC3(CC2)N(CNC3=O)c4ccccc4	CHEMBL240215	pKi=7.53
