CC(OC(C)=O)C(=O)OCC[N+](C)(C)C	aclatonium
C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)C1=CC=CC=C1	glycopyrronium bromide	pKi=9.68999958	pKi=9.68999958	pKi=9.68999958	pIC50=9.9
CN1[C@H]2C[C@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1	scopolamine	pKi=9.0	pKi=9.0	pKi=9.0	pKi=8.13
CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1	oxyphenonium
CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1	hyoscyamine	pKi=9.0	pKi=9.0	pKi=9.0
CCN(CC)C(C)CN1C2=CC=CC=C2SC2=C1C=CC=C2	profenamine
OC(CCN1CCCCC1)(C1CCCC1)C1=CC=CC=C1	cycrimine
CC1OC2(CS1)CN1CCC2CC1	cevimeline	pEC50=7.6383	pEC50=7.6383	pEC50=7.6383
CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(c3ccccc3)c4ccccc4	benzatropine	pKi=9.6364	pKi=9.6364	pKi=9.6364	pIC50=9.26
[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(=O)C(CO)C1=CC=CC=C1)N2C	atropine	pKi=9.31	pKi=9.31	pKi=9.31	pKi=8.7
OC(CCN1CCCC1)(C1CCCCC1)C1=CC=CC=C1	procyclidine	pKi=8.33724213	pKi=8.33724213	pKi=8.33724213
CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C	octatropine methylbromide
CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2)C(C)C	propantheline	pKi=9.69999981	pKi=9.69999981	pKi=9.69999981
C[N+]1(C)CCN(CC(O)(C2CCCCC2)C2=CC=CC=C2)CC1	hexocyclium	pKi=8.60000038	pKi=8.60000038	pKi=8.60000038
OC(CCCN1CCCCC1)(c2ccccc2)c3ccccc3	diphenidol	pKi=7.1079054	pKi=7.1079054	pKi=7.1079054	pKi=7.11
CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2	dicycloverine	pKi=9.07883395	pKi=9.07883395	pKi=9.07883395	pIC50=8.46
C[N+]1(C)CCC(CC1)=C(C1=CC=CC=C1)C1=CC=CC=C1	diphemanil
OC(CCN1CCCCC1)(C2CCCCC2)c3ccccc3	trihexyphenidyl	pIC50=8.89	pIC50=8.89	pIC50=8.89	pIC50=8.25	pIC50=8.89
CN1CCCC(CC2C3=CC=CC=C3SC3=C2C=CC=C3)C1	metixene
CCOC(=O)N1CCC(CC1)N2CCC(CC2)C(=C)c3ccc(cc3)S(=O)(=O)c4ccc(OC)cc4	CHEMBL308566	pKi=8.19
CN(C)[C@@H]1CCCC[C@@H]1N(C)CC(=O)N2c3ccccc3NC(=O)c4ccccc24.OC(=O)C(=O)O.OC(=O)C(=O)O	CHEMBL2021478	pKi=8.2
CN1CCN(CC1)C2=Nc3cc(F)ccc3Nc4ccc(F)cc24	CHEMBL3609328	pIC50=8.22
CN1CCN(CC1)C2=Nc3ccccc3Nc4ccc(Cl)cc24	CHEMBL415300	pIC50=8.22
COc1ccc(cc1)S(=O)(=O)c2ccc(cc2)C(C)N3CCN(CC3)C4CCCCC4	CHEMBL310912	pKi=8.22
COc1ccc(cc1)[S+]([O-])c2ccc(cc2)C(C)N3CCN(CC3)C4CCCCC4	CHEMBL307810	pKi=8.22
OC(C(=O)N[C@H]1CN2CCC1CC2)(c3ccccc3)c4ccccc4	CHEMBL3401640	pIC50=8.22
CN(C)C1(CNCCC23CC4CC(CC(C4)C2)C3)COc5ccccc5OC1	CHEMBL394137	pKi=8.23
C[C@@H](c1ccccn1)c2c(CCN3CCCC3)sc4ccccc24	CHEMBL1091774	pKi=8.24
[Br-].CC[N+](C)(CC)CCOC(=O)C(c1ccccc1)c2ccccc2	CHEMBL2377385	pKi=8.24
CC(c1ccncc1)c2c(CCN(C)C)sc3ccccc23	CHEMBL1091790	pKi=8.25
NC(=O)C([C@@H]1CCN(CCc2ccc3OCCc3c2)C1)(c4ccccc4)c5ccccc5	CHEMBL1346	pKi=8.26
CN1CCCCC1C\C=C\C2c3ccccc3Cc4ccccc24	CHEMBL22071	pKd=8.28
C[C@@H](c1ccccn1)c2c(CCN(C)C)sc3ccccc23	CHEMBL564144	pKi=8.28
O[C@@]([C@@H]1CCC(F)(F)C1)(C(=O)NC2CCN(Cc3ccsc3)CC2)c4ccccc4	CHEMBL356505	pKi=8.28
CN1C(=O)N(Cc2nccc3ccccc23)C(=O)c4c1nc(N5CCC[C@@H](N)C5)n4CC=C(C)C	CHEMBL429450	pIC50=8.3
CN1CCC=C(C1)c2nsnc2SCCCCCCCCSc3nsnc3C4=CCCN(C)C4	CHEMBL140789	pKi=8.3
CN1CCCCC1CCC=C2c3ccccc3Cc4ccccc24	CHEMBL22278	pKd=8.3
CN1CCC=C(C1)c2nsnc2OCCOCCOc3nsnc3C4=CCCN(C)C4	CHEMBL142766	pKi=8.31
CN1CCCC[C@H]1\C=C\C2c3ccccc3Cc4ccccc24	CHEMBL415038	pKd=8.31
[Br-].O=C(N[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C4c5ccccc5Oc6ccccc46	CHEMBL3401654	pIC50=8.31
CC1(N)CCN(CC1)C(=O)[C@@](O)([C@@H]2CCC(F)(F)C2)c3ccccc3	CHEMBL68609	pKi=8.33
CC(=O)OC1CC2CCCC1N2	CHEMBL64000	pKi=8.34
CC(C)N(CC[C@H](c1ccccc1)c2cc(CCNC(=O)CCCCCNC(=O)COc3ccc(\C=C\C4=[N+]5C(=Cc6ccc(c7cccs7)n6[B-]5(F)F)C=C4)cc3)ccc2O)C(C)C	CHEMBL271108	pKi=8.34
CN(C)CC1COCC(O1)(c2ccccc2)c3ccccc3.OC(=O)C(=O)O	CHEMBL2042552	pKi=8.34
[I-].C[N+]1(C)CCC(CC1)OC(=O)C(c2ccccc2)c3ccccc3	CHEMBL76897	pIC50=8.35
COc1ccc(Sc2ccc(cc2)C(=C)C3CCN(CC3)C4CCCCC4)cc1	CHEMBL70828	pKi=8.36
COc1cccc(CN2CCC(CC2)NC(=O)[C@@](O)([C@@H]3CCC(F)(F)C3)c4ccccc4)c1	CHEMBL149484	pKi=8.36
[Br-].OC(C(=O)N[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)(c4cccs4)c5cccs5	CHEMBL3401651	pIC50=8.36
CCN(CC)CCOC(=O)C(C)(C1CCCCC1)c2ccccc2	CHEMBL443780	pKi=8.4
Cl.CN1CCC=C(C1)c2nsnc2OCCCCCCCCCCCCOC(=O)C	CHEMBL538793	pKi=8.4
CN(CCCCCCCCN(C)CCCCCCN(CC(=O)N1c2ccccc2C(=O)Nc3cccnc13)CC(=O)N4c5ccccc5C(=O)Nc6cccnc46)CCCCCCNCC(=O)N7c8ccccc8C(=O)Nc9cccnc79	CHEMBL265256	pKi=8.45
CN1CCC[C@H]1[C@H]2CSC(O2)(c3ccccc3)c4ccccc4	CHEMBL373515	pKi=8.46
Cc1ccc(CN2CCC(CC2)NC(=O)C(O)(C3CCCC3)c4ccccc4)cc1	CHEMBL149486	pKi=8.46
Nc1ccc(CN2CCC(CC2)NC(=O)[C@@](O)([C@@H]3CCC(F)(F)C3)c4ccccc4)cc1	CHEMBL343449	pKi=8.46
CN1CCCCC1\C=C\C2C3C=CC=CC3Oc4ccccc24	CHEMBL25334	pKd=8.48
Nc1cccc(CN2CCC(CC2)NC(=O)[C@@](O)([C@@H]3CCC(F)(F)C3)c4ccccc4)c1	CHEMBL422665	pKi=8.5
[Br-].CCCCCCC[N+]12CCC(CC1)[C@H](C2)OC(=O)C3(O)c4ccccc4c5ccccc35	CHEMBL563996	pIC50=8.51
Cc1cc(NCCN2C3CCCC2CC3)nnc1c4ccccc4O	CHEMBL281456	pKi=8.52
Cl.O=C(Nc1ccccc1c2ccccc2)OC34CCN(CC3)CC4	CHEMBL1779047	pIC50=8.52
NC1CCN(CC1)C(=O)[C@@](O)([C@@H]2CCC(F)(F)C2)c3ccccc3	CHEMBL68584	pKi=8.52
[Br-].Cc1cccc(c1)N(Cc2cc(F)c(F)cc2F)C(=O)O[C@H]3C[N+]4(CCCc5ccccc5)CCC3CC4	CHEMBL1779138	pIC50=8.52
CCN(CC)CCCOC(=O)C(C)(C1CCCCC1)c2ccccc2	CHEMBL284137	pKi=8.54
[Br-].CC(C)[N+]1(C)[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)C(CO)c3ccccc3	CHEMBL1464005	pIC50=8.54
COc1ccc(cc1)S(=O)(=O)c2ccc(cc2)C(=C)C3CCN(CC3)C4CCCCC4	CHEMBL71147	pKi=8.55
CN1CCCCC1CC=C2c3ccccc3Cc4ccccc24	CHEMBL418189	pKd=8.57
OC(C1CCCC1)(C(=O)NC2CCN(Cc3ccccc3)CC2)c4ccccc4	CHEMBL146464	pKi=8.59
Nc1ccc(CN2CCC(CC2)NC(=O)[C@@](O)([C@@H]3CCC(F)(F)C3)c4ccccc4)cc1F	CHEMBL356181	pKi=8.6
O[C@@]([C@@H]1CCC(F)(F)C1)(C(=O)NC2CCN(Cc3cccc(F)c3)CC2)c4ccccc4	CHEMBL147611	pKi=8.6
[Br-].CCCCN(C(=O)O[C@H]1C[N+]2(CCCc3ccccc3)CCC1CC2)c4ccccc4	CHEMBL1779135	pIC50=8.6
C[C@H](C1=C(CCN(C)C)Cc2ccccc12)c3ccccn3	CHEMBL564226	pKi=8.62
O=C(O[C@H]1CN2CCC1CC2)N(Cc3cccs3)Cc4cccs4	CHEMBL1779040	pIC50=8.62
O[C@@]([C@@H]1CCC(F)(F)C1)(C(=O)NC2CCN(Cc3ccccc3)CC2)c4ccccc4	CHEMBL147653	pKi=8.62
[Br-].Cc1cccc(c1)N(Cc2cc(F)c(F)cc2F)C(=O)O[C@H]3C[N+]4(CCOc5ccccc5)CCC3CC4	CHEMBL1779139	pIC50=8.62
OC(CCN1CCCCC1)([C@H]2C[C@H]3C[C@@H]2C=C3)c4ccccc4	CHEMBL3085495	pKi=8.63
[I-].C[N+]1(C)CCC[C@@H]1[C@@H]2CSC(O2)(c3ccccc3)c4ccccc4	CHEMBL375851	pKi=8.63
COc1ccc(cc1)[S+]([O-])c2ccc(cc2)C(=C)C3CCN(CC3)C4CCCCC4	CHEMBL2115128	pKi=8.67
Cc1cc(CN2CCC(CC2)NC(=O)C(O)(C3CCCC3)c4ccccc4)cs1	CHEMBL356305	pKi=8.68
NCC1CCN(C1)C(=O)[C@@](O)([C@@H]2CCC(F)(F)C2)c3ccccc3	CHEMBL305531	pKi=8.68
NCCC1CCN(CC1)C(=O)[C@@](O)(C2CCCC2)c3ccccc3	CHEMBL69648	pKi=8.68
[Br-].OC(C(=O)N[C@H]1C[N+]2(CCOc3ccccc3)CCC1CC2)(c4cccs4)c5cccs5	CHEMBL3401650	pIC50=8.68
[I-].C[N+]1(C)CCCC1c2oc(cc2)C(O)(C3CCCCC3)c4ccccc4	CHEMBL569760	pKi=8.68
C[N+](C)(C)CC#CCOC1=NOCC1	CHEMBL3121473	pEC50=8.69
CN(C)CCc1sc2ccccc2c1Cc3ccc(F)cc3	CHEMBL540982	pKi=8.7
CN1CCC(=C2c3ccccc3CCc4sccc24)CC1	CHEMBL294951	pKi=8.7
Cl.CCCCCCSc1nccnc1O[C@H]2CN3CCC2C3	CHEMBL542622	pKi=8.7
O=C(OCCN1CCCC1)N2c3ccccc3Sc4ccccc24	CHEMBL481153	pKi=8.7
[Br-].CCCCN(C(=O)O[C@H]1C[N+]2(CCCc3cccs3)CCC1CC2)c4ccccc4	CHEMBL1779136	pIC50=8.7
[Br-].O=C(O[C@H]1C[N+]2(CCCc3cccs3)CCC1CC2)N(Cc4ccsc4)c5ccccc5	CHEMBL1779132	pIC50=8.7
CN(C)CCCOC(=O)C(C)(C1CCCCC1)c2ccccc2	CHEMBL286008	pKi=8.72
CN1CCC=C(C1)c2nsnc2OCCOCCOCCOCCOCCOCCOc3nsnc3C4=CCCN(C)C4	CHEMBL139887	pKi=8.72
CN(C)C1(CNCCC2CCOCC2)COc3cc(Cl)c(Cl)cc3OC1	CHEMBL234440	pKi=8.75
NCC1CCN(CC1)C(=O)[C@@](O)(C2CCCC2)c3ccccc3	CHEMBL66400	pKi=8.75
CN1CCCCC1\C=C\C2c3ccccc3Cc4ccccc24	CHEMBL21942	pKd=8.76
CN(C)CCOc1cc(C)c2cc(NC(=O)COc3ccc(Cl)cc3Cl)ccc2n1	CHEMBL194837	pIC50=8.77
[Br-].O=C(O[C@H]1C[N+]2(CCOc3ccccc3)CCC1CC2)N(Cc4ccccc4)c5ccccc5	CHEMBL1779129	pIC50=8.77
CN1CCC=C(C1)c2nsnc2OCCCCCCCCCOc3nsnc3C4=CCCN(C)C4	CHEMBL143469	pKi=8.78
CN1CCC=C(C1)c2nsnc2OCCCCCCCCCCCCOc3nsnc3C4=CCCN(C)C4	CHEMBL142538	pKi=8.8
[Br-].CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)c2ccccc2	CHEMBL2106570	pKi=8.8
[Br-].C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](CC(O)(c3ccccc3)c4ccccc4)C2	CHEMBL3084658	pKi=8.8
[Br-].O=C(O[C@H]1C[N+]2(CCCc3cccs3)CCC1CC2)N(Cc4cccs4)c5ccccc5	CHEMBL1777827	pIC50=8.8
CC1(CCN)CCN(CC1)C(=O)[C@@](O)([C@@H]2CCC(F)(F)C2)c3ccccc3	CHEMBL302809	pKi=8.82
CN1CCC=C(C1)c2nsnc2OCCOCCOCCOCCOCCOc3nsnc3C4=CCCN(C)C4	CHEMBL140142	pKi=8.82
CN1CCCC[C@@H]1\C=C\C2c3ccccc3Cc4ccccc24	CHEMBL22829	pKd=8.82
Fc1cccc(CN(C(=O)O[C@H]2CN3CCC2CC3)c4cccc(F)c4)c1	CHEMBL1779044	pIC50=8.82
Nc1cccc(CN2CCC(CC2)NC(=O)[C@@](O)([C@@H]3CCC(F)(F)C3)c4ccccc4)n1	CHEMBL69678	pKi=8.82
[Br-].O=C(O[C@H]1C[N+]2(CCCc3ccccc3)CCC1CC2)N(Cc4ccccc4)c5ccccc5	CHEMBL1779049	pIC50=8.82
CN1CCC[C@H]1[C@H]2CS[C@@](O2)(C3CCCCC3)c4ccccc4	CHEMBL376255	pKi=8.83
CC(C)N(CC[C@H](c1ccccc1)c2cc(C)ccc2O)C(C)C	CHEMBL1382	pKi=8.85
Cc1cccc(CN2CCC(CC2)NC(=O)C(O)(C3CCCC3)c4ccccc4)c1	CHEMBL358726	pKi=8.85
[Br-].CCCCN(C(=O)O[C@H]1C[N+]2(CCOc3ccccc3)CCC1CC2)c4ccccc4	CHEMBL1779137	pIC50=8.85
[Br-].O=C(O[C@H]1C[N+]2(CCCc3cccs3)CCC1CC2)N(Cc4ccccc4)c5ccccc5	CHEMBL1779128	pIC50=8.85
CN1CCC[C@H]1[C@H]2CS[C@](O2)(C3CCCCC3)c4ccccc4	CHEMBL385328	pKi=8.86
CCN(CC)CCOC(=O)C(O)(C1CCCCC1)c2cccs2	CHEMBL2377267	pKi=8.88
[Br-].C[N+]1(C)[C@H]2C[C@@H](C[C@H]1[C@H]3O[C@@H]23)OC(=O)[C@H](CO)c4ccccc4	CHEMBL1201024	pIC50=8.88
CC(N1CCN(CC1)C2CCCCC2)c3ccc(cc3)S(=O)(=O)c4ccccc4	CHEMBL312085	pKi=8.89
CCN(CC)CCSC(=O)C(O)(c1ccccc1)c2ccccc2	CHEMBL2377387	pKi=8.89
NCC=C1CCN(CC1)C(=O)[C@@](O)([C@@H]2CCC(F)(F)C2)c3ccccc3	CHEMBL68384	pKi=8.89
CN(C)C[C@H]1COCC(O1)(c2ccccc2)c3ccccc3.OC(=O)C(=O)O	CHEMBL2042553	pKi=8.9
[Br-].CC1(C(=O)O[C@H]2C[N+]3(CCCOc4ccccc4)CCC2CC3)c5ccccc5c6ccccc16	CHEMBL559931	pIC50=8.9
[Br-].C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](CC(CO)(c3ccccc3)c4ccccc4)C2	CHEMBL3084643	pKi=8.9
CN1CCCC1c2oc(cc2)C(O)(C3CCCCC3)c4ccccc4	CHEMBL583051	pKi=8.91
CN1CCC[C@@H]1c2oc(cc2)[C@@](O)(C3CCCCC3)c4ccccc4	CHEMBL571121	pKi=8.91
CN1CCC=C(C1)c2nsnc2SCCCSc3nsnc3C4=CCCN(C)C4	CHEMBL337131	pKi=8.92
Oc1cccc(CN2CCC(CC2)NC(=O)[C@@](O)([C@@H]3CCC(F)(F)C3)c4ccccc4)c1	CHEMBL145913	pKi=8.92
[Br-].OC1(C(=O)O[C@H]2C[N+]3(CCc4ccccc4)CCC2CC3)c5ccccc5c6ccccc16	CHEMBL562655	pIC50=8.95
CCCCN(C(=O)O[C@H]1CN2CCC1CC2)c3ccccc3	CHEMBL1779036	pIC50=8.96
[Br-].Fc1cccc(c1)N(Cc2cc(F)c(F)c(F)c2)C(=O)O[C@H]3C[N+]4(CCOc5ccccc5)CCC3CC4	CHEMBL1779140	pIC50=8.96
[I-].C[N+](C)(C)C[C@@H]1CS[C@](O1)(C2CCCCC2)c3ccccc3	CHEMBL45454	pKi=8.96
CN1CCC=C(C1)c2nsnc2OCCCCCCCCCC3CCN(CCCN4C(=O)CCc5ccccc45)CC3	CHEMBL3354069	pKi=8.99
CCC1(CCN)CCN(CC1)C(=O)[C@@](O)([C@@H]2CCC(F)(F)C2)c3ccccc3	CHEMBL443267	pKi=9.0
CN1[C@@H]2CC[C@H]1C[C@@H](CC(CO)(c3ccccc3)c4ccccc4)C2	CHEMBL3084679	pKi=9.0
Cc1cccc(c1)N(Cc2cc(F)c(F)cc2F)C(=O)O[C@H]3CN4CCC3CC4	CHEMBL1779045	pIC50=9.0
O=C(O[C@H]1CN2CCC1CC2)N(CCc3ccccc3)c4ccccc4	CHEMBL1779032	pIC50=9.0
[Br-].OC(C(=O)N[C@H]1C[N+]2(CCCc3ccccc3)CCC1CC2)(c4cccs4)c5cccs5	CHEMBL3401648	pIC50=9.0
[Br-].OC(C(=O)N[C@H]1C[N+]2(CCCc3cccs3)CCC1CC2)(c4cccs4)c5cccs5	CHEMBL3401649	pIC50=9.0
NC1CCN(CC1)C(=O)[C@@](O)(C2CCCC2)c3ccccc3	CHEMBL71431	pKi=9.01
[I-].C[N+]1(C)CCC[C@@H]1[C@@H]2CS[C@@](O2)(C3CCCCC3)c4ccccc4	CHEMBL220393	pKi=9.02
CN1CCC=C(C1)c2nsnc2SCCCCSc3nsnc3C4=CCCN(C)C4	CHEMBL142184	pKi=9.03
CN1CCC[C@@H]1[C@@H]2CS[C@](O2)(C3CCCCC3)c4ccccc4	CHEMBL219825	pKi=9.04
Fc1cccc(c1)N(Cc2cc(F)c(F)c(F)c2)C(=O)O[C@H]3CN4CCC3CC4	CHEMBL1779046	pIC50=9.05
OC(C(=O)N[C@H]1CN2CCC1CC2)(c3cccs3)c4cccs4	CHEMBL3401641	pIC50=9.05
CN1CCC=C(C1)c2nsnc2SCCCCCCSc3nsnc3C4=CCCN(C)C4	CHEMBL341759	pKi=9.06
Cc1cccc(CN2CCC(CC2)NC(=O)[C@@](O)([C@@H]3CCC(F)(F)C3)c4ccccc4)c1	CHEMBL146567	pKi=9.06
[Br-].O[C@](C1CCCC1)(C(=O)O[C@H]2C[N+]3(CCCOc4ccccc4)CCC2CC3)c5cccs5	CHEMBL549986	pIC50=9.09
CCCCCN(C(=O)O[C@H]1CN2CCC1CC2)c3ccccc3	CHEMBL1779037	pIC50=9.1
CCCCN(Cc1cccs1)C(=O)O[C@H]2CN3CCC2CC3	CHEMBL1779041	pIC50=9.1
[I-].C[N+](C)(C)CC1COCC(O1)(c2ccccc2)c3ccccc3	CHEMBL2042404	pKi=9.1
CN1CCC[C@@H]1[C@@H]2CSC(O2)(c3ccccc3)c4ccccc4	CHEMBL375073	pKi=9.12
CN1CCC=C(C1)c2nsnc2SCCCCCCCCCCCCSc3nsnc3C4=CCCN(C)C4	CHEMBL139603	pKi=9.16
[I-].C[N+]1(C)CCC[C@@H]1c2oc(cc2)[C@@](O)(C3CCCCC3)c4ccccc4	CHEMBL569307	pKi=9.16
COc1ccc(cc1)[S+]([O-])c2ccc(cc2)C(=C)C3CCN(CC3)C4CCCCC4	CHEMBL2114068	pKi=9.17
[Br-].OC(c1ccccc1)(c2ccccc2)C34CC[N+](CCCOc5ccccc5)(CC3)CC4	CHEMBL524097	pKi=9.19
[Br-].OC1(C(=O)O[C@H]2C[N+]3(CCCOc4ccccc4)CCC2CC3)c5ccccc5c6ccccc16	CHEMBL561870	pIC50=9.2
CN1CCC=C(C1)c2nsnc2OCCCCCCOc3nsnc3C4=CCCN(C)C4	CHEMBL142126	pKi=9.22
[Br-].CC(C(=O)O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)(c4cccs4)c5cccs5	CHEMBL561187	pIC50=9.22
COc1cc(Br)cc(c1)C2Nc3c(C(=O)CS2)c(C)nn3C	CHEMBL2377266	pKi=9.23
CN1CCC=C(C1)c2nsnc2SCCCCCCCCCCCSc3nsnc3C4=CCCN(C)C4	CHEMBL143466	pKi=9.24
COc1ccc(cc1)[S+]([O-])c2ccc(cc2)C(C)C3CCN(CC3)C4CCCCC4	CHEMBL71124	pKi=9.28
CN1[C@@H]2CC[C@H]1C[C@@H](CC(O)(c3ccccc3)c4ccccc4)C2	CHEMBL3084662	pKi=9.3
[I-].C[N+](C)(C)C[C@H]1COCC(O1)(c2ccccc2)c3ccccc3	CHEMBL2042405	pKi=9.3
[I-].C[N+]1(C)CCC[C@@H]1[C@@H]2CS[C@](O2)(C3CCCCC3)c4ccccc4	CHEMBL222259	pKi=9.3
[Br-].O=C(O[C@H]1C[N+]2(CCc3ccccc3)CCC1CC2)C4c5ccccc5Oc6ccccc46	CHEMBL559106	pIC50=9.36
[Br-].C[N+]12CCC(CC1)[C@H](C2)OC(=O)C(O)(c3cccs3)c4cccs4	CHEMBL560327	pIC50=9.37
[Br-].CCCCCCC[N+]12CCC(CC1)[C@H](C2)OC(=O)C(O)(c3cccs3)c4cccs4	CHEMBL549784	pIC50=9.39
O=C(O[C@H]1CN2CCC1CC2)N(Cc3ccccc3)c4ccccc4	CHEMBL1777826	pIC50=9.4
O=C(O[C@H]1CN2CCC1CC2)N(Cc3cccs3)c4ccccc4	CHEMBL1779033	pIC50=9.4
O=C(O[C@H]1CN2CCC1CC2)N(Cc3ccsc3)c4ccccc4	CHEMBL1779034	pIC50=9.4
O[C@@](C1CCCC1)(C(=O)N[C@H]2CN3CCC2CC3)c4cccs4	CHEMBL3401643	pIC50=9.4
[Br-].O=C(O[C@H]1C[N+]2(CCOc3ccccc3)CCC1CC2)N(Cc4cccs4)c5ccccc5	CHEMBL1779131	pIC50=9.4
[Br-].O=C(O[C@H]1C[N+]2(CCOc3ccccc3)CCC1CC2)N(Cc4ccsc4)c5ccccc5	CHEMBL1779133	pIC50=9.4
[Br-].C[N+]1(C)[C@@H]2CC[C@H]1C[C@H](C2)C=C(c3cccs3)c4cccs4	CHEMBL3084413	pKi=9.42
[Br-].O[C@@](C(=O)O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)(c4ccccc4)c5cccs5	CHEMBL564765	pIC50=9.42
OC(C(=O)O[C@H]1CN2CCC1CC2)(c3ccccc3)c4ccccc4	CHEMBL558910	pIC50=9.44
CN1CCC[C@@H]1[C@@H]2CS[C@@](O2)(C3CCCCC3)c4ccccc4	CHEMBL376870	pKi=9.46
[Br-].O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(c4cccs4)c5cccs5	CHEMBL551063	pIC50=9.47
CN1CCC=C(C1)c2nsnc2SCCCCCCCCCCSc3nsnc3C4=CCCN(C)C4	CHEMBL143434	pKi=9.5
C[C@@H](c1ccccn1)c2c(CCN(C)C)oc3ccccc23	CHEMBL563920	pKi=9.5
[I-].CC(C)OC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H]3CCC[N+](C)(Cc4cccc(O)c4)C3)cc1	CHEMBL540359	pKi=9.5
O=C(O[C@H]1CN2CCC1CC2)C3c4ccccc4Oc5ccccc35	CHEMBL549577	pIC50=9.51
[Br-].OC(C(=O)O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)(c4ccccc4)c5ccccc5	CHEMBL551731	pIC50=9.51
[I-].C[N+]1(C)CCC[C@H]1[C@H]2CSC(O2)(c3ccccc3)c4ccccc4	CHEMBL375969	pKi=9.53
[Br-].OC(C(=O)O[C@H]1C[N+]2(CCCCc3ccccc3)CCC1CC2)(c4cccs4)c5cccs5	CHEMBL554725	pIC50=9.54
[Br-].OC1(C(=O)O[C@H]2C[N+]3(CCc4ccccc4)CCC2CC3)c5ccccc5Oc6ccccc16	CHEMBL564515	pIC50=9.54
[Br-].CC1(C(=O)O[C@H]2C[N+]3(CCCOc4ccccc4)CCC2CC3)c5ccccc5Oc6ccccc16	CHEMBL556221	pIC50=9.55
CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)[C@H](CO)c3ccccc3	CHEMBL2449003	pKi=9.57
OC1(C(=O)O[C@H]2CN3CCC2CC3)c4ccccc4c5ccccc15	CHEMBL563887	pIC50=9.59
[I-].C[N+]1(C)CCC[C@H]1[C@H]2CS[C@@](O2)(C3CCCCC3)c4ccccc4	CHEMBL376057	pKi=9.6
O[C@](C1CCCC1)(C(=O)O[C@H]2CN3CCC2CC3)c4cccs4	CHEMBL554699	pIC50=9.62
CN1CCC=C(C1)c2nsnc2OCCCCCCCCCCOc3nsnc3C4=CCCN(C)C4	CHEMBL143468	pKi=9.64
O[C@@](C(=O)O[C@H]1CN2CCC1CC2)(c3ccccc3)c4cccs4	CHEMBL556426	pIC50=9.64
[Br-].OC(C(=O)O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)(c4ccsc4)c5ccsc5	CHEMBL551327	pIC50=9.64
[Br-].OC1(C(=O)O[C@H]2C[N+]3(CCCOc4ccccc4)CCC2CC3)c5ccccc5Oc6ccccc16	CHEMBL562890	pIC50=9.64
O.[Br-].C[N+]1(C)[C@@H]2C[C@H](C[C@H]1[C@@H]3O[C@H]23)OC(=O)C(O)(c4cccs4)c5cccs5	CHEMBL3545181	pIC50=9.66
OC(C(=O)O[C@H]1CN2CCC1CC2)(c3cccs3)c4cccs4	CHEMBL551729	pIC50=9.7
O[C@](C(=O)O[C@H]1CN2CCC1CC2)(c3ccccc3)c4cccs4	CHEMBL564747	pIC50=9.7
CN1CCC=C(C1)c2nsnc2OCCCCCCCCOc3nsnc3C4=CCCN(C)C4	CHEMBL141452	pKi=9.72
O[C@@](C1CCCC1)(C(=O)O[C@H]2CN3CCC2CC3)c4cccs4	CHEMBL562642	pIC50=9.72
O[C@@H](CNCCc1ccc(CCN2CCC(Cn3cnc(n3)[C@@](O)(C4CCCCC4)c5ccccc5)CC2)cc1)c6ccc(O)c7NC(=O)C=Cc67	CHEMBL3629360	pKi=9.8
[Br-].OC(c1ccccc1)(c2ccccc2)C34CC[N+](CCOCc5ccccc5)(CC3)CC4	CHEMBL523299	pKi=9.8
[Br-].O[C@](C(=O)O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)(c4ccccc4)c5cccs5	CHEMBL556222	pIC50=9.8
[Br-].O[C@@](C1CCCC1)(C(=O)O[C@H]2C[N+]3(CCCOc4ccccc4)CCC2CC3)c5cccs5	CHEMBL556635	pIC50=9.82
