[H][C@]12O[C@](O)([C@H](C)C[C@@H]1OC)C(=O)C(=O)N1CCCC[C@@]1([H])C(=O)O[C@@H]([C@@H](C)[C@@H](O)CC(=O)[C@H](CC=C)\C=C(C)\C[C@H](C)C[C@@H]2OC)C(\C)=C\[C@@H]1CC[C@@H](O)[C@@H](C1)OC	tacrolimus	pKd=9.398	pKd=9.398	pKd=9.398	pIC50=6.0
[H][C@@](C)(C[C@]1([H])CC[C@@]([H])(O)[C@@]([H])(C1)OC)[C@]1([H])CC(=O)[C@]([H])(C)\C=C(C)\[C@@]([H])(O)[C@@]([H])(OC)C(=O)[C@]([H])(C)C[C@]([H])(C)\C=C\C=C\C=C(C)\[C@]([H])(C[C@]2([H])CC[C@@]([H])(C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@@]2([H])C(=O)O1)OC	sirolimus	pKd=8.96	pKd=8.96	pKd=8.96	pIC50=8.8
[H][C@]12O[C@](O)([C@H](C)C[C@@H]1OC)C(=O)C(=O)N1CCCC[C@@]1([H])C(=O)O[C@@H]([C@H](C)[C@@H](O)CC(=O)[C@H](CC)\C=C(C)\C[C@H](C)C[C@@H]2OC)C(\C)=C\[C@@H]1CC[C@H](Cl)[C@@H](C1)OC	pimecrolimus	pKd=9.0	pKd=9.0	pKd=9.0
[H][C@@](C)(C[C@]1([H])CC[C@@]([H])(OCCO)[C@@H](C1)OC)[C@]1([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@]2([H])CC[C@@]([H])(C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@@]2([H])C(=O)O1)OC	everolimus	pIC50=8.25964	pIC50=8.25964	pIC50=8.25964
[H][C@@](C)(C[C@]1([H])CC[C@@]([H])(OC(=O)C(C)(CO)CO)[C@@]([H])(C1)OC)[C@]1([H])CC(=O)[C@]([H])(C)\C=C(C)\[C@@]([H])(O)[C@@]([H])(OC)C(=O)[C@]([H])(C)C[C@]([H])(C)\C=C\C=C\C=C(C)\[C@]([H])(C[C@]2([H])CC[C@@]([H])(C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@@]2([H])C(=O)O1)OC	temsirolimus
COc1ccc(CCCCOC(=O)C2CCCCN2C(=O)C(=O)c3cc(OC)c(OC)c(OC)c3)cc1	CHEMBL150100	pKi=7.89
CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)SCCc2ccccc2	CHEMBL119280	pKi=7.91
CCC(C)(C)C(=O)C(=O)N1CCCCC1C(=O)OCCCc2cc(OC)ccc2OC	CHEMBL342735	pKi=7.92
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2OC(O)([C@@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](OCc5ccsc5)[C@H](O)C4)\C	CHEMBL366353	pEC50=7.92
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2OC([C@H](C)C[C@H]2OC)C(=O)C(=O)N3CCCCC3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](O)[C@@H](C4)OC)\C	CHEMBL431441	pIC50=7.92
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](OCOCc5ccccc5)[C@@H](C4)OC)\C	CHEMBL385568	pEC50=7.92
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](Oc5ccccc5)[C@@H](C4)OC)\C	CHEMBL262698	pEC50=7.92
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@H](O)CC1=O)\C(=C\C4CC[C@@H](OC[C@H](O)c5cc6ccccc6s5)[C@@H](C4)OC)\C	CHEMBL268110	pEC50=7.92
CO[C@@H]1C[C@H](CC(C)[C@@H]2CC(=O)[C@H](C)\C=C(/C)\[C@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)C3C=CC(\C=C(/C)\[C@H](C[C@H]4O[C@](O)([C@H](C)C[C@@H]4OC)C(=O)C(=O)N5CCCC[C@H]5C(=O)O2)OC)N6N3C(=O)N(C6=O)c7ccccc7)CC[C@H]1O	CHEMBL265972	pKi=7.92
COc1ccc(CCC(OC(=O)[C@@H]2CCCCN2C(=O)[C@H](C3CCCCC3)c4ccccc4)c5cccc(OCC(=O)O)c5)cc1OC	CHEMBL442141	pIC50=7.92
COc1ccc(CCCOC(=O)C2CCCCN2C(=O)NC34CC5CC(CC(C5)C3)C4)c(OC)c1	CHEMBL33860	pKi=7.92
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2OC(O)([C@@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](OCc5cccs5)[C@H](O)C4)\C	CHEMBL439899	pEC50=7.93
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@H](O)CC1=O)\C(=C\C4CC[C@@H](OC[C@@H](O)c5cc6ccccc6s5)[C@@H](C4)OC)\C	CHEMBL266705	pEC50=7.95
CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)SCCCc2ccccc2	CHEMBL119228	pKi=7.96
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2OC(O)([C@@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](O)[C@@H](C4)OCc5cccs5)\C	CHEMBL433606	pEC50=7.99
CC[C@@H]1\C=C(/C)\C[C@H](C)[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](Oc5ccccc5)[C@@H](C4)OC)\C	CHEMBL71849	pIC50=8.0
COC[C@H]1O[C@](O)([C@H](C)C[C@@H]1OC)C(=O)C(=O)N2CCCC[C@H]2C(=O)OC\C(=C\[C@@H]3CC[C@@H](O)[C@@H](C3)OC)\C	CHEMBL56278	pKd=8.0
COC[C@H]1O[C@](O)([C@H](C)C[C@@H]1OC)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@@H](CCCC=C)\C(=C\[C@@H]3CC[C@@H](O)[C@@H](C3)OC)\C	CHEMBL276623	pKd=8.0
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N3CCCC[C@H]3C(=O)N[C@H](CCc4ccccc4)C(=O)NCC(=O)N(C)CC(=O)O[C@H]1C	CHEMBL371029	pIC50=8.02
CCOC(=O)CO[C@@H]1CCC(C[C@H]1OC)\C=C(/C)\[C@H]2OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@]4(O)O[C@H]([C@H](C[C@@H](C)C\C(=C\[C@@H](CC)C(=O)C[C@H](O)[C@H]2C)\C)OC)[C@H](C[C@H]4C)OC	CHEMBL299146	pIC50=8.03
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2OC(O)([C@@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](OC\C=C\C)[C@H](O)C4)\C	CHEMBL369579	pEC50=8.04
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](OCCc5ccccc5)[C@@H](C4)OC)\C	CHEMBL406186	pEC50=8.04
CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)SCCCc2ccc(OC)cc2	CHEMBL119571	pKi=8.05
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@H](O)CC1=O)\C(=C\C4CC[C@@H](OC[C@H](O)c5cc(C)cc(C)c5)[C@@H](C4)OC)\C	CHEMBL305081	pEC50=8.05
O=C(OCCCc1cccnc1)C2CCCN2C(=O)C(=O)C3CCCCC3	CHEMBL148517	pKi=8.05
CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)SCCCc2cccnc2	CHEMBL118858	pKi=8.06
CCC(C)(C)C(=O)C(=O)N1CCCCC1C(=O)OCCC(c2ccccc2)c3ccccc3	CHEMBL300040	pKi=8.08
CC[C@H](C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc2ccc(OC)c(OC)c2)c3cccc(OCC(=O)O)c3)c4cc(OC)c(OC)c(OC)c4	CHEMBL110674	pIC50=8.09
COc1ccc(CC[C@@H](OC(=O)[C@@H]2CCCCN2C(=O)[C@@H](C)c3cc(OC)c(OC)c(OC)c3)c4cccc(OCC(=O)O)c4)cc1OC	CHEMBL107101	pIC50=8.09
CCC(C)(C)C(=O)C(=O)N1CCCC1C(=O)OCCCc2cccnc2	CHEMBL149192	pKi=8.13
CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)OCCCc2cccnc2	CHEMBL6367	pKi=8.13
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](OCc5nccn5Cc6ccccc6)[C@@H](C4)OC)\C	CHEMBL386482	pEC50=8.13
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@H](O)CC1=O)\C(=C\C4CC[C@@H](OC[C@@H](O)c5cc(C)cc(C)c5)[C@@H](C4)OC)\C	CHEMBL275103	pEC50=8.13
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@H](O)CC1=O)\C(=C\C4CC[C@@H](OC[C@@H](O)c5ccc(F)c(F)c5)[C@@H](C4)OC)\C	CHEMBL65863	pEC50=8.13
CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)SCCC(c2ccccc2)c3ccccc3	CHEMBL118884	pKi=8.16
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2OC(O)([C@@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](O)[C@@H](C4)OC\C=C\C)\C	CHEMBL366891	pEC50=8.16
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2OC(O)([C@@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](O)[C@@H](C4)OC(C)C=C)\C	CHEMBL355620	pEC50=8.18
CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)SCCCc2ccc3ccccc3c2	CHEMBL118937	pKi=8.22
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2OC(O)([C@@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](OCC=C)[C@H](O)C4)\C	CHEMBL170655	pEC50=8.22
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2OC(O)([C@@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](O)[C@@H](C4)OCc5ccsc5)\C	CHEMBL435906	pEC50=8.24
COc1ccc(CCC(OC(=O)[C@@H]2CCCCN2C(=O)[C@@H](C(C)C)c3cc(OC)c(OC)c(OC)c3)c4cccc(OCC(=O)O)c4)cc1OC	CHEMBL277560	pIC50=8.24
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\C4CC[C@@H](OCC(=O)N(C)Cc5ccccc5)[C@@H](C4)OC)\C	CHEMBL266912	pIC50=8.25
CC[C@H](C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc2ccccc2)c3cccc(OCC(=O)O)c3)c4cc(OC)c(OC)c(OC)c4	CHEMBL320478	pIC50=8.26
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](OCc5ccccc5)[C@@H](C4)OC)\C	CHEMBL293155	pEC50=8.28
CC[C@@H]1\C=C(/C)\C[C@H](C)[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](Oc5ccc6[nH]ccc6c5)[C@@H](C4)OC)\C	CHEMBL431360	pIC50=8.29
CC(C)(C)C(=O)C(=O)N1CCCCC1C(=O)OC(CCCc2ccccc2)CCCc3ccccc3	CHEMBL417192	pKi=8.3
CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc2ccccc2)c3cccc(c3)C(=O)N(CC=C)CC=C	CHEMBL326881	pKi=8.3
CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc2ccccc2)c3cccc(c3)C(=O)c4ccccc4	CHEMBL109950	pKi=8.3
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](O)[C@H](O)C4)\C	CHEMBL2062149	pEC50=8.3
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2OC(O)([C@@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](O)[C@@H](C4)OCc5occc5)\C	CHEMBL368142	pEC50=8.34
COc1ccc(CCC(OC(=O)[C@@H]2CCCCN2C(=O)[C@@H](CC3CC3)c4cc(OC)c(OC)c(OC)c4)c5cccc(OCC(=O)O)c5)cc1OC	CHEMBL277083	pIC50=8.36
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\C4CC[C@@H](OCC(=O)O)[C@@H](C4)OC)\C	CHEMBL51516	pIC50=8.4
CCC[C@H](C(=O)N1CCCC[C@H]1C(=O)OC(CCc2ccc(OC)c(OC)c2)c3cccc(OCC(=O)O)c3)c4cc(OC)c(OC)c(OC)c4	CHEMBL266848	pIC50=8.42
CC[C@@H]1\C=C(/C)\C[C@H](C)[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](Oc5ccc6c(ccn6C)c5)[C@@H](C4)OC)\C	CHEMBL419817	pIC50=8.44
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2OC(O)([C@@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](O)[C@@H](C4)OC(C)C)\C	CHEMBL405104	pEC50=8.47
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H](CC(=O)[C@H](C)\C=C(/C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C\1/C)[C@H](C)C[C@@H](CCO)CCC(=O)OC	CHEMBL140442	pIC50=8.47
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\C4CC[C@@H](OCC(=O)Nc5cccnc5)[C@@H](C4)OC)\C	CHEMBL432484	pIC50=8.48
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\C4CC[C@@H](OCC(=O)Nc5ccncc5)[C@@H](C4)OC)\C	CHEMBL295372	pIC50=8.5
CC(C)(C)C(=O)C(=O)N1CCCC1C(=O)OCCCc2cccnc2	CHEMBL423033	pKi=8.52
COc1cc(cc(OC)c1OC)C(=O)C(=O)N2CCCCC2C(=O)OC(CCCc3ccccc3)CCc4cccnc4	CHEMBL150120	pKi=8.52
COc1ccc(CC[C@@H](OC(=O)[C@@H]2CCCCN2S(=O)(=O)c3ccc4NC(=O)Sc4c3)c5cccc(OCCN6CCOCC6)c5)cc1OC	CHEMBL2058796	pIC50=8.52
O=C(OC(CCCc1ccccc1)CCCc2ccccc2)C3CCCCN3C(=O)C(=O)c4ccccc4	CHEMBL300752	pKi=8.52
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\C4CC[C@@H](OCC(=O)N(C)c5ccccc5)[C@@H](C4)OC)\C	CHEMBL299136	pIC50=8.54
CC[C@@H]1\C=C(/C)\[C@@H](O)[C@H](C)[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](Oc5ccc6c(ccn6C)c5)[C@@H](C4)OC)\C	CHEMBL303180	pIC50=8.55
COC(CC(C)C)[C@@H]1CC[C@@H](C)[C@@](O)(C1)C(=O)C(=O)N2CCCC[C@H]2C(=O)OCc3ccccc3	CHEMBL312157	pKi=8.55
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2OC(O)([C@@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](O)[C@@H](C4)OCC=C)\C	CHEMBL170544	pEC50=8.57
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\C4CC[C@@H](OCC(=O)Nc5ccccn5)[C@@H](C4)OC)\C	CHEMBL263776	pIC50=8.62
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](O)[C@@H](C4)OC)\C	CHEMBL8597	pIC50=8.68
CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(/C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(/C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N4CCCC[C@H]4C(=O)O2)N(O)C(=O)Oc5ccccc5)CC[C@H]1O	CHEMBL437064	pIC50=8.68
CC(C)(C)C(=O)C(=O)N1CCCCC1C(=O)OCCCc2ccccc2	CHEMBL50795	pKi=8.7
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\C4CC[C@@H](OCC(=O)NC5CCCCC5)[C@@H](C4)OC)\C	CHEMBL48863	pIC50=8.7
CC[C@@H]1\C=C(/C)\C[C@H](C)[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](O)[C@@H](C4)OC)\C	CHEMBL70822	pIC50=8.8
COc1ccc(CCC(OC(=O)[C@@H]2CCCCN2C(=O)[C@@H](CC=C)c3cc(OC)c(OC)c(OC)c3)c4cccc(OCC(=O)O)c4)cc1OC	CHEMBL280262	pIC50=8.82
CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)NCCCc2ccccc2	CHEMBL33094	pKi=9.0
COc1cc(cc(OC)c1OC)C(=O)C(=O)N2CCCCC2C(=O)OC(CCCc3ccccc3)CCCc4ccccc4	CHEMBL54189	pKi=9.0
COc1cc(cc(OC)c1OC)C(=O)C(=O)N2CCCCC2C(=O)OC(CCCc3ccccc3)CCCc4ccccn4	CHEMBL151841	pKi=9.0
CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)\[C@H]2OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@]4(O)O[C@@H]([C@H](C[C@H]4C)OC)[C@@H](OC)[C@@H](C)C\C(=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]2C)\C	CHEMBL68027	pIC50=9.1
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)CCC1=O)\C(=C\[C@@H]4CC[C@@H](O)[C@@H](C4)OC)\C	CHEMBL71458	pIC50=9.11
CC[C@@H]1\C=C(/C)\[C@@H](O)[C@H](C)[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](O)[C@@H](C4)OC)\C	CHEMBL303852	pIC50=9.16
CC[C@@H]1\C=C(\C)/[C@@H](O)[C@@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\[C@@H]4CC[C@@H](O)[C@@H](C4)OC)\C	CHEMBL2052020	pKi=9.16
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\C4CC[C@@H](OCC(=O)N)[C@@H](C4)OC)\C	CHEMBL52035	pIC50=9.22
COc1cc(cc(OC)c1OC)C(=O)C(=O)N2CCCCC2C(=O)OC(CCCc3ccccc3)CCCc4cccnc4	CHEMBL151727	pKi=9.3
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\C4CC[C@@H](OCC(=O)N(C)CCc5ccccc5)[C@@H](C4)OC)\C	CHEMBL262778	pIC50=9.4
