CCNC(=O)N1CCN(CCCC(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)CC1	amperozide	pIC50=6.34	pIC50=6.34	pIC50=6.34
CCCCCCCC\C=C/CCCCCCCC(=O)CBr	CHEMBL157736	pIC50=6.0
CCCCCCOc1ccc(NC(=O)Oc2ccccc2)cc1	CHEMBL599181	pIC50=7.51
CCc1nc(c2ccccc2)c(c3ccccc3)n1CCCCCCCC(=O)OC	CHEMBL234003	pIC50=7.51
C[C@@H](OC(=O)COCc1ccccc1)[C@@H]2CN(C(=O)CCC=C)C2=O	CHEMBL2313952	pIC50=7.51
Cl.Clc1cccc(N2CCN(CCCCNC(=O)Oc3cccc4OCCOc34)CC2)c1Cl	CHEMBL3798372	pIC50=7.51
Clc1ccc(Oc2cccc(CN3CCC4(CC3)CN(C4)C(=O)Nc5ccc(nc5)n6nccn6)c2)cc1	CHEMBL3112941	pIC50=7.51
O=C(CCCCCCc1ccccc1)c2oc3cccnc3n2	CHEMBL367966	pIC50=7.51
CCC(CCCCCn1c(C)nc(c2ccccc2)c1c3ccccc3)NC(=O)Oc4ccccc4F	CHEMBL232784	pIC50=7.52
CCCCOc1ccc(NC(=O)O\N=C\c2ccc(F)cc2)cc1	CHEMBL598046	pKi=7.52
CCN1C(=O)N(C2CCCN(C2)c3nccc(n3)c4oc5ccccc5c4)c6ccccc16	CHEMBL1761282	pIC50=7.52
CCN1C(=O)N([C@H]2CCCN(C2)c3ccnc(n3)c4ccc(Cl)cc4)c5ccccc15	CHEMBL1761296	pIC50=7.52
CCN1C(=O)N([C@H]2CCCN(C2)c3ccnc(n3)c4oc5ccccc5c4)c6ccccc16	CHEMBL1761289	pIC50=7.52
CN1C(=O)N(C2CCCN(C2)c3nccc(n3)c4oc5ccccc5c4)c6ccccc16	CHEMBL1761281	pIC50=7.52
COC(=O)c1oc(nc1)C(=O)CCCCCCc2ccccc2	CHEMBL220784	pIC50=7.52
C[C@@H](OC(=O)CCCc1ccccc1)[C@@H]2CN(C(=O)CCCc3ccccc3)C2=O	CHEMBL565670	pIC50=7.52
C[C@@H](OC(=O)COCc1ccccc1)[C@@H]2CN(C(=O)OCC=C)C2=O	CHEMBL2313940	pIC50=7.52
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4ccon4)c2)cc1	CHEMBL2207364	pIC50=7.52
Fc1oc(nc1)C(=O)CCCCCCc2ccccc2	CHEMBL373906	pKi=7.52
O=C(CCCCCCCCc1ccccc1)c2oc(cn2)c3ccccn3	CHEMBL177216	pIC50=7.52
OC(CNc1cc(ncn1)c2ccc(OC(F)(F)F)cc2)c3ccccc3	CHEMBL3121130	pIC50=7.52
CCCOc1ccc(NC(=O)O\N=C\c2cccnc2)cc1	CHEMBL598545	pIC50=7.54
CCOC(=O)c1cc(c2cccc(OC(=O)NC3CCCCC3)c2)n(n1)c4ccc(C)cc4	CHEMBL3422946	pIC50=7.54
C[C@@H](OC(=O)NCCc1ccccc1)[C@@H]2CN(C(=O)NCC=C)C2=O	CHEMBL2313945	pIC50=7.54
O=C(Oc1ccccc1)N2CCC(CC2)c3nc(cs3)C4=NOC5(CCCc6ccccc56)C4	CHEMBL3799076	pIC50=7.54
C(C1CCCCC1)N2CCc3c(C2)ccnc3Nc4cnc5ccccc5c4	CHEMBL3220530	pIC50=7.55
CCCCCCCOc1ccc(NC(=O)Oc2ccccc2F)cc1	CHEMBL610774	pIC50=7.55
CCCCCOc1ccc(NC(=O)ON=C(C)C)cc1	CHEMBL597087	pIC50=7.55
CCCCOc1ccc(NC(=O)ON=C(C)C)cc1	CHEMBL597086	pIC50=7.55
COc1cccc(c1)c2ccc3oc(nc3c2)N4Cc5ccccc5C4	CHEMBL3217940	pIC50=7.55
CS(=O)(=O)c1ccc(cc1)c2nc(oc2Sc3ccc(Cl)cn3)c4ccc(F)cc4	CHEMBL3287932	pIC50=7.55
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4cccc5nonc45)c2)cc1	CHEMBL2207366	pIC50=7.55
Fc1ccc(Oc2cccc(CC3CCCN(C3)C(=O)Nc4cccnc4)c2)cc1	CHEMBL3810386	pIC50=7.55
Fc1ccc(c(F)c1)c2cc(ccn2)N3CCN(CC3)C(=O)Nc4cccnn4	CHEMBL3113266	pIC50=7.55
O=C(N1CCN(C\C=C\c2ccccc2)CC1)n3nnc4ccccc34	CHEMBL2159799	pIC50=7.55
OC(=O)c1cccc(n1)c2oc(nc2)C(=O)CCc3ccc(cc3)c4ccc(CN5CCSCC5)cc4	CHEMBL410933	pKi=7.55
[O-][N+](=O)c1cccc(c1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL219674	pKi=7.55
CCCOC(=O)c1cc(c2cccc(OC(=O)NC3CCCCC3)c2)n(n1)c4ccccc4	CHEMBL3423131	pIC50=7.57
COC(=O)c1cccc(n1)c2oc(nc2)C(=O)[C@H]3CCc4cc(ccc4C3)c5ccccc5	CHEMBL1765826	pKi=7.57
Clc1ccc(Oc2cccc(CN3CCC4(CC3)CCN(CC4)C(=O)Nc5cccnc5)c2)cc1	CHEMBL3112766	pIC50=7.57
Clc1ccc(Sc2cn(nc2c3ccc4OCCOc4c3)c5ccccc5)cc1	CHEMBL3287927	pIC50=7.57
O=C(Nc1ccncc1)N2CCN(CC2)c3nc(ns3)c4ccccc4	CHEMBL513073	pIC50=7.57
O=C([C@H]1Cc2ccc(cc2C1)c3ccccc3)c4occn4	CHEMBL1765861	pKi=7.57
COc1cccc(c1F)c2ccc(OC3CN(C3)C(=O)Nc4cccnn4)nc2	CHEMBL3677699	pIC50=7.59
COc1ncc(c(OC)n1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL376201	pKi=7.59
Clc1ccc(Oc2cccc(CN3CCC4(CC3)CCN(CC4)C(=O)Nc5ccc(nc5)n6nccn6)c2)cc1	CHEMBL3112775	pIC50=7.59
CC(C)(O)c1ccc(cn1)c2nc(oc2Sc3ccc(Cl)cn3)c4ccc(F)cc4	CHEMBL1812717	pIC50=7.6
CSc1oc(nc1)C(=O)CCCCCCc2ccccc2	CHEMBL219954	pKi=7.6
FC(F)(F)C(=O)CCCCCCCc1ccccc1	CHEMBL91417	pKi=7.6
O=C(CCCCSCc1ccccc1)c2oc(cn2)c3ccccn3	CHEMBL229484	pKi=7.6
O=C(Nc1cccnn1)N2CCC(CC2)c3nc(cs3)C4=NOC(C4)c5ccccc5	CHEMBL3800500	pIC50=7.6
OC(=O)c1cccc(n1)c2oc(nc2)C(=O)[C@H]3CCc4cc(Oc5ccccc5)ccc4C3	CHEMBL1765833	pKi=7.6
Cc1nc(c2ccc(F)cc2)c(c3ccc(F)cc3)n1CCCCCCNC(=O)Oc4c(F)cccc4F	CHEMBL232786	pIC50=7.62
O=C(CCCCCCc1ccccc1)c2oc(cn2)C(=O)N3CCOCC3	CHEMBL375746	pKi=7.62
COC1=NN([C@@H](C)c2ccc(cc2)c3ccccc3)C(=O)O1	CHEMBL3087168	pIC50=7.63
COC1=NN(C(C)c2ccc(CC(C)C)cc2)C(=O)O1	CHEMBL3087182	pIC50=7.64
Clc1ccc(Oc2cccc(CN3CCC4(CC3)CN(C4)C(=O)Nc5cnc(nc5)c6ccccc6)c2)cc1	CHEMBL3112952	pIC50=7.64
Fc1ccc(c(F)c1)c2nccc(n2)N3CCN(CC3)C(=O)Nc4cccnn4	CHEMBL3113264	pIC50=7.64
O=C(N1CCN(Cc2cccc(Oc3ccccc3)c2)CC1)n4nnc5cccnc45	CHEMBL3356975	pIC50=7.64
O=C(Nc1cnccn1)N2CCN(CC2)c3nc(ns3)c4ccccc4	CHEMBL528768	pIC50=7.64
O[C@@H](CNc1cc(ncn1)c2ccc(cc2)C(F)(F)F)c3ccccc3	CHEMBL3121138	pIC50=7.64
Brc1ccc(CN2CCN(CC2)C(=O)n3nnc4ccccc34)cc1	CHEMBL2159803	pIC50=7.66
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4noc5ncccc45)c2)cc1	CHEMBL2207347	pIC50=7.66
O=C(CCCCCCc1ccccc1)c2oc(cn2)c3cncnc3	CHEMBL175761	pKi=7.66
O=C(CCc1ccccc1)N2CCC(CCCC(=O)c3occn3)CC2	CHEMBL271447	pIC50=7.66
OC(=O)c1cccc(n1)c2oc(nc2)C(=O)CCc3ccc(cc3)c4ccccc4	CHEMBL260747	pKi=7.66
Cl.FC(F)(F)c1ccccc1N2CCN(CCCCNC(=O)Oc3cccc4ccccc34)CC2	CHEMBL3797885	pIC50=7.67
CCCCOc1ccc(cc1)C(CC)NC(=O)Oc2ccc(F)cc2F	CHEMBL599284	pIC50=7.68
Clc1ccccc1CS(=O)(=O)N2CCc3c(C2)ccnc3Nc4cnc5ccccc5c4	CHEMBL3220529	pIC50=7.68
CCCCCCCCC#CCCCCCCCC(=O)c1oc(cn1)c2ccccn2	CHEMBL174397	pIC50=7.7
CCN1C(=O)N(C2CCCN(C2)c3nccc(n3)c4oc5ccccc5c4)c6ncccc16	CHEMBL1761283	pIC50=7.7
CCN1C(=O)N([C@H]2CCCN(C2)c3cc(nc(N)n3)c4ccc(F)cc4)c5ncccc15	CHEMBL1761304	pEC50=7.7
O=C(CCCCCCc1ccccc1)c2oc(nn2)c3cccnc3	CHEMBL361170	pIC50=7.7
O=C(CCCCCCc1ccccc1)c2oc(nn2)c3ccncc3	CHEMBL180625	pIC50=7.7
CCCCCCCCOc1ccc(NC(=O)Oc2ccccc2F)cc1	CHEMBL597029	pIC50=7.72
COCCOc1ccc(OC)c(c1)c2ccc(OC3CN(C3)C(=O)Nc4cccnn4)nc2	CHEMBL3677695	pIC50=7.72
COCCOc1cccc(c1)c2ccc(OC3CN(C3)C(=O)Nc4cccnn4)nc2	CHEMBL3677691	pIC50=7.72
Fc1ccccc1NC(=O)N2CCN(CC2)c3nc(ns3)c4ccccc4	CHEMBL472535	pIC50=7.72
Nc1cccc(c1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL375303	pKi=7.72
O=C(N1CCN(Cc2ccccc2)CC1)n3nnc4ccccc34	CHEMBL2159798	pIC50=7.72
[O-][N+](=O)c1ccccc1N2CCN(CC2)C(=O)n3nnc4ccccc34	CHEMBL2159784	pIC50=7.72
CCCCCCCC\C=C/CCCCCCC(=O)c1oc(cn1)c2ccccn2	CHEMBL515538	pKi=7.75
CCCCCCOc1ccc(NC(=O)ON=C(C)C)cc1	CHEMBL597088	pIC50=7.75
CCOC(=O)c1cc(c2cccc(OC(=O)NC3CCCCC3)c2)n(n1)c4ccc(Cl)cc4	CHEMBL3422944	pIC50=7.75
COC(=O)c1cc(c2cccc(OC(=O)NC3CCCCC3)c2)n(n1)c4ccccc4	CHEMBL3423130	pIC50=7.75
COC(=O)c1cccc(n1)c2oc(nc2)C(=O)[C@H]3CCc4cc(OCc5ccccc5)ccc4C3	CHEMBL1765838	pKi=7.75
COCCOc1cccc(c1)c2ccc(OC3CN(C3)C(=O)Nc4cccnc4)nc2	CHEMBL3677692	pIC50=7.75
Clc1ccc(Oc2cccc(CN3CC4(C3)CN(C4)C(=O)Nc5cnccc5Cl)c2)cc1	CHEMBL3112761	pIC50=7.75
O=C(N1CCN(Cc2ccc(cc2)c3ccccc3)CC1)n4nnc5ccccc45	CHEMBL2159813	pIC50=7.75
O[C@@H](CNc1cc(ncn1)c2ccc(OCC(F)(F)F)cc2)c3ccccc3	CHEMBL3121141	pIC50=7.75
O=C(N1CCN(Cc2ccc(Oc3ccccc3)cc2)CC1)n4ccnc4	CHEMBL3356980	pIC50=7.76
CCCCCCCCCCCC(=O)c1oc2cccnc2n1	CHEMBL257307	pIC50=7.77
CCCCCCCC\C=C/CCCCCCC(=O)c1occn1	CHEMBL457506	pKi=7.77
CCCCCCCC\C=C/CCCCCCCC(=O)C(=O)N	CHEMBL506602	pKi=7.77
Clc1ccc(CN2CCN(CC2)C(=O)n3nnc4ccccc34)cc1	CHEMBL2159802	pIC50=7.77
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4cc5nccn5cn4)c2)cc1	CHEMBL2207357	pIC50=7.77
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4cnccc4C#N)c2)cc1	CHEMBL3808528	pIC50=7.77
O[C@@H](CNc1cc(ncn1)c2ccc(OC(F)(F)F)cc2)c3ccccc3	CHEMBL3121131	pIC50=7.77
CCCCCCCC\C=C/CCCCCCC(=O)C(=O)N	CHEMBL1812585	pKi=7.8
CS(=O)(=O)c1ccc(cc1)c2nn(cc2Sc3ccc(Cl)cc3)c4ccc(F)cc4	CHEMBL3287928	pIC50=7.8
FC(F)(F)C(=O)c1cccc(c1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL374117	pKi=7.8
Fc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4cccnc4)c2)cc1	CHEMBL3808762	pIC50=7.8
Fc1ccccc1c2ccc(OC3CN(C3)C(=O)Nc4cccnn4)nc2	CHEMBL3677703	pIC50=7.8
O=C(CCCCCCc1ccccc1)c2noc(n2)c3ccccn3	CHEMBL469051	pKi=7.8
O=C(N1CCN(Cc2cccc(Oc3ccccc3)c2)CC1)n4ccnc4	CHEMBL3356977	pIC50=7.81
CCCCCC(=O)c1oc2cccnc2n1	CHEMBL1812710	pKi=7.82
CCCCCCCCCCCOc1ccc(NC(=O)Oc2ccccc2F)cc1	CHEMBL609024	pIC50=7.82
CCOc1ccc(cc1F)c2cc(NC[C@H](O)c3ccccc3)ncn2	CHEMBL3121114	pIC50=7.82
COc1ccc(cc1)N2CCN(CC2)C(=O)n3nnc4ccccc34	CHEMBL2159787	pIC50=7.82
Cc1cccnc1c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL219632	pKi=7.82
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4ccncc4)c2)cc1	CHEMBL2164601	pIC50=7.82
Fc1ccc(CN2CCN(CC2)C(=O)n3nnc4ccccc34)cc1	CHEMBL2159801	pIC50=7.82
O=C(CCCCCCc1ccccc1)c2oc(cn2)c3cccc(c3)C#N	CHEMBL219932	pKi=7.82
O[C@@H](CNc1cc(ncn1)c2ccc(OC(F)(F)F)c(F)c2)c3ccccc3	CHEMBL3121112	pIC50=7.82
C[C@@H](OC(=O)Cc1ccc(cc1)c2ccccc2)[C@@H]3CN(C(=O)CCCC=C)C3=O	CHEMBL585920	pIC50=7.84
C1N(Cc2ccccc12)c3oc4ccc(cc4n3)c5ccc6nccn6c5	CHEMBL3217944	pIC50=7.85
CC(C)Oc1ccc(CN2CCC(CCCC(=O)c3occn3)CC2)cc1	CHEMBL271445	pIC50=7.85
CCCCOc1ccc(NC(=O)O\N=C\c2cccnc2)cc1	CHEMBL597445	pIC50=7.85
Fc1cccc(I)c1c2ccc(OC3CN(C3)C(=O)Nc4cccnn4)nc2	CHEMBL3677700	pIC50=7.85
O[C@@H](CNc1cc(ncn1)c2ccc(c(Cl)c2)C(F)(F)F)c3ccc(F)c(F)c3	CHEMBL3121127	pIC50=7.85
CN(C)C(=O)[C@H]1C[C@@H]1c2ccc(cc2)c3nc(C)n(C)c3Sc4ccc(Cl)cn4	CHEMBL2386557	pIC50=7.87
CCCCCCCCCCCCCCCC(=O)NC(C)C	CHEMBL32827	pIC50=7.89
CCCCCCCCCCCCOc1ccc(NC(=O)Oc2ccccc2F)cc1	CHEMBL599488	pIC50=7.89
CCCOc1ccc(NC(=O)O\N=C\c2ccc(F)cc2)cc1	CHEMBL599276	pIC50=7.89
CNC(=O)COC(=O)N1CCC(CCc2ccc(Cl)cc2)CC1	CHEMBL457918	pIC50=7.89
COCc1ccc(cc1OC)c2ccc3oc(nc3c2)N4Cc5ccccc5C4	CHEMBL3217942	pIC50=7.89
COc1cc(NC(=O)N2CCN(CC2)c3nc(ns3)c4ccccc4)ncn1	CHEMBL488708	pIC50=7.89
CS(=O)(=O)c1ccc(cc1)c2nc(oc2Sc3ccc(Cl)cc3)c4ccccc4	CHEMBL3287931	pIC50=7.89
Cl.Cc1ccccc1N2CCN(CCCCNC(=O)Oc3cccc4ccccc34)CC2	CHEMBL3799147	pIC50=7.89
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4noc5cccnc45)c2)cc1	CHEMBL2207350	pIC50=7.89
Clc1ccc(Sc2cn(nc2c3ccc(cc3)c4nocn4)c5cccnc5)cc1	CHEMBL3287929	pIC50=7.89
Fc1ccccc1N2CCN(CC2)C(=O)n3nnc4ccccc34	CHEMBL2159782	pIC50=7.89
O=C(N1CCN(Cc2cccc3ccccc23)CC1)n4nnc5ccccc45	CHEMBL2159780	pIC50=7.89
Oc1ccc(CCN2CCc3c(C2)ccnc3Nc4cnc5ccccc5c4)cc1	CHEMBL3220532	pIC50=7.89
CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)C(F)(F)F	CHEMBL281211	pIC50=7.91
CCCCOc1ccc(CNC(=O)Oc2cccc(Cl)c2)cc1	CHEMBL596874	pIC50=7.92
CCCCOc1ccc(cc1)C(CC)NC(=O)Oc2ccc(F)cc2	CHEMBL604388	pIC50=7.92
CCCCOc1ccc(cc1)C(CC)NC(=O)Oc2ccc(OC)cc2	CHEMBL591447	pIC50=7.92
CCCCOc1ccc(cc1)C(CC)NC(=O)Oc2ccccc2	CHEMBL597064	pIC50=7.92
CCCSC(=O)N1C[C@@H]([C@@H](C)OC(=O)CCCc2ccccc2)C1=O	CHEMBL2313951	pIC50=7.92
COC(=O)c1cccc(c1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL223302	pKi=7.92
COc1ccc(OC)c(c1)c2ccc(OC3CN(C3)C(=O)Nc4cccnn4)nc2	CHEMBL3677696	pIC50=7.92
COc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4ccccc4)c2)cc1	CHEMBL2164599	pIC50=7.92
COc1ccccc1c2ccc(OC3CN(C3)C(=O)Nc4cccnn4)nc2	CHEMBL3677702	pIC50=7.92
C[C@@H](OC(=O)Cc1ccc(cc1)c2ccccc2)[C@@H]3CN(C(=O)CCC=C)C3=O	CHEMBL570127	pIC50=7.92
C[C@@H](OC(=O)NCCc1ccccc1)[C@@H]2CN(C(=O)OCC=C)C2=O	CHEMBL2313944	pIC50=7.92
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4ccccn4)c2)cc1	CHEMBL2164603	pIC50=7.92
O=C(CCCCCCc1ccccc1)c2oc(cn2)C3=CC(=O)NC(=O)N3	CHEMBL220687	pKi=7.92
O=C(CCCCCCc1ccccc1)c2oc(cn2)c3occc3	CHEMBL177356	pKi=7.92
O=C(N1CCN(Cc2ccc3ccccc3c2)CC1)n4nnc5ccccc45	CHEMBL2159779	pIC50=7.92
OC(=O)c1cncc(OC(=O)N2CCC(CCCc3ccccc3Cl)CC2)c1	CHEMBL465213	pIC50=7.92
O[C@@H](CNc1cc(ncn1)c2ccc(c(F)c2)C(F)(F)F)c3ccccc3	CHEMBL3121117	pIC50=7.92
COC1=NN([C@@H](C)c2ccc(CC(C)C)cc2)C(=O)O1	CHEMBL3087192	pIC50=7.94
O=C(N1CCN(CC1)c2ccccc2)n3nnc4cccnc34	CHEMBL3356959	pIC50=7.95
CCCCCCCCCCCCCCCCCC(=O)c1oc2cccnc2n1	CHEMBL1812592	pKi=7.96
CCCCCCCC\C=C/CCCCCCC(=O)c1oc2ncccc2n1	CHEMBL459004	pKi=7.96
CCOC(=O)CCCCCCn1c(CC)nc(c2ccccc2)c1c3ccccc3	CHEMBL237044	pIC50=7.96
CCOC(=O)c1cc(c2cccc(OC(=O)NC3CCCCC3)c2)n(n1)c4ccccc4	CHEMBL3422943	pIC50=7.96
CCn1c(C)c(C2CCCN(C2)c3nccc(n3)c4cc5ccccc5s4)c6cccnc16	CHEMBL1761308	pIC50=7.96
Cc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4ccccc4)c2)cc1	CHEMBL2164598	pIC50=7.96
O=C(N1CCN(CC1)c2ccccc2)n3nnc4ccccc34	CHEMBL2159797	pIC50=7.96
OC(=O)c1ccc(s1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL373644	pKi=7.96
O=C(Nc1ccncn1)N2CCN(CC2)c3nc(ns3)c4ccccc4	CHEMBL508120	pIC50=7.99
Brc1cccc(CN2CCC(CCCC(=O)c3occn3)CC2)c1	CHEMBL257942	pIC50=8.0
CCN1C(=O)N([C@H]2CCCN(C2)c3cc(nc(N)n3)c4oc5ccccc5c4)c6ncccc16	CHEMBL1761291	pIC50=8.0
CCN1C(=O)N([C@H]2CCCN(C2)c3ccnc(n3)c4ccc(F)cc4)c5ccccc15	CHEMBL1761295	pIC50=8.0
CCN1C(=O)N([C@H]2CCCN(C2)c3nccc(n3)c4ccc(F)cc4)c5ncccc15	CHEMBL1761299	pIC50=8.0
COCc1ccc(cc1)c2ccc3oc(nc3c2)N4Cc5ccccc5C4	CHEMBL3217941	pIC50=8.0
COc1cc(ccn1)c2ccc3oc(nc3c2)N4Cc5ccccc5C4	CHEMBL3217943	pIC50=8.0
C[C@@H](OC(=O)CCCc1ccccc1)[C@@H]2CN(C(=O)CCCC=C)C2=O	CHEMBL570331	pIC50=8.0
Cc1nc(c2ccc(F)cc2)c(c3ccc(F)cc3)n1CCCCCCNC(=O)Oc4ccccc4F	CHEMBL393156	pIC50=8.0
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4noc5ccccc45)c2)cc1	CHEMBL2207346	pIC50=8.0
NC(=O)c1ccc(cc1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL385097	pKi=8.0
NS(=O)(=O)c1ccc(cc1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL220571	pKi=8.0
O=C(CCCCCCc1ccccc1)c2oc(cn2)C(=O)N3CCSCC3	CHEMBL220429	pKi=8.0
O=C([C@H]1Cc2ccc(Oc3ccccc3)cc2C1)c4occn4	CHEMBL1765865	pKi=8.0
O=C(Nc1cccnc1)N2CCN(CC2)c3nc(ns3)c4ccccc4	CHEMBL513553	pIC50=8.01
O=C(Nc1cnccn1)N2CCC(CC2)c3nc(cs3)C4=NOC(C4)c5ccccc5	CHEMBL3799163	pIC50=8.01
CCCOc1ccc(NC(=O)O\N=C\c2ccccc2)cc1	CHEMBL592635	pIC50=8.03
CCCCCCCCCCOc1ccc(NC(=O)Oc2ccccc2F)cc1	CHEMBL591825	pIC50=8.04
CCCCCCCC\C=C/CCCCCCC(C)C(=O)c1oc2cccnc2n1	CHEMBL191424	pKi=8.04
CCCCOc1ccc(CNC(=O)Oc2ccccc2F)cc1	CHEMBL596876	pIC50=8.04
CCCCCCCC\C=C/CCCCCCCC(=O)C(=O)OCC	CHEMBL457814	pKi=8.05
CCN1C(=O)N([C@@H]2CCCN(C2)c3nccc(n3)c4oc5ccccc5c4)c6ncccc16	CHEMBL1761284	pIC50=8.05
COCCOc1cccc(c1)c2ccc(OC3CN(C3)C(=O)Nc4ccncn4)nc2	CHEMBL3677689	pIC50=8.05
Clc1cccc(CN2CCN(CC2)C(=O)n3nnc4ccccc34)c1	CHEMBL2159805	pIC50=8.05
Cn1cc(C2CCCN(C2)c3nccc(n3)c4cc5ccccc5s4)c6cccnc16	CHEMBL1761305	pIC50=8.05
N#CCn1cc(C2CCCN(C2)c3nccc(n3)c4cc5ccccc5s4)c6cccnc16	CHEMBL1761306	pIC50=8.05
O=C(N1CCN(Cc2cccc(c2)c3ccccc3)CC1)n4nnc5ccccc45	CHEMBL2159777	pIC50=8.05
CCCCOc1ccc(CNC(=O)Oc2ccc(F)cc2F)cc1	CHEMBL596875	pIC50=8.06
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4cnccn4)c2)cc1	CHEMBL2207360	pIC50=8.06
CCCCCCCOc1ccc(NC(=O)O\N=C\c2ccccc2)cc1	CHEMBL597228	pIC50=8.07
CCCCCCCOc1ccc(NC(=O)Oc2ccccc2)cc1	CHEMBL599381	pIC50=8.07
CCCCOc1ccc(NC(=O)O\N=C\c2ccccc2)cc1	CHEMBL598243	pIC50=8.07
CCCCCCCOc1ccc(NC(=O)ON=C(C)C)cc1	CHEMBL597294	pIC50=8.08
CCCCCCOc1ccc(NC(=O)O\N=C\c2cccnc2)cc1	CHEMBL597729	pIC50=8.08
C[C@@H](OCCCCc1ccccc1)[C@@H]2CN(C(=O)CCC=C)C2=O	CHEMBL2151436	pIC50=8.09
CCCCCCOc1ccc(NC(=O)O\N=C\c2ccccc2)cc1	CHEMBL598245	pIC50=8.1
CCCCCOc1ccc(cc1)c2onc(c2)C(=O)NC34CC5CC(CC(C5)C3)C4	CHEMBL2414027	pIC50=8.1
COC(=O)c1cccc(n1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL219880	pKi=8.1
Clc1ccc(Oc2cc(Cl)cc(CN3CCN(CC3)C(=O)Nc4cccnc4)c2)cc1	CHEMBL3809180	pIC50=8.1
Clc1ccc(Oc2cccc(CN3CCC4(CC3)CN(C4)C(=O)Nc5cnccc5Cl)c2)cc1	CHEMBL3112760	pIC50=8.1
Ic1oc(nc1)C(=O)C2CCc3cc(OCc4ccccc4)ccc3C2	CHEMBL1765858	pKi=8.1
O=C(CCCCCCCc1ccccc1)c2oc(cn2)c3ccccn3	CHEMBL177708	pIC50=8.1
O[C@@H](CNc1cc(ncn1)c2ccc(SC(F)(F)F)cc2)c3ccccc3	CHEMBL3121144	pIC50=8.1
CCCCOc1ccc(cc1)C(CC)NC(=O)Oc2ccccc2F	CHEMBL597030	pIC50=8.11
Cc1oc2ccc(NC(=O)N3CCN(Cc4cccc(Oc5ccc(Cl)cc5)c4)CC3)cc2n1	CHEMBL2207342	pIC50=8.11
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4cccnn4)c2)cc1	CHEMBL2207361	pIC50=8.11
CCCCCCCC\C=C/CCCCCCC(=O)c1oc2ccncc2n1	CHEMBL457925	pKi=8.14
FC(F)(F)c1ccc(Oc2cccc(C=C3CCN(CC3)C(=O)Nc4cccnn4)c2)nc1	CHEMBL1651534	pIC50=8.14
O=C([C@H]1CCc2cc(ccc2C1)c3ccccc3)c4oc(cn4)c5ccccn5	CHEMBL1765825	pKi=8.14
CNC(=O)c1oc(nc1)C(=O)CCCCCCc2ccccc2	CHEMBL219681	pKi=8.16
COC(=O)c1ccc(s1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL219871	pKi=8.16
COCCOc1ccc(Cl)c(c1)c2ccc(OC3CN(C3)C(=O)Nc4cccnn4)nc2	CHEMBL3677698	pIC50=8.16
FC(F)(F)c1ccccc1N2CCN(CCCNC(=O)Oc3cccc4ccccc34)CC2	CHEMBL3800194	pIC50=8.16
O=C(CCCc1ccccc1)c2oc3cccnc3n2	CHEMBL257638	pKi=8.16
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4cncc5ccccc45)c2)cc1	CHEMBL2207343	pIC50=8.17
CCCCCCOc1ccc(NC(=O)O\N=C\c2ccc(F)cc2)cc1	CHEMBL610214	pIC50=8.19
COc1ccccc1N2CCN(CCCNC(=O)Oc3cccc4ccccc34)CC2	CHEMBL3798334	pIC50=8.19
O=C(CCCCCCc1ccccc1)c2oc(cn2)C#N	CHEMBL220770	pIC50=8.19
Cn1c(Sc2ccc(Cl)cc2)c(nc1c3ccccn3)c4ccc(nc4)S(=O)(=O)C	CHEMBL1812714	pIC50=8.2
O=C([C@@H]1CCc2cc(Oc3ccccc3)ccc2C1)c4oc(nn4)c5ccccn5	CHEMBL1765991	pKi=8.2
