CC(C)Oc1cc(C2CCNCC2)c(C)cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3	ceritinib	pIC50=9.69896984	pIC50=9.69896984	pIC50=9.69896984	pIC50=7.54
CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N5CCC(CC5)N6CCOCC6	alectinib	pIC50=8.72124672	pIC50=8.72124672	pIC50=8.72124672	pIC50=7.72
[H][C@](C)(OC1=C(N)N=CC(=C1)C1=CN(N=C1)C1CCNCC1)C1=C(Cl)C=CC(F)=C1Cl	crizotinib	pKi=9.13	pKi=9.13	pKi=9.13	pIC50=7.55
CCN1CCC(CC1)c2cc(OC(C)C)c(Nc3ncc(C)c(Nc4ccccc4S(=O)(=O)C(C)C)n3)cc2C	CHEMBL2403827	pIC50=7.53
CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N5CCN(CC5)C6CC6	CHEMBL1940178	pIC50=8.28
CCc1nc(C(=O)N)c(Nc2ccc(cc2)N3CCN(C)CC3)nc1N[C@@H]4CC[C@@H](O)CC4	CHEMBL3687191	pIC50=8.28
CC(C)N1CCC(CC1)c2cc(OC3CC3)c(Nc4ncc(Cl)c(Nc5cn(C)nc5S(=O)(=O)C(C)C)n4)cc2C	CHEMBL3604649	pIC50=8.3
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3ccc(F)cc3)\Nc4ccc(CN5CCNCC5)cc24	CHEMBL2172333	pIC50=8.3
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3ccccc3)\Nc4ccc(CN5CCCCC5)cc24	CHEMBL2172328	pIC50=8.3
CC(C)Oc1cc(C2CCNC2)c(C)cc1Nc3ncc(Cl)c(Nc4cn(C)nc4S(=O)(=O)C(C)C)n3	CHEMBL3604647	pIC50=8.3
CC(C)Oc1cc(C2CN(C)C2)c(C)cc1Nc3ncc(Cl)c(Nc4cn(C)nc4S(=O)(=O)C(C)C)n3	CHEMBL3604646	pIC50=8.3
CC(C)Oc1cc2CN(C3CCN(CC3)C(=O)C4CCCN4C)C(=O)c2cc1Nc5ncc(Cl)c(Nc6ccccc6S(=O)(=O)C(C)C)n5	CHEMBL3651837	pIC50=8.3
CC(C)S(=O)(=O)c1nn(C)cc1Nc2nc(Nc3cc(C)c(CCN(C)C)cc3OC4CC4)ncc2Cl	CHEMBL3604652	pIC50=8.3
CC(C)S(=O)(=O)c1nn(C)cc1Nc2nc(Nc3ccc(cc3OC4CC4)C5CCN(C)CC5)ncc2Cl	CHEMBL3604641	pIC50=8.3
CCN1C(=O)CCCc2c(OC)c(Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3)ccc12	CHEMBL2042982	pIC50=8.3
CCN1C(=O)CCCc2cc(Nc3ncc(Cl)c(Nc4ccccc4C(=O)NC)n3)c(OC)cc12	CHEMBL2042828	pIC50=8.3
CNC(=O)c1ccccc1Nc2nc(Nc3ccc(cc3OC)N4CCOCC4)ncc2Cl	CHEMBL458997	pIC50=8.3
COc1cc(C2CCN(CC2)C(=O)CN(C)C)c(C)cc1Nc3nc(Nc4ccccc4S(=O)(=O)C(C)C)c5c(C)[nH]nc5n3	CHEMBL3651847	pIC50=8.3
COc1cc(N2CCN(C)CC2)c3CCc4cccc(Nc5nc(Nc1c3)ncc5Cl)c4	CHEMBL1946802	pIC50=8.3
COc1cc2CN(C3CN(C3)C(=O)[C@@H]4CCCN4C)C(=O)c2cc1Nc5ncc(Cl)c(Nc6ccccc6S(=O)(=O)C(C)C)n5	CHEMBL3651843	pIC50=8.3
COc1ccc(Nc2nc(Nc3cc4CCN(CC(=O)N(C)C)CCc4cc3OC)ncc2Cl)c(OC)c1	CHEMBL1642265	pIC50=8.3
COc1ccccc1c2ccc3cnc(Nc4ccc(cc4OC)N5CCN(C[C@H](C)O)CC5)nn23	CHEMBL1822520	pIC50=8.3
COc1ccccc1c2ccc3cnc(Nc4ccc(cc4OC)[C@H]5CCN(CCO)C[C@@H]5O)nn23	CHEMBL3398175	pIC50=8.3
C[C@@H](Oc1cc(cnc1N)c2cnn(c2)C3CCNCC3)c4cc(F)ccc4Cl	CHEMBL3128070	pKi=8.3
Cc1nnsc1C2=NNC(=O)/C/2=C\c3cn(C)c4cccc(OCc5c(F)ccc(Cl)c5F)c34	CHEMBL1922974	pIC50=8.3
Cn1ncc2CCCCOc3ccc(F)cc3COc4cc(cnc4N)c12	CHEMBL3286817	pKi=8.3
OC[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3cccc(c3)S(=O)(=O)NCC=C)\Nc4cc(CN5CCCCC5)ccc24	CHEMBL2172322	pIC50=8.3
CC(C)S(=O)(=O)c1ccccc1Nc2nc(Nc3cccc(NC(=O)CN4CCN(CC4)C5COC5)c3)ncc2Cl	CHEMBL3357457	pIC50=8.31
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3C(=O)N(C)C)n2)N4CCC(CC4)N5CCN(C)CC5	CHEMBL3823016	pIC50=8.32
COc1cc(ccc1Nc2ncc3c(Cl)cc(c4ccccc4N(C)S(=O)(=O)C)n3n2)C5CCN(CC(=O)N)CC5	CHEMBL2158519	pIC50=8.33
CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1c5cnn(CC(O)CO)c5	CHEMBL3735510	pIC50=8.34
C[C@@H](Oc1cc(cnc1N)c2cccc(c2)S(=O)(=O)C)c3cc(F)ccc3n4nccn4	CHEMBL3286813	pIC50=8.34
CC(C)c1nc(C(=O)N)c(Nc2ccc(cc2)N3CCN(C)CC3)nc1NC4CCOCC4	CHEMBL3687224	pIC50=8.35
CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N5CCN(CC6CCOCC6)CC5	CHEMBL3735384	pIC50=8.35
CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N5CCN(C[C@@H]6CCC(=O)N6)CC5	CHEMBL3735794	pIC50=8.35
CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N5CCN(CC5)C(=O)C6COCCN6	CHEMBL3734938	pIC50=8.37
COc1cc2c(CCC(NC(=O)CN(C)C)C2(C)C)cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3	CHEMBL3785299	pIC50=8.38
CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N5CCN(CC5)C(=O)C6CNC6	CHEMBL3735650	pIC50=8.39
CCc1nc(C(=O)N)c(Nc2ccc(N3CCC(CC3)N4CCN(C)CC4)c(C)c2)nc1NC5CCC(O)(CC5)C(C)C	CHEMBL3687214	pIC50=8.39
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3ccc(F)cc3)\Nc4ccc(CN5CCC(CC5)C(=O)N)cc24	CHEMBL2172306	pIC50=8.4
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3ccc(F)cc3)\Nc4ccc(CN5CCC(CC5)C(C)(C)O)cc24	CHEMBL2172308	pIC50=8.4
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3ccc(F)cc3)\Nc4ccc(CN5CCCCC5)cc24	CHEMBL2172330	pIC50=8.4
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3ccc(F)cc3)\Nc4ccc(Cn5cncn5)cc24	CHEMBL2172332	pIC50=8.4
CC(C)S(=O)(=O)c1nn(C)cc1Nc2nc(Nc3cc(C)c(cc3OC4CC4)C5CCN(C)CC5)ncc2C#N	CHEMBL3785890	pIC50=8.4
CC(C)S(=O)(=O)c1nn(C)cc1Nc2nc(Nc3cc(C)c(cc3OC4CC4)C5CCN(C)CC5)ncc2Cl	CHEMBL3604634	pIC50=8.4
CC(C)S(=O)(=O)c1nn(C)cc1Nc2nc(Nc3cc(C)c(cc3OC4CC4)C5CCNCC5)ncc2Cl	CHEMBL3604633	pIC50=8.4
CC(C)S(=O)(=O)c1nn(C)cc1Nc2nc(Nc3cc(F)c(cc3OC4CC4)C5CCN(C)CC5)ncc2Cl	CHEMBL3604642	pIC50=8.4
CCN1C(=O)CCCc2cc(Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)N(C)C)n3)c(OC)cc12	CHEMBL2042981	pIC50=8.4
CCN1CCC(CC1)c2cc(Nc3ncc4sc(C(=O)N)c(c5ccccc5OC(F)(F)F)c4n3)n(n2)C(C)C	CHEMBL3669142	pIC50=8.4
CN1CCN(CC1)c2ccc(cc2)c3nc4c(N[C@@H]5[C@@H]6C[C@@H](C=C6)[C@@H]5C(=O)N)c(Cl)cnc4[nH]3	CHEMBL3218851	pIC50=8.4
COCCOc1ccc(Nc2nc(Nc3cc4CCN(CC(=O)N(C)C)CCc4cc3OC)ncc2Cl)c(OC)c1	CHEMBL1642263	pIC50=8.4
COc1cc(ccc1Nc2nc(Nc3cc4CCN(CC(=O)N(C)C)CCc4cc3OC)ncc2Cl)N5CCOCC5	CHEMBL1642258	pIC50=8.4
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccc(cc3OC)N4CCOCC4)n2)N5CCOCC5	CHEMBL1642253	pIC50=8.4
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)N4CCC(CC4)N5CCN(C)CC5	CHEMBL509032	pIC50=8.4
COc1cc(ccc1c2nc3c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)c(Cl)cnc3[nH]2)N6CCC(CC6)N7CCOCC7	CHEMBL3218856	pIC50=8.4
COc1ccc(F)cc1[C@@H](C)Oc2cc(cnc2N)c3cnnn3C	CHEMBL3286808	pKi=8.4
COc1ccccc1Nc2nc(Nc3cc4CCN(CC(=O)N(C)C)CCc4cc3OC)ncc2Cl	CHEMBL1642260	pIC50=8.4
COc1ccccc1c2ccc3cnc(Nc4ccc(cc4OC)[C@@]5(O)CCNC[C@@H]5O)nn23	CHEMBL3398169	pIC50=8.4
CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1C5=CCN(CC5)C(=O)C6COCCN6	CHEMBL3735314	pIC50=8.42
COc1ccccc1c2ccc3cnc(Nc4ccc(cc4OC)N5CCN(C[C@@H](C)O)CC5)nn23	CHEMBL1822521	pIC50=8.42
CC(C)S(=O)(=O)c1ccc2CCc3cc(Nc4ncc(Cl)c(Nc1c2)n4)ccc3N5CCN(C)CC5	CHEMBL1946800	pIC50=8.43
CC1(C)c2cc(OCCN3CCS(=O)(=O)CC3)ccc2C(=O)c4c1[nH]c5cc(ccc45)C#N	CHEMBL1779193	pIC50=8.43
CC(C)S(=O)(=O)c1ccccc1Nc2nc(Nc3ccc4CCN(C)CC(C)c4c3)ncc2Cl	CHEMBL3263990	pIC50=8.46
CN(c1ccc2CCc3cc(Nc4ncc(Cl)c(Nc1c2)n4)ccc3N5CCN(C)CC5)S(=O)(=O)C	CHEMBL1946801	pIC50=8.47
COc1cc2CCCNCc2cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3	CHEMBL3608523	pIC50=8.47
COc1ccccc1c2ccc3cnc(Nc4ccc(cc4OC)C5CCN(C[C@@H](C)O)CC5)nn23	CHEMBL2158528	pIC50=8.47
COc1cc(ccc1Nc2ncc(C3CC3)c(Nc4ccccc4P(=O)(C)C)n2)N5CCC(CC5)N6CCN(C)CC6	CHEMBL3822524	pIC50=8.49
CC(C)S(=O)(=O)c1ccccc1Nc2nc(Nc3cccc(NC(=O)CCN)c3)ncc2Cl	CHEMBL3357449	pIC50=8.51
CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1C5=CCN(CC5)C(=O)C6CNC6	CHEMBL3736182	pIC50=8.51
CCc1nc(C(=O)N)c(Nc2ccc(N3CCC(CC3)N4CCN(C)CC4)c(C)c2)nc1NC5CCC(O)(CC)CC5	CHEMBL3687213	pIC50=8.51
CNC(=O)CN1CCN(CC1)c2ccc(Nc3ncc(Cl)c(Nc4ccccc4P(=O)(C)C)n3)c(OC)c2	CHEMBL3823872	pIC50=8.51
COc1ccc2CCc3cc(Nc4ncc(Cl)c(Nc1c2)n4)ccc3N5CCN(C)CC5	CHEMBL1946614	pIC50=8.51
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3cc(F)cc(Cl)c3)\Nc4ccc(CN5CCC(CC5)C(C)(C)O)cc24	CHEMBL2172301	pIC50=8.52
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3cc(F)cc(c3)C#N)\Nc4ccc(CN5CCC(CC5)C(C)(C)O)cc24	CHEMBL2172320	pIC50=8.52
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3ccc(F)c(Cl)c3)\Nc4ccc(CN5CCC(CC5)C(C)(C)O)cc24	CHEMBL2172303	pIC50=8.52
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3ccc(F)cc3)\Nc4ccc(CN5CCCCC5C(=O)O)cc24	CHEMBL2172336	pIC50=8.52
CC(C)S(=O)(=O)c1ccccc1Nc2nc(Nc3cccc(NC(=O)CN4CC5CC4CC5O)c3)ncc2Cl	CHEMBL3357462	pIC50=8.52
COC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3ccccc3)\Nc4ccc(CN5CCCCC5)cc24	CHEMBL2172323	pIC50=8.52
COc1cc(ccc1Nc2ncc3ccc(c4ccccc4OC)n3n2)C5CCN(CC(O)CF)CC5	CHEMBL2158530	pIC50=8.52
COc1cc2C(=O)NCCCc2cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3	CHEMBL3608519	pIC50=8.52
COc1ccccc1c2ccc3cnc(Nc4ccc(cc4OC)C5CCN(C)CC5O)nn23	CHEMBL3398172	pIC50=8.52
COc1ccccc1c2ccc3cnc(Nc4ccc(cc4OC)[C@@H]5CCN(CCO)C[C@@H]5O)nn23	CHEMBL3398174	pIC50=8.52
COc1ccccc1c2ccc3cnc(Nc4ccc(cc4OC)[C@@]5(O)CCN(C)C[C@@H]5O)nn23	CHEMBL3398166	pIC50=8.52
COc1ncccc1c2c(sc3cnc(Nc4cc(C)c(cc4OC(C)C)N5CCN(C)CC5)nc23)C(=O)N	CHEMBL3669139	pIC50=8.52
COc1ncccc1c2c(sc3cnc(Nc4cc(F)c(cc4OC(C)C)C5CCN(C)CC5)nc23)C(=O)N	CHEMBL3669144	pIC50=8.52
Fc1cc(F)cc(Cc2ccc3[nH]nc(NC(=O)c4ccc(cc4NC5CCOCC5)N6CCNCC6)c3c2)c1	CHEMBL3805643	pIC50=8.52
CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N5CCN(CC5)C6COC6	CHEMBL1823221	pIC50=8.54
COc1cc(ccc1Nc2ncc3ccc(c4ccccc4OC)n3n2)C5CCN(C[C@H](O)CO)CC5	CHEMBL2158531	pIC50=8.54
CCc1nc(C(=O)N)c(Nc2ccc(cc2)N3CCC(CC3)N4CCN(C)CC4)nc1N[C@@H]5CC[C@@H](O)CC5	CHEMBL3687194	pIC50=8.55
CNC(=O)c1ccc(F)cc1[C@@H](C)Oc2cc(cnc2N)c3cn(C)nc3C	CHEMBL3286809	pKi=8.55
C[C@@H](Oc1cc(cnc1N)c2cn(C)nc2C#N)c3cc(F)ccc3n4nccn4	CHEMBL3128058	pKi=8.55
CC1(C)c2cc(N3CCN(CC3)C4COC4)c(cc2C(=O)c5c1[nH]c6cc(ccc56)C#N)C#C	CHEMBL1823220	pIC50=8.57
CCN1C(=O)CCCc2cc(Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3)c(OC)cc12	CHEMBL2042983	pIC50=8.57
CN1CCN(CC1)c2ccc(cc2)c3nc4c(N[C@@H]5[C@@H]6C[C@@H](C=C6)[C@@H]5C(=O)N)c(Br)cnc4[nH]3	CHEMBL3218861	pIC50=8.57
COc1cc2CNCCCc2cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3	CHEMBL3608522	pIC50=8.57
COc1ccc(Cn2ncc(NC(=O)c3cc(NC(=O)Nc4ccc(Cl)c(c4)C(F)(F)F)ccc3C)c2N)cc1	CHEMBL1684800	pIC50=8.57
C[C@@H](Oc1cc(cnc1N)c2c[nH]nc2C)c3cc(F)ccc3n4nccn4	CHEMBL3128074	pKi=8.59
C[C@@H](Oc1cc(cnc1N)c2sc(nc2C)C3(O)CCS(=O)(=O)C3)c4cc(F)ccc4n5nccn5	CHEMBL3128068	pKi=8.59
CC(C)S(=O)(=O)c1ccccc1Nc2nc(Nc3cccc(NC(=O)CN4CCNCC4)c3)ncc2Cl	CHEMBL3357455	pIC50=8.6
CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N5CCN(CC5)C6CCC6	CHEMBL1940179	pIC50=8.62
CC(C)S(=O)(=O)c1ccccc1Nc2nc(Nc3cccc(NC(=O)CN4CC5CC4CN5)c3)ncc2Cl	CHEMBL3357460	pIC50=8.64
CC(C)S(=O)(=O)c1ccccc1Nc2nc(Nc3cccc(NC(=O)CN4CCC5CNCC45)c3)ncc2Cl	CHEMBL3357463	pIC50=8.64
CN1CCN(CC1)C2CCN(CC2)c3ccc(Nc4nc(N[C@@H]5CC[C@@H](O)CC5)c(Cl)nc4C(=O)N)cc3C	CHEMBL3687217	pIC50=8.64
CCc1nc(C(=O)N)c(Nc2ccc(N3CCN(CC3)C4CCN(C)CC4)c(C)c2)nc1NC5CCOCC5	CHEMBL3687225	pIC50=8.66
CC(C)c1nc(C(=O)N)c(Nc2ccc(cc2)N3CCC(CC3)N4CCN(C)CC4)nc1NC5CCOCC5	CHEMBL3687221	pIC50=8.68
CC(C)c1nc(C(=O)N)c(Nc2ccc(cc2)N3CCN(C)CC3)nc1N[C@@H]4CC[C@@H](O)CC4	CHEMBL3687195	pIC50=8.68
COc1ccccc1Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2	CHEMBL3822973	pIC50=8.68
COc1nn(C)c2CN(C)C(=O)c3ccc(F)cc3[C@@H](C)Oc4cc(cnc4N)c12	CHEMBL3286825	pIC50=8.68
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3ccc(F)c(F)c3)\Nc4ccc(CN5CCC(CC5)C(C)(C)O)cc24	CHEMBL2172319	pIC50=8.7
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3ccc(F)cc3)\Nc4ccc(CN5CC(C5)C(C)(C)O)cc24	CHEMBL2172312	pIC50=8.7
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3ccc(F)cc3)\Nc4ccc(CN5CCC(CC5)C(=O)O)cc24	CHEMBL2172305	pIC50=8.7
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3cccc(Cl)c3)\Nc4ccc(CN5CCC(CC5)C(C)(C)O)cc24	CHEMBL2172302	pIC50=8.7
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3ccccc3)\Nc4ccc(CN5CCC(CC5)C(C)(C)O)cc24	CHEMBL2172313	pIC50=8.7
CC(C)Oc1cc2CN(C3CCN(CC3)C(=O)CN(C)C)C(=O)c2cc1Nc4ncc(Cl)c(Nc5ccccc5S(=O)(=O)C6CCC6)n4	CHEMBL3651835	pIC50=8.7
COc1cc(C2CCN(C)CC2)c(C)cc1Nc3nc(Nc4ccccc4S(=O)(=O)C(C)C)c5c(C)[nH]nc5n3	CHEMBL3651862	pIC50=8.7
COc1ccc(F)cc1[C@@H](C)Oc2cc(cnc2N)c3c[nH]nc3C	CHEMBL3128073	pKi=8.7
COc1ccccc1c2c(sc3cnc(Nc4cc(C)c(cc4OC(C)C)N5CCC(C5)N(C)C)nc23)C(=O)N	CHEMBL3669141	pIC50=8.7
C[C@H]1Oc2cc(cnc2N)c3c(CN(C)C(=O)c4ccc(F)cc14)nc5ncc(C)cn35	CHEMBL3286831	pKi=8.7
CCc1nc(C(=O)N)c(Nc2ccc(N3CCC(CC3)N4CCN(C)CC4)c(C)c2)nc1NC5CCN(C)CC5	CHEMBL3687218	pIC50=8.72
C[C@H]1Oc2nc(cnc2N)c3cc(ccc3CN(C)C(=O)c4ccc(F)cc14)S(=O)(=O)C	CHEMBL3286828	pIC50=8.72
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3C#N)n2)N4CCC(CC4)N5CCN(C)CC5	CHEMBL3823864	pIC50=8.73
COc1ccccc1Nc2nc(Nc3ccc(cc3OC)N4CCC(CC4)N5CCN(C)CC5)ncc2Cl	CHEMBL3823045	pIC50=8.73
CC(C)N1CCN(CC1)c2ccc3C(=O)c4c([nH]c5cc(ccc45)C#N)C(C)(C)c3c2	CHEMBL1779200	pIC50=8.75
COc1cc2CCNCCc2cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3	CHEMBL3608524	pIC50=8.75
C[C@H](N)C(=O)Nc1cccc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c1	CHEMBL3357444	pIC50=8.75
CC(C)S(=O)(=O)c1ccccc1Nc2nc(Nc3cccc(NC(=O)CN4CCN(C)CC4)c3)ncc2Cl	CHEMBL3357456	pIC50=8.77
CCc1nc(C(=O)N)c(Nc2cccc(c2)N3CCN(C)CC3)nc1N[C@@H]4CC[C@@H](O)CC4	CHEMBL3687196	pIC50=8.77
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3ccc(F)cc3)\Nc4ccc(CNCC(C)(C)O)cc24	CHEMBL2172311	pIC50=8.8
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3C(=O)C)n2)N4CCC(CC4)N5CCN(C)CC5	CHEMBL3824301	pIC50=8.8
CC1(C)c2cc(ccc2C(=O)c3c1[nH]c4cc(ccc34)C#N)C5CCN(CC5)C6COC6	CHEMBL1779202	pIC50=8.82
CCc1nc(C(=O)N)c(Nc2ccc(N3CCC(CC3)N4CCN(C)CC4)c(C)c2)nc1NC5CCOCC5	CHEMBL3687215	pIC50=8.82
CCc1nc(C(=O)N)c(Nc2ccc(N3CCC(CC3)N4CCN(C)CC4)c(OC)c2)nc1NC5CCOCC5	CHEMBL3301622	pIC50=8.82
COc1cc(N2CCN(C)CC2)c3CCc4ccc(c(Nc5nc(Nc1c3)ncc5Cl)c4)S(=O)(=O)C(C)C	CHEMBL1946803	pIC50=8.82
COc1cc2c(CCC(N)C2(C)C)cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3	CHEMBL3786892	pIC50=8.82
COc1cc(Nc2nc(NC3CCOCC3)c(nc2C(=O)N)C(C)C)ccc1N4CCN(C)CC4	CHEMBL3687223	pIC50=8.85
C[C@H]1Oc2nc(cnc2N)c3c(C)nn(C)c3CN(C)C(=O)c4ccc(F)cc14	CHEMBL3286823	pIC50=8.85
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3I)n2)N4CCC(CC4)N5CCN(C)CC5	CHEMBL3822664	pIC50=8.87
CNS(=O)(=O)c1ccccc1Nc2nc(Nc3ccc4CCN(C)CC(C)c4c3)ncc2Cl	CHEMBL3263992	pIC50=8.89
COc1ncccc1c2cnc(N)c(O[C@H](C)c3cc(F)ccc3n4nccn4)c2	CHEMBL3128061	pKi=8.89
COc1cc(ccc1Nc2ncc(OC)c(Nc3ccccc3P(=O)(C)C)n2)N4CCC(CC4)N5CCN(C)CC5	CHEMBL3823198	pIC50=8.92
CCCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N5CCC(CC5)N6CCOCC6	CHEMBL1940182	pIC50=8.96
C[C@@H](Oc1cc(cnc1N)c2sc(nc2C)[C@@](C)(O)CO)c3cc(F)ccc3n4nccn4	CHEMBL3124972	pKi=8.96
Cc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N5CCC(CC5)N6CCOCC6	CHEMBL1940181	pIC50=8.96
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)P(=O)(C)C	CHEMBL3823165	pIC50=8.98
COc1cc(N2CCC(CC2)N3CCN(C)CC3)c(F)cc1Nc4ncc(Cl)c(Nc5ccccc5P(=O)(C)C)n4	CHEMBL3823078	pIC50=8.99
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3cc(F)cc(F)c3)\Nc4ccc(CN5CCC(CC5)C(C)(C)O)cc24	CHEMBL2172315	pIC50=9.0
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3ccc(C#N)c(F)c3)\Nc4ccc(CN5CCC(CC5)C(C)(C)O)cc24	CHEMBL2172304	pIC50=9.0
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3ccc(cc3)C#N)\Nc4ccc(CN5CCC(CC5)C(C)(C)O)cc24	CHEMBL2172317	pIC50=9.0
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3cccc(F)c3)\Nc4ccc(CN5CCC(CC5)C(C)(C)O)cc24	CHEMBL2172314	pIC50=9.0
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3cccc(c3)C#N)\Nc4ccc(CN5CCC(CC5)C(C)(C)O)cc24	CHEMBL2172321	pIC50=9.0
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3ccncc3)\Nc4ccc(CN5CCC(CC5)C(C)(C)O)cc24	CHEMBL2172316	pIC50=9.0
CCCN1CCC=C(C1)c2ccc(Nc3nc(Nc4ccccc4C(=O)N)c5cc[nH]c5n3)c(C)c2	CHEMBL513897	pIC50=9.0
CCc1nc(C(=O)N)c(Nc2ccc(N3CCC(CC3)N4CCN(C)CC4)c(C)c2)nc1NC5CCNCC5	CHEMBL3687216	pIC50=9.0
CCc1nc(C(=O)N)c(Nc2cccc(c2)S(=O)(=O)C)nc1N[C@@H]3CC[C@@](C)(O)CC3	CHEMBL3687189	pIC50=9.0
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3C(C)O)n2)N4CCC(CC4)N5CCN(C)CC5	CHEMBL3822499	pIC50=9.0
COc1ccccc1Nc2nc(Nc3ccc(cc3OC)P(=O)(C)C)ncc2Cl	CHEMBL3822982	pIC50=9.02
CCc1nc(C(=O)N)c(Nc2ccc(N3CCC(CC3)N4CCN(C)CC4)c(C)c2)nc1N[C@@H]5CC[C@@](C)(O)CC5	CHEMBL3687212	pIC50=9.03
CCc1nc(C(=O)N)c(Nc2ccc(N3CCN(CC3)C4CC4)c(c2)C(F)(F)F)nc1N[C@@H]5CC[C@@H](O)CC5	CHEMBL3687208	pIC50=9.03
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCC(C4)N5CCCCC5	CHEMBL3823243	pIC50=9.06
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCC(CN5CCC5)CC4	CHEMBL3823218	pIC50=9.06
