O=C(N[C@@H]1CCN(C1)C#N)Nc2ccccc2	CHEMBL1672424	pIC50=6.0
Fc1cc(ccc1C#N)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)s2	CHEMBL3657560	pKi=7.86
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)[C@H]4CCN5CCOC[C@H]5C4	CHEMBL3667333	pIC50=7.86
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)n4cc(nn4)c5ccc6occc6c5	CHEMBL3662598	pIC50=7.86
CC(=O)c1ccc(s1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)s2	CHEMBL3657573	pKi=7.87
CS(=O)(=O)c1ccc2NC(=O)c3cc(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)ccc3c2c1	CHEMBL3667362	pIC50=7.87
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)N4CCN(CC5CCCO5)CC4	CHEMBL3662668	pIC50=7.87
Fc1ccc2c(c1)ncc3cc(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)ccc23	CHEMBL3667364	pIC50=7.87
CCC(C)(O)Cc1cn(nn1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662596	pIC50=7.88
CN1C(=O)Cc2ccc(cc12)c3ccc(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(Cl)c3	CHEMBL3662595	pIC50=7.88
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4cnc5cnccn45	CHEMBL3662707	pIC50=7.88
NC(=O)c1ccc(cc1)c2ccc(CC(NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662597	pIC50=7.88
Cc1n[nH]c2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658568	pIC50=7.89
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)C4=CCN(CC4)C5CCOC5	CHEMBL3667381	pIC50=7.89
O=C(N[C@@H](Cc1ccc(cc1)c2ccc3NC(=O)COc3c2)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658557	pIC50=7.89
O=C(N[C@@H](Cc1ccc(cc1)c2ccc3OCC(=O)Nc3c2)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658556	pIC50=7.89
O=C(N[C@@H](Cc1ccc(cc1)n2cc(nn2)c3ccc4[nH]ccc4c3)C#N)[C@H]5N[C@@H]6CC[C@H]5C6	CHEMBL3658581	pIC50=7.89
O[C@H]1CCN[C@@H](C1)C(=O)N[C@@H](Cc2ccc(cc2)c3ccc(cc3)C#N)C#N	CHEMBL3261922	pIC50=7.9
Cc1nc(C)c(s1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662594	pIC50=7.91
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)N4CCC(CC4)N5CCOCC5	CHEMBL3662706	pIC50=7.91
COc1ccc(cc1OC)c2cn(nn2)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3662591	pIC50=7.92
Fc1cc(ccc1C#N)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658471	pIC50=7.92
Fc1cc(ccc1CC(NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4ccc5NC(=O)Cc5c4	CHEMBL3662593	pIC50=7.92
Fc1cc(ccc1CC(NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4cnn(c4)c5ccccc5	CHEMBL3662592	pIC50=7.92
N[C@@H](Cc1cccs1)C(=O)NC2(CC2)C#N	CHEMBL1080606	pIC50=7.92
O=C(N[C@@H](Cc1ccc(cc1)N2CCN3CCCC3C2)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658490	pIC50=7.92
O=C(N[C@@H](Cc1ccc(cc1)c2ccc3OCCc3c2)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658528	pIC50=7.92
CN1Cc2cc(ccc2C1=O)c3ccc(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3662590	pIC50=7.93
CS(=O)(=NC#N)c1ccc(cc1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667313	pIC50=7.93
CS(=O)(=O)Nc1cccc(c1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@H]4C[C@@H]3[C@@H]5C[C@H]45)C#N)c(F)c2	CHEMBL3662653	pIC50=7.93
CC(C)C1CC(CCC1[S+](C)[O-])c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667301	pIC50=7.94
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4ccccc4	CHEMBL3662589	pIC50=7.94
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4cnn(c4)C(=O)C5CCOCC5	CHEMBL3662588	pIC50=7.94
CC1CN(C)CCN1c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662705	pIC50=7.95
COCCN1C(C)CN(CC1C)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662704	pIC50=7.95
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4occc4	CHEMBL3662587	pIC50=7.95
NC(=O)c1cccc(c1)c2ccc(C[C@H](NC(=O)C34CCC(CC3)CN4)C#N)c(F)c2	CHEMBL3702588	pIC50=7.95
CC(C)(C)N1CCN(CC1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667318	pIC50=7.96
CCNC(=O)c1coc(c1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667292	pIC50=7.96
CN1C=CC(=CC1=O)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667305	pIC50=7.96
CNc1nc2cc(ccc2n1C)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3667303	pIC50=7.96
COc1ccc2NC(=O)c3cc(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)ccc3c2c1	CHEMBL3667361	pIC50=7.96
CS(=O)(=O)Oc1ccc(cc1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658483	pIC50=7.96
CS(=O)(=O)c1cc(ccc1C#N)c2ccc(C[C@H](NC(=O)C34CCC(CC3)CN4)C#N)c(F)c2	CHEMBL3702567	pIC50=7.96
N[C@@H](Cc1cccs1)C(=O)N[C@@H](CCc2ccccc2)C#N	CHEMBL1080781	pIC50=7.96
O=C(N[C@@H](Cc1ccc(cc1)c2ccc3NC(=O)CCc3c2)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658551	pIC50=7.96
O=C(N[C@@H](Cc1ccc(cc1)c2ccc3cn[nH]c3c2)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658535	pIC50=7.96
OCCN1CCN(CC1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662703	pIC50=7.96
CC(=O)c1ccc(s1)c2ccc(CC(NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662586	pIC50=7.97
CCS(=O)(=O)c1ccc(cc1)c2ccc(CC(NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662585	pIC50=7.97
CN1CCN(CC1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662521	pIC50=7.97
CC(C)N1CCCN(CC1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667317	pIC50=7.98
Fc1cc(OCCN2CCNCC2)ccc1C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N	CHEMBL3662702	pIC50=7.98
Cn1ncc2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@H]5C[C@@H]4[C@@H]6C[C@H]56)C#N)c(F)c3	CHEMBL3662584	pIC50=7.99
NS(=O)(=O)c1ccc(cc1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@H]4C[C@@H]3[C@@H]5C[C@H]45)C#N)c(F)c2	CHEMBL3662650	pIC50=7.99
CC(=O)N1C(=O)Cc2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658595	pIC50=8.0
CCN1C(=O)Cc2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658596	pIC50=8.0
CN(C)C1CCCN(C1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667392	pIC50=8.0
COC(=O)c1cccc2c1NC(=O)c3cc(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)ccc23	CHEMBL3667360	pIC50=8.0
COc1ccc(OC)c(c1)S(=O)(=O)N[C@@H]2CCN(C2)C#N	CHEMBL1672426	pIC50=8.0
CS(=O)(=O)c1ccc(cc1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658481	pIC50=8.0
Cc1cc(cc(C)c1F)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658540	pIC50=8.0
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4cn[nH]c4	CHEMBL3662583	pIC50=8.0
CC(C)n1cc(cn1)c2ccc(CC(NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662582	pIC50=8.01
C[C@H]1CN(C)CCN1c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662701	pIC50=8.01
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)N4CCN(CC4)C5CC5	CHEMBL3662700	pIC50=8.01
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)[C@@H]4CCN5CCOC[C@H]5C4	CHEMBL3667332	pIC50=8.01
CCN1CCC(=CC1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667369	pIC50=8.02
CNC(=O)c1ccc(cc1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662699	pIC50=8.02
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)n4cc(nn4)C5CC5	CHEMBL3662581	pIC50=8.02
O=C(NC(Cc1ccc2c(c1)C(=O)Nc3ccccc23)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3662524	pIC50=8.02
CC(C)Cn1cc(cn1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3639614	pIC50=8.03
CO[C@@H]1C[C@@H]2CN(CCN2C1)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3667319	pIC50=8.03
COc1ncc(cn1)c2cn(nn2)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3662580	pIC50=8.03
Cc1c(cnn1C)c2ccc(CC(NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662579	pIC50=8.03
Cc1cc(c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2)n(C)n1	CHEMBL3662578	pIC50=8.03
Fc1cc(F)c2NC(=O)c3cc(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)ccc3c2c1	CHEMBL3667359	pIC50=8.03
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)N4CCN(CC4)C5CCOC5	CHEMBL3667380	pIC50=8.03
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)n4cc(cn4)C(F)(F)F	CHEMBL3667334	pIC50=8.03
CS(=O)(=O)Nc1ccc(cc1)c2ccc(CC(NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662577	pIC50=8.04
O=C(NC(Cc1ccc2c(c1)C(=O)Nc3cc(ccc23)C#N)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3667358	pIC50=8.04
CC(=O)c1ccc(cc1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658524	pIC50=8.05
CC(C)N1C(=O)Cc2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658594	pIC50=8.05
CN1CCN(CC1)C(=O)c2ccc(cc2)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3662698	pIC50=8.05
Cc1n[nH]c2ccc(cc12)c3cn(nn3)c4ccc(C[C@H](NC(=O)[C@H]5N[C@@H]6CC[C@H]5C6)C#N)cc4	CHEMBL3658585	pIC50=8.05
CCNC(=O)c1ccc(cc1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662697	pIC50=8.06
CN1C(=O)Cc2ccc(cc12)c3cc(F)c(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3662576	pIC50=8.06
CN1CCC2(CC1)CC(=C2)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3667407	pIC50=8.06
COCCN1CCN(CC1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662695	pIC50=8.06
CS(=O)(=O)c1cc(ccc1C#N)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2F	CHEMBL3662696	pIC50=8.06
Cn1nc2ccccc2c1c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3662575	pIC50=8.06
CN1Cc2ccc(cc2C1)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3662516	pIC50=8.07
CNc1nc2cc(ccc2[nH]1)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3667395	pIC50=8.07
Fc1c(F)c(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4ccc5CC(=O)Nc5c4	CHEMBL3662694	pIC50=8.07
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4cnc(s4)N5CCOCC5	CHEMBL3662574	pIC50=8.07
O=C(N[C@@H](Cc1ccc(cc1)c2ccc3C(=O)NCc3c2)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658486	pIC50=8.07
CN1CCCN(CC1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667297	pIC50=8.08
Cc1cc(n[nH]1)c2ccc(CC(NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662573	pIC50=8.08
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4cnn(CC5CCOCC5)c4	CHEMBL3662572	pIC50=8.08
Fc1cccc2c1NC(=O)c3cc(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)ccc23	CHEMBL3667357	pIC50=8.08
NS(=O)(=O)c1ccc(cc1)c2ccc(CC(NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662571	pIC50=8.08
CC(=O)N1CCC(Cn2cc(cn2)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3)CC1	CHEMBL3662570	pIC50=8.09
CS(=O)(=O)c1ccc(cc1)c2ccc(CC(NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662569	pIC50=8.09
F[C@@]1(CN[C@@H](C1)C(=O)N[C@@H](Cc2ccccc2)C#N)c3ccccc3	CHEMBL1078065	pIC50=8.09
Brc1cccc(c1)S(=O)(=O)N[C@@H]2CCN(C2)C#N	CHEMBL1672425	pIC50=8.1
CN1C(=O)Cc2cc(ccc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658592	pIC50=8.1
CS(=O)(=O)c1cccc(c1)c2ccc(C[C@H](NC(=O)C3(N)CCOCC3)C#N)cc2	CHEMBL3261927	pIC50=8.1
Cc1cc(cnc1C#N)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658573	pIC50=8.1
Clc1ccc(cc1C#N)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658532	pIC50=8.1
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)C4=CNC(=O)C=C4	CHEMBL3667308	pIC50=8.1
NC(=O)c1cccc(c1)c2ccc(CC(NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662568	pIC50=8.1
O=C(N[C@@H](Cc1ccc(cc1)c2ccc3CC(=O)Nc3c2)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658593	pIC50=8.1
O=C(N[C@@H](Cc1ccc(cc1)c2ccc3COCc3c2)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658561	pIC50=8.1
CN1CC2(C1)CN(C2)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3667379	pIC50=8.11
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)n4cccn4	CHEMBL3662693	pIC50=8.11
CS(=O)(=O)c1cc(ccc1C#N)c2cc(F)c(CC(NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662567	pIC50=8.12
O=C(NC(Cc1ccc2c(c1)C(=O)Nc3c(cccc23)C(=O)NC4CC4)C#N)[C@H]5N[C@@H]6CC[C@H]5C6	CHEMBL3667389	pIC50=8.12
CCOC(=O)c1ccc(s1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662692	pIC50=8.13
CNS(=O)(=O)c1ccc(cc1)c2ccc(CC(NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662566	pIC50=8.13
COCCN1CCN(CC1C)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662691	pIC50=8.13
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4ccc(cc4)S(=O)(=O)N5CCCCC5	CHEMBL3662690	pIC50=8.13
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4cnn(CC5CCCO5)c4	CHEMBL3662565	pIC50=8.13
CC(C)CC(=O)n1cc(cn1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662563	pIC50=8.14
Fc1cc(cc2c1NC(=O)c3cc(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)ccc23)C#N	CHEMBL3667356	pIC50=8.14
Fc1cc(ccc1CC(NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4ccc5C(=O)NCCc5c4	CHEMBL3662564	pIC50=8.14
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)n4cc(COc5ccccc5)nn4	CHEMBL3662562	pIC50=8.14
CCc1ncc(s1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662561	pIC50=8.16
CN1C(=O)c2cc(CC(NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)ccc2c5ccc(Cl)cc15	CHEMBL3667354	pIC50=8.16
CNC(=O)Cc1ccc2NC(=O)c3cc(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)ccc3c2c1	CHEMBL3667355	pIC50=8.16
COCCN1C(=O)Cc2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658590	pIC50=8.16
CS(=O)(=O)c1cc(ccc1C#N)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658591	pIC50=8.16
Clc1cc(ccc1C#N)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658541	pIC50=8.16
Cn1ncc2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658536	pIC50=8.16
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)N4C5CCC4CN(C5)C6CCOC6	CHEMBL3667378	pIC50=8.16
CCN1CCN(CC1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667322	pIC50=8.17
CN(C)S(=O)(=O)c1cccc(c1)c2ccc(C[C@H](NC(=O)C34CCC(CC3)CN4)C#N)c(F)c2	CHEMBL3702594	pIC50=8.17
CN1CCN(CC1)C(=O)c2coc(c2)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3667291	pIC50=8.17
Fc1cc(ccc1C[C@H](NC(=O)C23CCC(CC2)CN3)C#N)c4ccc5C(=O)NCCc5c4	CHEMBL3702586	pIC50=8.17
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)N4CCC5CN(CC45)C6CCOC6	CHEMBL3667402	pIC50=8.17
NS(=O)(=O)c1cccc(c1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@H]4C[C@@H]3[C@@H]5C[C@H]45)C#N)c(F)c2	CHEMBL3662657	pIC50=8.17
CS(=O)(=O)c1ccc(cc1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2F	CHEMBL3662689	pIC50=8.18
Fc1cc(ccc1C[C@H](NC(=O)C23CCC(CC2)CN3)C#N)c4ccc5CC(=O)Nc5c4	CHEMBL3702587	pIC50=8.18
CN1C(=O)Cc2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658477	pIC50=8.19
CN1CC2CCN(C2C1)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3667401	pIC50=8.19
C[S+]([O-])c1ccc(cc1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667324	pIC50=8.19
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4cnn(C[C@@H]5CCOC5)c4	CHEMBL3667312	pIC50=8.19
COC(=O)c1oc(cc1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662688	pIC50=8.2
Fc1cc(ccc1C[C@@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4ccc5ncsc5c4	CHEMBL3662560	pIC50=8.2
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)N4CCN5CCC[C@H]5C4	CHEMBL3667320	pIC50=8.2
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)N4CCN5CCOC[C@@H]5C4	CHEMBL3667299	pIC50=8.2
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@H]3C[C@@H]2[C@@H]4C[C@H]34)C#N)c5ccc6C(=O)NCc6c5	CHEMBL3662661	pIC50=8.21
CS(=O)(=Nc1cccc(c1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2)C	CHEMBL3667309	pIC50=8.22
Clc1ccc2NC(=O)c3cc(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)ccc3c2c1	CHEMBL3667353	pIC50=8.22
Fc1cc(cc(F)c1F)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658533	pIC50=8.22
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4occ(c4)C(=O)N5CCn6nccc6C5	CHEMBL3667290	pIC50=8.22
O=C(N[C@@H](Cc1ccc(cc1)c2ccc3C(=O)CCc3c2)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658543	pIC50=8.22
O=C(N[C@@H](Cc1ccc(cc1)c2ccc3NC(=O)OCc3c2)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658552	pIC50=8.22
CN1CCC(=CC1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667273	pIC50=8.23
