CCOCCN1C(=NC2=C1C=CC=C2)C1CCN(CCC2=CC=C(C=C2)C(C)(C)C(O)=O)CC1	bilastine	pKi=7.19382	pKi=7.19382	pKi=7.19382
CC(OCCN1CCCCCC1)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1	setastine
CN(C)CCN1N=C(CC2=CC=CC=C2)C2=C(C=CC=C2)C1=O	talastine
CN(C)CCOC(C)(C1=CC=CC=C1)C1=CC=CC=C1	moxastine
CCOCCN1C(=NC2=C1C=CC=C2)N1CCCN(C)CC1	emedastine	pKi=8.8860569	pKi=8.8860569	pKi=8.8860569
CCC(=O)C1=CC=C2SC3=CC=CC=C3N(CC(C)N(C)C)C2=C1	propiomazine
CC(CN1c2ccccc2Sc3ccccc13)N(C)C	promethazine	pKi=9.6198	pKi=9.6198	pKi=9.6198	pIC50=8.27
CN(C)CCOC(C1=CC=CC=C1)C1=C(C)C=CC=C1	orphenadrine	pKi=7.9586	pKi=7.9586	pKi=7.9586
CN(C)CC\C=C1\C2=CC=CC=C2COC2=C1C=C(CC(O)=O)C=C2	olopatadine	pKi=8.284	pKi=8.284	pKi=8.284
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc4cccnc24)CC1	loratadine	pKi=6.97	pKi=6.97	pKi=6.97	pKi=7.43
OC(=O)COCCN1CCN(CC1)[C@H](C1=CC=CC=C1)C1=CC=C(Cl)C=C1	levocetirizine	pKi=7.95	pKi=7.95	pKi=7.95	pKi=7.3
[H][C@@]1(C)CN(CC[C@]1(C(O)=O)C1=CC=CC=C1)[C@@]1([H])CC[C@](CC1)(C#N)C1=CC=C(F)C=C1	levocabastine	pKi=7.279	pKi=7.279	pKi=7.279
CN1CCC(=C2c3ccccc3CC(=O)c4sccc24)CC1	ketotifen	pKi=9.5086	pKi=9.5086	pKi=9.5086	pIC50=8.93
OCCOCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1	hydroxyzine	pKi=8.699	pKi=8.699	pKi=8.699
CC(C)(C(O)=O)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1	fexofenadine	pKi=8.0	pKi=8.0	pKi=8.0	pIC50=7.11
[H]C12CN=C(N)N1C1=C(CC3=C2C=CC=C3)C=CC=C1	epinastine	pKi=8.9	pKi=8.9	pKi=8.9
CN(C)CCC=C1c2ccccc2COc3ccccc13	doxepin	pKi=9.75	pKi=9.75	pKi=9.75	pIC50=9.24
CN1CCC(CC1)OC(C1=CC=CC=C1)C1=CC=CC=C1	diphenylpyraline	pKi=8.0757	pKi=8.0757	pKi=8.0757
CN(C)CCOC(c1ccccc1)c2ccccc2	diphenhydramine	pKi=7.81	pKi=7.81	pKi=7.81	pKi=7.7
Clc1ccc2C(=C3CCNCC3)c4ncccc4CCc2c1	desloratadine	pKi=9.4	pKi=9.4	pKi=9.4	pIC50=8.0
CN1CCC(=C2c3ccccc3C=Cc4ccccc24)CC1	cyproheptadine	pKi=10.2218	pKi=10.2218	pKi=10.2218	pIC50=8.43
CN1CCC[C@@H]1CCO[C@](C)(c2ccccc2)c3ccc(Cl)cc3	clemastine	pKi=8.585	pKi=8.585	pKi=8.585	pIC50=9.38
CN(C)CCC(c1ccc(Cl)cc1)c2ccccn2	chlorphenamine	pKi=8.15	pKi=8.15	pKi=8.15	pIC50=7.18
OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1	cetirizine	pKi=7.91	pKi=7.91	pKi=7.91	pKi=7.3
CN(C)CCOC(C1=CC=CC=C1)C1=CC=C(Br)C=C1	bromazine	pKi=8.8861	pKi=8.8861	pKi=8.8861
CN1CCCC(CC1)N2N=C(Cc3ccc(Cl)cc3)c4ccccc4C2=O	azelastine	pKi=8.1675	pKi=8.1675	pKi=8.1675
CC1=CC=C(C=C1)C(=C/CN1CCCC1)\C1=CC=CC(\C=C\C(O)=O)=N1	acrivastine	pIC50=7.16	pIC50=7.16	pIC50=7.16
NCCc1c[nH]cn1	histamine	pKi=4.1	pKi=4.1	pKi=4.1	pEC50=7.89
CN(C)CCC(c1ccc(Br)cc1)c2ccccn2	brompheniramine	pKi=8.21752739	pKi=8.21752739	pKi=8.21752739
CN(C)CC[C@@H](C1=CC=C(Br)C=C1)C1=CC=CC=N1	dexbrompheniramine
OC(=O)CCCN1CCC(CC1)O[C@@H](C1=CC=C(Cl)C=C1)C1=CC=CC=N1	bepotastine
CN1CCC(CC1)=C1C2=CC=CC=C2CCC2=C1N=CC=C2	azatadine
CN1CCN(CC1)C(c2ccccc2)c3ccccc3	cyclizine	pKi=8.35261703	pKi=8.35261703	pKi=8.35261703	pIC50=7.42
CN(C)CCOC(c1ccccc1)c2ccccc2.CN3C(=O)N(C)c4nc(Cl)[nH]c4C3=O	dimenhydrinate	pKi=7.43179828	pKi=7.43179828	pKi=7.43179828	pKi=7.43
[H]C(CCN(C)C)(C1=CC=CC=C1)C1=NC=CC=C1	pheniramine
CN(C)CCN(CC1=CC=CC=C1)C1=CC=CC=N1	tripelennamine	pIC50=7.4	pIC50=7.4	pIC50=7.4	pIC50=7.4
C(N(CC1=CC=CC=C1)C1=CC=CC=C1)C1=NCCN1	antazoline
CN(C)CCOC(C)(C1=CC=CC=C1)C1=NC=CC=C1	doxylamine
CC1=CC=C(C=C1)C(=C/CN1CCCC1)\C1=CC=CC=N1	triprolidine	pKi=9.9	pKi=9.9	pKi=9.9	pKi=8.8
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1	mepyramine	pKi=9.1	pKi=9.1	pKi=9.1	pIC50=7.9
[H]C(OCCN(C)C)(C1=CC=C(Cl)C=C1)C1=CC=CC=N1	carbinoxamine
CN1CCC(CN2C3=CC=CC=C3SC3=C2C=CC=C3)C1	methdilazine
CC(CN(C)C)CN1C2=CC=CC=C2SC2=C1C=CC=C2	alimemazine
CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4	terfenadine	pKi=8.699	pKi=8.699	pKi=8.699	pKi=7.24
O=C1NC2=C(C=CC=C2)N1CCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1	oxatomide	pKi=7.699	pKi=7.699	pKi=7.699
CN(C1CCN(CC1)c2nc3ccccc3n2Cc4ccc(F)cc4)C5=NC=CC(=O)N5	mizolastine	pKi=8.84	pKi=8.84	pKi=8.84	pKi=8.57
CN1CCC2=C(C1)C1=C(C=CC=C1)N2CC1=CC=CC=C1	mebhydrolin	pKi=7.1192	pKi=7.1192	pKi=7.1192
CC(C)(C)c1ccc(cc1)C(=O)CCCN2CCC(CC2)OC(c3ccccc3)c4ccccc4	ebastine	pKi=8.0	pKi=8.0	pKi=8.0	pIC50=7.55
COc1ccc(CCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(F)cc5)cc1	astemizole	pIC50=7.85
NC(=O)N(O)CCC#Cc1ccc(OCCCN2CCC(=C3c4ccc(Cl)cc4CCc5cccnc35)CC2)cc1	CHEMBL188021	pKi=7.85
C[C@H](C1=C(CCN(C)Cc2ccccn2)Cc3ccccc13)c4cnccn4	CHEMBL1669424	pKi=7.86
CCN(CC)CC1CC2N(O1)c3ccccc3Cc4ccccc24	CHEMBL84293	pIC50=7.87
CN1CCN(CC1)C2=Nc3ccccc3Nc4sc(C)cc24	olanzapine	pIC50=7.89
C[C@@H](c1ccc(F)cn1)c2c(CCN(C)C)sc3ccccc23	CHEMBL1092495	pKi=7.89
C[C@H](C1=C(CCN(C)CCF)Cc2ccccc12)c3cnccn3	CHEMBL1669408	pKi=7.89
CC1(C)CCCN(CCCOc2ccc(cc2)C3CCN(CC3)C(=O)c4ccc(CCC(=O)O)c5ccccc45)C1	CHEMBL2151156	pKi=7.9
CN(C)S(=O)(=O)c1ccc2C(=CNC(=O)c2c1)C(=O)NC[C@@H](O)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2207286	pKi=7.9
Cc1cc(Cl)ccc1OC2CCN(C[C@H](O)CNC(=O)C3=CNC(=O)c4cc(F)ccc34)CC2	CHEMBL2207279	pKi=7.9
Clc1ccc(OC2CCN(CCCOc3cccc(c3)C#N)CC2)cc1Cl	CHEMBL2208420	pKi=7.9
O[C@H](CNC(=O)c1c[nH]nc1C2CC2)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2207661	pKi=7.9
O[C@H](CNC(=O)c1cnnc2ccccc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2208435	pKi=7.9
CC(c1ccccn1)c2c(CCN(C)C)sc3ccccc23	CHEMBL1090432	pKi=7.92
CN(C)CCC1=C(Cc2cncc(C)n2)c3ccccc3C1	CHEMBL1088882	pKi=7.92
CN(C)CCC1=C(Cc2cnccn2)c3ccc(C)cc3C1	CHEMBL1092600	pKi=7.92
CN1CCN(CC1)[C@@H]2Cc3ccccc3Sc4ccc(Cl)cc24	CHEMBL64875	pKi=7.92
Cn1ccc2C(=C3CCNCC3)c4nccn4CC(=O)c12	CHEMBL444353	pKi=7.92
CN(C)CC1CC2N(O1)c3ccccc3Cc4cccc(C)c24	CHEMBL314795	pIC50=7.93
CN(C)CCc1sc2ccccc2c1Cc3ccc(F)cc3	CHEMBL540982	pKi=7.96
CN(C)C\C=C\1/c2ccccc2COc3ccc(CC(=O)O)cc13	CHEMBL302005	pKi=7.96
CNCC1CC2N(O1)c3ccccc3Cc4ccccc24	CHEMBL81485	pIC50=7.97
FC1CCN(CCC2=C(Cc3cnccn3)c4ccccc4C2)C1	CHEMBL1669417	pKi=7.98
C1CO[C@H](CN1)[C@H](Oc2cccc3CCOc23)c4ccccc4	CHEMBL258930	pKi=8.0
COc1cc(F)ccc1O[C@@H]([C@H]2CNCCO2)c3ccccc3	CHEMBL259765	pKi=8.0
Cc1c(Cl)ccc(OC2CCN(C[C@H](O)CNC(=O)C3=CNC(=O)C=C3C(F)(F)F)CC2)c1Cl	CHEMBL2207664	pKi=8.0
Cc1cc(Cl)ccc1OC2CCN(C[C@H](O)CNC(=O)C3=CNC(=O)C=C3C(F)(F)F)CC2	CHEMBL2207663	pKi=8.0
Cc1cc(F)ccc1O[C@@H]([C@H]2CNCCO2)c3ccccc3	CHEMBL404956	pKi=8.0
Fc1ccc(O[C@@H]([C@H]2CNCCO2)c3ccccc3)c(Cl)c1	CHEMBL260823	pKi=8.0
Fc1cccc(O[C@@H]([C@H]2CNCCO2)c3ccccc3)c1F	CHEMBL264418	pKi=8.0
NC(=O)C1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1	CHEMBL1909072	pIC50=8.0
OC(=O)c1cccnc1N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2	CHEMBL2158834	pKi=8.0
CC(C)OC(=O)N(O)CCC#Cc1ccc(OCCCCN2CCN(CC2)C(c3ccc(F)cc3)c4ccc(F)cc4)cc1	CHEMBL180233	pKi=8.02
CN(C)CC1C[C@H]2[C@H](O1)c3ccccc3COc4ccccc24	CHEMBL93321	pKi=8.02
CNCC1C[C@H]2[C@H](O1)c3ccccc3Cc4ccccc24	CHEMBL329685	pKi=8.03
C[C@@H](c1ncccc1C)c2c(CCN(C)C)sc3ccccc23	CHEMBL1092126	pKi=8.03
COc1ccc2C(=C(CCN(C)C)Cc2c1)Cc3cnccn3	CHEMBL1092258	pKi=8.05
NC(=O)N(O)CCC#Cc1ccc(OCCCN2CCN(CC2)[C@H](c3ccccc3)c4ccc(Cl)cc4)cc1	CHEMBL187264	pKi=8.05
CNCCCC12CCC(c3ccccc13)c4ccccc24	CHEMBL21731	pIC50=8.06
C[C@H](C1=C(CCN(C)Cc2ncc[nH]2)Cc3ccccc13)c4cnccn4	CHEMBL1669422	pKi=8.06
CN1CCN(CC1)C2=Nc3ccc(Cl)cc3Oc4ccccc24	CHEMBL213912	pKi=8.08
COc1ccc(Cn2c(nc3ccccc23)N4CC[C@H](C4)N(C)C)cc1	CHEMBL1087367	pKi=8.08
C[C@H](C1=C(CCN(C)Cc2occc2)Cc3ccccc13)c4cnccn4	CHEMBL1669418	pKi=8.09
CC1NC(=Nc2ccc(Cl)c(Cl)c12)N	CHEMBL273170	pKi=8.1
CN(C)CC1CC2N(O1)c3cc(ccc3Cc4ccccc24)c5ccccc5	CHEMBL315308	pIC50=8.1
CS(=O)(=O)c1cccc(c1)C(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2171019	pKi=8.1
C[C@@H](c1ncccc1Cl)c2c(CCN(C)C)sc3ccccc23	CHEMBL1092494	pKi=8.1
Clc1cccc(c1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2171043	pKi=8.1
O[C@H](CNC(=O)C1=CNC(=O)c2cc(F)ccc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2207278	pKi=8.1
O[C@H](CNC(=O)c1n[nH]c2ccccc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2208429	pKi=8.1
CN(C)CCC1=C(Cc2cccnn2)c3ccccc3C1	CHEMBL1090197	pKi=8.11
CC(C)COC(=O)N(O)CCC#Cc1ccc(OCCCCN2CCN(CC2)C(c3ccc(F)cc3)c4ccc(F)cc4)cc1	CHEMBL181085	pKi=8.12
CN(C)C[C@H]1CC2[C@H](O1)c3cc(F)ccc3Oc4ccccc24	CHEMBL194659	pKi=8.13
CC(C1=C(CCN(C)CCF)Cc2ccccc12)c3ccccn3	CHEMBL172233	pKi=8.14
CCN(C)CCC1=C(Cc2cnccn2)c3ccccc3C1	CHEMBL1669405	pKi=8.14
COc1ccc(CN(CCN(C)CCN2CCN(CC2)C(=O)c3cc4ccccc4[nH]3)c5ccccn5)cc1	CHEMBL1910381	pKi=8.15
COc1ccc(Cn2c(nc3ccccc23)N4CCC(CC4)n5cc(C)cn5)cc1	CHEMBL562894	pKi=8.15
CN(CCCCc1c[nH]cn1)CCC(c2ccc(Cl)cc2)c3ccccn3	CHEMBL292195	pKi=8.16
Cc1cnn(c1)C2CCN(CC2)c3nc4ccccc4n3Cc5ccc(F)cc5	CHEMBL556450	pKi=8.16
CN(C)CC1CC2N(O1)c3ccccc3Cc4ccccc24	CHEMBL83658	pIC50=8.17
C[C@H](C1=C(CCN(C)Cc2cccs2)Cc3ccccc13)c4cnccn4	CHEMBL1669419	pKi=8.17
Fc1ccc(Cn2c(nc3ccccc23)N4CCC(CC4)N5CCCCC5=O)cc1	CHEMBL552026	pKi=8.18
C(c1ccccc1)c2ccccc2OC3CCNCC3	CHEMBL1923521	pKi=8.2
OC(=O)c1ccccc1N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2	CHEMBL2158822	pKi=8.2
O[C@H](CNC(=O)C1=CNC(=O)c2ccc(F)cc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2207280	pKi=8.2
O[C@H](CNC(=O)C1=NNC(=O)c2ccccc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2208431	pKi=8.2
CN(C)CC1CC2N(O1)c3cccc(C)c3Cc4ccccc24	CHEMBL82635	pIC50=8.22
CN(C)CC1C[C@H]2[C@H](O1)c3ccccc3N(C)c4ccccc24	CHEMBL328356	pKi=8.22
CN(C)CCC1c2ccccc2Cc3ccccc13	CHEMBL593988	pKi=8.22
CN1CCN(CC1)C2=Nc3ccccc3Nc4sc(CO)cc24	CHEMBL100454	pKi=8.22
CCOC(=O)N(O)CCC#Cc1ccc(OCCCCN2CCN(CC2)C(c3ccc(F)cc3)c4ccc(F)cc4)cc1	CHEMBL179590	pKi=8.23
CN(C)CC1CC2N(O1)c3cc(C)ccc3Cc4ccccc24	CHEMBL85735	pIC50=8.23
Fc1ccc(Cn2c(NC3CCN(CCN4CCN(CC4)C(=O)c5cc6ccccc6[nH]5)CC3)nc7ccccc27)cc1	CHEMBL1910386	pKi=8.26
C[C@@H](c1cncs1)c2c(CCN(C)C)sc3ccccc23	CHEMBL1092118	pKi=8.28
CC(C)C(=O)NCc1ccc2Sc3ccccc3C[C@H](N4CCN(C)CC4)c2c1	CHEMBL1259190	pKi=8.3
CN1C=C(C(=O)NC[C@@H](O)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3)C(=CC1=O)C(F)(F)F	CHEMBL2207665	pKi=8.3
COC(=O)N(O)CCC#Cc1ccc(OCCCCN2CCN(CC2)C(c3ccc(F)cc3)c4ccc(F)cc4)cc1	CHEMBL366925	pKi=8.3
COc1cccnc1[C@H](C)c2c(CCN(C)C)sc3ccccc23	CHEMBL1091069	pKi=8.3
OC(=O)COc1cccc(c1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2	CHEMBL2158829	pKi=8.3
OC(=O)Cc1cccc(c1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2	CHEMBL2158826	pKi=8.3
OC(=O)c1cccc(c1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2	CHEMBL2158823	pKi=8.3
O[C@H](CNC(=O)C1=CNC(=O)c2cc(ccc12)S(=O)(=O)NC3CC3)CN4CCC(CC4)Oc5ccc(Cl)c(Cl)c5	CHEMBL2207285	pKi=8.3
C[C@H](C1=C(CCN(C)Cc2ccncc2)Cc3ccccc13)c4cnccn4	CHEMBL1669425	pKi=8.31
CCOCCn1c(nc2ccccc12)N3CC[C@@H](C3)N(C)C	CHEMBL1087493	pKi=8.32
CN(C)CCC=C1c2ccccc2CCc3ccccc13	CHEMBL629	pIC50=8.32
C[C@@H](c1cscn1)c2c(CCN(C)C)sc3ccccc23	CHEMBL1091782	pKi=8.34
CC(C)C(=O)NCc1ccc2Sc3ccccc3C[C@@H](N4CCN(C)CC4)c2c1	CHEMBL1259189	pKi=8.35
Fc1ccc(Cn2c(nc3ccccc23)N4CCC(CC4)NCC5CCOCC5)cc1	CHEMBL559060	pKi=8.35
CN(CC1CCCCC1)C2CCN(CC2)c3nc4ccccc4n3Cc5ccc(F)cc5	CHEMBL549598	pIC50=8.36
C[C@H](c1c(CCN(C)C)sc2ccccc12)n3cccn3	CHEMBL1093058	pKi=8.36
C(CC1=C(Cc2cnccn2)c3ccccc3C1)N4CCC4	CHEMBL1669412	pKi=8.37
CN(C)CC1C[C@H]2[C@H](O1)c3ccccc3Sc4ccccc24	CHEMBL327306	pKi=8.37
CN(C)C[C@H]1CC2[C@H](O1)c3cc(Cl)ccc3Oc4ccccc24	CHEMBL435301	pKi=8.37
CNC(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4	CHEMBL1627	pKi=8.38
C[C@H](C1=C(CCN(C)C)Cc2cc(C)ccc12)c3cnccn3	CHEMBL1092663	pKi=8.38
CN(C)CCC1=C(Cc2cnccn2)c3ccccc3C1	CHEMBL559251	pKi=8.4
CN(C[C@@H](O)CN1CCC(CC1)Oc2ccc(Cl)c(Cl)c2)C(=O)C3=CNC(=O)c4ccccc34	CHEMBL2208433	pKi=8.4
C[C@@H](c1ccccn1)c2c(CCN(C)C)sc3ccccc23	CHEMBL564144	pKi=8.4
NC(=O)N(O)Cc1oc(CN2CCN(CC2)[C@H](c3ccccc3)c4ccc(Cl)cc4)cc1	CHEMBL307609	pKi=8.4
O[C@H](CNC(=O)C1=CC(=O)Nc2ccccc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2208434	pKi=8.4
O[C@H](CNC(=O)C1=CNC(=O)C=C1C(F)(F)F)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3	CHEMBL2207662	pKi=8.4
O[C@H](CNC(=O)C1=CNC(=O)c2ccccc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2207666	pKi=8.4
CN(CC1CCOCC1)C2CCN(CC2)c3nc4ccccc4n3Cc5ccc(F)cc5	CHEMBL550818	pKi=8.41
C[C@@H](c1ccccn1)c2c(CCN3CCC3)sc4ccccc24	CHEMBL1091775	pKi=8.41
CN(C)CC1CC2N(O1)c3ccccc3Cc4ccc(F)cc24	CHEMBL314885	pIC50=8.42
CN(C)CC\C=C1\C2=CC=CC=C2SC2=C1C=C(Cl)C=C2	chlorprothixene	pKi=8.43
CN(C)C[C@@H]1C[C@@H]2[C@@H](O1)c3ccccc3Cc4ccccc24	CHEMBL327651	pKi=8.43
OCCN1CCN(CC2C[C@H]3[C@H](O2)c4ccccc4Cc5ccccc35)CC1	CHEMBL92337	pKi=8.43
CN(Cc1ccccc1)C2CCN(CC2)c3nc4ccccc4n3Cc5ccc(F)cc5	CHEMBL551888	pKi=8.44
CN1CCN(CC1)[C@@H]2Cc3ccccc3Sc4ccc(CNC(=O)C)cc24	CHEMBL1259173	pKi=8.44
CN(C)CCCN1c2ccccc2Sc3ccccc13	promazine	pIC50=8.46
CN(C)CCOc1cc(C)c2cc(NC(=O)COc3ccc(Cl)cc3Cl)ccc2n1	CHEMBL194837	pIC50=8.46
CNC[C@@H]1C[C@@H]2[C@@H](O1)c3ccccc3Cc4ccccc24	CHEMBL2112371	pKi=8.46
CN(C)CCOC1=Cc2ccccc2Sc3ccc(Cl)cc13	CHEMBL285802	pKi=8.47
[H]C12CN(C)CCN1C1=C(CC3=C2C=CC=C3)C=CC=C1	mianserin	pIC50=8.47
CN(C1CCOCC1)C2CCN(CC2)c3nc4ccccc4n3Cc5ccc(F)cc5	CHEMBL564446	pIC50=8.48
CN(CCO)C1CCN(CC1)c2nc3ccccc3n2Cc4ccc(F)cc4	CHEMBL557210	pKi=8.5
CN1CCC2C(C1)c3cccc4SCc5ccccc5N2c34	CHEMBL3217984	pKi=8.5
CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(c3ccccc3)c4ccccc4	benzatropine	pIC50=8.5
O[C@H](COc1cccc(c1)C#N)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3	CHEMBL2208419	pKi=8.5
COc1ccc2C(=C(CCN(C)C)Cc2c1)[C@@H](C)c3cnccn3	CHEMBL1090175	pKi=8.51
C[C@H](C1=C(CCN(C)C)Cc2ccccc12)c3nc(C)cs3	CHEMBL1092599	pKi=8.51
C(C1CC2N(O1)c3ccccc3Cc4ccccc24)N5CCCC5	CHEMBL316438	pIC50=8.52
CN1CCN(CC2C[C@H]3[C@H](O2)c4ccccc4Cc5ccccc35)CC1	CHEMBL318659	pKi=8.52
CNCCCC1c2ccccc2Cc3ccccc13	CHEMBL348302	pKi=8.52
COc1cc(cc(OC)c1OC)C(=O)N2CC[C@@](CCN3CCC(CC3)(C(=O)N)c4ccccc4)(C2)c5ccc(Cl)c(Cl)c5	CHEMBL330366	pIC50=8.52
CN(C)CCN(C)C1CCN(CC1)c2nc3ccccc3n2Cc4ccc(F)cc4	CHEMBL559061	pKi=8.54
COc1ncccc1[C@@H](C)c2c(CCN(C)C)sc3ccccc23	CHEMBL1093294	pKi=8.54
C[C@H](c1cccnc1Cl)c2c(CCN(C)C)sc3ccccc23	CHEMBL1092766	pKi=8.54
C(CC1=C(Cc2cnccn2)c3ccccc3C1)N4CCCC4	CHEMBL1669413	pKi=8.55
CN(C1CCCCC1)C2CCN(CC2)c3nc4ccccc4n3Cc5ccc(F)cc5	CHEMBL558933	pKi=8.55
COc1nccnc1[C@H](C)C2=C(CCN(C)C)Cc3cc(C)ccc23	CHEMBL1090176	pKi=8.57
C[C@@H](c1ncccc1F)c2c(CCN(C)C)sc3ccccc23	CHEMBL1092377	pKi=8.57
CN(C)CC1CC2N(O1)c3cc(F)ccc3Cc4ccccc24	CHEMBL84931	pIC50=8.59
C[C@@H]1NC(=Nc2ccc(Cl)c(Cl)c12)NCC(F)F	CHEMBL256694	pKi=8.59
CN(C(=O)N1CCC(CC1)N2CCC(CC2)Oc3ccc(Cl)c(Cl)c3)S(=O)(=O)c4ccc(C)cc4	CHEMBL2171013	pKi=8.6
CN1CCN(CC1)[C@H]2Cc3ccccc3Sc4ccc(CNC(=O)C)cc24	CHEMBL1259174	pKi=8.6
COc1ccc2C(=C(CCN(C)C)Cc2c1)[C@@H](C)c3nccs3	CHEMBL1093623	pKi=8.6
Cc1cc(Cl)ccc1OC2CCN(C[C@H](O)CNC(=O)C3=CNC(=O)c4c(F)cccc34)CC2	CHEMBL2207657	pKi=8.6
O[C@H](CNC(=O)C1=CNC(=O)c2c(F)cccc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2207656	pKi=8.6
O[C@H](CNC(=O)C1=CNC(=O)c2cc(ccc12)S(=O)(=O)N3CCC3)CN4CCC(CC4)Oc5ccc(Cl)c(Cl)c5	CHEMBL2207654	pKi=8.6
CN(CCc1ccccc1)C2CCN(CC2)c3nc4ccccc4n3Cc5ccc(F)cc5	CHEMBL559557	pKi=8.62
CNC1CCN(CC1)c2nc3ccccc3n2Cc4ccc(F)cc4	CHEMBL549599	pKi=8.62
COc1ccc(Cn2c(nc3ccccc23)N4CCC(CC4)N(C)C)cc1	CHEMBL558468	pKi=8.62
C(C1C[C@H]2[C@H](O1)c3ccccc3Cc4ccccc24)N5CCOCC5	CHEMBL96429	pKi=8.63
CN(C)CC1CC2N(O1)c3cc(Cl)ccc3Cc4ccccc24	CHEMBL315772	pIC50=8.63
CN(C)CC1CC2N(O1)c3ccccc3Cc4c(F)cccc24	CHEMBL82966	pIC50=8.64
COCCN(C)C1CCN(CC1)c2nc3ccccc3n2Cc4ccc(F)cc4	CHEMBL550337	pKi=8.66
COc1nccnc1CC2=C(CCN(C)C)Cc3ccccc23	CHEMBL1088900	pKi=8.66
C[C@H](C1=C(CCN(C)C)Cc2cc(C)ccc12)c3nccs3	CHEMBL1090528	pKi=8.66
CN(C)CCC1=C(Cc2cccnn2)c3ccc(Cl)cc3C1	CHEMBL1092652	pKi=8.68
Fc1ccc(cc1)C(=O)C2CCN(CC3C[C@H]4[C@H](O3)c5ccccc5Cc6ccccc46)CC2	CHEMBL328662	pKi=8.72
CN(C)C1CCN(CC1)c2nc3ccccc3n2Cc4ccc(F)cc4	CHEMBL558467	pKi=8.75
CN(C)CC1CC2N(O1)c3cccc(F)c3Cc4ccccc24	CHEMBL315834	pIC50=8.76
CN(C)CCC1=C(Cc2cccnn2)c3ccc(F)cc3C1	CHEMBL1092662	pKi=8.77
C[C@H](c1cccnc1F)c2c(CCN(C)C)sc3ccccc23	CHEMBL1092765	pKi=8.77
[H]C12CN(C)CCN1C1=C(CC3=C2C=CC=C3)C=CC=N1	mirtazapine	pKi=8.8
CN(C)C1CCN(CC1)c2nc3ccccc3n2Cc4ccc(C)cc4	CHEMBL563451	pKi=8.82
COc1nccnc1CC2=C(CCN(C)C)Cc3cc(Cl)ccc23	CHEMBL1092650	pKi=8.82
C[C@H](C1=C(CCN(C)C)Cc2ccccc12)c3cnccn3	CHEMBL556506	pKi=8.82
CN(C)CCC1=C(Cc2cnccn2)c3ccc(Cl)cc3C1	CHEMBL1092259	pKi=8.85
CN(C)CCC1=C(Cc2cnccn2)c3ccc(F)cc3C1	CHEMBL1092649	pKi=8.85
CN(C)C[C@H]1C[C@H]2[C@H](O1)c3cc(F)ccc3Sc4ccccc24	CHEMBL366164	pKi=8.85
CN(C)CC1CC2N(O1)c3ccc(F)cc3Cc4ccccc24	CHEMBL84081	pIC50=8.89
COc1ccc2C(=C(CCN(C)C)Cc2c1)[C@@H](C)c3nccnc3OC	CHEMBL1090186	pKi=8.89
Fc1ccc(Cn2c(nc3ccccc23)N4CCC(CC4)n5ccnc5)cc1	CHEMBL556449	pKi=8.89
